Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,Likert_Score,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,Head_vel_X,Head_vel_Y,Head_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,right_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,942.4662889912604,565.943571712776,938.1916289151239,564.5222701223947,959.5074250836551,679.725428037613,953.8437916370978,779.2651687824067,985.1353996023377,800.5750786463858,975.1807555215992,803.4178456550571,945.317041706641,793.4697019065001,941.0642401601572,563.0976233330548,959.5098810677097,675.4623052268192,952.4223717693744,773.5848516291393,986.5636438519936,794.8770235704437,978.023410610218,789.1906726408672,943.8898691548964,787.781201146494,1010.6727807250393,435.09616022671423,1068.9227427020649,386.7367636896827,1057.5777220932084,418.0167391133672,1003.5554964251121,442.1991638758702,943.9931954412192,437.905135835051,884.4476138766732,433.5743306147139,997.9027233302428,437.9431415564462,945.4714978820597,439.3039790816021,894.4534274868645,437.7971696498463,4,1,pure,person0,13.729854148049974,13.44297997008395,-5.315810658079641,-6.862962340942181,36.84669542036507,38.00675812963548,-66.42683974504926,-60.75749350557464,-6.222619512633725,-3.0995526171023835,-10.118354754582786,-9.44450562364486,-93.2554768594045,-94.12865330708205,-79.52551323145379,-80.68565041633974,26.491861702980195,62.46677092673334,-36.68855338264119,39.704633201484214,176.04079230534563,-178.2898612261773,176.0953972426742,178.6106583391287,4,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.99228415818712,13.72996362795071
1,0.0335429769392033,939.7351910293864,557.1957745231532,936.1263101861143,556.6597400184907,960.8171108171631,669.6236159891138,955.1268531414322,772.6318017175184,986.5863518893344,794.2485328303457,976.5672462696716,797.3520026142504,946.1735476074232,786.7780608781675,938.2878547254494,554.4041824328609,960.0407599956328,665.8210803032157,953.8425704041564,767.7628527283284,987.9821448072248,789.1452690649688,979.3744893254727,784.1897230989846,943.8374189452916,782.5576473836827,1009.2950333257124,426.43139482376006,1066.207999982892,379.9924323350266,1054.6414355762297,409.7022010114766,1002.0615939895072,433.6531997715062,941.5137452576072,418.97168414016926,884.3759445405478,400.5316692873941,996.2173257341356,429.0027922785645,941.9249193357439,419.72796266228266,892.1594058803306,404.9116571050062,4,1,pure,person0,15.470209516760308,14.49130724732921,-5.14697733697904,-7.397280922904204,39.03627824362371,40.344385055432234,-74.70652069944,-70.24622818302952,-7.774440957453337,-6.759088832027456,-10.526637285636022,-8.605772740309174,-93.12933207453494,-93.45851566575315,-77.6590655059517,-78.9673673271993,20.196169206601382,61.99502772780255,-37.4825104912843,39.203463277675105,172.68308827596135,-37.36091977601288,168.648932608302,170.38430710305084,4,15.826828038708625,-287.4290180349307,0.28786442797659345,42.28905972783072,-170.87793119447124,0.17603304218801222,-82.77099077222695,-259.17320683702985,0.2720694544700047,-105.73237291203974,-583.6099895009618,0.5931104066924836,-80.93326731534327,-201.06537851068455,0.21674288960420746,41.33475542690849,-180.83794565405023,0.18550181830531895,-41.0740943424313,-258.3183185755705,0.2615634434277101,-2.136642083240197,-985.0843408207235,0.985086657999991,-61.572314608599186,-234.4016787226426,0.24235366082288357,25.534582167070393,-199.49454815716382,0.20112207643836075,39.04500593020676,-301.1602716958843,0.3036807892113506,-68.3905191447924,-980.3993427430461,0.9827818345695504,-87.53804178742574,-247.8771671626136,0.26288019849456024,-73.91860859893147,-564.4535286536615,0.569272998399513,-44.53696636147046,-254.7765548613532,0.2586399703829686,42.339671799439756,-173.56834223042256,0.17865782163874427,-50.24591583394588,-266.5341628468479,0.27122889230770014,-81.4208579883683,-260.7937037156307,0.27320818438194383,-1.5636718738418998,-155.72719655381394,0.1557350468463642,40.279034198532294,-149.0908082173744,0.15443597278767807,43.256515056091125,-188.61014714069535,0.193506882821342,38.25127109797047,-197.75725562198164,0.20142266975628198,51.88434442967693,31.253256952874366,5.033343385311689,-15.929372724742846,65.2769379183983,69.69050272531587,139.65409323375425,15.470266568583241
2,0.0670859538784067,936.6857225007832,548.9690706448317,933.6317579811836,549.2193994659782,962.7386315432916,659.7263059974814,956.2308242658592,765.7695959573869,988.1409506022826,787.554945206217,978.0444304684936,790.8360401848524,946.80780661624,779.8542497684165,935.4035837225975,546.3687447543261,961.2800720976979,656.3594102135846,955.0696318007856,761.5457633491714,989.2761976821583,783.0546710421559,980.8508093022851,778.8516412324832,943.4917647816375,777.0060567392458,1007.9936306674433,418.751725019396,1063.6887532108972,374.0155104702697,1052.0369897290802,402.053527766501,1000.5181251728345,426.088240474785,939.131152357152,402.48304162090534,883.7799481379324,371.6293238324522,994.6836834227693,421.2013655117451,938.4542398021828,402.65271899553414,889.6540026236871,376.0911877455402,4,1,pure,person0,18.18302814194326,16.526083184791272,-4.395117318664952,-7.232908164740737,41.92339621954969,43.44745887212758,-81.60266401027204,-78.18856357917333,-9.471616387735605,-10.221288304622965,-10.666445809956146,-7.6961457350763,-93.43326582771302,-93.30035478502424,-75.2503449304599,-76.7747671174287,18.017798777688853,61.30030285781171,-37.562809584083915,38.76841116968232,170.1335037394434,75.34386887427887,162.37427003668182,163.32618237905086,4,36.94699204281819,-282.07603954712886,0.2844854518382363,38.57895133395671,-181.57595355511162,0.18562909899979546,-85.98732927251989,-239.5564857913173,0.2545213756840599,-103.46963359428898,-509.05570181494085,0.5194647944052017,-75.10504439009418,-178.1869830930649,0.19336847891175593,44.038553927381855,-194.25712992642772,0.19918641208493096,-38.798066749649536,-228.9501560426037,0.23221426298882428,-17.768142752972437,-861.6511738754547,0.8618343531896596,-74.36883760949873,-221.81515272177606,0.23395017842346869,18.908846700349365,-206.41611870945272,0.20728038630466752,57.28533664770585,-295.0635541255408,0.30057297078752265,-74.69233458868429,-859.2102427790799,0.8624506862092426,-77.64504181814355,-228.02607111583447,0.24088304553759043,-71.03105084481972,-491.5676551055563,0.49667310147630755,-46.014664097053796,-225.53034903350004,0.23017664444321248,36.58176788700807,-185.3469771161209,0.18892254409631154,-45.72171140760845,-232.5800354858043,0.2370315333465542,-90.91228050898327,-245.2586093724586,0.26156610678498904,-10.30481475394006,-165.50679608727782,0.16582728592782545,44.01278930871999,-159.1415656450734,0.16511560658732105,46.34647412976705,-199.5525810443381,0.2048639262186447,32.91213914697841,-204.5795092239241,0.20721000095924838,80.87590526326667,60.661757635587634,22.414826795988713,4.900362852748363,86.07220465729301,92.51038816022978,136.55064778827162,18.182920897253112
3,0.10062893081761,933.215838655769,542.018894883731,930.478309911007,542.7975617502517,965.6230598459789,650.4412307348069,956.9423960231288,758.6706432044208,989.678131791207,780.4640316280735,979.5008935933553,783.8222031958028,946.9689499915453,772.71138800383,932.3755595268109,539.711877986325,963.6367936887136,647.4577389565412,955.9365012841317,754.7849133868056,990.2106914563968,776.5872191233904,982.3942161030755,773.0890579156418,942.6766066605991,770.986246350977,1006.7611749319001,413.0775204776762,1061.5119864281385,369.5373750639676,1050.0848327498782,395.9841203340725,998.9030653272006,420.4841113126815,936.758553685437,390.68380019217403,882.1571607961503,350.69667735734214,993.3850314289157,415.6147547790066,935.150359174146,390.3782220349022,886.6971385619911,355.1407585748124,4,1,pure,person0,22.51073702174413,20.174763167760236,-2.870091663619967,-5.957987028096116,45.87986714304347,47.72720087487549,-86.03289339758565,-83.45672084288059,-11.208156155634336,-13.120144673799093,-10.441584682081732,-6.865514116401398,-94.4829038729781,-93.99423493324028,-71.9726020007431,-73.82045882008426,20.777826830683075,60.29864107557282,-36.05892317456181,38.49662583298224,168.1175553821666,146.99649074902996,157.32257130784916,157.57317697686872,4,70.25976243215362,-265.3810743506047,0.2745242226844543,27.859595644484948,-192.81091032819742,0.1948132547109215,-90.27297133689227,-198.45784052103448,0.2180245945260849,-98.49694122334637,-365.93344063884,0.37895768946959607,-64.89485971099678,-133.5044118003815,0.148441135764571,43.420806909936054,-209.10001523604365,0.21356072402111687,-36.7425866158818,-169.1622229000217,0.1731065432839042,-48.379347626879444,-624.0545230392197,0.6259269997391952,-94.01217059213974,-191.45103690009552,0.2132880393964165,4.804086876288118,-212.94656635673056,0.2130007497025219,85.99201877386238,-276.81130626848136,0.28986052951526065,-88.15150983931336,-624.5846696523223,0.6307746810483528,-58.19867994246077,-180.9442090792752,0.19007338884328193,-70.73309790050416,-351.76488509405215,0.3588059441032631,-48.148971647961496,-167.07310064521116,0.17387278231500483,25.843546472256637,-201.5578395030311,0.20320790230547955,-38.71606256676035,-166.550832469766,0.170991559139758,-103.44591212948697,-207.2021148778145,0.231589665456256,-24.301901483456863,-179.4655972002612,0.18110351458256693,46.012815248559015,-171.7970151333354,0.1778521677568803,45.827214194809656,-211.3978610484037,0.21630808865296083,21.213733013601708,-211.63752894779964,0.21269806329043786,129.01982097906364,108.77627199226242,45.464827341028695,38.00858638621782,117.95228940665858,127.58980845692246,132.2712430763159,22.510301872235004
4,0.1341719077568134,929.449290919432,537.1397715788461,926.6816247962374,538.0579553711918,969.4325297245213,642.2790895024484,957.0432172209185,751.5209648295261,990.8235498955448,773.3136353532598,980.6023491045628,776.676430828205,946.4182072235844,765.5564863426563,929.2031248975671,535.0327048154589,967.0966722702028,639.6002866385605,956.3533982354228,747.6012855408402,990.4881955732592,770.0454492959252,983.678005462958,767.029063233628,941.3885376822608,764.4499088358937,1005.5470200179489,410.2208893106269,1059.7699311052984,367.0501343826466,1049.0314879090065,392.31664875015497,997.2197138844035,417.6734317686322,934.146808729307,385.186090736108,878.9748193782598,340.4911521074548,992.2993360861254,412.98761627484834,931.9819104563344,384.521735598776,882.8300560964109,344.8694271540107,4,1,pure,person0,28.5902717352032,25.55109903246868,-0.9546678091451652,-3.653955894505319,50.8913707215805,53.14944469068474,-87.47600704560097,-85.53332755068611,-12.628522689360542,-14.987710242294227,-10.052160294102974,-6.572157000295347,-96.39694190288098,-95.61583299529732,-67.8076152287344,-70.06626658037365,25.4172131453124,59.043218195181474,-32.80450296775512,38.51161394242043,164.2395294864193,179.6353868276348,151.37624690420446,151.19369716670425,4,103.14763021064715,-234.2502972298005,0.25595436188961945,8.273091483958416,-195.02651298130385,0.19520190779894706,-94.57820738432646,-139.49785015644483,0.16853690251782427,-94.4593773997592,-174.59650187701163,0.19851073635055477,-51.93502431216734,-74.15086281188225,0.09052953775454725,32.83714242787504,-213.0333387090102,0.21554925498441516,-36.196993372172216,-85.16331666765765,0.0925365486444184,-94.87355352085808,-304.2522215122655,0.31870112245303406,-113.1886749840687,-141.29951517572314,0.1810448263097942,-16.419018769832956,-213.30550577374453,0.2139364928448559,113.56982075404396,-243.3338354896901,0.26853204590929036,-115.28739600510977,-306.21406798265093,0.32719755364018627,-31.402843068484717,-109.33649659554042,0.11375679338206797,-77.86264650462658,-163.90046315896848,0.18145510062940864,-50.18491488838778,-83.7933839069693,0.09767219086789988,12.428740360362635,-214.1619051578426,0.21452224874772796,-32.367292406933935,-78.3215666552192,0.08474614693945624,-112.29020438954667,-145.45886352688194,0.18375900244716784,-38.40055641670811,-194.864562168421,0.1986121857344186,38.272970291500066,-180.66359145753594,0.18467309910560742,34.14777723556972,-213.17118894288075,0.21588892163668674,3.0057319591038385,-213.1497865515502,0.2131709781644335,181.24612864499824,160.2820129666203,57.10357366152995,68.68892817017554,149.40545043513504,161.65064375881292,126.85083342391587,28.589326674146577
5,0.1677148846960167,925.6196684822688,535.0070238444762,922.4755045731614,535.6789669679395,973.7990006193494,635.815291757717,956.337440240868,744.7397573720519,991.1104293406454,766.7499015489858,980.9117158740979,770.0742034200646,944.9765024892348,758.8084793178995,925.9061143348498,532.8428629601912,971.3092673861096,633.3557744488895,956.3290496380812,740.446655053686,989.9121087207872,764.0002248665082,984.2716894694375,761.0861399047586,939.7902613641518,757.5625508736096,1004.3151115516941,410.65538291731207,1058.3847492271602,366.8051564366975,1048.860279410192,391.5122145240962,995.5017460865402,418.31038100363236,931.2266403405803,387.0936888358799,874.1683362442031,342.8247484309741,991.2990661671448,413.7334737558761,928.9075674915356,386.06992372771833,877.8201569797192,347.0519085450914,4,1,pure,person0,36.11095409074981,32.34290082699712,0.6687850958862406,-0.7414092045016388,56.67126462319251,59.33921746310192,-85.76845345378982,-84.2787370598369,-13.308211519365576,-15.415083136800623,-9.856353625100772,-7.345994562113102,-99.11312943701476,-98.01307065292212,-63.00373792948962,-65.67202228330669,28.66571721183932,57.661584145005286,-28.761462388204688,38.97029329990949,153.78270800920816,180.4314004308786,140.03536999980878,139.85610605954554,4,125.58799189297076,-186.16451965456477,0.2245652958182179,-17.17458928932192,-180.22325330199513,0.18103974024509642,-98.29212740101151,-65.28466031017219,0.11799758124991905,-91.6538496380645,46.15535859409261,0.10261941960674995,-41.29573474199144,-7.303405013608507,0.0419365882335905,9.222996816767896,-196.82890460518345,0.1970448714337892,-36.7262711502168,12.95334064930202,0.038943651941954635,-143.2932784340634,69.57034039491971,0.1592890326012655,-125.3949591504529,-70.9235917719607,0.1440626657055168,-42.980822392796604,-201.174959425561,0.20571513165889682,130.1754135520666,-192.7019702648046,0.23255039805897817,-149.35761741637143,65.06522647159294,0.1629146450632811,-5.1041533709096445,-23.98219536437811,0.02451934085837071,-87.05752008891709,56.870268349450555,0.1039867262018125,-51.216914973801906,18.98904906844301,0.054623771052147156,-0.7258925582456303,-213.29742139828332,0.21329865657139746,-29.82054695960954,22.23587615314101,0.037198107603319056,-114.17061890792559,-63.58254183090241,0.1306815589419457,-47.64861273362609,-205.3293592505958,0.21078552148024612,17.69920444317079,-177.17340174191824,0.1780552614294908,8.552593457062864,-195.68131403991885,0.19586812788003855,-21.040976217754867,-202.1647473259477,0.2032567532495794,224.2103427247336,202.48059099937953,48.39918973124886,86.83029819573485,172.31308694180842,184.53260077768743,120.6653220744949,36.109391507525146
6,0.20125786163522,921.9953372753844,536.1091474343746,918.2525240528516,536.2954710048695,978.1789085328364,631.719533211277,954.691606879765,739.0689729099812,990.1660087557544,761.6267355846339,980.0423692619929,764.886405873059,942.5715999292244,753.182129796336,922.5704480811105,533.647921695587,975.7996877184459,629.4172500112851,955.9350357080693,734.151144785766,988.5114136342104,759.2203213768355,983.9664097399896,756.0620632330384,938.1773186137415,750.9946729400513,1003.0305139709955,414.50842011645364,1056.998360656876,368.91993132134036,1049.119756848785,393.7107327913359,993.8488207334352,422.8000148003514,928.3472405173711,397.1042178473726,868.7122017459011,358.7598728613996,990.2046915582604,418.0754984123679,926.1281318002214,395.5210410585505,872.3654052686961,362.4687887834076,4,1,pure,person0,44.46011617931962,40.01176759245881,1.578039902549993,2.34790850353616,62.76995287479334,65.70486960954608,-80.82787542539165,-79.71915575176784,-12.946047226979966,-14.200646173348888,-10.094358639532247,-9.349688166129342,-102.44030011063334,-100.92700819833354,-57.98222108695135,-60.91665703722279,29.96760733200032,56.324804820345896,-25.955883777040377,40.04479213959322,130.6045861825381,154.91603023357231,117.25318670710703,117.51118138192174,4,133.8706561577751,-117.4172597960829,0.17806786761831592,-41.758222268571174,-142.50087278586824,0.14849325867447855,-99.44455018960205,24.00081354898807,0.1022998417077249,-82.86192654730547,281.76143542543554,0.2936930461623716,-41.33170925160018,63.046726248416576,0.0753870007382015,-25.917395873381142,-154.66121437010804,0.15681773700475998,-38.297065374582004,114.86867149940736,0.12108458575864958,-162.66100973063067,475.06589708206087,0.5021416241031723,-125.89760676173559,18.379526600973307,0.127232127964632,-71.69615757031222,-167.73554511161512,0.18241587678773388,130.57600467083046,-122.10480166574132,0.1787726925053901,-162.61978538487503,459.61574210480313,0.4875364858030337,7.7356711380572305,65.54332584208406,0.06599824369176634,-85.84210722942028,298.4388961551262,0.31053927627898775,-49.277837089443395,133.8472075646859,0.1426302219064313,-11.746540288477288,-187.68489986236767,0.1880521279993816,-32.62604302736612,129.44661007166215,0.13349488208417762,-108.05037410524237,32.857059523844995,0.11293568835773891,-48.085855746608665,-195.8048608942067,0.20162289818540774,-9.10115193416667,-149.78028577565607,0.15005653925626164,-28.155538687062098,-152.73438531224176,0.15530784531203498,-49.066407077883916,-169.060261775483,0.17603659964657195,248.90939476548795,228.6280904453269,27.10715892366316,92.10028417087703,181.81714350084994,189.7760046158669,114.30702590729724,44.458079023682
7,0.2348008385744234,918.822945813212,540.7894622430498,914.4653377816167,540.4823664510988,981.9983698498806,630.7874387981266,952.0910396522304,735.5936669725116,987.8403007887664,758.9280713972014,977.8330413707392,762.0974014787705,939.2598432917612,749.6970072789503,919.4013458789843,537.9682506441145,980.1280857113854,628.60114096663,955.221529187827,729.8910420260149,986.5453797242349,756.6061920488307,982.9136879155295,753.0705719908971,936.8179518344696,746.0367209822748,1001.5658088693835,421.6291904774166,1054.967681494953,373.45377926649707,1048.9474844297094,398.8656891164529,992.3150799830704,431.1776853333504,926.3591001190028,415.410571545131,864.937906771382,388.40448183660607,988.8083193134266,426.06100547095383,924.2519729869514,412.8905643226109,868.5131993290992,390.7759280335507,4,1,pure,person0,52.86156810005302,47.95557128906453,1.9452620198536337,5.3290314256724765,68.61999869038952,71.53353300419012,-72.52524633039903,-71.85067087129228,-11.470200468666604,-11.463815711641638,-10.764584583510397,-12.152981632469825,-106.09256636175232,-104.10039046404052,-53.232853501488385,-56.14425351832943,30.401858001289344,55.25555334693957,-27.022167227963394,41.88225497306406,89.73852335767965,106.54769429767502,77.9859076155335,78.94818218333924,4,129.0403651645117,-24.33025089378079,0.13131403942589248,-58.61238594114502,-77.93373059114163,0.09751450225256948,-94.47885940088669,128.7998067779764,0.15973617342273033,-55.932984620610824,517.8289123097992,0.5208409365559885,-60.53962251482633,135.16534186498419,0.14810373234903879,-65.86558775800142,-83.14719350472336,0.10607417894294019,-43.66652084180458,212.28796638620847,0.21673242884907587,-112.52116892785013,883.7799050733419,0.8909141002747318,-112.90549071119256,124.82182049071078,0.16830964530694734,-98.73174475437126,-103.90021504955926,0.14332903442634007,113.86769051438145,-27.788064692047822,0.11720933189131481,-114.84388957423232,843.90658889489,0.8516850648876892,-5.135871493690747,153.68213544255127,0.1537679288089112,-59.27143562635679,545.7581696144215,0.5489672875336863,-45.72464612024815,249.75930276503172,0.2539103238950648,-21.271413134725908,-127.00431352507563,0.1287733228224072,-41.629347549107564,238.06792918409224,0.2416802463656605,-94.57692046601476,139.53188523363085,0.16856435234558348,-40.52612210704173,-147.8089427412112,0.153263988357701,-31.38426939171472,-89.1838326563396,0.09454484847164178,-69.33516876583127,-80.45392608783054,0.10620828522640033,-77.52941047087349,-103.60755826081186,0.12940376971606626,250.46828538686407,236.8246477050576,10.94780937211477,88.87472711618878,174.4044908774609,173.76702745282512,108.48840684842796,52.85971286026393
8,0.2683438155136268,916.2413569328039,549.3045410798264,911.5015374213492,548.7068137243318,984.782909707944,633.8717688908539,948.713632638184,735.6056966212922,984.3515565992512,759.6931819345051,974.529136677838,762.7326005381661,935.2625179221997,749.5646961618831,916.7269252010788,546.2658787919406,983.8733541568868,631.7326285676402,954.1773554225899,729.0545217584378,984.4184521004443,757.1632591249728,981.4652101067776,753.3201247238716,935.7308373490212,744.3606481758601,999.653060491936,431.6471242364057,1051.4822224623533,380.396003879376,1047.3663939188364,406.80024253363166,990.6899252432601,443.01694334961127,926.5519075002846,441.4041653370597,866.3020245673839,430.2746833763686,986.8828465580284,437.4145095398832,924.3486854337239,437.4616999021302,869.504163893844,430.0733500432745,4,1,pure,person0,60.49784175482581,55.49455781991765,2.320544848666311,8.045177351669349,73.54531854671073,76.10799711155207,-60.73166214335125,-60.4978646937282,-8.989706783680871,-7.624833040350319,-11.659662455756717,-14.938314874547183,-109.70669858387208,-107.26654776099164,-49.209058735408085,-51.76699246559001,30.704442870565583,54.71487549000299,-32.331764172295706,44.57405976955228,32.52607079062876,41.6232763117723,23.380697404399857,25.135568067830693,4,111.65581553150984,93.3574741051141,0.14554256804555019,-63.409029784258124,16.607562207486783,0.06554781598693031,-79.7311664600599,247.3730391570683,0.25990475064316587,2.883239819403698,732.5269794644181,0.7325326536852267,-103.91024740938417,206.96507127145236,0.23158557865954604,-98.49765865711709,18.936871958233866,0.10030151484646928,-57.023811002653005,298.6596501898631,0.3040547675547905,40.66776179330582,1248.2553834041687,1.2489176790512517,-88.35829824047308,245.19133433326238,0.26062612935022084,-119.17026258005342,-3.9445251775638046,0.11923552642679662,83.01409451851423,91.95159088943404,0.12388072875078941,29.54313108645401,1171.5543936648899,1.1719268295887328,-47.13626085540346,236.5488737496412,0.2411994957698965,5.748070054463686,774.9340149218729,0.7749553327723376,-48.449925680597424,352.9578796097778,0.3562676803712144,-31.129430376128692,-24.938760477144953,0.03988713087799937,-57.403156520309615,338.4763400549567,0.343309416060052,-76.96361849716486,253.85578782140223,0.2652662051272305,-32.40960059743051,-49.967920541237774,0.05955816731650178,-43.182744673419364,7.439790851800638,0.04381894482353797,-104.0081861499209,22.809857893365322,0.10648000940698736,-100.6889466062591,0.3586339042702596,0.10068958529537893,227.6564083329135,224.75603595105852,11.188119333977932,80.97510041878168,146.83609821657592,136.37621120072794,103.92393422541107,60.497639848464
9,0.3018867924528301,914.2316109899064,561.7528295067417,909.5496917775013,561.1643443168034,986.2550451340628,641.6928498182441,944.9681930981736,740.3570823119858,980.356919299218,764.8863301721701,970.8080219526032,767.7531986236187,931.0159973484537,753.979102997112,914.8543705574288,558.7398028017273,986.5868161951295,639.4760596334698,952.7621612389048,733.0308306149708,982.5697928907182,761.9357925077184,979.9506005667688,757.9199851125255,934.6499267307756,747.5666281119741,996.9331985249504,444.0054248630549,1045.7610116619642,389.5642787181192,1043.6379015500283,417.1853475618522,988.4587899653482,457.500746460463,930.3063203403565,473.2341977366786,876.4142766464684,480.5521392203101,984.2322716450955,451.4789365371338,927.8366128637227,467.3129357875197,878.969983396359,476.2468971415567,4,1,pure,person0,66.61264784151057,61.83573289226091,3.156699849671443,10.396535975789098,76.83453207052544,78.84436860362835,-45.52208342262681,-45.43003000946571,-5.55869933091974,-3.15445359277778,-12.46023175090351,-16.92515680271926,-112.86445711714448,-110.0979429892575,-46.247874056483425,-48.24974318694281,30.95672979931386,54.94302135780376,-37.634376541988914,48.157403985764155,-29.215028014390672,-25.65265261678946,-34.83471279797502,-32.27328581794366,4,80.8950870151085,230.8510386500497,0.24461442547198378,-55.11315268995609,142.2811514731011,0.1525823897569374,-55.82553531381546,371.87885954176454,0.37604571074160315,103.98383650684309,889.9399698331756,0.8959943014112062,-170.56359698659747,273.32919363003236,0.3221812978859111,-110.93573274606382,149.6765804225534,0.18630570449370357,-81.08588489075805,368.4318374319785,0.37724917436890587,301.4715151077037,1498.8966523475071,1.5289134209757917,-58.18939825721802,371.39013078805885,0.37592104931262976,-126.59939460480186,131.60450377526072,0.18261202624207132,43.888037391166534,233.16597514782052,0.23726047246155962,282.19974391872915,1376.548872867539,1.4051773891081114,-111.15567874509225,309.60594365382514,0.32895505052067175,111.92843279464152,948.9328409136393,0.9555111253315132,-66.51572047274725,431.7983802422676,0.4368914994021451,-42.19047660111466,118.54370778539001,0.12582784656560383,-79.02026459181417,419.2957298555332,0.42667682300688026,-59.915550922634765,371.1145987274113,0.3759200960722509,-32.224647806445674,95.57827684539673,0.10086443838630522,-45.154296911512844,137.13333783674776,0.1443761160158447,-119.09012450724117,154.82073183538898,0.1953251564985822,-111.66091628655975,141.65068590380503,0.18036927965419314,182.2976564592895,189.04628184423342,24.927870967465523,70.09987898157007,98.05967817872609,81.57807510752438,101.19089541428718,66.61658306066106
