Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,Head_vel_X,Head_vel_Y,Head_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,right_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,944.2922425574828,600.4805631127973,938.3157466782834,595.9993472143714,941.3043689386118,700.5219642210815,924.8753146335166,808.0354096842422,965.1930760414991,827.4461124407364,954.743146980765,830.4341042974703,917.4098580339146,827.4477730381386,956.2376612658015,594.5048456268319,947.2792679173342,699.0271369272494,929.3594609904004,803.554781031196,974.1566433269247,822.967047904464,971.1700465534208,821.4741157199531,918.908425331678,819.981134145891,944.2909262837727,437.7172140897625,966.6925148772626,367.5346669682787,966.6906486528371,410.8348046109049,920.3989310290088,460.1144252061389,930.8521597176992,531.7903545266977,977.1443701357858,585.5450574474746,951.7561476449854,464.59457630156606,953.250125078888,528.8051167064699,977.1456345443612,585.5480939735492,1,2,baseline,person0,10.32589528077166,4.829337419221098,6.634378734181845,8.689816128177112,-4.89913993783178,1.6373271936274951,8.297037103359772,1.332355649629121,32.43651762710034,21.50408806310327,-1.2436825855764326,-3.0936270709804377,-98.68809641819038,-99.72800577911076,-88.36220113741867,-94.89866826887796,4.765417222920122,90.00047166895378,-8.131300372460489,72.29729021568821,-81.70249121523653,-88.66717266896718,-49.26597358791955,-67.16308460109161,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.36267280637244,10.325895280771718
1,0.0334733893557422,943.9587359715304,600.4833065826462,938.7124152698964,595.5501844100535,941.2456011750172,699.8982856085619,925.3400398960068,808.2848543510903,968.1571894649218,826.6173643593908,958.1270634346544,829.6718692237358,917.5379986703605,826.0735428388895,954.9242857243252,594.8260053971383,947.0382289342894,698.7612662285702,929.7951366632033,803.5492931581664,974.2427110088335,823.6094370315041,971.0264193323308,821.4599803235069,918.3977891409406,819.1262844622341,944.4309219415483,436.6912555149669,965.6499567813688,368.1411175924822,966.8750344468436,410.4738032401511,920.7839448171886,459.6607756651723,930.6603053547044,531.7666801664992,977.9568201151576,585.4306179765706,951.7503266397321,463.6613109834145,952.911084341262,529.4854949690279,976.5992813355911,586.5745797518208,1,2,baseline,person0,9.741994162581893,5.012193910198045,4.781932142987207,7.782722354042413,-4.169339459829835,1.5534999268238754,7.96845528558129,1.1842269661189773,33.57918861923063,21.516761908702588,-1.3116372214082974,-4.563237578094876,-98.35213049919038,-99.34516971743858,-88.61013633660846,-94.33297572326218,1.625750503911453,89.83636373656758,-7.346065969592359,72.82121202886253,-82.19518098424122,-88.97940930370352,-48.61599236474441,-67.46264737567815,-16.32201636242262,30.665725760920058,0.0347389544255314,-1.7556562011103976,-18.632072357278705,0.0187146052329021,101.09273422916353,-22.77137416930744,0.10362565510281174,-9.963334827198345,0.0819597268653386,0.009963671927341412,11.85026671178333,-13.418503861214067,0.017902096721161376,-5.731548752227716,-0.7072591289413147,0.005775020915514844,24.27151821219523,-3.418819339979032,0.024511118334428143,4.18229705655527,-30.649975832805683,0.03093400438386281,11.502085554827197,-13.552542771971442,0.017775527775474906,2.5712269825433487,19.191039192741812,0.019362520329056113,-15.254989129143489,-25.53818720213507,0.029747499036080018,13.015582861137547,-0.16394733653173826,0.013016615379748044,-39.23640738971257,9.59448016731391,0.040392446255859166,3.828134494658139,-41.05440846292615,0.041232500141878056,-4.29078811122306,-0.4222875758415108,0.004311518225883228,-0.17389948748562248,-27.880813270302426,0.027881355591958215,-10.128664714012794,20.32594474754739,0.02270977496077927,-31.1458778438573,18.11739521679089,0.03603200960404343,88.55133825622416,-24.758415484550248,0.09194736888173498,5.508429159858899,-10.78472714302116,0.012110042582856641,13.883424159748975,7.452028959397394,0.015756973123388862,-7.200913552050859,-7.942748069332548,0.010721026204472949,-17.44374051830521,5.462742031696264,-55.340873059120305,-27.09895208084423,21.80240758549752,-2.5042957530453838,178.44650007317603,9.741994162581918
2,0.0669467787114845,943.6983018733656,600.3999295306699,939.0248051688002,595.0690717089572,941.2400164780602,699.3164144247608,925.6971267405628,808.4081397498327,970.4871489634436,825.8937737048536,960.8217718628952,829.0089480198069,917.6271563998145,824.8887968260043,953.9012887989036,594.9800698697594,946.8798128338102,698.4157929949912,930.1570794056746,803.4683436066426,974.3188594879304,824.034215889173,970.9204707423388,821.3987715390014,917.9734978209788,818.3775653279207,944.544139530815,435.82237695622,964.80897343398,368.54938941119406,967.0117908394028,410.132750900834,921.1543583520794,459.181708725475,930.5228077278406,531.7120368648849,978.6271866552477,585.3024846878678,951.7430948132788,462.7819364599737,952.6414488316398,529.9284753975137,976.1791589061576,587.3466028543447,1,2,baseline,person0,9.328358346586167,5.167786558665626,3.33340546421941,7.058587318596657,-3.5843877548702388,1.5099250694481263,7.659942706369873,1.0668469786053667,34.53991137062846,21.5193154757911,-1.3932164555764086,-5.711999527340413,-98.11166399613366,-99.04540504458062,-88.78330564954749,-93.87761847386584,-1.122583707542555,89.70676928100428,-6.697031025925519,73.25360062112885,-82.63328806047852,-89.22638378824301,-48.093376689637815,-67.70706827051094,-12.550937850020402,23.063786410127893,0.026257651922574395,-0.16683990072361748,-17.383097290126482,0.017383897921653707,80.50300492736179,-19.804424251267072,0.08290325097521213,-7.780332472370586,-2.4908458205457777,0.008169325938065793,9.332484845912948,-14.372990317270155,0.017137039536032368,-4.107669689573671,-1.632440056594867,0.00442015959180409,20.02684977507382,-3.8279149846765557,0.020389400311026453,3.3823162651236878,-25.95729250817097,0.02617672816973254,11.065910623933066,-14.311874265435415,0.01809099563115605,2.274895986411943,12.690046208183722,0.012892339761068634,-12.675481274172615,-22.367592548107506,0.02570947338881244,10.812850130734537,-2.4183255141393585,0.011079983133654278,-30.56149810673813,4.602595541902862,0.03090613292294108,2.6635405368250593,-35.39366749790954,0.03549374800079429,-3.1651587135691948,-1.8285804241407255,0.0036553982067120505,-0.21604703295440283,-26.270853963881,0.0262717423158802,-8.055219827207852,13.233808616688279,0.015492587161858262,-25.12393765839349,12.196907052731827,0.027928064471348924,69.60632142027386,-21.61689235730375,0.07288573260144768,4.085525702395213,-10.188760262443394,0.01097735651012927,10.66778272020981,3.683086807618171,0.01128568635919225,-4.732598148206319,-10.320832166332561,0.01135416495555753,-12.35715366614845,4.648248996060799,-43.27397693055261,-21.633155452228863,17.47512624858374,-1.3017760739031312,178.49007493055177,9.328358346586171
3,0.1004201680672269,943.5415503768504,600.214814664404,939.2274691873899,594.5761454387685,941.2684841313976,698.830743166908,925.90442771119,808.3975155364716,971.8898488109656,825.3605411372286,962.5133632159497,828.5121616242307,917.6663848943992,824.0215495017572,953.2992325491983,594.9062257656088,946.8366326469531,698.022787471072,930.4134358049098,803.3006487269367,974.3758258531183,824.1879490759626,970.8639449148966,821.2949494188289,917.6955728464966,817.7981783433786,944.62037100647,435.1967036258611,964.2626301455164,368.6981797040258,967.0795287538933,409.860786747951,921.4972300925151,458.7085597618169,930.4707663918143,531.601419848263,979.0906373358772,585.1802437434735,951.7351972395104,461.977450642056,952.5154479955767,530.0490108724845,975.9741984352124,587.7361618960595,1,2,baseline,person0,9.104726178492246,5.283724450576399,2.4389296901588455,6.578077386750899,-3.208823019470174,1.4955431641268595,7.397323936762822,1.0301079883396456,35.197503864085895,21.475456420999897,-1.4879973944127165,-6.427819039936378,-97.98338460011932,-98.86674888572746,-88.8786584216271,-93.58302460522413,-3.1480375587956777,89.62579841424593,-6.156914853646395,73.54981117104867,-82.97687776600775,-89.34409371443091,-47.77937390197894,-67.86863722411212,-6.123086872588907,11.6378726269604,0.01315037155865281,0.850456254515276,-14.50917481618867,0.014534078219397598,50.53540694898937,-14.841233742316863,0.05266962667889386,-4.682868975390505,-5.530209812296089,0.007246549689934574,6.054481559545095,-14.725914515257662,0.015921975545313084,-1.5547076955110246,-3.3046255174895696,0.003652076919962723,13.845346693285457,-3.6518842802308007,0.014318864614677638,2.277375465176055,-18.691663509466668,0.01882988910643166,10.243113919295135,-14.135077826437893,0.017456282763610182,1.7018403658619474,4.592698550955401,0.004897871028398458,-8.302863254405509,-17.308883136528856,0.019197264744107954,7.658513349535661,-5.009796824687159,0.009151551286512112,-17.986115576967556,-2.2060539901047873,0.01812090030200741,1.1719307587264123,-25.908560230643516,0.02593505185898289,-1.6886795311184324,-3.1016315398801386,0.0035315374510257722,-0.23593588580075395,-24.033593054110277,0.024034751108193034,-3.7642090773685735,3.600934273186758,0.005209222362114619,-16.321719998452,4.445032179156603,0.016916171398446093,41.90492431509404,-15.930044070472237,0.04483067014824726,2.0236347676256594,-8.124786826713791,0.008373007742280269,6.193008076476511,-0.3173928175682065,0.006201135963349553,-1.2899854985733095,-11.740834480266876,0.011811488343115486,-6.680894059374866,3.463583883861562,-26.721995928001718,-14.354982901166101,11.21980004500608,-0.4296518995558359,178.50445683587304,9.104726178492228
4,0.1338935574229691,943.4734272373968,599.9780061868721,939.345651433377,594.1234440879789,941.2806410096316,698.4831007379295,925.9911756386764,808.3258302141774,972.4665495202648,825.04663263957,963.3077312677581,828.201704036709,917.6739390222704,823.5003104859767,953.0779352144848,594.6462507478735,946.8765346978626,697.6914452727513,930.5690725567114,803.0957851426523,974.4029909686061,824.1627986751336,970.8386166196984,821.1901636271353,917.5644807892984,817.3971994774672,944.6633058112808,434.8118021638765,963.9679134557496,368.6571628814948,967.0883083603944,409.6929193665816,921.8001902508169,458.3109023616227,930.5071125520325,531.4414168255846,979.3559539866816,585.0983463811416,951.7287302051784,461.25236051331683,952.584929065248,529.9021264126787,976.0045443675812,587.7489189138809,1,2,baseline,person0,8.986407061396147,5.3516026363979625,1.9982236891324,6.29765984324117,-3.029840931818882,1.4753052603294798,7.204944182141641,1.1213369503452095,35.52321034081412,21.33402098805251,-1.5808636240439615,-6.796220435212887,-97.92410315976744,-98.79444442682428,-88.93769609837133,-93.4428422905197,-4.276557593476609,89.5869986412991,-5.60083883851128,73.72907229607111,-83.2080573846372,-89.29166461643364,-47.68484704449531,-67.9576435380491,0.9065688582154373,0.38110923533178054,0.0009834181938225548,0.3631803790399695,-10.38563574437701,0.010391983920436032,23.73133008331485,-9.274758053995109,0.025479347803336563,-2.0351431619189952,-7.07452941245704,0.0073614383171514385,3.530632788064443,-13.524216086352666,0.013977474329596028,1.0858225270171644,-4.780006618927314,0.004901782720313792,7.926196178843537,-2.4466408663198624,0.008295217742426073,1.2826548382798524,-11.498729868494246,0.01157004719189876,9.050776277296727,-11.879806850990144,0.01493473675825957,0.811543617502753,-0.7513550707930181,0.0011059554627180228,-3.9163066460045135,-11.979033902122863,0.012602964372469995,4.649566560099082,-6.120192434270323,0.007686040894328582,-6.611142133283295,-7.766617684645642,0.010199389715366504,0.2256756192461111,-15.57174298189432,0.01557337821345443,-0.7566695720296219,-3.130420722558505,0.0032205718034937834,-0.19319926832646225,-21.661688364843876,0.02166254991391582,2.0757106169620223,-4.3880964142793015,0.004854272829825258,-8.804506966254214,-1.2253561208003676,0.008889366712066834,17.228632068602582,-9.377852189464804,0.019615551856696032,0.26228615237387903,-5.014950221663985,0.005021804431824754,2.591548963401817,-2.1415615112152384,0.0033619059677551253,1.1920529016455539,-9.898674878700616,0.009970193301764026,-3.5347217408625653,2.027825300276012,-13.165861285894687,-8.377327450458052,5.346996258703884,-0.6045967912690008,178.52469473967045,8.986407061396108
5,0.1673669467787114,943.4557543075122,599.7488603351844,939.4132072195229,593.7656545746611,941.2607210788564,698.2876110891912,926.010112052675,808.250655620568,972.5235568063232,824.9271834064374,963.5167063778429,828.053119408354,917.6736555537798,823.2638686101933,953.0994076283496,594.2978280850465,946.9379919201336,697.5091035669539,930.6387823666142,802.9229237540718,974.3858548687544,824.0826137857038,970.8093772455139,821.1168004353748,917.5258018524632,817.1483355359711,944.682993627012,434.6106198036152,963.8206262269308,368.5431216551917,967.066781185726,409.6223898898094,922.0474603559776,458.0516741722,930.617916495484,531.2794520137796,979.447349086924,585.0788985801797,951.7282745260742,460.6416529246519,952.8280367906442,529.6021262476322,976.2032029573212,587.4737097457427,1,2,baseline,person0,8.90788321661942,5.373358649872051,1.8235268275810208,6.1418764706086595,-2.9896387935373445,1.4389953733173448,7.102029803037645,1.3332779913355126,35.552051292505375,21.088283505687414,-1.6671814666046858,-6.965744023777426,-97.89516268443174,-98.789271311859,-88.98727946781237,-93.41591363466708,-4.540317745990139,89.57372515887029,-4.976351825498139,73.83866036655301,-83.32424533075694,-89.0929971424591,-47.772194039974494,-68.00471355457996,5.934821467546364,-8.221729960278342,0.010139967918656729,-0.595097513535683,-5.840151012519252,0.005870392227070181,6.243022117176955,-4.438888060482825,0.0076602253471459705,-0.5279695371393908,-6.8456124730151515,0.006865942175903304,2.0181937785820003,-10.688774581961967,0.010877637987720647,3.310209858761243,-4.838614043043905,0.005862565578872599,2.730380818955982,-0.580992882291495,0.002791510728225152,0.5881631979963623,-6.010217791906238,0.006038928204046112,7.387065066309813,-7.744306579406186,0.010702477035234822,-0.5119320206728928,-2.395481634009664,0.0024495727490049853,-1.1555130083815044,-7.4346800932321715,0.007523940350723257,2.0825441117417585,-5.164143575167158,0.00556824647822728,0.641477133867207,-10.408944822529712,0.010428692402777186,-0.008468472898184552,-7.063577376960807,0.007063582453355077,-0.8735110111998251,-2.19168698397611,0.0023593459522540648,-0.013613174912908614,-18.244569803628718,0.018244574882359196,7.2627161478181055,-8.962348026912146,0.01153562863476776,-4.40012892789364,-3.4069219908121737,0.005564912580945546,1.7030628554684295,-3.5684833663870146,0.00395404813145428,-0.6431130842362424,-2.107031230766715,0.0022029922937999926,0.5657154642270966,-2.2458016668246055,0.002315957493819318,1.8360023724481025,-5.447363093697904,0.00574844930274392,-2.345858793748257,0.6499495238702561,-5.218977370196012,-4.653946780736916,1.2010178549379862,-1.0847388839608534,178.56100462668266,8.907883216619368
6,0.2008403361344538,943.4498160803098,599.5612601557028,939.4338287942552,593.5431266829038,941.2228860840276,698.2380729831006,926.0007345126436,808.1907827039979,972.3603565200484,824.9615072064515,963.4543012015868,828.0186613828012,917.6819217572009,823.2141658910928,953.1909685479616,593.9723335540886,946.9720577613668,697.500800445195,930.6370589987312,802.8352266937574,974.3217187418117,824.0384805145908,970.7540800979378,821.0842325481171,917.5149815244192,817.0237267877562,944.6935620938496,434.5227932433532,963.7579291653664,368.4517735461201,967.0447336381036,409.6341354244237,922.2200779124292,457.9477973942719,930.7857340325236,531.1642779340825,979.3835627849533,585.1251044736782,951.7416321544096,460.2156622836497,953.1510673181953,529.276135804257,976.4476398669332,587.0509571510919,1,2,baseline,person0,8.860159904228722,5.377471009825398,1.763748319680374,6.036501200298743,-3.0052385698324784,1.411087094638295,7.104620058211584,1.597770740474248,35.33395250246985,20.794332977613657,-1.7648430660990302,-7.051249476975292,-97.8813630506239,-98.81499833896012,-89.02120314639525,-93.43752881086606,-4.1245500311532055,89.56770975896669,-4.385765292843739,73.89787881689386,-83.32767048910033,-88.8345198068377,-47.99371798977255,-68.04018682047528,7.302424831085186,-12.629512660277411,0.01458869419961077,-1.1303006823328643,-1.4799250104036017,0.0018621916305526236,-1.864322001957406,-1.0294154914099183,0.002129646163318497,-0.17740143190453328,-5.60445724476097,0.005607264241713199,0.616058759787156,-6.647904381370559,0.006676388324487751,5.013461148381146,-3.4407653934641282,0.00608059694266834,-1.9055824103408043,1.3803769020076126,0.00235301608880951,0.3157274193312054,-2.6237725534342933,0.0026427005535006524,5.1568592178425545,-3.103264411743634,0.006018591778966429,-1.9160332484161604,-1.3184583922451238,0.002325836611010709,-0.32325164114721194,-3.722621180979173,0.0037366295080699585,-0.05148471416357267,-2.61990381022988,0.00262040963413157,2.73533458589954,-9.72397887464427,0.010101377156177581,0.24694850388029935,-1.4848427379827054,0.0015052380277247501,-1.651973362734521,-0.9729485984098005,0.001917197164177956,0.39905216031039054,-12.72624760148943,0.012732502528610148,9.650368061565553,-9.738793998740961,0.013710350552542317,-1.8730419228852129,-2.7289769823073153,0.0033099246841655897,-4.875523196661722,1.0254055736433811,0.004982186571340484,-0.6586589540738904,0.3508917035386573,0.0007462952534982198,-0.28014910386649716,-1.7886720682435815,0.0018104781932163593,1.0176991899799273,-0.24805141991093735,0.0010474927914814651,-1.425708997780672,0.12285460279037337,-1.7858516586218265,-3.148031087919663,-0.4660351579383075,-0.8337452291565504,178.58891290536195,8.860159904228652
7,0.234313725490196,943.4280474046291,599.4301825324395,939.3894225507544,593.4624713103125,941.1808232590005,698.3158397122268,925.9855316916633,808.1592895429471,972.1681813312608,825.115936271103,963.3389228030268,828.0666516910806,917.7144949240376,823.2785343424805,953.2077588760307,593.7540562412396,946.951939705659,697.658511073015,930.5777852859223,802.8553823114127,974.2347826056188,824.0806043615611,970.6846976837842,821.1042945892143,917.4912087139724,817.0170250797169,944.712918918076,434.5003322882713,963.7823905026296,368.4268684895069,967.0446800352393,409.7284783041339,922.3114611258518,457.9678342165729,930.9848633288842,531.1169794467061,979.207824988266,585.2290074119264,951.7792185517671,460.0291733380502,953.45719409229,529.0407622043244,976.6373032501964,586.6466726865023,1,2,baseline,person0,8.85379329910137,5.40125242550512,1.7431043058892906,5.933608036789892,-2.9992794545149644,1.4249718807393892,7.208442145324634,1.8394210857749749,34.94693929306254,20.522073361795368,-1.884626795181868,-7.1042189224884,-97.87561489910644,-98.84732361438118,-89.02182160000515,-93.44607293525952,-3.265030213341611,89.55320651925608,-3.995183961083992,73.89501804138135,-83.2383514744827,-88.6073725340324,-48.29141218594626,-68.08529934712014,5.666094378658122,-12.077786933765296,0.013340823165205844,-1.2566048983011453,2.3232403596692386,0.0026413068052065602,-3.4468693126298247,1.433685360313453,0.0037331436847148434,-0.65032780067062,-3.915875439750742,0.003969509630668271,-1.3266132995628137,-2.4095370723921072,0.0027505947992768516,5.9488835816504375,-1.4130175726670648,0.006114395679762314,-5.25007476295729,3.104045937622114,0.006099047974848976,0.5782749999010532,-0.6710092857104506,0.000885807787852541,2.7300257064328917,0.5985895867329878,0.0027948792194171074,-2.5971716000699288,1.2584278969346452,0.002885990487162622,-0.7102002786214906,-0.2002100225997307,0.0007378810804617689,-1.7707711692665704,0.6021385358088586,0.001870347922235789,0.5016022695091931,-6.5209205595881325,0.006540184231444553,0.9731063230677152,1.9229738197024029,0.002155171507619572,-2.0727633349671626,0.5993429850785944,0.0021576746410307355,1.1228739629014404,-5.571259713724835,0.005683289605003015,9.145377267936905,-7.031663194640462,0.011536126414692168,0.7307696571514579,-0.7440255406614733,0.0010428798094554602,-5.741133254992328,4.613487538123197,0.007365112240556612,-0.001601357538064785,2.8184441888324794,0.002818444643754696,-0.45417632552450976,-0.9408417150734355,0.0010447292795213836,-0.6010163922744194,4.711522521487723,0.00474970158791777,-0.1901989983652075,0.7104573554527922,-0.6167291149302784,-3.0738794454108915,0.17802545341862044,0.41480072285277425,178.57502811926122,8.853793299101284
8,0.2677871148459383,943.3777940945755,599.3670504054816,939.2902111579904,593.5059435731171,941.1404754458224,698.4934952676394,925.9705422047272,808.1756480556195,972.0281449373228,825.3628720908762,963.258820285208,828.1923650614467,917.7848256259093,823.4270455288853,953.0941256287856,593.6819579013347,946.8695153653329,697.9625503402456,930.4740394509514,802.978874495911,974.1587210516492,824.2238422795674,970.6295379228884,821.1982398000081,917.4440935068247,817.1294145605538,944.7595510330972,434.53931511252944,963.9076755013632,368.47661531231654,967.0832408773192,409.90905159624805,922.3374581804388,458.080080406152,931.167738972773,531.1480908948184,978.9944249985176,585.3870474346717,951.8507884243892,460.0760048539364,953.6888902428934,528.9833113736405,976.7364303801169,586.4055720133692,1,2,baseline,person0,8.882915432800328,5.456273552531787,1.7388819202546717,5.826428712946087,-2.936772552138129,1.489168203602872,7.371019682664165,2.0109077244596456,34.52485405251924,20.327788113770513,-2.012314768062506,-7.134753502487607,-97.87433754833404,-98.87363517780624,-88.99142211553377,-93.41736287127468,-2.173223301735911,89.51940968086451,-3.8567457148084103,73.8295205495713,-83.10957027956418,-88.46968223776874,-48.58471623196541,-68.14189462941472,2.961371161639919,-7.202756511172909,0.0077877737843517454,-1.2053698162822866,5.307366801869379,0.005442523198259204,-2.393020825213123,3.755621190018153,0.004453227952038506,-1.5012913547358508,-1.8860392739743639,0.002410605707032644,-2.963888470021691,1.29871111474665,0.0032359365603012074,5.463314214922362,0.9294382406770073,0.005541809961935317,-6.3752130828584095,4.721363022597799,0.007933133721487547,1.3931100470770224,1.1645914862051303,0.0018157722690382782,0.7766484089991365,3.353296207509892,0.003442060168925162,-2.2722991436929223,4.2791578852091385,0.004845052693725336,-1.40754217169037,3.35757695889365,0.0036406727400276413,-3.0993525593837785,3.6892644239260144,0.004818366764475793,-3.394733829829828,-2.15390019632053,0.004020386030109635,2.101092934579841,4.436694020625384,0.0049090574810644015,-1.6478690075135625,2.80656403793897,0.0032545773865397688,2.13811251264121,1.399067043629335,0.0025551739097921765,6.921801319280487,-1.7163135191750114,0.007131413997216541,3.742823811540977,1.4861603132244927,0.004027083629730285,-4.18351402810604,7.377078465190915,0.00848074739070464,1.15198498933503,5.39453265981284,0.0055161627997585986,-0.4478030825235477,0.48870201037878575,0.0006628402942382563,-2.462384058281724,9.083014092159498,0.0094108703236655,0.8700085130148622,1.6437273931815841,-0.12614156247355057,-3.2019262437019425,1.8673610166134087,1.917831570063877,178.5108317963983,8.882915432800274
9,0.3012605042016806,943.3040781312966,599.388503741935,939.178262893075,593.6581131143064,941.1041198512364,698.7364961745952,925.940620845548,808.2469478434883,971.9433004049258,825.6637155662604,963.2007072179056,828.3926870779954,917.8880544896057,823.6452510105532,952.885921527592,593.7568624394454,946.7383454715196,698.3552237706904,930.3417644668953,803.1726144247674,974.1162382477512,824.4463827929425,970.6092380245163,821.3721555594786,917.389703657947,817.3374796309654,944.8456034868856,434.6658104518666,964.1174341035974,368.6060932324294,967.1737536011328,410.16678056455356,922.3239797220451,458.2784510419719,931.280368110052,531.2722769233951,978.8157026716084,585.6037091160912,951.9579466377968,460.2979340872414,953.8183892032628,529.1505233591573,976.7503917498713,586.40212073717,1,2,baseline,person0,8.931792934997315,5.525153232395326,1.7462930476782217,5.745274211882128,-2.829291475594829,1.5845292182987414,7.530675153932579,2.088205044869336,34.21155473156589,20.256806017136828,-2.116249834082189,-7.14428565558243,-97.88339531810728,-98.89057708999027,-88.95160238310991,-93.36542307700324,-1.0093249412212746,89.46386839859301,-3.875747518356017,73.72855085473826,-83.00545512237944,-88.44792523144271,-48.79390039347318,-68.19112019007265,0.4170886194410875,-0.10310507138920014,0.0004296435408724823,-1.086104373822164,7.259525002777757,0.007340321925964216,-1.736097491795912,5.9845154734643735,0.0062312486672539864,-2.202225848585617,0.6409072061818267,0.002293591231042366,-3.3443958639980322,4.5459854564517395,0.005643666136953698,3.3647365697558174,3.709992652876166,0.005008542469446303,-5.3392360423915965,6.472654415629738,0.008390631484015051,2.5707720504165876,3.7789821040477847,0.004570511424109618,-0.4026618951062348,5.926218994786972,0.00593988284193758,-1.2691515474151331,6.648281445599626,0.00676833744949308,-1.62486828864862,6.2158351579030455,0.006424702613014822,-3.951645967202353,5.78787904617048,0.007008213017824581,-6.219988629800397,2.2377339000421292,0.006610273183631972,3.0839083129352485,6.518774640624252,0.007211443218790326,-0.6064488467631802,5.195642354057928,0.0052309157587387125,3.201295580460325,6.630019773212017,0.007362435438539147,3.868713711454066,4.9953706133481335,0.006318280885327495,6.266428535363484,3.8680851447943403,0.007364116326905516,-2.5346860306045853,8.987541482188224,0.009338122678986184,2.70402028463916,7.699518132641416,0.008160533387874471,-0.8938849562330704,2.130043871896216,0.0023100037253611563,-3.918631974169364,11.730913361405355,0.012368104335013558,1.4601898145878178,2.0577444109860523,0.2214035556658868,-2.4244482744630416,3.2109409477789237,2.848860439031414,178.41547078170294,8.931792934997361
