Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,Likert_Score,Hip_vel_X,Hip_vel_Y,Hip_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,Head_vel_X,Head_vel_Y,Head_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,right_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,967.743827090604,576.8278833915942,969.2993323173296,576.8353735171115,980.146433816673,679.1318486707046,953.7967655015128,773.6836374238218,984.791182001295,793.8357603046361,977.0434558257672,795.3817494586174,942.9472709405699,787.6305359906682,963.1028811372688,573.7380641494498,967.7516289022647,679.1315378597303,952.2562967640744,772.1355269967468,978.5887440749627,795.3894522600996,969.2993202309904,789.1893057924027,939.8519188871252,781.430514274672,973.9574545158616,449.74455916260007,997.2071524337623,381.5450863473064,1009.6107516691314,412.54332842997735,972.3993294811336,457.4990635771643,1039.0102808124227,418.8014675083323,1082.3928660980414,380.1487659782638,963.1035638431472,454.3972643627354,1020.4107221780008,420.35542266920913,1077.747630651526,386.3399852988291,6,2,pure,person0,21.62529033270028,11.985304199550855,-10.357873138138968,7.135355026486481,5.3261477382161,8.853081908754234,122.92497855475963,123.48907282294772,11.555225862253376,16.17737179332751,-8.436963356693413,-19.8171395151509,-105.57231837559988,-99.4592664129886,-83.94702799342312,-87.47396216396127,-26.31965603755327,87.19989009782265,-18.449566963323885,71.17546333094812,30.12486860310584,30.688962871342714,41.681173884721545,30.65718880119947,5,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.14691809124577,21.625290382176757
1,0.0335443037974683,967.9361186933763,577.1112351047789,970.4003905554684,577.3101835357949,980.2481582118057,678.7621606515486,954.4068911580316,773.6659690832536,985.7307161457773,794.4295804497722,978.7384869244904,795.8663266092783,943.7050652967058,788.5161422979969,963.9087379862472,574.2424504382026,969.4406458556276,678.6662691382242,952.1732829832235,772.0694939328837,979.8156966395641,795.4871823772705,971.7253760438532,789.4498869690522,941.1922417386019,782.0706776272327,974.0084585987815,448.6280243418731,997.8432027905296,379.0379333225726,1008.7486555618264,411.0049594079726,973.5519889380769,454.88625604140907,1033.872818954893,411.71638650553086,1074.047162599215,368.1249453742311,964.965625147348,452.1008761758229,1018.6363437151044,414.70784047018986,1068.9618942180057,375.25447469511516,6,2,pure,person0,20.77510324774233,13.502593810716366,-8.761619546213426,7.191485003529709,5.745164059547823,8.244564640869186,128.53419909627368,127.5844886619504,11.233267794671924,13.179795796044743,-8.04441251946731,-19.22440813121771,-105.23589752489306,-100.46278866918848,-84.4607941674624,-86.96019474878375,-25.51831437020731,87.29464119166843,-17.891441397215072,71.10031629932648,35.82884017825377,34.879129744480736,47.06122698463423,38.4007792210966,5,5.732466648684956,8.447088808148294,0.010208549515530083,22.590850616884207,26.401093690176424,0.03474714779132024,24.023657007280086,15.036421438291724,0.028341313760539694,36.57707645415077,2.913463870379499,0.036692925662268984,39.956794440248025,19.084115038604573,0.04428034404503796,55.51050680447517,-68.45836481739232,0.08813605436574107,-261.9144068860746,-330.4737123371329,0.4216776388194782,72.32392800609914,7.768269039740131,0.07273992415520653,18.961501201741633,-74.74154300149863,0.07710925222091392,34.362300791891855,-77.89124351874044,0.0851340914828377,18.188651647162622,-0.5267165678808621,0.018196276517043582,-153.15452329993633,-211.21562234766532,0.2608991129362887,32.824000306781926,14.154713764521784,0.0357459216959804,3.032538571883032,-11.020888118233515,0.011430497150368353,50.53111577325638,14.4458848687577,0.05255546832568085,-248.79644392727656,-358.4459727239936,0.4363292173037561,-52.8965654976633,-168.36188442359241,0.17647597787832678,1.52049907572906,-33.28537767450273,0.033320088300807044,50.351826156858955,-13.870275093958641,0.052227300605264246,-2.4747504480064486,-1.9685328472396588,0.0031622003969656314,28.008753741168224,17.702562817264674,0.033134136723817126,-25.70022357626659,-45.86081235410457,0.052571052887006926,-25.34519989119936,45.23240727625493,47.58642783476153,1.6733087495905727,12.49142995668155,-18.140703457705246,171.75543535913084,20.775103357430666
2,0.0670886075949367,967.9428064156008,577.2587428608283,971.1296073283801,577.5255432934687,980.202638058217,678.4526955349529,954.9314776064563,773.7263553491047,986.6763659071992,794.9789366704537,980.35613486998,796.38218731267,944.3173873703296,789.3577189128902,964.5294872908888,574.49634506502,971.0197839981216,678.2614695202927,952.2807493295484,772.0873771761054,981.150394408521,795.6280359259075,974.1196218170144,789.8206259136944,942.3159505980208,782.7590096731038,974.1735744137136,447.62446860360524,998.6804403421078,376.9063064929765,1008.1685858125602,409.7060643412127,974.736738455338,452.6545795500695,1029.899450008639,405.7327888775115,1067.206779808176,357.7589863386565,966.5978243707716,450.0356771293003,1017.2501872374795,409.6722394851568,1061.8974513203514,365.56224103664607,6,2,pure,person0,19.99772295576608,14.868214679088512,-7.174865678381991,7.249335491017778,6.334875066491031,7.88657799960903,133.35477526618516,131.2475368836777,11.234798561644707,10.776524515627656,-7.613931740853479,-18.460327444366,-104.8632672554835,-101.28546191192392,-84.86554411586356,-86.41724704898152,-25.14847460889761,87.24787788452744,-17.671997099725278,70.89706769274014,40.602652966858706,38.49541458575662,51.832397352812045,44.85027048841028,5,0.1993698323515915,4.397401029398287,0.004401918234520607,18.254129741990017,25.0885104062518,0.031026546811432455,18.505356628938866,7.568934157954562,0.019993423625073895,39.78910330098235,4.199030317855047,0.04001005619974197,33.499245243054716,20.5200874052155,0.039284518820675504,48.65801458508124,-61.56631119822024,0.07847300846735825,-210.6003731753539,-288.9382864222861,0.35754419383098,71.37562870933267,11.052217594994909,0.07222625483451035,24.95915719799047,-63.546611146448356,0.06827247846850086,35.318947873070236,-66.52922370408595,0.07532307538549501,15.638614877565901,1.800194340464702,0.015741886003661273,-118.45137613361614,-178.37894815604875,0.21412561185716605,21.738915116987304,6.4201588136729155,0.022667131923919292,-1.3570158994405734,-9.22556385322988,0.009324833540678153,48.22422177119858,15.378488893564246,0.05061692884882707,-203.92084546871084,-309.02292973977166,0.37024165395269304,-41.323155370706495,-150.11791615758983,0.15570161181339362,4.922320520612803,-29.91732200874054,0.030319554671569916,47.07619368189642,-12.067611251539352,0.04859830504136645,3.2037137206278423,0.5331230998172187,0.003247768748432963,28.191068359372007,16.377034503336134,0.03260281574291165,-17.292645355481884,-38.72177746189877,0.042407683657555276,-23.1747332324995,40.71096173637711,47.303228512710625,1.7245994383235563,17.580063980571083,-10.67205458851028,172.11342200039098,19.99772313961995
3,0.100632911392405,967.5399167743668,577.1860531403739,971.2010686508538,577.4034572416548,979.9144024745784,678.2279081723162,955.2870228484076,773.8913236402515,987.4194202936982,795.4181175977819,981.6201564820271,796.8747696324755,944.7170536710809,790.0802476460269,964.6215336362934,574.4078745739321,972.2711098751931,677.9570376261689,952.5824480636076,772.2158440989438,982.4180135741938,795.8277789995926,976.1577128259852,790.3288793662744,943.069410024116,783.455019038535,974.522986601499,446.9077825435327,999.758970491631,375.47818606957065,1008.0951446721167,408.9065796000731,975.9517863436635,451.1731869054837,1027.9707304772892,401.8460949737177,1063.24878206442,350.50475046313466,967.8330302534664,448.4616253207168,1016.7438633535451,406.0050624148519,1058.0103427223494,358.4577207151346,6,2,pure,person0,19.38734675747509,16.015649342148624,-5.8093508277147095,7.258230212350169,7.295776594477695,8.017891652948908,136.73716423241274,133.95403713320067,11.724347165603646,9.334173270319232,-7.189152768769885,-17.60715131261466,-104.44738304190544,-101.79780068505016,-85.0600360410857,-85.78215109955687,-25.24668582370805,86.92207230596541,-18.097252867222167,70.5485741867125,43.659236295033494,40.876109198379694,55.371723438770054,49.14329952597121,5,-12.01067232358047,-2.166976572036163,0.012204590821825019,11.914580286547553,21.539535818038047,0.024615215348664562,2.7440231271561863,-2.637422187150368,0.003806002984187092,37.78940154269716,5.954604838162548,0.03825566870064973,22.461620626991465,20.748958441157704,0.030578483899365873,36.82311876713041,-46.924563350225135,0.0596477721406884,-115.87984122345964,-211.7951341129843,0.24142352088375985,60.75818479573304,15.151706699554373,0.0626189367171127,32.15240823106885,-42.57415601851389,0.053351064804238596,36.222182331209574,-44.162271291425796,0.05711700883671064,10.599273250625481,4.917922641736945,0.011684629072055893,-57.49767659495536,-115.8674786414007,0.1293493541558423,2.1303564058200166,-3.6395464503030617,0.0042171929976860196,-8.59268343677194,-6.701208169167979,0.01089680685205985,37.68215371763342,14.684529533825396,0.040442306022643475,-117.99314028555123,-216.2583525155565,0.24635351872296948,-15.094183709744197,-109.3233919072027,0.11036049293093676,10.416438805681043,-21.365358017256426,0.023769323099281592,37.30367709005765,-9.07551684369304,0.038391787278263666,8.9940377323298,3.82976864310403,0.009775471476623266,22.151432654121773,13.092563493934973,0.025731326966808594,-2.189377394353328,-23.833696056614862,0.02393404355920671,-18.196120628297454,34.20654278556567,40.70780120857186,0.2651633906637288,28.645743664508142,3.914633439188816,171.9821083470511,19.387347000819744
4,0.1341772151898734,966.519404312574,576.8926738454539,970.442619253858,577.075662832294,979.3306802249288,678.0725372251442,955.4188461420052,774.1119727733469,987.650615420749,795.6747154011005,982.1897199900222,797.2490596504035,944.8966104526924,790.5549911449981,963.8204660771923,574.0640691693843,972.9638310977218,677.7666970085962,952.9272293531936,772.4025083158468,983.2286190296916,796.0539425988319,977.446720061138,790.8961236102325,943.4204723051561,784.0127398111617,975.068342512262,446.6666744610516,1000.9130479763535,374.9750364776775,1008.6126299207124,408.7964181907483,977.1276570657911,450.6939396036092,1028.5132156827653,400.6827965844001,1063.1600713366101,347.26210360291174,968.6570366486535,447.607317933721,1017.6372631479855,404.3575347625598,1058.2189669228983,354.6991451007339,6,2,pure,person0,19.022495739148116,16.980668431947464,-5.019703899019657,7.078718511406482,8.804386821684254,8.814535913138457,138.31332505520885,135.278693840465,12.65472690127338,8.879410547670812,-6.913980572674492,-16.98072467781085,-103.99269919518578,-101.96102097943933,-84.97020322763666,-84.98035231909083,-25.814358272902897,86.21526085922488,-19.394098019388895,70.17313037865658,44.528585686032706,41.49395447496783,57.162717710489666,50.97910040709977,5,-30.422824332690958,-8.746024263653274,0.03165503405144567,5.352824810305767,14.152730724045337,0.015131177098863191,-23.880881950559026,-10.249293192176804,0.025987391821337854,24.16521923936911,6.742235599961501,0.025088155806518807,10.465630264965489,16.626392844340515,0.019646026464842682,24.564718950860485,-25.468031536856564,0.0353842627095307,6.219362959763002,-112.04810322175604,0.11222057704012472,38.4270081422908,16.910300102903424,0.041983249092202704,34.404574072859845,-14.99955387153256,0.03753213734228184,35.054259263431575,-14.28699503701295,0.03785392079686741,3.92982648838192,6.577842080956757,0.007662345768157014,16.172200465142026,-34.679461417392936,0.03826493319065362,-22.61037825006236,-9.771984279054944,0.024631704800134928,-17.40153121597046,-4.631813142111848,0.018007414629641713,16.97944042702328,11.158079779740113,0.020317582080205256,-2.644583961129082,-96.66758564438254,0.09670375348786361,26.633427834263166,-49.114975294745285,0.05587146209297143,16.257779981236283,-7.187750383397847,0.01777580280865883,20.650934558400156,-5.674305203108142,0.021416321758727524,10.278385614074326,5.564706843525001,0.011688078246058418,6.8922320894365665,7.649519419685,0.010296504772338868,15.426918731718704,-3.284057108173093,0.0157725981577163,-10.876690735030515,28.76849362041821,23.54041787430531,-5.351480896057071,44.97366337710113,23.74901756791481,171.18546408686154,19.02249596754912
5,0.1677215189873417,964.7538888241864,576.4939753451325,968.7490115236857,576.7663340583064,978.388271308797,677.9728214380547,955.3221815906926,774.2909143652431,987.1659996621386,795.7044204148676,981.8834581683192,797.4556443408244,944.8634607994788,790.6239673359096,961.9569450195395,573.6567603286867,972.9686769120813,677.6743007427375,953.1481060959384,772.5440050005707,983.3032359130052,796.2291665488659,977.8502147057465,791.3811484883595,943.4553717882608,784.2632733313027,975.8287596410288,446.9711220135917,1001.957253745283,375.442370094736,1009.660189585929,409.41396889339586,978.1962138752938,451.25738213827134,1031.4829853597848,402.49483519367703,1067.3006710739226,348.506000197652,969.2561481175313,447.58370202521706,1020.343549930748,405.1518754145892,1062.752817141118,354.84056113025207,6,2,pure,person0,18.914253371656095,17.825782319039345,-5.058551008270259,6.491480287019945,10.951588426938097,10.372770749865294,137.98776320593842,135.01288447117443,13.834949615961962,9.209016956558914,-6.983643197265767,-16.866385852542834,-103.47512364466606,-101.80783491497652,-84.56087023010012,-83.98205255302729,-27.118255441900303,85.06635902003458,-21.62963624952118,69.92356332140439,43.054122183063136,40.07924345228824,56.86077849580109,50.42106847614206,5,-52.6323485217421,-11.885728877505034,0.05395771179232571,-0.9882349448567429,2.0562713517015396,0.0022814162658455132,-55.55402398286232,-12.14241449626863,0.05686552391816712,2.2244278421778536,5.223657378372029,0.005677558950083791,1.040399685009696,7.468735128729555,0.007540851140798839,17.8603041665461,-0.7040214233242778,0.017874174416907862,135.16006310919212,4.215798615824729,0.13522579494183048,12.028708273232361,14.459232215860364,0.018808487950781768,31.129153111483152,13.93183235759393,0.03410454700297693,31.855089792718324,16.79696612766316,0.036012287025347485,-2.8816979447916395,5.334485192378554,0.0060630780394715705,88.5327564092593,54.019264201085726,0.10371176337449839,-50.48868327683629,-9.221499300010844,0.051323904648504566,-28.094454480908286,-2.9726593132326484,0.028251284501282,-9.130069401712491,6.158562469151275,0.011012995004381203,123.4367468859204,37.08220037150274,0.12888646191967199,80.67798333518483,23.680343966158908,0.08408148241668888,22.669038933046043,9.075983641760141,0.02441841119347151,0.14446012618720808,-2.754454718054024,0.0027582402944392095,6.584627425220432,4.218203054031821,0.007819882053714651,-14.447035822724052,0.8855456934373023,0.014474150587797455,31.229137189477115,18.410002078927704,0.03625171976810624,-3.226847936554608,25.19396116236177,-1.158083634263231,-17.506347066617558,64.01091577926563,46.4530385288379,169.6272292501347,18.914253414565934
6,0.2012658227848101,962.251247225168,576.1820415015687,966.0937968007852,576.6388031621676,977.0031055013264,677.9455852784234,955.0524884292704,774.3632528950496,985.9926909184652,795.5150232187535,980.791160264164,797.514337972535,944.6646812686979,790.2189936885237,959.1637561816631,573.3680990719243,972.2756514571572,677.6316933847063,953.1752042602336,772.5525717153961,982.7395439566427,796.2457929013834,977.5904247933752,791.6250883361422,943.3443529006732,784.1290718026124,976.8857338747359,447.70217269714703,1002.890316331563,376.7058393624195,1011.1079615782861,410.63461564748746,979.192386162016,452.6738380420618,1036.4269802936515,407.30991912987866,1075.2755240180936,354.54990279955564,969.9418689471067,448.3278765363178,1025.0013476773986,408.6409869545523,1071.1060343946488,359.4582789771409,6,2,pure,person0,18.966610261794777,18.523826619215225,-5.882689745537198,5.326971300699984,13.68807252459065,12.684876114924496,135.83714679989174,133.10843269475146,15.06572313212024,10.082540157094847,-7.496747485624352,-17.260428944831393,-102.82371896124324,-101.37773890899756,-83.85710913393294,-82.85391272426678,-29.530707616830377,83.45801475114256,-24.647738383737128,69.87566133078816,39.29516198551877,36.566447882511376,54.33243605839304,47.69374024636506,5,-74.60705144243742,-9.299159864734282,0.07518435009444711,-5.92588035157993,-12.072799299428636,0.013448737519392876,-83.26864837442788,-8.605373314803984,0.08371212726953754,-16.804401717973743,0.49565352788122397,0.016811709892772357,-3.30961966770513,-4.000724817558651,0.005192242426032351,20.442243598663115,22.184825047907744,0.03016706458628943,249.0204388788417,137.660267888383,0.2845373935610438,-7.74468040653732,7.272169047107008,0.010623771328916315,27.815828043819106,37.66568760264025,0.0468233308548527,29.697211566435925,42.22642128281019,0.05162358985168526,-8.03990934051158,2.1565071149856747,0.008324101461456918,147.38701878319122,143.544011682993,0.20573725135678272,-79.15545777703139,-3.8018644509274457,0.07924670762369011,-41.293622184972904,-0.8119458908951852,0.04130160395535539,-32.562843180476186,1.7497346811847214,0.032609819494299946,237.74089909038034,180.1767190756174,0.2983025061865159,138.8551026360003,104.01502326682494,0.17349312549277654,31.509797910516745,21.793586415423146,0.03831224051407228,-20.660004127923028,-1.2701816167788134,0.02069901282441748,0.8078320676696341,0.2553850834744482,0.0008472391577451122,-34.977883301961235,-5.6461805634016144,0.03543066010167116,43.159995243853935,36.389091914429216,0.056453088487754786,1.5608280456437373,20.809622533545078,-24.56866424305213,-34.71555091293463,81.57820517530244,68.92691465648177,167.31512388507548,18.966609827310307
7,0.2348101265822784,959.1653085725071,576.1425095764613,962.5854354279239,576.7364124536114,975.106788284281,678.0186495005138,954.7193932673146,774.3753210336477,984.4835898357544,795.16512282828,979.2953552197806,797.4801503838291,944.429567953573,789.4933482248491,955.8195102567788,573.2903958214963,970.9514738694039,677.5811621516241,953.059836168106,772.4059237817727,982.0205405244228,795.9852385441935,977.190819443122,791.4966019054593,943.2876038712914,783.7066941073506,978.3466342498648,448.6529411478727,1003.8454639258288,378.4311349647846,1012.8087864883089,412.2645457177519,980.2790190932736,454.6006184670948,1042.552204786208,415.0814289406531,1086.0036485789938,365.67314315599344,971.031829888266,449.6628807789722,1031.3172296523362,415.01227033117436,1082.1044713732463,369.1309703335787,6,2,pure,person0,18.976116272209275,18.919441006425615,-7.088038264555052,3.659864263802552,16.811692222209267,15.610572484727046,131.98094743152495,129.5963642588956,16.212244196799666,11.299860688192428,-8.272851243362256,-17.762959839321702,-101.93271560297,-100.67492059970418,-82.95660063772549,-81.75548090024328,-33.157479284627584,81.43282687754744,-27.92793707883695,70.04827738000733,33.41377561603716,31.02919243964994,49.61578870707265,43.05559456986229,5,-91.99590700385112,-1.178498899428649,0.09200345518032013,-7.009038450894303,-21.632449671808732,0.02273960199320675,-99.6963879493796,-2.316436522193097,0.09972329541443439,-21.4344419416522,-7.767469516225941,0.022798440386034263,-1.6917635174196222,-12.591636953086637,0.01270477803651874,32.49317522701037,39.79823968667914,0.05137807235087321,327.8779325695069,288.35570458814715,0.4366382381727245,-11.912763271698735,-3.830350197715498,0.012513413259565653,28.474211300752202,51.43334059880758,0.05878919317657653,32.393962856360424,57.43986927456952,0.06594472997760241,-9.930006714908398,0.35976715066061377,0.009936521814036354,182.60103204225004,231.67897171742584,0.2949886147615508,-104.5888862098263,2.909861895870481,0.10462935732797479,-56.531720810033285,2.1781409604311883,0.056573666628450536,-44.59192396463734,-1.01917717274135,0.0446035694196937,319.81956238155084,331.5984860975802,0.46069741530003594,188.28478340380033,189.9363723596771,0.26744529385758486,43.551369673651195,28.343663248048305,0.05196234258354592,-39.47548280472025,-1.5064027975443848,0.039504214864419386,-3.4392751992769215,-4.371768587263644,0.00556246118880361,-44.98829642798392,-10.430992772607924,0.04618173259757963,50.703836940301485,48.59036813241069,0.07022750853982984,0.28338672556427214,11.793787392309758,-35.93303132166436,-49.698662609395214,93.11922872146077,87.21887291109499,164.38942751527293,18.97611496524452
8,0.2683544303797468,955.7563720663512,576.5057419889603,958.4883529541788,577.0416133082713,972.7263466788894,678.2010313882299,954.4251542696144,774.4511868160836,983.1943562856644,794.7429858170457,977.9056240971694,797.3921200557191,944.3184932360112,788.7715965434877,952.3640886295221,573.4606469348992,969.1156560182952,677.492292799008,952.8883486786384,772.1517875693437,981.7052190709468,795.4018650942246,977.1614112927575,790.9857318819888,943.390583839818,783.2421196083602,980.2535030967996,449.6884703667169,1004.9013714560815,380.2916050855669,1014.6186254893363,414.1808662017955,981.6573977455616,456.7260664572567,1048.8075065681276,425.6989013570544,1097.9003848253597,382.05573534233287,972.7307639176058,451.44897936756877,1038.5152207121835,424.3868278389068,1094.0552485676012,384.23803966523315,6,2,pure,person0,18.751785554592733,18.856843884263775,-8.084798152582419,1.8373787791626792,20.04138648528104,18.902024582859024,126.54866598219466,124.57522248255684,17.12795674018997,12.661636856727176,-8.906108154972571,-17.79398335205398,-100.74348677566822,-99.70918320291732,-81.99170378732228,-80.85234188490028,-37.1211579276274,79.10627162981868,-30.63027719101838,70.46940159102843,25.65494017826013,23.681496663050495,42.823485678075464,36.74232158765699,5,-101.62489961747828,10.828437957518114,0.10220017265573653,-3.3112840329737097,-21.516370878319414,0.02176967656444207,-103.01068247293388,5.075410550500131,0.10313564124877361,-9.400148990417003,-17.39113303681015,0.019769023985671805,3.0699688730569856,-13.849579403864725,0.014185751955588846,50.64746728975389,53.24595792419965,0.07348671973991171,356.2684522090729,450.3616895096963,0.5742411178394285,-0.8766958033176137,-15.229710133648835,0.015254922690283316,31.47799807168579,55.46307152520902,0.06377316571734154,41.091288124810774,63.36241178218479,0.07552012438159358,-8.77165313898715,2.261659174504248,0.009058531945758227,186.47880783835677,316.5208758096991,0.3673687664951305,-122.13943978334673,9.098440572880135,0.12247785257526364,-70.96410823620336,5.437044954556379,0.0711720880373581,-41.429720258975436,-2.624300347430193,0.04151275313744539,354.65742017468386,488.3867104606852,0.603575566635671,214.5816202746896,279.46794079655075,0.3523458552229265,56.846278833150706,30.8704936938459,0.06468760930872386,-54.72815480663829,-2.6493127761024318,0.05479224203046436,-5.112268553939861,-7.576136144109177,0.00913964598010666,-38.43375488947297,-12.584461844342671,0.04044158991453976,53.95369097402699,57.12804461865845,0.07857871373134223,-6.687594978002569,-1.866102887088811,-29.714728737419563,-54.330699353414964,96.28145161610176,98.12253424619841,161.09797541714096,18.751782988345937
9,0.3018987341772152,952.3326629983571,577.3129360263566,954.1847238312838,577.554070380902,970.0535485189305,678.4957239603266,954.1902990303148,774.6930185821129,982.5532373586086,794.3725777616701,976.9921797662524,797.2879706854364,944.4072974442488,788.3594398433731,949.139445642302,573.9460379816635,966.9581524826292,677.40246597153,952.6953481301664,771.9083628849482,982.0428417807452,794.6491880988756,977.6357869462096,790.2909904087085,943.5784239995473,783.0149181643233,982.5291883160038,450.8115634185836,1006.035705879635,382.1280928760522,1016.4479586850994,416.3729874459786,983.4306411822672,458.92112704571593,1054.0787456143446,438.8606956475064,1109.0842731559353,403.6164180347459,975.0399152751856,453.6676865928488,1045.462903824021,436.668023366328,1105.0392664155906,404.7302329447684,6,2,pure,person0,18.275811361798777,18.342254756343294,-8.478451040812967,0.2691743523156351,23.12705340431,22.281131698734335,119.72115397085923,118.23249534509527,17.582223837938578,13.867926544801112,-9.073012237696217,-17.041161815012217,-99.34218591915706,-98.56270760812596,-81.06637849679383,-80.22045679121818,-38.89857610604604,76.65248980447183,-31.95174338202636,71.14345213004279,16.37364771476662,14.884989054990156,34.09303978775898,28.909290293236808,5,-102.06528919680377,24.063520360115024,0.1048636079435991,2.6473707361378707,-12.286935588322923,0.012568904405959794,-96.13086641146826,14.470148186557203,0.09721382960032221,10.064978895877546,-22.438295333044984,0.02459229346009454,5.599763252310146,-6.773175124121408,0.00878824497518931,68.8388517920018,66.14259275363027,0.09546533450532592,327.4480792419484,610.8993468238816,0.6931235507101793,14.141764763285618,-20.711160901567037,0.02507871002485387,33.81600734366991,54.748126584278324,0.06434966757610562,52.86272886782718,65.43765527859489,0.08412226121374548,-7.001344869684947,7.209324345779762,0.010049536681206579,157.1425979815654,392.370471300267,0.4226681710855332,-128.29686819196255,15.277022165217117,0.12920322671706905,-79.67964325915241,8.78517479080363,0.08016249026827175,-27.230981940544563,-3.104830283899096,0.02740741411622193,333.4064823077286,642.752427434199,0.7240791154406879,207.11960974911352,366.11865911934837,0.42064403632759934,67.84118200646428,33.480887206592094,0.07565312805280924,-64.31802993117556,-2.6778563663266417,0.06437375155252544,-5.753601256333103,-7.256811346127652,0.009260952344665471,-19.11260197638261,-11.042353348935743,0.022073176522430498,54.53483866614406,65.3500295435719,0.0851156565485345,-14.18941933234811,-15.340581549327522,-11.735312517061619,-46.750245177704315,91.98780626539158,100.73564609590545,157.71886830126567,18.27580742236323
