Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,Head_vel_X,Head_vel_Y,Head_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,right_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,961.3968799883132,546.2717463117625,958.6140809621746,544.863188387435,1006.227365291136,652.8879487440664,980.9742062380285,766.5397619026119,1021.613805002894,783.3959792931761,1010.4201716097456,787.6005397661522,969.7569710468559,780.5672954286663,957.1794870894628,543.4563946996833,1006.2253643328465,652.8893632247548,985.1844463550292,759.5280363546335,1027.2377189496924,776.3814706673272,1025.8283574042778,773.5697059840464,969.761116992105,772.1539232523681,1042.6516233989967,422.8700196667371,1108.4946109963007,373.815086282929,1100.1149387177115,403.23615781104513,1034.2675101978984,431.25458297409017,959.8815453315168,424.0862502785987,886.8287265613601,418.3486435172362,1028.6331213097703,425.64277455999473,958.4497093185388,425.5067999580763,898.0352147167685,426.8172196964363,3,1,baseline,person0,36.3053618251183,35.29505167580151,6.942990360169747,9.394160976188935,57.49176074659808,57.13660894735121,-61.9307195513526,-56.55044299136271,0.9756860319123812,1.3336189449500906,-3.130385492890716,-4.214068831375878,-102.5231308547858,-101.15766890622214,-66.21872463067744,-65.86357283143057,-45.06340152484805,56.643585620039296,-45.1481126850214,36.761738880421014,174.7148986563019,-179.9048247837082,175.69064123291798,-178.57329553126095,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.86231025071675,36.30440622410836
1,0.0335526315789473,960.7489973051484,548.3839488699927,956.3693192427544,547.1885293978725,1011.4143283442052,650.1103598521637,981.2239414536068,762.6932934889271,1023.1330296764154,778.9523210975643,1011.5554012607579,783.5717159229999,970.0118108600489,776.3493782873891,961.8227766490601,545.9477156751162,1015.52944646435,647.3965759651892,987.9690482157116,751.2143599124498,1028.3181474837465,770.3349495808404,1026.9098580900443,767.1385283810239,972.7103382665824,765.5278927113023,1044.1374404061821,428.6820023099723,1109.6878969213299,378.4369987497211,1101.9293621327415,407.9947151919306,1033.3307535574268,436.9337960388955,957.7696793539592,431.61533502242787,885.07333711932,429.27476281144925,1032.5539730395026,433.2810040647172,957.7949607590596,432.630570576211,895.6576587036717,436.0370934574949,3,1,baseline,person0,43.19396581671603,43.094715016247434,10.04933292414871,12.1634840736412,63.019719516654746,63.043211228760605,-59.73719280572076,-56.37722106980112,1.6573072760812986,2.8278527884636997,-2.8415965666821346,-4.885938317167368,-105.00311577407504,-104.9273566857123,-61.810669491331986,-61.83416120343784,-28.734955729372736,55.14561063223828,-30.799530036742546,37.47435940293387,100.90394358356428,-72.88430269788098,60.76716617170881,-178.40360796860892,-19.514074713890622,212.3163007757809,0.21321118799690406,-66.90270222585796,69.30428109539126,0.09632785133735117,54.07693315383269,141.82367095972458,0.1517836234374984,-70.86049293935423,274.7883944472371,0.2837778553419887,7.4430887780217745,-114.63984291766322,0.11488121323673428,138.38823785466352,74.25113495407933,0.15704946806177925,-19.309444674717035,62.951919382543714,0.06584678281884576,7.59522580496348,-125.71047166159771,0.12593970835447313,277.2981341154013,-163.7066006772493,0.3220156926132381,44.2831735474871,173.21987485720575,0.1787907282411,-52.317489252963945,325.64120249419364,0.32981708937469933,32.201007289458936,-180.21004022470302,0.18306436973984005,35.56460011851765,137.75111665733377,0.14226809523548295,154.59184001304328,-82.78304148415955,0.17536153784677655,82.99205545563285,-247.78016062979,0.26130956597582755,116.85675743515667,227.64919308192543,0.25588993116008063,-62.94188795858067,224.39625118863495,0.23305655709999554,-27.919021441508317,169.2628207549815,0.17154991765717756,33.834295481151415,-120.07474983512716,0.12475057153646325,87.89835955305172,-197.48169455725255,0.21615999004746822,32.232961615002,-191.67431287439572,0.1943656503355105,45.27885301475528,-132.43844033980193,0.13996469201184664,205.30741308291326,232.4605544603496,92.58119014211827,82.53668839465591,164.7548496173754,176.03991113220184,116.95628012357027,43.192446282743056
2,0.0671052631578947,960.2335224583398,551.8476142179334,954.6081448584184,550.8066982843359,1016.6858744501249,648.7917074673505,981.6238738911204,760.0316644637904,1024.543023683698,775.5948970708641,1012.7202126276201,780.5728868463126,970.3744170834004,773.3348618769593,965.6253787121942,549.5665811756048,1024.350187649841,643.5468489707356,990.4720934000192,744.7993403151567,1029.4989956922216,765.7463166887275,1028.1010697726533,762.1821575960888,975.4754331756484,760.4388116469992,1045.5396788343653,435.1677892828797,1110.1491259145573,383.5819779222131,1103.2320532172478,413.2972029087974,1032.5886035906549,443.66098530158547,956.038902667417,441.7028468665563,883.8375043068934,444.3998133472487,1035.8204701142818,441.3993013955655,957.2496935325702,442.3294736716119,894.002260733003,449.3801132977849,3,1,baseline,person0,49.90393196795967,50.80889785364808,12.988264769613751,15.04233669736329,68.39071144338224,68.53544689315706,-56.9245875828519,-55.162351033048914,2.561126343135407,4.184403735611528,-2.454965567652077,-5.533508369281449,-107.4952911547825,-108.54499249024572,-57.59325161334863,-57.73798706312343,-13.89852286170064,53.87251134240449,-17.02105078800972,38.56277565470752,23.497623747082876,-5.705191415935291,-40.49265271909327,-177.10488317914587,-16.251101652233046,289.0653471570459,0.28952180096140373,-52.48990321942536,107.83562171420591,0.11993211100649383,38.825302910773054,158.03492803210872,0.16273426997478763,-49.337351282675385,397.6743168086416,0.40072314193319303,11.919555000404507,-79.32698270995557,0.08021749171641593,113.33245364635277,107.85638354397452,0.1564520518263907,-15.36317190488326,103.23081036999832,0.10436775009851247,10.80708744106736,-89.84441066378744,0.09049205084692334,262.89267846953646,-114.73696140332373,0.28683990431067097,41.79220413409114,193.30188625135807,0.1977680650527747,-36.83266421349752,450.7858198904925,0.4522880725460355,35.19390738984226,-136.75925482375916,0.1412151015200382,13.746432739323854,153.34055572917364,0.15395548202122772,157.11274668623173,-39.301012253256495,0.16195364996017422,74.60056235583282,-191.19274093893057,0.20523135260370798,97.35442262086741,241.95709691939982,0.26080858949334146,-51.58393261851263,300.64741182500387,0.30504060113608605,-22.118979401829456,200.49662116252543,0.20171302473407066,34.71594662020326,-89.37686659930614,0.09588233013880591,82.41067179961608,-151.67457289687863,0.17261719175654142,35.502779560116146,-147.71928613924388,0.1519257544130751,42.023350805288274,-100.06440236439624,0.10853039497508572,199.98330489981032,229.91290025194053,87.59169421778158,85.80109780505043,160.07662212991747,163.69016097809023,111.46576295575312,49.90203954143388
3,0.1006578947368421,960.0196804346822,557.7819304551804,953.8038563803508,556.7693031234764,1021.9998273081086,650.2715366333406,982.2563495067579,759.8061387667833,1025.750434538038,774.5705155725942,1013.9180633977585,779.7888491027596,970.913716819678,772.7502813479407,968.0992788724044,555.3230947925567,1032.0109918111655,642.993794201542,992.384380021632,742.2571912762486,1030.8899419571915,764.1348681621037,1029.451465950873,760.2469778569364,977.7835431881524,758.5808378710616,1046.6340864195158,442.7147223478674,1109.068324895787,389.5104592731379,1103.4628828673083,419.3934633858449,1032.0931378422747,452.1499618530078,955.3239687912052,456.3534265581038,884.4836146664845,466.7325049598597,1037.7914472966904,450.26718871849954,957.2308089352034,456.3870363937304,894.3959788761679,469.5625525771922,3,1,baseline,person0,56.11513490446475,57.95463440711667,15.615356990463184,17.955166620551164,73.0880379827864,73.05089222009019,-52.755498098399954,-51.954029480906485,3.7566687324980177,5.4078725315482865,-2.0052238239660474,-6.0160467616936035,-109.95958183927476,-111.76193557923048,-53.84600572879586,-53.80885996609966,-1.7873094438675006,53.107684110372446,-5.148913397530206,40.384467380080146,-51.35882849389244,5.958670145834354,-114.84131605768796,-173.43730488912038,-0.5628350587741409,418.97049681608036,0.4189708748655646,-23.970950718876626,177.70900697046395,0.17931842525740407,6.879628786119968,181.69246911984618,0.1818226680782709,11.734344659029341,601.5158373470413,0.6016302830010214,18.8502536425329,-6.721550185311976,0.02001277839984974,73.73192634351983,171.56668034836844,0.18673918380480695,-6.373330901167546,176.86589569833995,0.17698068936455144,16.073247041997014,-17.42279223741897,0.023704492397461974,228.32200637672756,-16.483200964199593,0.22891621722787708,32.61763783193487,224.92820115257481,0.2272808966267698,19.256622481932823,665.601789238601,0.6658802890512969,41.45565338733932,-48.02748549937806,0.06344454713499173,-32.21210879471882,176.69199320403231,0.17960423273246262,158.3766341987312,44.10471239813623,0.1644031140697798,56.99364048728346,-75.76601057138002,0.09480908930000427,58.742849358065996,264.2978182521513,0.27074722359343156,-21.307833173371225,436.64472806180686,0.4371643195626943,-14.766822304665347,253.0047913365085,0.253435363515449,35.700650404126414,-23.367399415699246,0.04266815902673179,68.79072978443205,-55.37490469461256,0.08830936855290139,40.247101782228974,-57.67594516689379,0.0703302484907002,35.98557840385404,-30.5305858307888,0.047191932829998486,185.11820516642578,212.97097178965203,78.2976505037477,86.81375457344245,139.99875176263362,134.5779783713403,106.9536898391683,56.1135761104789
4,0.1342105263157894,960.243470417282,566.8148474067518,954.2255530972344,565.6807456375341,1027.0829865876362,655.626129793473,983.1114748484766,763.1714957879392,1026.6084493401295,777.1616237601204,1015.0429089132596,782.4465836758271,971.6216112025539,775.6809880597295,969.3214044219332,563.9146708596132,1037.721439710968,647.1323556320666,993.3975145037348,745.2245576656381,1032.529261797325,766.7968884059932,1030.8639185496943,762.644661967623,979.2493364013436,761.4388275390556,1047.012198385683,451.2899620098358,1105.7328718089252,396.1345947598208,1102.0741337975212,426.1821396367343,1031.640459871683,462.5880738539896,956.4591835790256,476.55896589783043,889.1870354236338,497.45331790814765,1037.9634808670958,459.9158164363457,958.5622231727522,475.4617477580369,898.976483555774,497.3714631865327,3,1,baseline,person0,61.35064388163164,63.66207606860273,17.763682596166678,20.564965554801137,76.22541779375051,75.9331237819135,-46.58704815624471,-46.12227427834653,5.199725133410734,6.707828588408169,-1.7016068547041645,-6.184930334135597,-112.26920536977356,-114.28834354490768,-50.91829318638878,-50.625999174551794,6.718422056127196,53.158339184538136,3.657634357516022,43.139902011020226,-110.4291441293554,-24.1606287899771,-156.24840946195152,-166.25421172582418,39.68136551125812,568.5012014459988,0.569884397763601,12.568215875747581,265.59593375230617,0.2658931365719296,-41.39016835443712,202.32917453631242,0.20651934753178505,136.51700221571585,828.8145907097576,0.8399824508091516,25.486088615927258,100.30083670896109,0.10348815660478533,36.424134025169735,256.06265925344974,0.25864029655765525,6.669819089247572,269.2163483605627,0.2692989578726199,21.098028666108146,87.34655297880529,0.08985848391151033,170.19374132744633,123.34536028230211,0.21019036012673042,11.26921938380725,255.57577031748957,0.2558240990972089,140.18038335033077,915.6006996352519,0.9262694969871395,48.858159941231904,79.33864256298156,0.09317585522322587,-99.40958219666845,197.42521450506084,0.2210406757926818,151.4980804878859,159.5878745764962,0.22004535465071157,30.19538064306477,88.4391551347475,0.09345183343909046,5.1272750395270466,287.5669437475734,0.28761264938394315,33.83385249974579,602.2043097330303,0.6031540103787838,-13.491578731356448,311.0966714018103,0.3113890840314579,33.52480752081633,79.21091276593366,0.08601326305006766,43.686385961776445,85.17929990884424,0.0957288538078365,42.09662647468012,71.46038918124897,0.08293800806918565,25.57220586625885,77.22518519685858,0.08134904388839138,156.03869892732718,170.10414363644762,64.02852785626115,77.78224274627388,93.50622181696964,85.90180341120453,104.07663237092692,61.35091218338478
5,0.1677631578947368,961.0132361817266,578.965743113988,955.8931337105984,577.686197862175,1031.333566022509,665.6201316177848,984.071983004088,770.9820554152625,1026.905119119622,784.39252146658,1015.8116777215631,789.5362678143372,972.3596917667082,782.8972538663352,969.8931716088098,575.6160308639911,1040.8106453452513,656.8325526822798,993.3023389134256,754.4904441726899,1034.233656139625,774.4210979893398,1032.011573424446,770.0914773612947,979.5015479878621,769.768631551429,1046.1043490179225,460.5462049293198,1099.6164590170513,403.0673678987553,1098.5844220546,433.3266362576084,1030.7736537404508,474.5915541430623,960.5681733811886,501.78038464104515,900.8322407693767,535.1177348807889,1036.1095261752112,470.25676440244416,962.5134350129449,498.836274521691,910.6039084461847,531.110946677843,3,1,baseline,person0,64.94720096640853,66.9713080889447,19.242551514930497,22.386785818871395,76.78472008302806,76.4813494840377,-37.96766095196486,-37.3738663893628,6.921502181712219,8.566461406180416,-1.7969773700936602,-6.026679492590785,-114.1930122507678,-115.91374877431365,-49.24129226682853,-48.93792166783819,11.289612465834882,54.29327154319126,8.613855623519335,46.87630188101237,-144.63521653727298,-67.66124891929283,-168.27143881431098,-154.51171642840188,117.76160778613695,696.6525623677288,0.7065356246658042,49.700441810061776,357.8095564991005,0.36124480984257523,-104.00709508313912,212.9340169358561,0.23697757572410222,346.5428594789062,1005.568919741011,1.0636074491112406,28.626909735870306,232.785306539833,0.23453890701090443,17.04090439318735,348.7464158167537,0.3491625050998028,22.942038469722927,362.1443426470378,0.36287031022171173,21.997695245381628,215.07302011844155,0.2161950567866348,92.07044243354065,289.1039120847848,0.30341067606897903,-27.057471352863722,275.87233799246434,0.27719605629488947,347.0727867750811,1122.5473293806797,1.1749774576644085,50.79763529992373,227.23134444484404,0.23284003876111042,-182.2930871303629,206.62382688589003,0.27554341845249786,126.68393609817063,297.8604465285069,0.32368142558924645,-2.8366058288246667,276.1597547199729,0.27617432259285746,-55.25512022871564,308.2008021268559,0.31311477567040363,122.4640097899562,751.6971860722804,0.7616075716816496,-25.834221950451187,357.75078508608846,0.35868235425442635,22.91232526708664,211.3003900104961,0.21253900693221595,7.516894343294884,248.260825466814,0.24837459846375623,34.20461587494802,221.94430192903698,0.2245645317184356,8.841922839773082,215.5091081140889,0.21569041536339661,107.19150527178166,98.62809158666238,44.076093265117684,54.29738826248604,16.669401562781967,16.339275828015325,103.53456381001979,64.95171998393926
6,0.2013157894736842,962.43198339801,593.5954985380919,958.6726788695736,592.3839312382275,1033.9522842399344,680.4356079832721,984.9375291793656,783.4536460454591,1026.5238698370265,796.5275688481606,1015.9056414907179,801.3419352480926,972.8832109258419,794.5697095594285,970.5384321840804,590.1183484756261,1040.9861386237226,672.1029426888416,992.1461086811508,769.6749568679779,1035.565107355339,786.7207375836164,1032.4143237710941,782.400172096936,978.426468960758,783.2471183145018,1043.4009917264116,469.99038999188207,1090.466844293318,409.7292567887292,1092.7045170299846,440.34718848096696,1028.987370964881,487.2500039838147,968.8615222906099,529.6334268820661,922.2765161290608,575.2302735136127,1032.4140915501566,481.0801894594271,970.4869069493311,524.318918444956,931.9125173147718,566.3673404524486,3,1,baseline,person0,66.17341644448928,67.23394292153822,19.99522782964395,23.074315458956743,74.07858177646756,74.12288487963522,-26.668411881348945,-25.648027849734603,9.159714454293796,11.579657082902267,-2.3578732850844117,-5.590771536604003,-115.45141962172109,-116.55624920193767,-49.26614070577404,-49.31044380894173,12.013364026400046,56.63140173860635,9.837230312633611,51.59283220225249,-154.29497761568115,-101.39346659907736,-159.00170075776512,-137.43486676518037,237.64073222170623,759.4827208502519,0.7957933908251377,82.84134591455707,438.0500927764668,0.4458145044459707,-175.24422818462352,209.23998783343168,0.27293206484500687,635.0801074559255,1050.7787948509915,1.2277877742487633,25.796670321998,371.7023089784064,0.3725963965198543,19.231295576692077,432.2259366604941,0.4326535600819662,42.284230759816644,436.0240832281956,0.43806958046175476,15.602923958495593,347.88495399023407,0.34823468013516673,5.230387907384065,455.1175060779209,0.455147559914637,-80.57064868816926,281.473750884209,0.2927782469154055,639.1235009160773,1195.5109553312157,1.3556272694735005,39.68246760558996,366.57749379020106,0.368719076247451,-272.6943996093001,198.5504139756919,0.3373195850646613,78.04807236248007,441.55929559883697,0.4484039619910154,-34.46019515799209,452.55802542819373,0.45386812118697273,-110.13844372711131,322.5805115022357,0.3408645818909235,247.17432043765245,830.1298863990576,0.8661470850708485,-53.23823174247583,377.27144623418815,0.3810092564002894,2.8004888061830364,351.85518626094625,0.3518663309216708,-32.0415710038845,401.71176235040264,0.4029875956937922,12.003539743239326,366.8473725132317,0.36704370269251224,-11.362723716569358,361.67200039220785,0.3618504488845638,36.546029934955556,7.827547951806857,22.432705850283337,20.491079469210355,-80.65353384258752,-70.29149409199516,105.89754244438039,66.18527891594704
7,0.2348684210526316,964.6017865586089,609.5119311219739,962.3335246621339,608.6930563101776,1034.302599667656,699.1777618955856,985.5130626170408,799.7902728199153,1025.7039308838991,812.6527575948585,1015.1891037038856,817.0942033099858,972.997453397834,810.0164364481287,971.7269737833117,606.4011127370707,1038.4337247881258,691.7358916135026,990.3080970493005,789.1858552629985,1036.0479182179704,802.4634220774265,1031.6632735871472,798.4739015162767,976.3282729471499,800.5201402234333,1038.7449398725944,479.0367910761898,1078.3115988902396,415.440866767509,1084.4319694468174,446.59229597446307,1025.9753051665405,499.31945990289813,982.0168058671168,556.0496722327408,954.7862518608305,610.6135066946647,1027.4587401270321,491.8687322914278,983.3423901505572,548.326217261743,963.6158924654809,596.391087067108,3,1,baseline,person0,64.54829678921402,64.33576538926413,20.190960597671335,22.698125780094788,68.09442849600305,68.69843691982803,-12.699721174202596,-11.013597889161671,12.237867052275618,16.0949761737192,-3.085943031761738,-4.856943048811088,-115.81491039893088,-116.20638742280596,-51.24471554512824,-51.84872396895324,9.230959188998048,60.07485797648995,10.073371964612718,57.39522969313723,-145.36245385660726,-115.90707147805018,-136.35906269911638,-114.84379805547876,383.14381305614995,715.511651010118,0.8116379144756798,109.10756087630416,486.07588449733413,0.49817087964898366,-246.55435934145035,186.12869392380534,0.30892222777271083,944.8849064525057,894.8253892996504,1.301353128008317,17.153153436592255,486.8955430818328,0.4871975990763626,35.423200604537925,485.2902289685411,0.4865813492864358,64.66864321784932,474.37210838236456,0.4787597838444321,3.404873675055317,460.3730366828289,0.46038562756597046,-76.07194176680623,585.1388699114664,0.5900630791749644,-138.7686042706312,269.6182283950531,0.30323376232554655,968.9176139664668,1054.5591065725316,1.4320950568693154,14.389657082352889,469.1937339331638,0.4694143395690977,-362.27398064076897,170.2283758381442,0.4002750766532944,10.440773532093854,558.589685229735,0.5586872525814446,-54.779954517893586,581.5012854986535,0.5840758413541592,-147.6889051597932,321.5408844047266,0.3538369017655905,392.07903992726636,787.3077045691267,0.8795336237030362,-89.77137281328086,359.7171175883686,0.3707496514669505,-21.355635999708902,469.47936184466056,0.46996482249953747,-62.534469425181236,514.8037902269756,0.5185879889646007,-22.38424077645793,479.06017092936656,0.47958284123393363,-24.437396250070766,480.5938606858941,0.48121476002348007,-48.43493874545858,-86.37705586385518,5.833604066698484,-11.211927683728854,-178.35123502560884,-161.66982154719477,111.3195735216182,64.57019485380263
8,0.2684210526315789,967.689899868144,625.1509331073493,966.7031783748689,624.9148985526749,1032.2759690569194,719.5793093735267,985.6843752790749,818.0556517034596,1025.030967979853,830.704974694017,1013.7493322642446,834.9806408460208,972.691659213499,827.6146054495583,973.740928845894,622.762921603888,1033.7380414208424,713.1986192368754,988.3276420732974,810.3845801469557,1035.4650499920324,819.8801786211686,1029.609503979738,816.5740376086419,973.8374270634956,819.5013178041426,1032.4406845728581,486.8961851719484,1063.3631511117885,419.4642667238631,1074.0697061187172,451.1879442690001,1021.801381616462,509.44408557323294,999.5278506467624,576.0606926788785,996.4159496636343,632.954599334548,1021.9391305893807,501.5841911659856,1000.540812834509,566.2780696473193,1002.9161802859381,613.4414634270291,3,1,baseline,person0,60.13292180481147,58.66619549784991,20.02068755619172,21.711679126088317,59.40370745104613,60.57675990391414,3.615320683409251,6.204032952135571,16.249326326643427,21.977042939373533,-3.4537574645637568,-3.833956960476179,-115.20424568220436,-114.9105718281108,-55.03942819319227,-56.212480646060285,4.195995964213267,64.38419528173775,12.759877648285446,64.58310057320041,-124.80160194198088,-111.88978008982173,-106.52359379439864,-87.43991651540534,512.5804407766029,535.0356005112975,0.7409465581816419,130.23281653641956,483.4745138940393,0.5007076912611652,-308.8360835041633,136.9683413273779,0.3378461972557389,1171.3026958253947,508.1680797466698,1.2767869056820933,5.10578914297631,544.379919666419,0.5444038629719571,60.02375872794601,487.6460681874991,0.49132630647112485,92.03788687242118,466.10358858373763,0.4751037022699136,-9.113865886061632,524.4944486700606,0.5245736261356454,-139.9497787896274,639.6734507358167,0.6548038363964684,-187.89153050193917,234.24076520692302,0.30028646875789455,1240.728248240429,665.852172796522,1.4081071344182632,-17.37175889070466,519.087646009569,0.5193782458350681,-445.52236516168267,119.91309673839663,0.4613776420988037,-60.401539770973336,608.0461209111901,0.6110388131386173,-59.02532477499376,631.8051337963706,0.6345563143301336,-164.50600974960747,289.5587743005475,0.3330262917821555,521.8978051972816,596.4068838848887,0.7925140315571849,-124.3992901199904,301.7535493903723,0.326389932369314,-42.910835063811,533.0859814661429,0.5348102499032666,-74.2369753559725,565.7135278956533,0.5705636898315116,-61.21038829924859,539.4550364783385,0.5429166123978805,-20.05693361079117,538.0268625631561,0.5384005808182426,-131.59548973121363,-168.97541637156115,-5.074804373510083,-29.3999787076439,-259.01756839871643,-242.05782478802223,119.42362347493003,60.16481748901209
9,0.3019736842105263,971.9936772893932,638.5697400262701,971.9243823162116,638.8835154468792,1028.4064770092048,738.3478271550773,985.4290249296348,835.5066136925908,1024.9139673128038,847.9975756514339,1011.740930725232,852.4561247888912,972.1114441728392,844.9603365319775,976.9600049350587,636.9170452146146,1027.789015231747,733.0383434085372,986.606436906,830.0718614990446,1033.9026162944842,836.9798602472965,1026.3563351624962,834.5674491369019,971.5881199678121,837.707394261065,1025.0895307958174,492.439811194721,1045.9473847602128,421.0497428742193,1062.1146468254344,453.06902499100147,1016.9424517121089,516.1875250114746,1019.361571614815,585.0193917372624,1041.4984414680214,635.3397556797254,1016.3216277539188,508.5955775562585,1019.602845880179,573.5892386927646,1043.2665237326642,611.1704267694894,3,1,baseline,person0,53.48958102865865,50.9539477025127,19.44223676421081,20.54716991980608,48.77331313167946,50.41297300293461,21.558108821240612,25.18759054817084,20.899284458827218,28.65021986910871,-3.1696784894329872,-2.745374381446868,-113.7495916155482,-112.8536181606574,-60.224744055376554,-61.8644039266317,-0.4269844518437428,69.31971467891242,16.601227659767087,73.54976928616438,-98.46784096534716,-94.50244079072095,-73.91112161724833,-56.856755639356614,568.1233378317297,217.9015088054307,0.6084777683110114,155.61235276158394,416.31956233706774,0.44445155227147454,-356.3076495252937,56.063582302786266,0.3606913727424886,1202.5984713534033,-67.68579842079082,1.2045017437137242,-7.610441787231964,520.1071024211651,0.5201627791500821,95.9410912849092,421.84838996675495,0.4326208006031178,128.2694447117411,399.9330689560717,0.41999941677492886,-17.292683564761116,516.9708087309252,0.5172599481738152,-177.30430994950743,591.3015831554102,0.6173122229218901,-219.09321060984223,165.22179518851783,0.274408594145018,1343.6350498562408,71.08701264057922,1.3455142178989952,-46.56665137790591,509.6375700336173,0.5117605942335943,-519.0581343999032,47.2534068341456,0.5212045964342038,-115.32603750051635,559.3754319207213,0.5711400605473793,-51.29866380964636,586.758189317161,0.588996371499357,-167.42361391964923,208.96681006303467,0.2677644379036099,591.1226641458805,267.0043640930092,0.6486272693247145,-144.81516577679832,200.9809401201425,0.2477191363834007,-59.85824194703901,520.8379528071159,0.5242663275600463,-67.03817226351134,542.6124747945498,0.5467379759474351,-96.95718827858246,536.2742259402995,0.5449685695219091,-3.4870787042056475,515.3873226524254,0.5153991191966907,-197.9976074461231,-229.8552284100501,-17.240102035509448,-34.70694104998036,-316.8274385379869,-302.9207076370366,129.54445873428898,53.524847560171644
