Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,Head_vel_X,Head_vel_Y,Head_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,right_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,935.1622773036867,540.5907077812946,931.731996313001,544.020216450419,964.3041190387504,650.6198043137119,954.0119977794312,760.6023520501959,984.942820406958,786.371088984145,974.6309872415272,788.0912000815018,943.6992210092068,774.3488877180051,929.998936804577,540.5823670312648,960.876783108533,648.9032253765074,954.0188728082262,760.5870977692346,983.2425464080402,786.3572388286523,978.0794199189128,781.1981026988931,941.9832242408382,777.7679620682153,995.2338002823792,406.5351328102528,1045.0299015872035,361.8836396813952,1038.1750393356406,387.6364975261358,990.0904344326423,413.3968735491393,929.8949352943632,383.98685735228474,874.7714000389363,339.12996222899886,983.1756551436528,409.9422591526098,928.1085186176268,382.27802967105737,881.6093354739016,339.1398525141331,4,5,baseline,person0,22.330824660403344,19.417186601848904,-8.245420783965619,-10.9071602530204,40.03943446108188,41.12437286434995,-91.65457295924548,-92.3445166650364,-13.184058205769714,-16.171206259031386,-16.25173743236713,-11.761308512986032,-95.34406381243376,-93.51536066846975,-73.01370575513377,-74.09870103741085,-63.45606040004394,65.86171947415447,-26.654467187961064,41.89800952944447,154.20781502437427,153.51787480726088,141.02372993303237,137.34668944393368,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.87542522928823,22.33035805729999
1,0.0335429769392033,930.9544823402072,536.2678559989531,926.8559301015148,538.6709515039387,969.9653262377656,643.7860158663381,954.2649546799443,753.13631584857,986.6916975982147,779.3786709323175,976.395828686772,781.4812720885365,943.666588482326,766.7402711198744,925.0071571912129,535.0657587345114,965.1879545954828,641.4209437816459,954.0761233914652,751.6564565404742,981.8660066641298,776.5175800000422,977.6540826011674,774.0084971953062,939.4007538127858,768.1630089353944,994.9569330709452,405.90792664068107,1045.6843436900824,359.138014146168,1039.255649954652,385.4602594650225,989.1325291519084,412.59383950602205,926.337434942496,383.8022865100549,868.0554003632795,341.93550760001517,983.2165723789395,408.4774342459208,925.7657530569719,383.6580435983029,875.9254700937526,343.0437178307106,4,5,baseline,person0,30.234586475463335,26.368750240025573,-5.383569589597005,-8.159746013636124,46.76321236866666,48.251689525530935,-89.29028338669096,-88.05313688131561,-11.832526146353397,-16.864708783673198,-16.330474922375917,-11.045820141464691,-98.169711675502,-95.79234752481048,-67.93608334466728,-69.42459742296111,-45.42388981222394,63.8161623489523,-36.26599846675394,42.589471675324496,156.47915246515342,144.05425402067704,144.64644398701805,140.85156607008187,128.5267999546916,-223.0655200468097,0.2574439056189658,-41.0380911153285,-293.34482882793736,0.2962014745447461,-148.81742972341945,-164.46388484695703,0.22179945177668506,-69.84369827702209,41.141665206007005,0.08106034051825137,19.510555192077383,-81.85396126896012,0.0841470899040693,52.61433558636076,-197.05847829027942,0.2039615458248802,-8.254103740874347,-18.69858393035578,0.020439355898992397,-200.22074033051976,83.64032137342339,0.2169885900639731,-145.3677239299318,-159.47496121694263,0.2157870209621381,-0.9728572076336623,-226.83188233177256,0.22683396856141622,168.77473962064076,-203.73231808733212,0.2645595777273107,-169.450236645695,116.38398475046668,0.20556900205448997,32.21570407927515,-64.87909719694136,0.07243720620243156,-106.05797924004088,-5.502518233977008,0.10620062460925636,-28.557551181876644,-23.94045241043193,0.03726498344453758,1.7067830128133261,-266.24474163242036,0.2662502123100883,1.2198450769866453,-43.67009253066521,0.04368712629194909,-125.4448873487313,-128.87501876105574,0.1798476861752699,-76.98989963631485,-286.347665272225,0.2965171665399223,-12.680368785285092,-214.34011407568593,0.21471487199192535,52.13840126433758,-208.4614631701073,0.21488274596491708,7.541277596542882,-222.58120426097224,0.22270892069706766,235.63089911147634,207.24349096314228,85.31893873211445,81.90728701164389,200.45262886987143,212.48312796145842,131.75224569361959,30.23362833083472
2,0.0670859538784067,926.9471877319656,533.310200918251,922.346616408447,534.7144551063283,975.3957078641831,637.584176799964,954.2494198146609,745.9523168297841,987.9517521408264,772.6535943328096,977.6605873430758,775.091345275415,943.2881610687506,759.4431037375837,920.4302268245186,530.9130476504213,969.571538948701,634.5264706963425,953.936350793538,743.0477827609058,980.67932058077,767.0539827818595,977.1886936002427,767.223339394241,937.1014097009685,758.8625685486991,994.5181879189819,406.4802959312223,1046.004372703751,357.3892350951672,1040.164024927454,384.3855275055151,988.2387876615244,413.31301109719595,922.7114866559111,387.0327238880418,861.2288175232645,349.73233907017595,982.9848181487168,408.4557285183786,923.0255719618737,387.88808397642623,869.7814764452635,351.5984493317253,4,5,baseline,person0,38.10674370774671,33.54337763654099,-2.444102424266524,-5.362696435922134,53.35965964611637,55.1307644004488,-85.89107231712408,-83.06928816392396,-10.772139176072756,-17.108747078992575,-16.422439587994322,-10.448639977707549,-101.05817021522468,-98.26590330570242,-62.95294912155855,-64.72401831756235,-29.096881497190715,61.92767157229882,-45.023448189116195,43.47843363824527,151.389066316166,123.65436106321866,140.61648742256196,137.10197754448507,130.6856085303166,-205.5414788556053,0.243569349071447,-35.37807886016433,-282.1334920670709,0.28434295456331593,-136.4497365570726,-123.80269919443923,0.1842434230422441,-81.69164889761875,126.10807877280075,0.15025569217629905,9.540864969990794,-52.13547545796273,0.053001282112826585,37.70561744105763,-190.49969311618295,0.19419538270507689,-13.08008984290898,17.063759474260078,0.021500247386808627,-203.51750091794773,232.44303820416866,0.3089484409888994,-134.4339144745848,-117.9530488537605,0.17884462277311441,-11.281867267216917,-217.54680258454428,0.2178391421296774,161.89325223757518,-184.89232716627973,0.2457531236119325,-183.1678106455797,255.03793287400077,0.31399807970963495,27.0809288766611,-32.04044654281472,0.04195195970971732,-108.09858329380926,96.30741433123417,0.1447771451759449,-26.644668182073403,21.440303061872047,0.034199779793409706,-4.166970575704353,-256.6460870533832,0.2566799128167055,-6.909172988514316,-0.6471020023527804,0.006939410089241363,-119.46747050820143,-88.17509209343169,0.1484834111115216,-68.5491963335536,-277.2693790283535,0.28561740294447197,-13.874409590068883,-202.28251694425768,0.20275777642984963,37.565376051614216,-200.4913461228302,0.20398023764091386,-0.46313317126089126,-214.1729707475531,0.21417347149254168,234.6886874874478,213.89357925861555,87.63286486641483,83.38704053559822,196.6565844589693,205.0824197084885,124.88062069385737,38.10522109366613
3,0.10062893081761,923.3133742052644,532.999149904446,918.535827584268,533.5299522149367,980.3480443194036,632.9195077673555,953.7467844844314,739.7872211700402,988.3398074962464,766.8111413200285,978.0548643533939,769.5329882415633,942.2884579253164,753.198952927718,916.6370366446432,529.5065047044523,973.9863916122395,629.1735866692513,953.4619913104509,735.522391136766,979.8878148712896,758.8502193482096,976.6607741964648,761.3382819378071,935.2306835178173,750.6424995245075,993.7804363643345,409.2826377443072,1045.5070682570604,357.5576788413155,1040.529901971228,385.2991489220898,987.4307112543108,416.820588384742,919.4390903767388,396.4564526096127,855.2487984500942,366.48357991982,982.2898236905112,411.1766489912749,920.116930026739,397.289213454609,863.84635099137,368.40786229900266,4,5,baseline,person0,45.83638285979506,40.97243407700073,0.5453880001601942,-2.39872081717454,59.61452452347135,61.483277607651495,-80.39753981963696,-76.64134863916152,-10.112035069496644,-16.4636071901892,-16.425012487814467,-10.112755363065885,-104.0244006825375,-101.02920178584785,-58.18991261574228,-60.05847780359103,-16.78139775056609,60.34880029627206,-51.503875914023375,44.81007607652757,132.00818954793172,84.54318993878772,121.89537866558835,119.3004835136062,131.61779503174088,-159.58285505765397,0.20685727349399524,-23.596763963884136,-244.57469736568876,0.2457103780085113,-113.08448223753372,-41.9325615767003,0.12060862259106868,-86.71388769120118,280.2711725683246,0.2933789844064258,-14.82588881696038,5.021729182047034,0.015653266214777466,11.754383370109379,-165.7085190717028,0.16612488922900265,-21.99421822292542,83.54481530259261,0.0863914451735933,-178.27931861888837,499.3963678300132,0.5302643186647815,-113.60914182083533,-35.31299244961223,0.11897077179296202,-29.803649963632953,-186.15374601911918,0.188524467133859,147.64153057125898,-139.06544553463894,0.20282312415297132,-176.94092759420082,501.13062408695805,0.531450838982949,10.907709367512359,27.23733848163313,0.029340257858600526,-97.55831407282787,280.9449125118339,0.2974015274187652,-24.090777890055104,104.56964788496609,0.10730879198897805,-14.141842089532703,-224.35073779466777,0.22479600807553735,-20.71952228525581,81.11744159822088,0.0837217888913632,-108.33306576478041,-9.273208349062154,0.10872923034346078,-55.771024335195406,-245.06080778371216,0.2513268920489856,-15.73859722512665,-175.4482754199348,0.17615277684568034,11.56890028345786,-174.1781304435362,0.17456191044604805,-14.984815782464858,-183.79691435611804,0.1844067526715456,230.43986722044178,221.47874513120632,89.12418327822168,88.36352313391278,186.47315915614573,189.38429998973072,118.53871291201435,45.834488066795224
4,0.1341719077568134,920.1496836038991,536.2594004357403,915.6166967108792,536.1607185207466,984.5760235086024,630.8207461263472,952.597306765455,735.704194889579,987.6527983952672,762.7640639209056,977.4092000633324,765.7329637241595,940.4777119993988,749.0576554056204,913.8623766609992,531.9275914139574,978.2279864523766,626.5267168802923,952.600128054763,730.2182924723861,979.5963341909936,753.2383805144889,976.1399178216044,756.9736589901407,933.7007052560132,744.7176423961602,992.664495144279,414.8798092166891,1043.6661342601742,360.3082828532897,1039.870353130641,388.72454196795456,986.6230121250849,423.778592388517,917.4263502977924,413.63226887533136,852.1703630415963,394.4522466219695,981.0357024713452,417.4433547694299,917.9174947721616,413.3365058165961,860.135133967619,395.43437509398535,4,5,baseline,person0,53.24034052870639,48.41883117227055,3.4356562171888476,0.8472325023650017,65.22202474286087,67.03152995593325,-72.00249657841103,-68.0398850550366,-9.684840624290793,-14.720665314114472,-16.186832409284143,-10.171777429335114,-107.03263946735144,-104.02064001706832,-53.793856823540715,-55.602927921252395,-8.501729605022026,59.20792133022332,-54.4325124763828,46.78739230765501,93.42259908874428,26.912740584761945,83.73667556790419,82.66404712505877,126.45254617159001,-78.90980558334356,0.1490536945214012,-8.68976778132605,-167.30294523029931,0.16752846786986952,-82.719550762387,72.17864752712183,0.10978288225937416,-65.5706635270899,478.4099035417397,0.4828825402954631,-54.88284478216733,82.0023821069804,0.09867379248109749,-19.24886664745906,-113.28823092510062,0.11491188856402364,-33.26899762290239,166.86567452038585,0.17014987374657684,-91.77585561584826,833.8158760578303,0.8388514307313949,-87.02658916290342,78.42972049195872,0.11715309760213576,-53.9828629164174,-123.4624323775338,0.13474836435827273,126.04662957798953,-62.56933142256006,0.14072197434173908,-110.64065752057626,805.7279127004189,0.81328889356806,-19.66279980999822,102.11953017984455,0.10399530826205693,-60.00481360358835,512.0540224217375,0.5155578527516409,-24.07953029004885,207.43549436254185,0.20882841784685702,-25.694298310196483,-158.12844143182448,0.1602023749989722,-37.38848884638679,186.8261660112464,0.19053061539993563,-94.31752605320087,97.19621896421138,0.13543596531843063,-45.612476930031995,-176.6348031388548,0.1824290320414892,-15.528030675526681,-130.1203216273036,0.13104357228438576,-20.481458822941946,-120.65349496134833,0.1223795571241536,-34.26880449698519,-121.72522098624935,0.12645702979986456,220.7304880044188,221.99571340273133,86.16612122016662,96.76998333877246,167.17360029054967,165.40727313314966,113.00177815376404,53.23878264381073
5,0.1677148846960167,917.454255879564,543.628181596574,913.5462680697823,543.1929465147667,987.8244797560952,632.3318520991533,950.7522937200324,734.917260373606,985.9626267335407,761.6020971127193,975.8222547870869,764.7871859434638,937.8440378747628,748.2114009018995,912.1722204738362,538.837549186576,981.9548743655868,627.7689954675586,951.372310787613,728.5082028824901,979.7129478973122,751.680943350194,975.7871496796292,755.1316179146745,932.2317192191382,742.5695440056938,991.0716209516728,423.3834891147088,1039.9879058157198,365.9996548227501,1037.71365486183,394.9160810710358,985.5265137756651,434.22795165846964,918.0408131833434,438.5474616748089,855.0834239508702,433.49480886328587,979.191939803048,427.4456299065777,917.8875445466956,436.2807019313943,861.925582150558,432.40691790946676,4,5,baseline,person0,60.03541784563919,55.40180065517536,6.09419638603098,4.3965359727644095,69.79546404256227,71.4968612713054,-60.232419234935975,-56.54235566214602,-8.98356948432314,-11.879025103579131,-15.565992640038584,-10.572630545286794,-109.9631626536204,-107.03096343352183,-49.927468256389815,-51.62811866374667,-1.193819359592241,58.61462381058834,-53.33563526753344,49.525701951941016,37.28207596198062,-37.21375720800065,28.297387497504367,29.09243764759093,111.10784591257885,37.03543038287759,0.11711778911411509,3.476546119624993,-46.431095460541954,0.0465610674124621,-50.38778132979884,206.0031160961924,0.2120759589125579,-0.8928910967028761,684.0238466724225,0.6840244294402418,-109.65718550030098,169.6740268395385,0.20202468590692538,-47.310806048071676,-28.196000086994246,0.055075646068149166,-47.487561867073325,253.51595695971275,0.25792520033001437,86.84562835772833,1163.9563868192474,1.1671917724102439,-61.724653862703406,209.64829707172265,0.218545970815167,-78.51640984071084,-25.228962392179046,0.08247015919507163,96.84460187837969,45.04984681427939,0.10680995089864943,53.377736453867286,1102.2439326865428,1.103535622394327,-64.29656713892928,184.58525951060957,0.1954629544810216,18.318674775489324,742.7841853344246,0.7430100401935731,-32.68935704207867,311.5215232354626,0.31323194840687524,-36.60430227691075,-50.98204589877597,0.06276180326603398,-54.96717454861102,298.1928275262192,0.30321667610133024,-80.35743903174254,219.6817883573558,0.23391751995869461,-43.794146224337915,-64.0401832657754,0.07758268051719269,-10.51690023263439,-54.91584956233468,0.05591382408363928,-50.388242665223764,-34.641135469056074,0.06114722614702135,-55.00445141665854,-23.460485257441896,0.05979869600720569,202.57824251105936,208.17977770909988,79.2577287836062,105.81360971128252,136.34565912234837,133.12268983953257,108.54209206697816,60.035694397230586
6,0.20125786163522,915.1210752901418,555.2325258155853,912.07463031925,554.7163174321207,989.8378241591969,638.3148832539451,948.3532104174056,738.5657983290029,983.645821567966,764.380738308674,973.6730065160624,767.7426220592766,934.6581520689789,751.7724144028035,911.4637980518,550.4155943544013,984.8454305264152,633.8320741494634,949.8647755791225,731.6677515052689,980.106459327884,755.2951044533906,975.7562462983198,757.183876270013,930.5736848478584,745.543918407621,988.8072612140314,434.5979886658685,1034.1082629069285,374.677153320639,1033.7378304590427,403.87959658901576,983.7083216962732,447.71014314911014,922.7891855373281,469.4367700203654,867.4037831400996,480.4594806217572,976.7840580573832,440.8165098235828,921.7349846967285,464.6670446977435,872.900760302501,476.2002999024057,4,5,baseline,person0,65.79622997188609,61.370578800993,8.546607213217406,8.103156107744903,72.9693554637653,74.61134975903452,-44.96484016301082,-41.63841515231136,-7.27312215770739,-7.880227440897371,-14.464532021328308,-10.984663004840922,-112.5728967828181,-109.78928596852116,-46.77212715318549,-48.41310525344813,7.263418141168906,58.64369060971158,-48.24195416680608,53.03156056269579,-24.21107097898136,-89.58307579408108,-31.484668125035036,-28.76554050328847,86.174705544695,180.75553320428745,0.20024645479928263,11.731559523920554,107.74717788905114,0.10838396482837358,-21.119843456953355,345.1704715657904,0.34581599475529806,114.70180947285301,846.2678437217874,0.8540057191927172,-175.28685421834038,258.6979239683133,0.3124901552485725,-64.0744640799172,88.10893920267367,0.10894366486652193,-67.50622467843392,334.33226786894966,0.34107939795409853,367.3007083289041,1400.1342767994279,1.4475102083949432,-43.87320043774346,343.5404954736168,0.346330665328539,-94.97922058493383,106.16271499570028,0.14244849735318307,60.02283001746761,178.3691163022347,0.18819745421696313,327.19749865480253,1305.5902006644935,1.345965815018016,-118.52926500809387,267.22480637977833,0.29233248845803805,141.56085080316672,920.887505051904,0.9317044979181097,-54.2048513668688,401.9378338147207,0.4055763653905074,-44.943393403124965,94.194043316596,0.1043667878537843,-71.78497454263055,398.61935752571475,0.40503144910525124,-69.55794632215014,345.9545120292732,0.35287792831228143,-49.430149693777906,88.6735368574536,0.10152012528341105,-0.9213070552864745,61.18295221852942,0.061189888452790754,-69.06975399869414,82.83824065440032,0.10785548216088262,-71.52267095956267,108.77203779526636,0.13018006248010763,171.7442115137361,177.94419847218882,73.11249778549545,110.50361277410614,94.6216379946153,92.85068804042452,105.41581776289706,65.80076962963261
7,0.2348008385744234,912.9497551875137,570.7294535844641,910.7960036245928,570.3267346912008,990.3884190748512,649.2674602935532,945.7713299825956,747.4697065922242,981.3342205589433,771.8983973414477,971.5865555829776,775.3851631237545,931.4655261198255,760.5094048773758,911.4313935322897,566.2932954562806,986.6430196616584,645.1867843752862,948.2241792707712,740.5642842238879,980.7608991453703,764.5512233097588,976.0414784114245,764.4267324382879,928.7665853327726,754.4172039621521,985.6439121011667,448.1287869204111,1025.8857826010883,386.0094448477543,1027.9098108446315,415.2902254763444,980.7590477769992,463.4115475498419,932.7130348735589,502.79300068958077,891.5022030865855,529.0353713080374,973.9799029185856,456.7968129710205,930.9559227426116,495.2332785122565,895.7921165610347,520.7014335670935,4,5,baseline,person0,69.97130415747367,65.79236158110008,10.83519111812896,11.602367793391329,74.50672382787853,76.18597717947922,-26.380167154171293,-23.149792686777413,-3.830400772860543,-2.6444344602957046,-12.882968899665716,-11.011817632098854,-114.49822266268995,-111.99861072825846,-44.51501886935311,-46.193267695547526,16.27937976986226,59.27986306012011,-39.16414045496485,57.252860857652465,-73.36810698724359,-118.0215454783237,-77.19711222835954,-72.78237456645338,53.590626094437624,338.5122986073415,0.342728072257905,19.510487058812163,275.9480434054742,0.27663691323570966,-0.9660597379027563,473.3539640997776,0.4733549499058722,274.8992154928924,911.2558455951676,0.9518176268645016,-245.13269411785942,337.843941152124,0.4174069552591091,-62.202318442590304,227.84325548474447,0.23618145035019145,-94.30734542727703,403.3869229635495,0.4142642695424508,718.4341446546089,1448.1687410847246,1.6165829155538283,-38.11905833446682,465.38556453632737,0.46694409332071285,-95.1801611091314,260.471528523187,0.2773169310373343,16.414610922945148,326.52370299331466,0.3269360305445364,682.4485584575372,1326.6900473785038,1.4919257745457537,-173.74783475463875,340.17937370348426,0.3819820890764645,295.85475833638037,994.4326268259822,1.037509656497857,-87.92522871835658,468.09811869681465,0.4762842581617332,-48.91027744272089,265.2278816738255,0.2696999155667438,-83.59887507540375,476.4127875829857,0.4836919640499147,-64.73248055960026,462.002159109698,0.46651504698286184,-53.87415429349656,264.5348255944595,0.2699649948662429,8.503482371931034,215.92764951669218,0.2160950231686357,-68.91460508148651,224.1202099145617,0.23447620622503354,-76.97231046277305,265.44776509728433,0.27638243897382586,124.4693991578294,131.8243991319421,68.22840766517561,104.32024837833389,45.83279435512573,46.94357997200751,103.79488192947322,69.98320379333684
8,0.2683438155136268,910.8167880238848,589.2424989225912,909.277768265664,589.1024707549591,989.3403833682174,665.1504268232316,943.514254584204,761.8068269080185,979.740740049736,784.3447927487608,970.269326415624,787.9244580070832,928.9059903061768,774.50292058747,911.6311150364362,585.4986473685003,987.0345288569576,661.6877122580742,946.6154848423488,755.3798350340323,981.618516885398,779.1021584520922,976.3721405883988,777.327175250867,927.131900908487,769.0528543509976,981.479746129574,463.3605066741419,1015.4330249497024,399.1618210352235,1020.5072398742501,428.4276402004737,976.4451304765735,480.2812484014937,947.7677907566696,533.8048573997089,927.0438099727844,570.5636223172336,971.1111115876828,474.3269905670968,946.136630848052,523.4336529432844,930.6094016550073,557.8384494687865,4,5,baseline,person0,72.00241610221418,68.09512329251089,12.77871144031992,14.429906724130127,74.25571226071608,76.1212758667882,-4.89365675775672,-1.2223593777698611,1.675160131446471,3.5636657931357822,-10.909819551567637,-10.46583007271993,-115.36278761641388,-113.32116083493052,-43.33842054774462,-45.20366448948472,24.02280218978067,60.42149302992093,-26.358151100636537,62.17796871493827,-98.78547336521989,-121.48565206023144,-97.1052985876805,-91.54946894853472,11.671867884860038,491.93391250561706,0.49207235928571086,25.567728874575277,433.7997539308144,0.43455256905262785,5.954197342370489,572.5595538830501,0.5725905126779076,452.57486039344053,840.7236627250171,0.9547985553643819,-311.62283748194426,392.10521508892606,0.5008545622635688,-39.269894551727695,373.8277287092372,0.3758846836065695,-124.14419802810869,454.0956451581,0.47075963809102556,1059.5841552948036,1238.060983211661,1.629574662389799,-45.262391638065104,559.7516314007894,0.5615786436044757,-76.30616144440363,417.1816871071835,0.42410280632409797,-31.244564504020424,473.51093966603554,0.4745406545223052,1037.9903118640584,1107.14728656922,1.5176294019559688,-220.68914705449313,391.65917646310356,0.4495560144580386,448.8199097652398,924.5409781706956,1.0277233731498494,-128.60865951894226,502.9279566398702,0.5191114686396501,-47.959202647342,441.688608527433,0.4442847195453258,-85.52584155253926,522.6184195830252,0.5295702805678667,-63.58908356568574,551.920164142915,0.5555712727780892,-48.73402939901453,436.3253272174531,0.43903849124294503,9.85786615104979,384.59445135001323,0.38472076826481527,-47.50563768074494,371.0581630805239,0.37408681612714834,-67.28906031454936,427.42539941461933,0.4326895997164271,60.55252485257658,68.6510835214347,57.941199605317934,84.29600437265036,-7.483282346030547,-1.9289078846012728,103.75991357766554,72.02436706866926
9,0.3018867924528301,908.9902490682884,609.3599356137739,907.4778418673773,609.5955020782161,986.7191218365768,685.1408463258249,941.9570532985464,780.7422478920025,979.3161321114928,800.9213405902817,970.1362857896944,804.6265471526833,927.401892472946,792.8359109642316,911.8303671336496,606.4863217223032,985.6560256904424,682.3728361384385,945.1332440856344,775.2256474227996,982.4489525913044,797.5993500070932,976.3279215695741,794.9290485042352,925.9588498197901,788.2007193419274,976.3812505017848,479.3252025100268,1003.0538285173185,412.822120479779,1011.9403340339337,442.1985139925193,970.8304692577632,497.0466450528661,966.3717839537468,557.3038330376786,969.7810987588296,596.0765243245972,968.395452122214,491.942006412202,965.942800447694,544.4374473658016,972.9886184197326,579.6808412282412,4,5,baseline,person0,71.4857955219121,67.72593327528588,14.090749223773187,16.28918366644124,71.97352709886076,74.23564381201803,18.79079924007354,23.500803329854836,8.871647793298143,9.977974648300671,-8.653293129785776,-9.351432511767072,-114.9751140079775,-113.47746483115252,-43.45736635490196,-45.72103140341057,28.090838766944003,62.02439098177772,-11.049637098806416,67.82923472683565,-100.11926501569658,-105.78484058634136,-91.23711311827978,-85.4279003716376,-41.096625651735074,616.6752556833598,0.6180431243951315,24.757364482333127,551.4475232334698,0.5520029872894161,5.940203148174107,625.6950416727491,0.6257232384907122,590.4714311893272,626.1756212212981,0.8606697506376362,-369.0547936404433,407.2476771908109,0.5495926776134313,-3.9662736605282944,497.93103265320394,0.49794682909507143,-151.99890090346534,475.9474946073187,0.49962954626287376,1274.1054219339737,760.60339109453,1.483867293509109,-53.660305748923605,610.9484963246023,0.6133004920708612,-44.840916653193254,546.5522756072061,0.548388637535201,-78.14635941203397,595.964381421066,0.6010660507897186,1263.4303997983718,651.1763043287465,1.4213679869948943,-255.40088036443242,410.54417492536015,0.48350401162355605,554.6315471878637,700.5632112069709,0.8935350950201264,-167.38708758578125,499.81838766903974,0.5271023218906633,-44.18930255954918,591.6532818401244,0.5933011885820633,-80.960597814289,525.1476598821981,0.5313517507999723,-54.453692613716775,599.751081355885,0.6022180371151487,-34.971585581776935,570.8457250420983,0.5719159497661719,-1.3182794987139657,524.7558463660416,0.5247575022390604,-12.658624158874549,494.18833252534404,0.49435043114148863,-46.424063328667735,564.5122380850247,0.5664179204471799,-15.401751050256031,-11.00647738852058,39.11512641920055,55.429693842650074,-68.0376451378119,-56.21540563283573,105.48175733667968,71.51774765307553
