Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,RHip_vel_X,RHip_vel_Y,RHip_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,Head_vel_X,Head_vel_Y,Head_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,right_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,1006.6763880503742,579.9023308533701,1010.1580273112418,581.638745321905,994.4901934569158,682.6935841220774,975.3367946353072,776.7695828401584,999.7249548239772,792.4405746017864,989.2714980853876,797.6736190551931,966.6234134490232,790.7009502593052,997.9592044547288,578.153114884796,991.0059092653916,675.7251095123872,975.339256059326,768.0515990375898,1004.957829842221,783.7304730960038,994.5059377534028,778.4939556291472,966.6204678515198,778.5075388186898,999.7282930860711,456.204510901265,1003.2168494022828,395.2341666693976,1017.1575966889761,421.3742644140802,997.9846433982166,457.9489025544151,1006.742915750084,384.8135127525516,998.0877851537972,330.8506797744677,991.0054880227705,457.9534103342483,1004.9899810513108,395.2694537828344,994.5999974516963,343.0417689000949,8,3,baseline,person0,2.694620957685686,5.554027265503206,1.8730981867416727,8.498807623980895,-7.292202371121582,-12.028793701687604,169.94435317696292,164.20502485892615,15.936879797347038,23.823402560362005,-3.0090428174607813,-7.7575897385720145,-101.5078729432114,-99.63068792046288,-98.81325198495064,-94.0766606543846,-16.098874557354762,93.21554171635395,92.26659571249358,86.72558373416504,83.15989487408905,77.42086391094823,99.09677467189698,101.24396911687376,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0287937013046,2.6946209582607565
1,0.0335429769392033,1007.146478251867,578.5931713348441,1010.4911723203298,580.2921394669758,994.4696211596774,682.8437976178757,975.3723361142988,777.2445704610352,1000.5875389235313,792.7842413475789,990.602675745626,798.3843269403453,966.645200067469,790.8392733250469,999.8940117447396,577.3825510115747,991.1382962705776,676.9844416351743,975.5023139535867,769.5364203996521,1004.6642690340342,785.8846790412158,993.7210004965308,781.6582026342865,966.2133259188233,779.9473047798515,1000.6205114046247,455.1679217422343,1003.5350628160882,396.5047175649221,1017.3891447031285,420.8717533747594,998.4403035310976,458.2281553625268,1006.2387138239359,386.1724749545071,996.9848896566889,330.8361292649748,992.4786825131297,458.30640505726825,1004.7145736156269,394.9916581561424,993.2042027236124,342.147485042361,8,3,baseline,person0,2.5568613175602977,4.595836968709183,0.8528748088671138,8.140922106802572,-8.019948707733395,-11.904441783186304,170.78905142332343,166.01040561693577,15.625264676510152,23.18407686702709,-3.529314152820728,-8.739163792394008,-101.4375560296995,-99.59203860539546,-98.88069471142552,-94.9962016359726,-17.61092924375591,93.0237470694954,62.677025490103645,87.23841372990223,83.81279845270976,79.03463110427796,99.43806312976812,102.21822951389592,9.931885583435637,-40.145687050079665,0.04135599762991325,39.685733995856786,21.187978826101844,0.04498764196449113,-32.880072007540996,-0.43378706425691443,0.032882933361216386,-8.751781594071279,64.22226474163239,0.06481583887920177,13.584367711515085,8.325224341829959,0.01593249529933876,-41.61213033099899,-26.660837508692982,0.04942033637430017,0.6495135624143011,4.1237563974240095,0.004174593955471067,-23.400941970496813,94.33411384071184,0.09719325655218544,-12.137918868512036,42.92302271713288,0.04460622101942829,-8.21058417632578,-8.281782120755299,0.011661972715291073,43.91961074383398,10.52365518003295,0.045162811319028086,57.68144233344469,-22.972435470405987,0.06208769267019409,26.599258621881734,-30.903314303603082,0.040774200104735696,9.486737399071565,37.87829857282496,0.03904822261321271,14.014564132007463,-39.029318146058216,0.04146921367419907,25.715788467956255,10.245564858943993,0.027681643300344363,-0.6133116114197128,4.478239843488524,0.004520042392335537,6.903025171917596,-14.981110359751602,0.016495012098667425,1.0595803424386252,14.160568447390583,0.014200155254620143,-15.031519923289796,40.51406064579756,0.04321267986616452,3.9467875921085214,37.543838910589294,0.037750721482396866,4.861163472648409,44.26623685648221,0.04453235493146523,-4.106959271238143,-28.566048223171837,-30.415409452885335,-10.669461980878767,-21.695937660239707,3.7072415703200323,191.90444178092093,2.556861318273974
2,0.0670859538784067,1007.594070013871,577.6037510923185,1010.7643487608395,579.2558772407341,994.4701278445111,682.9410755897816,975.4613560704656,777.7566926943748,1001.292706783754,793.2713060980052,991.7910085003654,799.0925339845547,966.718478950133,791.0105409814984,1001.5764395197051,576.853023103677,991.2694973760637,677.991784609223,975.6303898752502,770.9810159970965,1004.5904139925767,787.945608394132,993.269647467936,784.3821396331502,965.8300206376513,781.1921248689308,1001.428299421367,454.2074703431594,1003.7528174949452,397.6683923794763,1017.738663222069,420.3246412950163,998.9347261386564,458.3745323902205,1005.9412792967381,387.0747198562874,996.1906964676999,330.4412554985945,993.883969216281,458.5248295025537,1004.7284325127564,394.5983311357259,992.1919549234818,341.14883455687277,8,3,baseline,person0,2.403200788001011,3.75422128776983,-0.2574880805063431,7.567466734016318,-8.653608685947885,-11.790657304473552,171.5096984889805,167.48022223659612,15.33697305869306,22.772293566144004,-4.103579720207573,-9.809404851581805,-101.33794491303054,-99.55191679427368,-98.9347441244466,-95.7976955059209,-18.390994443531053,92.8559131746823,38.04621582050702,87.78869682914748,84.36561159918614,80.336739785399,99.70258465828056,103.10842891334651,8.144072632696194,-30.893567619829046,0.0319489974698359,35.427170250668205,21.113422505491954,0.04124149611574784,-23.676884446730917,-11.772174160212987,0.02644199201199173,-2.2018034234488724,61.44145633381205,0.061480895363805854,14.739973987847629,4.3638651381187685,0.015372382772560443,-30.17763754139497,-29.772267598616775,0.04239195354714686,2.1846266894190625,5.105917007959718,0.005553645853337645,-13.455962164981887,81.2073717786288,0.08231464115804589,-11.427288694944455,37.11119890567762,0.038830709639850435,0.41316837067201184,-11.726061796166912,0.011733338542377823,41.89510983769869,6.511778775071411,0.04239815433634238,50.157378041159575,-15.786550754204397,0.052583055794417924,24.08218024912996,-28.633457334920806,0.037414252424742035,6.491811363427169,34.6920554088972,0.03529422506972374,13.343829404742127,-29.497090980296942,0.03237493103440957,21.022816832891852,14.520617872082804,0.02555009140837605,0.01510554160636527,2.9000995374428604,0.0029001388767546142,10.420020845916797,-16.31077887734166,0.01935505985562627,2.6539074432204814,15.267644081434366,0.015496586092250733,-8.867266842083529,26.898176134325563,0.028322081501929115,3.9114329573023845,30.031412413826747,0.030285062974159695,3.8182634145906302,43.06700624881007,0.04323593601089546,-4.5810045374862245,-25.09066748800444,-33.102693639446144,-17.09613830119016,-18.890988100519472,3.3921997716239143,191.7906572991289,2.403200788583945
3,0.10062893081761,1007.963367742418,577.0903222320578,1010.893534323817,578.7028513073502,994.4721585803048,682.9570291566781,975.6232993742753,778.2665869196987,1001.8699277555232,793.8852794016634,992.8223526525304,799.7508638715173,966.8662261197976,791.2089620141859,1002.8700135887676,576.6690308651727,991.409134781346,678.6341511907793,975.7144625913148,772.2783963165487,1004.8284712232997,789.7655747045047,993.3336248578812,786.3983642191627,965.529768423453,782.0930350731091,1002.1487528726165,453.3926531461084,1003.8920866354053,398.5833523300479,1018.2280355272633,419.70324777268655,999.4867706135732,458.2440191041473,1006.0505637697474,387.24325149679527,996.1713571499,329.4528680105403,995.2501034105504,458.50103343167746,1005.2591527588868,394.00193103438517,992.0371381935488,339.9546554433884,8,3,baseline,person0,2.231100309193544,3.111097278915691,-1.4331397170624864,6.784348132389132,-9.09637757647146,-11.643709342068066,172.00684258830356,168.46883738281812,14.963902856362994,22.524427382559036,-4.701350797509065,-10.953763320578853,-101.1879584536076,-99.52062365773314,-98.95685814452888,-96.4095263789322,-17.67354397264179,92.6868511882285,21.59320011747428,88.36267278098691,84.69369369516983,81.15620303123833,99.6575965513161,103.68011587202852,3.851344596265952,-16.48708563900786,0.0169309435078842,30.746947536418887,19.62645975507171,0.03647701612419449,-0.576553411911312,-29.466301987615516,0.029471942023934234,7.097081190929747,54.25774562798721,0.05471993715330834,16.45782590845553,-3.8909273410578606,0.01691151528416131,-4.615473761127719,-35.60146482075391,0.035899399652682726,4.404712495625643,5.915427036996805,0.0073752131629637304,1.9073259377423395,60.1086954704936,0.060138948805223746,-8.95126913578597,26.85838546206449,0.028310741579303633,15.822097337763585,-17.78017802121996,0.02380070365833621,40.72787566665812,-0.7094203629971357,0.04073405373358018,38.56467693392577,-5.485268610409261,0.03895282375831574,21.478518515375516,-24.29173768708327,0.032425534343683386,4.151961249964649,27.277243526414644,0.02759142614328838,11.009688532307191,-15.306597896519847,0.018854845020422794,17.208400220867947,18.304079115310103,0.025123064112904294,0.06054131084772689,0.4756157131031801,0.0004794533938453326,14.589411848601847,-18.52529438445602,0.023580446775217846,4.8279347448299195,15.201221592471548,0.015949485628187487,3.2580433515893343,5.024349532641665,0.005988233020431986,4.162940144979574,19.15055371264582,0.01959780033962014,2.506417847675507,38.67815077366717,0.038759276021330384,-5.130745524447616,-19.17313451396405,-35.04911441483008,-23.34672331101053,-13.200047548734073,4.380886129213556,191.6437093327574,2.2311003090787267
4,0.1341719077568134,1008.1847713309984,577.0721584030297,1010.762650759583,578.6452069911993,994.4172565383708,682.8986332589736,975.8194487793904,778.6776921611777,1002.4939732715284,794.4819032804405,993.785784278132,800.2816413251619,967.0653084544576,791.3829854706412,1003.7761167311148,576.8085995472827,991.594096358974,678.9857741163299,975.7820450728165,773.2860851583149,1005.3787134290744,791.1806237579785,993.9731486922198,787.6524241966868,965.3855595284632,782.5750051427035,1002.8395146414799,452.764271570683,1004.0053253464831,399.1815026254349,1018.7585726391887,419.0355919988763,1000.1061980872363,457.788743456739,1006.7339287707953,386.68258285147124,997.460945670548,327.914413850424,996.6547287018013,458.2313242427643,1006.419215868482,393.18888605803096,993.214303372419,338.470773846354,8,3,baseline,person0,2.073782072830179,2.717984726300758,-2.5295003397644957,5.9670109476179665,-9.26696953113046,-11.37453806856364,172.21934861032392,169.01486747750113,14.294221531418597,22.100382045830404,-5.224402788042439,-12.054704190414778,-100.98856982853329,-99.5252039445707,-98.91478775743307,-96.80721921999988,-14.240193137158707,92.459750298298,12.996635584584292,88.9647922499062,84.67909883953592,81.47457815349094,98.9733203693822,103.5749997509777,-3.9019662587250292,-1.7185211752505556,0.004263643478764747,28.722305338248873,15.823802836779741,0.03279273639330634,38.44585777181778,-45.86516464846642,0.0598472832135409,16.404095759655185,42.186149906687085,0.04526329198855748,18.46668155858323,-13.572905238360713,0.0229181605805448,35.09423689506874,-44.238220111587594,0.05646791639407707,5.935142102052405,5.18807429557485,0.007883021417448993,19.06580431121704,37.38666307993858,0.04196745727687662,-4.299227681882916,14.368732699782555,0.014998127818446835,34.58438145480552,-24.238903357559696,0.04223273465676376,41.8753914954192,-8.040705194473862,0.04264037233560544,27.0131999312253,4.160891335406441,0.027331776144799133,20.593335234240133,-18.73362571736927,0.027839435852550522,3.375929074007601,17.832355681225277,0.018149099323505207,6.600594484551975,-0.5415091528997503,0.00662276979157302,18.604356945903362,17.786849386043013,0.025738960904674483,-1.6367671251584204,-1.740927700315723,0.0023895262877244,15.816637649279604,-19.90448775671738,0.025423506040393427,5.847704139991866,12.256075011590141,0.013579654575820489,20.3728190937381,-16.71493398872347,0.026352244232200846,5.514167033035935,10.482758467979858,0.011844587927244398,2.014802729767247,30.041723595157016,0.030109210992779127,-4.690049921582824,-11.719667974832669,-32.68525106430361,-24.366864820990344,-5.085772648271451,8.024668591350698,191.37453805573108,2.0737820711002115
5,0.1677148846960167,1008.1772318464164,577.4436204022343,1010.2356115392472,578.9355421852422,994.2487173061941,682.7401731083885,975.9738888131795,778.8887146709586,1003.3116469749099,794.9116413844584,994.7960025434014,800.5927338483862,967.2644394542712,791.4492372180795,1004.3607059448394,577.1381521574771,991.8567926852372,679.1600655189549,975.868620215313,773.8753649406116,1006.2056643697537,792.0928171514689,995.1647983208256,788.2435890570699,965.4378241838756,782.6206938489715,1003.5262916561865,452.2623235530926,1004.0149826415876,399.4960743050312,1019.1957443106572,418.34379527475727,1000.8103653188822,457.1043904228134,1008.2104905557192,385.6737047572313,1000.6550034804471,326.12140482985603,998.1279192501632,457.7641901230141,1008.2970801596917,392.21985304886095,996.2386624777148,336.6486346242552,8,3,baseline,person0,2.007000887465413,2.590527576596709,-3.423878753155788,5.262807321003439,-9.125634141608534,-10.881455516775835,172.0314804682841,169.1260401330196,13.14949140611776,21.11597121881263,-5.606376224340261,-13.011739213401356,-100.76015527499332,-99.58786058895734,-98.75315439203986,-96.99733301687252,-6.4058976348771175,92.12830111175964,8.01975409836469,89.69049621678289,84.1597815858536,81.25298527203107,97.3092729881428,102.3703124655868,-15.712356756261421,8.65561797240632,0.017938725632560337,30.11713203334312,9.274445848623103,0.03151280672540712,95.22284845761766,-53.4540814256837,0.10920041066518954,24.653474919001823,27.194765543434624,0.03670625421565419,20.9929855934435,-20.402274823905653,0.029273849458462085,90.16370582662965,-54.32252555882009,0.10526362444586293,5.936592931943335,1.9751302205025205,0.006256538581959029,35.526054552811985,17.62410240017212,0.039657402051838014,1.5581400394826277,1.362094555617368,0.002069565645511492,55.98382918169347,-28.889296585880853,0.06299825860348855,43.91949322303663,-13.92643594505256,0.04607458630416569,17.428065934165197,9.824787191420736,0.020006597051030802,20.47453975093879,-14.964325274413927,0.02536016184749687,0.28790811030268754,9.378168197964989,0.009382586521279724,-0.22477088410047288,11.074210851286255,0.011076491679637807,24.37689728206381,12.811567226034208,0.027538507147038375,-5.02457585926923,-4.7240932393174475,0.006896623775392995,13.033180455651543,-20.624189837798,0.024397151457805636,4.604243507339685,6.291108572846083,0.0077959672491755075,44.01999821304523,-30.07717818452826,0.05331413405674303,7.831634226721359,5.19606244075563,0.009398593487824911,2.581021435678334,17.567903509721155,0.017756489106191684,-1.9909140886870884,-3.799816275551976,-26.663656449227947,-20.994070618445623,4.2135613001224135,14.700023575173935,190.8814555037995,2.007000882953463
6,0.20125786163522,1007.8454410899704,577.9579684301547,1009.2421017907842,579.3006318646618,993.9643739540766,682.3699365254209,976.0469527382136,778.8112371701554,1004.4022640824982,795.0976400487656,996.0050173925769,800.5897167690067,967.4484784548368,791.3412489831044,1004.6717624122327,577.4280654615278,992.1874844841789,679.1497989852052,975.988773259892,773.9769364527887,1007.2285462827946,792.5310084331602,996.786467396943,788.3597557022343,965.6756071325095,782.2717093543932,1004.1617721502869,451.721164301942,1003.8636374072358,399.4668716100751,1019.4977700923578,417.57544000893995,1001.5939361970184,456.3458339733944,1010.7743840033605,384.63976072182373,1006.3255122611113,324.4999708210371,999.5945989062142,457.0880629775601,1011.0419108455945,391.1838243702197,1001.6629215064596,334.565281554186,8,3,baseline,person0,2.103212309977423,2.699226623130037,-4.12799178199332,4.712397440395847,-8.675477163346665,-10.093481317626958,171.2109182764256,168.62262311770266,11.525058868524305,19.385020324496203,-5.851044662741895,-13.828403634826415,-100.5224018228232,-99.70041198169554,-98.4191895211478,-97.00118536686747,7.264043222458395,91.67429179163632,0.9318922947589596,90.53797713764112,82.88521025150727,80.29325642518599,94.41026911323983,99.68193541051087,-29.619009376053754,10.884236067694033,0.031555543272079024,36.043755191043466,-0.08994667899960022,0.03604386742119852,169.05204302354898,-48.339001387914216,0.1758273366277742,30.494667032531765,13.063577585418997,0.03317501735877829,23.360206804431776,-22.614464148304666,0.032513278066980233,161.71072229445707,-62.10996340143761,0.17322818840686102,5.4866627043627885,-3.2193992551934665,0.006361446313204713,48.34600933174954,3.463218108965187,0.0484698926961457,7.088904156150209,-10.404100244616163,0.012589593481725525,81.83026482347766,-30.886604981993102,0.08746527658673564,43.72538724601937,-20.157040523847662,0.04814785324907426,9.273370934165097,8.643040377011628,0.012676653952888015,18.94526223036966,-16.133310174927693,0.02488386340940443,-4.511979799112602,-0.8706053433786914,0.0045952056941468596,-9.891511926545196,15.334000582376532,0.018247563729257385,32.51402251997257,5.545085179656318,0.032983475106163805,-8.476986185001985,-11.037678129722856,0.013917242301407156,9.004143616948458,-22.906591362180276,0.024612731057494324,2.178218265077133,-2.30979799269614,0.0031748703244981126,76.43607340780628,-30.824456555588366,0.08241735521084685,9.858749255947334,-0.30607103741600633,0.009863499195092329,3.582062641512006,3.0281007067781744,0.004690476165391574,2.8683030336393056,3.240590324774845,-20.99136967221894,-16.409094565613874,13.420304914432005,23.491480812125936,190.09348131278412,2.1032123016753985
7,0.2348008385744234,1007.1060090887145,578.2932087966265,1007.8561366610257,579.4247053275656,993.6147176839296,681.6181379905821,976.0825924908886,778.3781283775318,1005.8321810531994,795.054245846782,997.5907689329132,800.220962280493,967.6696504762376,791.0696910690812,1004.6838954278899,577.4239646900318,992.513166395094,678.8231615270739,976.1330022488792,773.6135929141645,1008.2551819763956,792.6302535205356,998.5793465972878,788.2392654824257,966.0343549099132,781.6573658903153,1004.6761597367315,450.93695078698784,1003.8207376488375,398.7591881925891,1019.8209190862988,416.6131331204345,1002.3935893889404,455.58973158687786,1014.7375270966177,384.0122775692411,1014.9012993242,323.5705815620222,1000.8615992323702,456.0864857515498,1014.8831569827656,390.2459224420593,1010.0250186051185,332.6038420040147,8,3,baseline,person0,2.3567163930935013,2.9697757250671706,-4.754321541824562,4.294772695678081,-7.936254574531811,-9.008100601322331,169.4240960839098,167.0962612874173,9.639255310833676,17.04623302157788,-5.9760367298258705,-14.564223795944754,-100.2686889939356,-99.80990229911878,-97.91197261289904,-96.84012658610852,26.19227408425693,91.0961280064491,-11.251765154012844,91.14832204522054,80.52022458421503,78.18554435111277,90.15947988551804,95.23862279979788,-41.319085430925995,3.6989401128187316,0.04148432208444993,47.27521779627751,-10.99349318881468,0.048536616179725475,255.6656518183315,-27.707417284382352,0.2571626459893879,30.60657661548165,2.9587441673810684,0.03074925526199553,23.839660784177582,-22.541302398023767,0.03280914110585351,249.2950197537672,-58.47541658948198,0.25606128410859896,6.593690888011853,-8.095820311817347,0.01044121956707572,53.450211160278236,-3.5921146780452045,0.05357077898386919,10.69516811384582,-18.31511452282415,0.021209197084462873,114.51715046441241,-27.961201233281894,0.11788132390203698,37.772447223525965,-29.859521050431937,0.04814923433051913,0.361715529275996,-0.12225425022571018,0.0003818170056685067,15.335179920880211,-23.379365414571105,0.027960015564977986,-1.2789490472501892,-21.09781188380148,0.021136541272160334,-22.0443165374422,9.99435342544087,0.02420411105567749,42.62939968903162,-1.2936896466368606,0.04264902520279947,-10.424127553755522,-22.412993819880334,0.024718509809997832,9.633879381867118,-28.688774113567316,0.030263135860046864,1.0625101266220678,-12.912055880094162,0.012955698160263254,118.15120346772953,-18.706841486368656,0.11962296100360059,9.709391969159345,-9.737879220536923,0.013751312087380636,4.299826734182368,-10.832179245231133,0.011654381886003458,7.557590477898075,8.065745101500786,-18.672455964968886,-12.450437701898368,22.038073429042786,32.35791260483163,189.00810061934814,2.356716381036563
8,0.2683438155136268,1005.9142002462951,578.1641690611622,1006.2330015514391,579.0298043325914,993.2251342856664,680.3532833333752,976.1553396175176,777.571200356682,1007.5497764572254,794.8304729820039,999.559142262061,799.5213852698063,967.969664352611,790.696840431646,1004.2820440117932,576.914662060989,992.6756466428708,678.0285272150142,976.2691551029428,772.8661378700104,1008.9528836038511,792.4989836777114,1000.1292539777343,788.0839463693022,966.3953680555904,780.9382511126406,1005.0428827387394,449.7357265150166,1004.3856973000522,396.9589195258331,1020.4971409835573,415.31873545763284,1003.1260700481155,454.7642146951648,1020.3378710926361,384.1997172919966,1026.5956374195487,324.0207435968151,1001.6999573030216,454.6060271074653,1020.0527837813862,389.7591248147554,1021.7104521694221,331.6251596578945,8,3,baseline,person0,2.6685262987885565,3.281589694564741,-5.417639777339814,3.968074500977147,-6.926964362159132,-7.681149004007651,166.33389771158693,164.04471159717554,7.827699271351575,14.488297328565372,-5.977230971986775,-15.23611629909024,-99.95959758025091,-99.8184763341786,-97.29107129473468,-96.53688665288615,46.00479364672101,90.39007777091516,-26.1811687412523,90.9694985677868,76.72397640551823,74.42469940726056,84.55167566693375,88.92308760976061,-48.389715454549275,-11.772985912664717,0.04980128270508749,58.68212987521838,-20.856139631096646,0.06227817376098786,348.6374544675828,13.42045566226399,0.34889566246632914,20.800229768514573,-3.9134821891961233,0.02116518134267115,21.83707965165715,-24.610722334195664,0.03290206226855235,348.37198813579823,-29.176967443708335,0.34959167259375606,8.944163689380508,-11.115609628536767,0.014267264682357722,46.20661377956032,-4.63045105999427,0.04643804726721889,10.762704405503579,-21.438609309427665,0.02398853424539575,154.11949893387475,-14.512654263997932,0.15480128257031645,24.993549981296873,-44.136173326769885,0.050721586495280864,-11.980195342380183,-15.183584628335362,0.019340794259993816,10.93292949736072,-35.81149860814208,0.03744318869908414,16.84285960183897,-53.67050962766253,0.056251271303502784,-35.53080111462918,-3.8469971135293815,0.03573845568346284,51.205812982526595,-6.67122853119525,0.05163855704139034,-11.61445506072244,-37.70847946798179,0.03945662162609395,20.159865312018017,-38.589230322275796,0.04353790149127949,2.168773712626143,-24.056541621584834,0.024154104707225676,166.960255381298,5.588046734647684,0.16705374327831404,4.843942386844771,-23.69003542828061,0.024180189338387365,4.05905696176936,-22.28350350384341,0.022650175977786347,9.295832813533824,9.295953965646314,-19.775174896298434,-9.7396899295216,30.08946445636048,39.55974449494388,187.68114906564983,2.6685262855162364
9,0.3018867924528301,1004.2689248342524,577.4642848223547,1004.4591873217663,577.9961692576618,992.7044744982035,678.6254755204955,976.2810657411844,776.4362738555084,1009.2590497948947,794.4142424601998,1001.58371987133,798.5957331838991,968.2785892613018,790.2212577929645,1003.2944016772145,575.810910460332,992.4497099412241,676.7606476343433,976.3595810188575,771.8085021640035,1008.9737758179418,792.1116393368545,1001.0170361614059,787.904276103641,966.6291229097612,780.1829869263572,1005.2926600416467,448.0696955735047,1005.8503931525129,393.9973701536371,1021.8399951527883,413.6329401536733,1003.7535002827196,453.7320099342609,1027.6458006043738,385.61361104499406,1041.3524245298725,326.6535483560179,1001.9757384133814,452.6287610247986,1026.6168594261717,390.29291897154764,1036.707260100923,332.8330839700629,8,3,baseline,person0,2.8904546002671374,3.488353905589772,-6.1983072222043445,3.6520268358897394,-5.664048107449202,-6.189141379380148,161.71857626138444,159.14813574536504,6.3702839485052385,12.11644072739495,-5.865147333016691,-15.80540493058514,-99.53429104662546,-99.60709708001716,-96.64383645389962,-96.11874318196868,59.8960813819608,89.54530505249073,-38.52076223974375,89.73166114339008,71.26388267320453,68.68208501394352,77.63416661728617,80.80988288015604,-52.881836722121015,-30.815245671338584,0.06120513067456043,60.35771997633199,-27.59600281110916,0.06636711333101697,439.9367157265286,78.49049188373354,0.4468837333808368,0.6228491325801782,-11.54770316179829,0.011564488287639974,18.705263869134694,-30.772604434448496,0.03601166588888933,447.0923364578686,36.011243556519666,0.44854026238660333,9.209823840345466,-14.17830741569302,0.0169069588141715,26.467006350712357,-5.3564197950256,0.02700358602462255,6.9688165899659245,-22.516313553572548,0.023570082322880822,195.69150516016967,15.913738299368138,0.19633749580381607,8.22172435260011,-58.947245089500576,0.05951784988532253,-29.444087099627783,-32.90559459458715,0.04415577448934386,7.446485842924392,-49.668547443823826,0.05022364738435722,43.66624510148386,-88.29119065859344,0.09849911324055137,-49.04977322152076,-20.865298869449006,0.05330329211215799,50.95771137926748,-12.408872431283603,0.052446815575672434,-15.522169913739585,-51.5102704214771,0.053798194372345814,40.033839920201544,-50.257772499293054,0.06425380950065934,3.7482100618195404,-33.834996316235824,0.034041974889644944,217.86764856868197,42.151707511237916,0.22190781585820646,-6.735737917839621,-37.7986599987504,0.03839412537093345,2.695822618209785,-31.530764485334664,0.0316457985934704,6.616237487830198,6.16415804118374,-23.27364820002383,-9.422171015418344,37.65069084353982,44.48047730920746,186.18914150639034,2.890454592725831
