Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,RHip_vel_X,RHip_vel_Y,RHip_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,Head_vel_X,Head_vel_Y,Head_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,846.1671606263166,469.0162812985504,833.3718526479524,469.0096233983952,848.6916110708237,719.6938228408443,825.6748126525821,962.6613774782871,933.0985802578824,1011.2972350996079,899.8311611856149,1024.0811333777995,797.5143909390772,998.4597479511948,874.3067851156725,469.02447181655936,928.0012784484294,699.2302072287483,876.809436502107,901.3194248582907,968.892732317396,939.6928892693882,963.8050799098596,926.8867603255844,861.4527682985711,932.0193682939329,876.8521602446726,108.35255897015229,927.9901683604784,-39.9987509909992,940.7712920908796,29.0545785585297,841.0184107951821,164.595864151888,930.5035787350912,318.0353730209298,1117.2063961996373,338.48604105556467,894.7989110101217,162.06363856498072,910.1028515651374,330.8593281068067,996.83870782035,430.5974466748851,7,1,baseline,person0,8.909221282168922,27.344809740003132,10.130489602739525,0.00245085372381,17.992207155227945,35.1035713545267,10.04437853299357,53.49576570487238,35.81226569507411,-5.409696113958361,-4.085227395720608,-95.41214696770896,-104.21571699846211,-86.50292568554008,-76.87090725845906,10.668403639120376,85.13688558631303,2.691983054875756,70.98022972570205,-59.75954305916027,-84.81873588069338,-6.263777354287821,-49.00647019428006,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.6398112718531,8.909221282168886
1,0.0336601307189542,847.4612818862529,470.6143973472779,833.8981518332926,470.1135741027805,848.8042618993916,721.563472191871,826.6403461278021,963.7766842308764,932.5046836178766,1010.3487520472194,899.2763224203042,1023.6679985557895,798.7713729176538,997.6969522394647,875.5828219178167,470.0901963998756,922.608252447637,700.6311396260613,876.3049080738276,904.1570215377084,969.2791168237525,941.2441962213161,964.3549950635056,929.3848372435875,861.5842786557967,933.9966415467128,879.2871477244568,108.7371715285006,928.4538501189794,-38.7486756352571,941.1722925413362,30.299256886684198,840.2921866123968,166.0713541505886,922.53227710148,330.5144062849531,1101.2522482442791,369.30360240997,896.5727565377324,162.859809891647,913.0528357462953,331.29510535008177,993.3967818304944,435.5720317138629,7,1,baseline,person0,8.623038304100582,24.338281551065855,8.974369888008678,-0.1842142039805419,16.54176096120689,31.861428321372937,10.608586154796804,50.834166993782,31.853259254524406,-5.412377315053291,-3.8473666791097174,-95.22816311105952,-102.8217365671204,-86.60512480695895,-78.48345501605462,6.6537643534065,84.97478402273852,3.5672325688974604,71.5711499186083,-63.16378765588855,-84.41662982246467,-12.329620662106496,-52.563370581123635,15.635684535346222,32.7969820914466,0.03633340976560739,-102.25527698017619,147.78864290555418,0.17971539901232159,-17.643919596287454,-28.17823437192971,0.033246365080105485,11.913217265990598,36.977822176240515,0.03884950551196709,37.90944285981699,31.66133228104499,0.04939196108429459,3.9070067292260875,58.742292752492254,0.05887207877595051,-473.9775994504419,915.5508518881597,1.030964658547488,72.34040473921709,11.426353675202074,0.0732372563395472,-160.21999575169647,41.61993335706534,0.16553750599583225,-236.8173106684481,370.73632803797364,0.43991801913460676,11.478996014083911,46.08737158154574,0.04749540155411705,13.775399815660137,37.138161054085714,0.039610663293619536,28.684780914302745,33.1343559507082,0.04382581659672503,16.337285147152937,74.21471232125991,0.07599164698114359,37.34334810140523,-22.661697843632194,0.043681554420359286,-16.483559435444292,-12.273714129617414,0.020551199239883657,-14.988902820728304,84.30141591279576,0.08562357112776488,-21.575203876923727,43.83494559246422,0.04885685087503208,52.69871179115047,23.653245238823782,0.057763571866485904,87.6403067411955,12.946391887590156,0.08859137897446849,3.346713936095742,55.54492246739633,0.055645654871509305,38.44670927577845,47.478010768021086,0.06109264244264243,-8.502135076593396,-89.3201578460979,-34.346857544431046,-5.54558326772153,-43.09092576412072,171.57990882969747,8.623038304100561
2,0.0673202614379085,849.1162639402617,472.6825429235425,834.6049054385288,471.5365330330016,849.0508051190471,723.2694518921611,827.5531970730735,964.6544368910844,932.2029015470432,1009.4528421220728,899.1313816741368,1023.0362700543529,799.8228330081464,996.84820481351,876.984820175018,471.65698062382,917.227724599568,702.5196958553887,875.3248360032669,907.0878826863055,969.3365198964552,943.1227258169135,964.3341884270819,931.8994451147485,861.2612818384038,935.9738283746441,881.6020242887813,109.3072990601931,928.9746258899472,-37.473032037685996,941.8281368254125,31.6839997993566,839.2855581916594,167.68545660812208,913.9832358530908,342.26752094526694,1082.1044244470347,400.7556727889352,898.4376903876824,163.6550908033928,915.9665074419252,332.10402071658666,989.6549816093641,440.9958132550055,7,1,baseline,person0,8.376534275857876,21.452575211500477,7.800678249521605,-0.3657555789124089,14.984350496038688,28.60153979186074,11.03729744901575,47.25750920513108,27.896740282165457,-5.455883812560594,-3.7773182891156942,-95.09012823354662,-101.577996538638,-86.71359395768874,-80.12542132713759,2.9604280089154873,84.89022817682375,4.436818333657581,72.11678364801986,-66.50823203131552,-84.0724743741605,-19.2507228261844,-56.17573410751716,20.996757592457335,42.274313849286884,0.047201498290037606,-111.16416190930937,161.13370403782824,0.19575888605616237,-8.965564434468668,-26.616353116007357,0.028085789980426115,19.484305915275833,41.138964201723695,0.04551980396037264,41.651598709088034,46.547181798736666,0.06246195488797598,-9.59582777885688,58.739725179316466,0.059518360401670224,-568.8576778598828,934.4013141711976,1.0939400685526603,68.77206103721642,16.93776938814607,0.07082714459268169,-159.8486914086508,56.10662195866119,0.16940943649239318,-253.98122543758106,349.1702025297108,0.4317711120598675,1.7053728395184158,55.808743325518876,0.055834793167839486,15.471590865644199,37.897761248228846,0.04093422078825541,27.119649442042952,26.076923691618184,0.03762288313085241,-0.6181389073441558,74.70582607526451,0.07470838336690497,31.237552202981217,-25.21521479050044,0.04014463506578493,-4.306006633709093,-18.76785645044526,0.01925549606928023,-29.116704232192298,87.07218557968359,0.09181148058368203,-29.905659878217826,47.95294679662593,0.056514012414901886,55.404830882009996,23.626792135360606,0.06023222220432902,86.56150862745274,24.03185457771845,0.08983554313469241,7.3244878849127275,50.68250371735548,0.05120902562865247,49.167428012297634,61.44199478999715,0.07869278684300428,-7.323323557501735,-85.73069319485478,-34.86889722107221,-5.393365119335071,-46.2686992564533,171.60382213451248,8.376534275857878
3,0.1009803921568627,851.4219125171131,475.4075787965461,835.7536215352527,473.4132019818935,849.6144700722067,724.6464093321478,828.3598353548874,965.2754440825812,932.4326970827577,1008.5590210512526,899.9437675098919,1022.0632274603938,800.5595521879175,996.0646817231648,878.6048610440629,473.9124400040073,911.9229363987258,705.1164239419631,873.6631797357229,910.0024796960092,968.8457605597999,945.3522242511656,963.2957055570937,934.3056408539168,860.2098798864661,937.7771569835762,883.6537789685743,110.1623240412746,929.6909518962082,-36.2051805945567,942.9368959542022,33.396924060124306,837.9867707524255,169.3540532737741,904.0467521115884,352.3699391495787,1057.1225559461257,432.56164033435704,900.3366559838847,164.4429010063707,918.346190614157,333.4668640272173,984.7661940761884,447.47943663624153,7,1,baseline,person0,8.206412682100652,18.76416897297866,6.594708673654697,-0.3885832587425752,13.242010378767516,25.13456305201647,11.110240560934168,42.279356443630384,23.923750303202446,-5.4392372490261796,-3.9767147616077705,-95.05065399003442,-100.57142343525948,-86.84424130793376,-81.8072544622809,-0.0403751486026633,84.95073515895162,5.205278362271965,72.53248441117829,-69.91470178903192,-83.93902428011424,-27.63534534540152,-60.015273987953634,34.12690539781524,55.75346586028474,0.065368911781254,-145.2397072962872,192.62026744254655,0.24124083403343916,6.826935332879196,-26.5542958903882,0.027417835003398828,32.939834311616835,50.88881784416679,0.06061934069299631,48.129369507547,67.00685148905924,0.08250063245618687,-31.23582497989848,53.57461692555789,0.0620154524364301,-742.1797826483686,944.9151523202994,1.201538794569894,60.95504194336541,25.401713030188386,0.06603608228223021,-157.59856208327437,77.14551402832711,0.17546719666481966,-295.2003907669668,300.1300942251856,0.42097665513492394,-14.579840487038323,66.23558455156493,0.0678212681208114,21.28114154523082,37.66626617452092,0.04326239236332184,23.964205265540134,18.449339863882983,0.030243367461676673,-30.852015360817813,71.48503846461283,0.07785857419778064,21.886996991255813,-23.277482101518792,0.031951241138362195,24.134957838936383,-28.907867354514263,0.037658478260192994,-49.365710472666414,86.58899854071034,0.0996726042538985,-38.58533557335488,49.57190094072938,0.06281879881202675,56.4158711104757,23.404846806916638,0.06107812511209756,70.69738356339158,40.488354665337354,0.08147040509421477,16.74577433658367,40.90766763455549,0.044202468589786284,68.4979091763635,80.95737642127212,0.10604744390389091,-5.054097833952506,-79.86915621239584,-35.82783400148293,-0.6781815561195048,-51.76272581407567,171.79497646688537,8.206412682100662
4,0.134640522875817,854.6669335655617,478.6463220791268,837.7560089520509,475.7399989473315,850.6898075514642,725.6645226671172,829.0101201604225,965.7760447580353,933.374005821062,1007.6916037518699,902.1563285032008,1020.8744251214297,800.9887657382852,995.6451686418835,880.6786138965496,476.694776941189,906.867540122568,708.3395391690984,871.5442820729187,912.5844712944876,967.7603258704933,947.5964769604562,961.0991075933568,936.3047169865404,858.5039759734616,939.0515995613245,885.3200797362535,111.2643106373721,930.7447504412802,-35.016167950597804,944.526497105231,35.605513547383104,836.7321974560676,170.7929485637385,891.8781453613122,359.8929629931946,1025.0360661375012,463.2005749469807,902.1152074668615,165.2528698320549,919.2919803434104,335.29523817866743,977.62810653844,455.4112983528404,7,1,baseline,person0,8.11602472254008,16.248745786774272,5.338604815324372,-0.069890635382665,11.232994311978514,21.104051746021828,10.52208012567578,36.100177738626094,20.049972394479532,-5.233779053552307,-4.4588214946078,-95.16388841772572,-99.7974263099222,-87.04786369518561,-83.54868052314798,-1.92986007061582,85.21832516487355,5.701205724957133,72.73061833504107,-73.67762308910466,-84.25959470945071,-37.57744535047855,-64.2096223079424,59.48840286798699,69.12620110912802,0.09119924207779105,-212.06357150980548,235.6456005125489,0.3170170459177458,27.965094555445884,-25.769873166122505,0.038028053808906254,47.225043904350606,65.61440612632933,0.08084216142013229,61.608579889409945,82.6597187162723,0.10309338588989628,-50.68025217275211,37.8620804651414,0.06326156097854832,-953.2491147028272,910.2440768410521,1.3180395115875483,49.50369270969456,32.73863091318795,0.05935009305776877,-150.18944276740658,95.75468538867831,0.1781174570126939,-361.513948114998,223.4995433151911,0.4250228000281779,-32.24689465319152,66.67391544106133,0.07406263035442252,31.307024737091577,35.32406495644873,0.047200840701583625,19.319140824634516,14.872214241646041,0.02438056518318391,-65.25815309742434,59.390028794449314,0.08823719207846764,12.75139285558843,-12.463204162334266,0.017830577044772776,65.73239455849763,-35.31781706048751,0.07461967499468268,-62.949775225058666,76.70771156644511,0.09923077755740074,-37.27178919276922,42.74776298340862,0.05671470276494366,52.838519785527204,24.06315152032616,0.05805983494823013,28.098219140926524,54.31868838288629,0.061155783263143935,31.9469192866817,30.246862184530265,0.04399407146332017,96.40547969177695,96.21897519123145,0.1362061221144352,-2.685312196653861,-74.7300480561691,-37.31726025719215,9.4679556066148,-59.685331692954755,172.26618886005917,8.116024722540104
5,0.1683006535947712,859.1234130763169,482.0588686840768,841.0669745483202,478.4760591248299,852.4438031451784,726.4911984251169,829.4784776828369,966.24316059623,934.9837656793488,1007.0850012557211,905.5587464656322,1019.8450792160501,801.2017834197837,995.7023469227112,883.530155054654,479.6538616514236,902.3658771798672,711.8221574562239,869.497853923441,914.4661352949064,966.2525330166136,949.358294247795,958.0606453494835,937.5870244939713,856.5130469069993,939.4790935649164,886.62633618915,112.5240647529917,932.2329708686736,-33.9653916920492,946.4620772585296,38.4176192013186,836.0584031869317,171.7736377913677,877.1003385606924,364.338193676249,986.1137136458412,490.1940679690369,903.5396449791516,166.1382739551527,917.6163432980333,337.2956807547551,967.3779567401824,464.3482759322924,7,1,baseline,person0,8.083254172687711,13.83870633965317,4.059313314714442,0.5844348692058088,8.915738366938482,16.182372637521585,8.934313291738706,29.42625410015658,16.752285661425425,-4.8921400452433925,-5.134747986684515,-95.47657491382368,-99.19406130137854,-87.39332074113594,-85.35535496172541,-2.378493722385136,85.72890667133615,5.814932163306093,72.68741400708137,-78.0887206911423,-85.33678003692519,-48.66246659098571,-68.58449432928964,98.36460897654469,81.28489459364157,0.12760419424222683,-304.5190134239627,265.50632420507907,0.40401168018956596,47.82393365395797,-18.02139454578156,0.05110674409031453,57.503643389260745,83.54410971886051,0.1014213353873645,84.71568877475146,87.91067197395988,0.12208617518578312,-59.14798974150336,12.700307291179472,0.06049613620514431,-1156.3339672279546,801.942608228079,1.4072029671148347,38.807230542358894,37.4257047941357,0.05391367657381181,-133.7387243171314,103.46419377285426,0.16908839633469946,-439.0299884455983,132.06219310821697,0.4584623797031706,-44.794622649238235,52.341367953949415,0.06889250334817548,44.2131505613957,31.217236419016768,0.054123179250718745,13.914310860077247,13.877421989088523,0.01965174006987934,-90.26887831313174,38.09573759940222,0.0979783425821926,6.328486460052718,1.6986945566266791,0.006552503649124028,101.08154334990229,-30.58056767438484,0.10560610553034235,-60.796797450504165,55.90186253671337,0.08259097296503551,-20.017577316077496,29.135039189760732,0.03534902983384458,42.318240656383885,26.304238996886603,0.04982716609899616,-49.781061736449196,59.430624105128864,0.07752517777556714,52.10899530840077,24.559493392999695,0.05760656306161416,132.39638158165704,101.38245253540939,0.16675492058110392,-0.9735716752257255,-71.59923017660758,-38.00613584336301,19.43918489359934,-68.84274943516994,173.12222741247209,8.083254172687745
6,0.2019607843137255,864.8013390126878,485.1205288179673,845.8861780581881,481.3222218163441,855.021100772498,727.2307033871137,829.8019630520353,966.6099580208369,936.8555030870588,1006.9454960423698,909.2445627930548,1019.2948819991896,801.3527343041313,995.9963188998314,887.1644771696418,482.2595759841064,898.7488760222737,714.8724338927959,867.9948118649477,915.4114338451492,964.690297019834,950.2943876056547,954.8301481519468,938.0592833480308,854.618708587276,939.0218174609024,887.7477874042562,113.9262458764573,934.3174628562568,-33.0111169284383,948.5960857539476,41.897740896167996,836.4348574384667,172.2646606035165,860.2794873266838,365.8814601319047,941.9628243771464,511.0317527856916,904.275916063081,167.0641818967869,912.1125931464857,339.0396716454282,953.5697450679772,472.9399195196881,7,1,baseline,person0,8.119155964857818,11.561048660634931,2.8613023337311043,1.3900645396679805,6.404327180916003,10.334104697051446,6.107146890961887,22.973882752072367,14.72010290413547,-4.625765230579092,-5.842130156238708,-96.01582976959052,-98.70343248993744,-87.89667380473267,-87.14238382930252,-1.3924924600129294,86.4532889897815,5.582738610386973,72.40571454699041,-83.21260631316707,-87.43956411925664,-60.23872356109471,-72.71946110419987,143.17245378830722,84.55590132071362,0.16627703380780892,-410.22454094124276,255.24688715952314,0.48315126761199717,55.60695599604343,-4.144523814124963,0.0557611928924746,63.39869899008821,103.39002316737026,0.12128022066349141,107.97112302779664,77.41248405834347,0.1328550190845904,-56.278400566533456,-13.585095905659397,0.05789484606675414,-1311.6671957495723,619.0613159122637,1.4504164040938623,33.31690017694161,41.657031434997414,0.05334157951707706,-107.45653924500904,90.61986306709258,0.14056623850986685,-499.7262599618103,45.84849858550005,0.5018250887689489,-46.41205971015194,27.810152184958426,0.054106227470497856,61.92762603887955,28.350298802420923,0.06810851862284087,9.610342036378176,10.897088536861261,0.014529460163281034,-95.97399441225382,14.030214499244819,0.09699409529625062,4.484560253432899,8.733536407649304,0.00981763407600864,109.50095108653527,-16.345664889252138,0.11071422243563615,-44.653482514460364,28.08362683245699,0.05275057911278241,11.18398067667043,14.58766801141094,0.018381552757786256,21.87368462935807,27.507556324277864,0.03514432719796944,-163.5094705217046,51.811768208346976,0.1715220285420029,76.56825960774779,21.96975906514814,0.07965782254581229,168.68401325528887,90.95805834664897,0.19164463129997372,1.0665969324322846,-67.66633493005631,-35.59139419232046,23.934240695283904,-74.61085659445413,174.34996279451417,8.119155964857853
7,0.2356209150326797,871.149936646259,487.08699477998715,851.9323105629219,483.4750599730711,858.5693766355763,727.6332860601105,830.0883135186601,966.7187256365892,938.4009055191212,1007.1979523096666,912.2840581658268,1019.2706855893363,801.6739882250725,996.1690073795878,891.0256916467068,483.7627887645748,896.1577168222221,716.6036355427793,867.1818426289551,915.3717237155599,963.480458080146,950.357100814898,952.0561100699013,937.879761844183,853.004159755443,937.9055972173301,888.8839726627376,115.5020290638062,937.2651988982336,-31.972953317332202,950.8690801725825,45.9870025379726,838.0398228928314,172.339919179195,842.7228902317037,365.0978106981309,895.199956088269,524.0927369534609,904.0136322593884,167.8615279017894,901.9636140829164,340.08925223712885,935.259094345498,479.5736403781881,7,1,baseline,person0,8.323223215610296,9.555717660942356,1.8614780175058787,2.195455901088768,3.996882639889485,3.887029208684872,2.0189545616801383,17.16119342154569,14.152023634508645,-4.590023394213522,-6.4273406686672665,-96.78547929499972,-98.28881868613291,-88.4622560793894,-88.73310102519058,0.5337533466620429,87.27001633491994,5.111332533389059,71.84631536128249,-88.84295445639519,-90.71102910339994,-71.68176103484952,-76.55900527371091,179.6229656746141,63.95810446198698,0.190670000063235,-543.9863224348187,197.07947404864106,0.5785857223328688,45.91195574865208,7.500157067262746,0.046520533495434016,67.52779534973361,121.48680217400106,0.1389929719347722,114.71180873610595,44.658554448866724,0.1230982759788753,-47.96620801368231,-33.16149461486897,0.058313307540421896,-1389.2657957666515,388.02535488712874,1.4424365245384039,33.754630009255365,46.81452964356924,0.05771460155636827,-76.98006943842614,51.4318160092128,0.09258057457561186,-521.5843408799932,-23.281235605318507,0.5221036684246982,-35.94278791694323,1.8631302940220522,0.035991044132323576,87.57351736358073,30.84253058237537,0.09284601572579265,8.507110950213722,3.231348584488873,0.009100140130444391,-82.41317020446074,-5.333357298779682,0.08258556364901715,9.5440485250486,5.130356777228314,0.01083556287924789,90.29957126876164,-0.7188447975833071,0.09030243246538365,-24.152289923660707,-1.179737830515713,0.024181085374840237,47.681497964618714,2.235837296856398,0.047733889602335496,-7.792120769897924,23.688143449588942,0.02493682590429219,-301.51335858759205,31.181714666057506,0.3031214356265246,105.41479748562624,11.960223100683578,0.1060911234060311,188.608822900271,58.42122178427837,0.19744955616712243,6.062580459248399,-59.575853000575584,-29.70351852086596,23.927160834442837,-71.5221387916617,175.73227241430936,8.323223215610312
8,0.269281045751634,877.1203934645904,487.38524873051756,858.4667291393332,484.0897917181282,863.1108160275734,727.3100517691769,830.4529150798294,966.4753251147724,939.1816191104155,1007.6036789248764,914.2220490822542,1019.6960592524409,802.4082943103507,996.0662722906268,894.27632823175,483.6110229444897,894.4570177720748,716.4207073893494,866.9058620463832,914.4509652661662,962.8694673697582,949.6997672514997,950.1781656156902,937.3160068197368,851.6333771962904,936.4377731012725,890.2082280042979,117.2054212974698,941.2155356109963,-30.7102901157649,953.2644512834204,50.3699967957899,840.6526817249774,172.0625975351894,825.7142308351475,362.4759014990171,848.8885829801491,528.9695444660277,902.7520794638459,168.3671399421612,887.2680845695347,340.246667671251,910.5424794763576,483.1963515764976,7,1,baseline,person0,8.838551619185253,7.973320764333565,1.1277109905246177,2.97155851156362,2.06035919854295,-2.6342868858632453,-3.0773815864517906,12.18754330146182,14.246736318596389,-4.782588410305228,-6.798883276711449,-97.7541469226216,-97.92659426720314,-88.9155953034363,-89.95327350286959,2.5452480487749867,87.98636729858748,4.466351000779541,70.99871498875898,-94.64791958727578,-95.09101428786433,-82.46037628581396,-80.84427769754886,194.12932858076425,18.262904270628592,0.1949864864230762,-734.2994320346577,107.626177347835,0.7421448982085159,23.194015430681116,12.053625655746474,0.026139094155068637,71.1634524190702,130.21322746525166,0.14839043623872342,96.57231019642597,-4.508770965634453,0.09667750572028257,-40.7242197185133,-43.60720189452716,0.059666155639120914,-1375.8524437946307,144.8837960044118,1.383459887904346,39.34195480751722,50.60563334961762,0.06409929433927224,-50.52562226651373,-5.434564558205572,0.050817054197933705,-505.3058034316681,-77.89361309988608,0.5112742609827706,-18.151762852298855,-19.528550524262116,0.02666178501572531,117.359517874312,37.51213006598001,0.12320883222309172,10.831852205613787,-7.231122298635521,0.013023753372284202,-55.791359513451994,-16.74845024082785,0.05825106335363104,21.815306999525188,-3.0521298273841606,0.02202778055017665,57.57526411910627,12.637314651456386,0.058945845994308715,-8.199034783205326,-27.354571409174003,0.028556903689927776,77.62473812006601,-8.23887602579731,0.07806073946855287,-37.479141304463774,15.021095568327421,0.04037721319002573,-436.5856340868706,4.676613868095733,0.4366106808225219,134.92043242243585,-9.602882818031112,0.1352617405014216,177.3747365446031,8.860748433234967,0.1775959178220728,15.309756455722008,-47.01101459828058,-21.799292257889878,23.05702901022374,-57.53166728660575,176.9019626020238,8.838551619185296
9,0.3029411764705882,881.763511509268,486.1691431597615,864.6377341619849,483.0533815334499,868.3556206807152,726.2024106349612,830.9802023902803,965.8863353655807,939.1052376362145,1008.0048059073341,915.0158309876032,1020.5355700882843,803.6441769624789,995.7084295168887,896.3325314283697,481.9997151668598,893.4053894163695,714.4730055071053,866.887629008088,912.9305158934636,962.8553788713672,948.617448978603,949.4301453727676,936.6636912908052,850.3321151617662,934.9746498925292,891.9195862770155,118.89572461443899,945.9929504056844,-29.266036275243298,955.7240421016324,54.499465208325,843.7499040587231,171.404205799314,810.0158791100383,358.19712722881553,805.8053293588271,526.3468228812618,901.0271625790002,168.5746596250799,869.3937399890177,339.63902533426136,877.6464375964676,483.5992147043643,7,1,baseline,person0,9.707727143043837,6.903271432668782,0.7021175409271663,3.6865881809355714,0.8543392482041258,-8.749886901284794,-8.707922151867775,8.185802164322018,13.466566542953082,-5.147003262175591,-6.9208354745621055,-98.83359144592836,-97.62295301549553,-89.12586430288447,-90.71968158282677,3.7294459707038983,88.42597916896914,3.5719185835621414,69.9795314142976,-100.32390773231567,-100.28194298289866,-92.13810556799363,-86.81537616041847,183.33277057586506,-30.79043849626842,0.1859003923336776,-977.2998849753709,11.968555060893982,0.9773731690010314,-2.269197194708445,11.91697637204595,0.01213109977538616,73.07133887115293,122.68129458599428,0.1427939795849894,61.087201763656516,-47.8699203839566,0.07760911993367806,-38.658852676155455,-43.46754387139993,0.058171593243169555,-1279.9490881674285,-77.91774805227006,1.2823185422359642,50.842294315688605,50.2167781546187,0.07146092428392802,-31.242551150078896,-57.86376465696169,0.06575950321163888,-466.378216299359,-127.11698317297868,0.4833915266629846,-0.4185515055972438,-32.154309854987,0.032157033874618345,141.93096380335444,42.90695875724365,0.1482747638539509,15.665040485237931,-17.49814206336321,0.023485707761823668,-22.222737314012484,-19.379471053697124,0.029485826290756845,36.71651374283963,-10.631057161538802,0.03822462240232121,23.58225854726025,24.94080735612544,0.034324434296360805,-0.5416805551771618,-45.170631849222,0.045173879615125,92.0145664200231,-19.559987492997223,0.094070577462834,-51.24510356920453,6.165147861467676,0.05161462668635954,-531.0242176347789,-18.05228690474024,0.5313309747954847,155.8165265884882,-32.90662010388352,0.15925336921008093,137.9411768612973,-36.12896161663684,0.14259407470640606,25.822107796187048,-31.789815096060543,-12.643844230759239,21.24262901240944,-35.82933056346411,177.5518434718536,9.707727143043897
