Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,Head_vel_X,Head_vel_Y,Head_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,1069.5487285685413,591.3696115795809,1067.214253508304,593.7092709426051,1085.9412401702143,827.6836775297527,1099.997868579231,1054.6348093535394,1198.27199880492,1068.6566231921706,1174.884051052502,1082.7138799328254,1083.6377707575375,1078.0336147862838,1074.2462994740615,589.0342674358781,1036.8025535988577,808.9384008236942,919.7663639856715,989.0738816797511,982.9172267639093,1061.593623507842,975.888915163594,1045.210536758022,887.0426096504833,1005.4578404735323,1081.2319665263208,270.8340048718615,1116.3180240266677,125.77818206321689,1137.3812873893648,212.34214941375208,1036.7763662378773,310.60988822805706,1001.7224056559435,476.7126773892955,985.27875477489,642.7926896264761,1083.574097535128,312.95375842188423,1062.4761029961749,453.3716106996746,1139.730793443802,493.0832681751838,9,1,baseline,person0,1.0312519798321578,23.3516021862664,2.676728344993465,1.1320380867280562,-7.5755015009022095,-9.834665026977602,-6.460219070021408,6.299603068001081,71.32075338628476,4.671036374828097,-30.336018420316577,-86.45532518595809,-123.01424521166471,-85.42407320612594,-99.66264302539834,33.661771412453575,87.91285847550387,-3.0467056045586944,76.40266099821197,-101.92180655147372,-98.54736059451756,-95.62220348347267,-27.22660720823275,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.3369316816298,1.031251979832149
1,0.0336666666666666,1067.3168748829135,589.2589017489909,1064.5507398206664,591.37892514339,1087.285145061216,822.4912990599088,1099.9331827972949,1052.7219265511296,1195.796404735645,1066.103702496221,1174.9770145388597,1080.2936823298712,1084.6658166111288,1076.6839780018113,1074.1455730216749,587.4745980084863,1050.663268981875,803.344468695292,941.6823053147756,987.7117147274006,1006.6858941103394,1052.8988816154383,999.8737638030708,1037.4060939949186,910.0625586749684,1007.1581109095011,1088.1336817762449,269.1887503645489,1125.1250442120993,125.1317554157178,1145.1404590539235,211.7308349734999,1048.9398473433691,312.6481510234244,1033.8731409744958,483.857203307764,1050.8051274083482,646.9769577094949,1087.8471881962957,311.9928165793828,1086.7710611652915,457.2201231647179,1147.7035650501016,523.5601518549978,9,1,baseline,person0,2.4721450056075858,24.503089032558485,5.774639250814232,2.3324604575726235,-2.3649662531573448,-1.6872078449633026,2.8656507825094923,11.066969697006469,45.80227374714078,5.484310101520976,-25.161617639963687,-86.83540439037077,-120.58819634976904,-84.36325938476318,-96.08510731721056,24.078828146500623,86.27985893594678,5.611486000883689,75.59212933036004,-95.40734890901652,-90.85449028154376,-84.34037921201006,-45.05221653440292,954.9723361946208,212.21364114262855,0.9782672397581471,205.00144306704993,-48.86894576175947,0.2107457366577998,361.2915179849061,60.54245926833696,0.366329019246491,706.0000201909953,-258.2596601704078,0.7517540027036905,230.47044548193364,-18.157854660956396,0.2311846316832703,721.6324208648489,114.31225143693015,0.7306303043755046,30.53601545320328,-40.08822132096631,0.05039358816791128,126.92348498517813,-28.54282700499198,0.13009328965868933,261.5946589732151,-19.200791509873927,0.26229837208400353,712.4212467171343,-231.81513157733025,0.7491877521704494,-2.991874823366712,-46.326814675001636,0.04642332466433918,-79.11426794963242,-69.21819205589733,0.10512005281911402,236.8149982069196,905.2539706875477,0.9357168881778906,2.761291673993733,-71.8870575134879,0.07194007068148033,650.9685543298235,-40.46040452526499,0.6522247335547836,39.91796705945887,-154.2290634607097,0.15931116756250224,683.7608621134207,50.50308225649806,0.6856234227879725,-1.9213598594842372,-56.81830106167599,0.056850778000348316,411.7044173173515,-166.15639985353107,0.4439690039303492,-73.53249710718165,-75.82932760246321,0.1056272458007846,1946.3279000037153,124.28519058471556,1.9502920558038355,-66.29268373152007,-62.69435140366436,0.09124309077543076,42.79880274580488,34.20257959283424,92.0171556184388,35.65611002508623,154.7683736953923,170.64311832070996,2.4721450056075867
2,0.0673333333333333,1065.6591401434887,587.1769975358173,1062.8009435625545,589.1934850713284,1088.6584854984399,818.8073619878764,1099.8869801629467,1051.583476430323,1193.9309967563092,1064.5899135120555,1175.1297100748557,1078.9544368382114,1085.1661531920495,1076.0616014943319,1073.4890033095382,586.0170401386612,1063.2638105933067,798.936650826106,964.1167319589676,987.5437432689657,1031.730165390961,1043.933104659751,1024.7189585908677,1029.5016970032132,933.9549644341012,1009.8133188182345,1094.6410304228577,267.7149509450343,1133.442327157027,124.51144270650701,1152.148557512622,211.1021448040672,1060.540853226126,314.1523729489935,1066.8910389631885,488.55419683259487,1115.4606469066243,646.6271282447899,1091.6982846173244,310.9086563237941,1110.019327517105,459.6200238381402,1157.212115782317,548.1641576340644,9,1,baseline,person0,3.655327279012456,25.03491028666903,9.060872625878211,3.299731642311462,2.517463720931492,6.788445086938936,11.757770799177708,14.936667041178396,23.530406445468245,6.067779010546045,-19.334165943123494,-87.21041234616953,-117.70036634122442,-83.55508506715708,-92.6654560545554,15.278853237733143,84.81708022451309,13.98153491220328,74.83157903996967,-88.39447468854796,-83.42514897630922,-73.45780764736958,-59.89474253084093,980.7296432284984,139.51465915339244,0.9906033379843746,193.28758356276083,-43.77622038162302,0.19818286361447016,344.5843331511954,44.679859175319564,0.34746892302647786,743.8892459590563,-266.310206604571,0.7901217225183109,208.16134035737892,-18.673965428694196,0.20899727415498182,690.5425649053552,71.28417841848493,0.6942121203485755,14.861482601609604,-18.486430915233797,0.023719439139694192,114.38900260481472,-32.202779868971774,0.11883544483113513,247.04800826517652,-18.42512997655837,0.24773413935597127,737.976082805851,-234.78406906055682,0.7744238231602257,-19.502070657521795,-43.29379811361841,0.04748350992748663,-51.97414628055117,-64.91406154638297,0.08315736448469087,282.4321999667955,730.8120528435592,0.7834884837440186,4.535510970173441,-39.77956905920398,0.040037294792437485,666.3691082433273,-4.989251240638648,0.6663877857891375,40.79229021456868,-109.42387342670503,0.11678011396061042,709.6754185881011,78.8675616455469,0.7140443207729551,-1.3723554756885221,-33.81535012297159,0.03384318636728532,374.2735132108407,-130.92528324314785,0.39651241151253236,-55.40815780204907,-44.96402923263654,0.07135704503306008,1920.4609751963173,-10.390974199157363,1.9204890860394905,-49.23964572548474,-61.83873900515512,0.07904791175558619,35.144027922916905,15.796670914174639,97.61089232863296,28.730827269470428,145.02267249768806,168.37216529167017,3.655327279012454
3,0.1009999999999999,1064.8625633960025,585.2753218322814,1062.2963341748844,587.3989817863417,1089.8685514646409,817.5932549450208,1099.7562895178842,1051.4306191226397,1192.7773084643002,1064.662082050996,1175.0235089917396,1079.240588408121,1084.7795554904978,1076.37524349349,1072.394454965116,584.8552785104895,1073.6438702215141,796.5053491982652,986.9919887873933,989.1984276731196,1058.3887184562618,1035.0666996647674,1050.5634297043864,1021.907839032081,958.5710141159408,1013.8202724059713,1100.4624189371457,266.51419808506137,1140.8539206682192,123.9082258768308,1157.9089996808245,210.5118437525849,1070.8990168842092,314.83606747883255,1100.477551992424,488.7937110972912,1177.9543001088796,638.3059102884864,1095.10739785445,309.7496879194676,1131.3690150832297,459.554277884543,1167.6040788924622,563.285750706027,9,1,baseline,person0,4.405717039390712,24.44291649910767,12.33322275955632,3.802343135057965,6.690830295351383,15.69218275186899,19.81156557744087,17.572757847170603,5.730287357517945,6.220509241077766,-12.768710241233272,-87.55306908098257,-114.12369315289874,-83.14735204159186,-89.68077665379107,7.26968711898651,83.62839305085754,21.469938761426615,74.1790197002558,-80.67942419727346,-76.5600413717016,-63.10666635010288,-70.82975401418364,997.6191988881833,7.114285089989619,0.9976445654854449,172.91253012736456,-35.66592653384853,0.17655254569267656,307.66822746781776,20.307758312050098,0.3083377097288775,791.8382098604263,-263.3585642074405,0.8344851610042979,171.1022426198827,-17.533694598484374,0.1719982787001839,634.149135627463,-1.952850106847741,0.6341521425025687,-11.483100046093247,9.316098984893047,0.014786861971524316,101.26078922155482,-34.42480408890599,0.10695239394390249,220.14634191660193,-17.91733157454082,0.22087426882734312,767.6575578272874,-225.5601377563995,0.800109681127557,-32.511336963036946,-34.50777113381354,0.04741068761099956,-14.988397653569228,-53.30207777188405,0.05536933771521469,308.6721715884728,449.15622986027927,0.5449952553329649,-3.154487617309835,8.499551581477526,0.009066044849544822,679.4630741116567,49.14904170753987,0.6812383557772068,35.942553451517945,-36.06258543135536,0.05091539272763226,731.1697925298911,119.01842339812089,0.7407932576747566,-3.8819003483958148,-4.540316069798578,0.005973576845454217,308.3186028180397,-72.21688003487469,0.316663289008435,-34.267969069578044,2.143619968534266,0.03433495027989784,1856.2471248194686,-247.16488979119276,1.8726302013868183,-23.660695469888154,-56.48541693671131,0.06124076123492342,22.288804763710626,-17.583973887961243,97.19851882212222,14.929054239995159,123.96138339861089,166.7757450924494,4.405717039390709
4,0.1346666666666666,1064.8694805155928,583.762734935884,1062.7734159948661,586.2597248238101,1090.651751787294,819.0329358474955,1099.3335617648063,1051.8394650344976,1191.8145756485067,1065.9674508762726,1174.0599250943415,1080.7272133934955,1083.4233280873846,1077.2028433184496,1071.5046769763183,584.2557003217519,1081.343665465759,796.2702852262495,1009.6021396802511,992.5032522831971,1085.7782245245,1027.2865659385343,1076.5621456921672,1015.453356340806,982.7212305647264,1018.742631474778,1105.3822228514014,265.6177834225277,1147.0306138259052,123.2845594623864,1162.2900616045633,210.0302931129633,1079.3530303755738,314.7544192741545,1133.2681991006182,483.7441720387144,1236.5653413064433,620.5612067322188,1098.2967809775228,308.6684311232491,1149.775015705874,456.6633500181687,1175.963433449532,568.2325246651043,9,1,baseline,person0,4.710660323362692,22.504454789014613,14.919133431673648,3.813718445911734,9.822708318821867,24.872288840342833,26.55444537183126,19.18584803994248,-8.212405478717079,5.93748622876556,-6.095361075336504,-87.84876784958583,-109.9371052546691,-83.13810752622312,-87.4326504656545,0.4223151474449216,82.74464121552363,27.47139588642385,73.68459550072386,-72.38306994413354,-70.70091341264512,-53.197221904191075,-78.9133188913622,973.9796170750752,-149.9863086705979,0.985460393555389,146.13278953234814,-26.62617809506056,0.148538700467102,251.10931162469242,-2.425194198357681,0.25112102252007223,813.5496851951899,-231.09308097721382,0.8457346524511892,130.1305521902604,-14.303484345195285,0.13091428599566715,546.7128897815134,-85.869144545771,0.5534152996062501,-40.28398227068733,24.582173018602333,0.047191974507341306,94.73415217047639,-32.11653850153988,0.10003015361769604,183.46613339661656,-18.524744983497136,0.18439899208024077,772.2390887459637,-191.71730766163736,0.7956813031887977,-26.42904917221026,-17.80925313081891,0.03186948598933925,14.170747128170463,-33.839315718759984,0.03668663738317356,248.29766011098118,146.93387997259222,0.28851567219197727,-28.621303883109913,44.15717778339918,0.0526216246971152,671.5886403819103,98.16310723002216,0.6787247582865057,23.26337592038939,42.76279908341032,0.048681019346984426,717.333161845115,146.20868521208243,0.7320818565667064,-12.556269893397696,12.143937975975968,0.0174681179066377,228.70678943301363,-6.982098178686556,0.22881334145484972,-28.59602423149036,38.77333144385437,0.04817783549624215,1740.9220157692125,-527.070402661412,1.8189592283367986,0.20545899773595516,-44.928323655366114,0.04492879343896385,9.057721306098403,-57.57807059682345,76.80922788467305,0.33788052040898225,93.02607990506377,165.88274874174675,4.710660323362703
5,0.1683333333333333,1065.5506236790563,582.6521857825901,1063.768695210376,585.7035499412195,1090.9622705215224,822.262225101839,1098.3869124134192,1052.011826779264,1190.3361488242642,1067.3872891887083,1171.8561864871433,1082.1431358279578,1081.2307126771036,1077.687195908677,1071.503585565853,584.2458433814069,1086.4095815398139,797.725158748841,1030.8832428637686,996.6572351183463,1111.954197888137,1021.5866403282118,1101.060984394754,1010.8528588838803,1004.83354207313,1023.57190829569,1109.166098998507,264.9905833788092,1151.7621725404317,122.6814726951288,1165.4906752132158,209.7313315400797,1085.4689322096272,314.1372440147654,1163.5981405094742,473.8106351120898,1289.4440414215442,593.7501009395994,1101.3053499020534,307.7129133394251,1163.3899868995118,451.3256557481251,1179.2773827071178,565.2714123934056,9,1,baseline,person0,4.745247842453527,19.34181879688065,16.04819409914638,3.5716458749148643,11.713905141966055,34.02085363849307,31.26576960757396,20.19732368351513,-18.886117588686417,5.416257619553079,-0.332443131050979,-88.1490258196286,-105.44344075842268,-83.40377797717507,-86.10162196154201,-4.013196480953956,82.18447289649193,31.464896241767175,73.33148086377427,-63.794673465015016,-66.54975749593413,-43.597349781499894,-85.43587508462055,900.8893487779009,-295.0555522759771,0.9479764752726474,112.39236080511745,-18.629704268865357,0.1139258910366431,181.66045051643462,-18.331938397695755,0.18258307492002349,777.504159315952,-169.3047210986882,0.7957240767627368,95.06773095007851,-8.880046719315313,0.09548156208260179,404.40508495953657,-158.5453743577306,0.4343732363663339,-65.12719040438395,14.386710600820088,0.06669728908944224,89.36343340189585,-28.381716351208556,0.09376217282260225,140.54134795623142,-17.913468334383943,0.14167837814261386,727.6882782946578,-136.6484393146213,0.740407338115017,-0.03241813263377242,-0.29278040628874286,0.00029456968891938324,29.562748975548242,-16.52004601754021,0.03386544031033591,98.43413636393362,-87.95382985243674,0.13200437639496984,-65.45758239202705,42.05710201373203,0.07780420889902083,632.1119757480473,123.3856287668119,0.6440415850473332,9.223328739460184,95.9194828022792,0.09636190623941022,656.8013319327808,143.4438659676813,0.6722827770458122,-28.118297565956958,5.119655785147925,0.028580579654130526,150.47275467489882,43.2140650274717,0.15655511909755884,-43.91366804679983,42.17341522086382,0.06088519682743842,1570.6544588643837,-796.3694789886929,1.7610110096803178,20.23197515237998,-32.986608513679975,0.03869688824442225,1.027352052203029,-93.93968293467209,33.536455469487,-7.190274386045624,56.174163063688695,165.588250873667,4.745247842453537
6,0.2019999999999999,1066.888781762249,581.7051182876701,1064.9293934072025,585.2583160217284,1091.0073764527199,825.6026304639897,1096.7690015570402,1051.3021829264962,1188.0657772137574,1067.919105373069,1168.605302402175,1082.3349113594952,1078.460253584071,1077.093118126818,1072.7933764365475,584.4473713144175,1089.333264749096,799.8053759305645,1049.6077032664803,1000.6688801697214,1134.509508203519,1018.4217693233127,1122.2103606750663,1008.3130279059299,1023.5163458460316,1027.3566034490066,1111.6256032567026,264.5252346749195,1155.048775096525,122.25797386932841,1167.8450691641451,209.71549034901648,1089.0954358743084,313.18284945946016,1189.9909238941052,460.056137233755,1334.964250427681,559.5487529737893,1103.8722228279755,306.7619323663478,1169.492251745095,444.5263519412966,1176.5950986520893,559.0140507451355,9,1,baseline,person0,4.777211766106556,15.418486084080604,15.419101360124426,3.349765732161263,12.3537836189754,42.76119644882772,32.94491446892742,20.99060590657438,-25.29331346818697,4.846561348222564,3.661636431197965,-88.55211947453375,-101.08956316571997,-83.7749077084272,-85.67107708163933,-5.930463589588741,81.97513929938528,32.83335175255571,73.0207275025588,-55.263664251787034,-65.07994623168733,-34.273058345212654,-90.3732596998743,783.9440609296328,-408.5494419307383,0.8840141046209395,73.05458192659651,-13.822238729397085,0.07435069753514251,107.71793063409535,-28.348353127877758,0.11138573384933384,669.9597123380788,-94.0060694524535,0.6765228431102832,69.93249359195596,-0.4705304276200843,0.06993407652119442,181.25539145296952,-201.95951901470914,0.2713690554418869,-82.29086414948453,-17.645874708687934,0.08416153050357171,76.2437502749194,-28.24695959635478,0.08130805730321179,97.62185810178333,-12.579173043576105,0.09842897324317142,628.1992954548228,-75.44052409754033,0.6327129107944989,38.31061992162142,5.9859782082370785,0.03877545014423978,34.47618406414409,-13.22476988587545,0.03692562533199812,-79.67180361470693,-185.86222717634226,0.20221860394674543,-96.56091341489419,5.696302916948441,0.09672878509751029,556.1720911696555,119.15777380322042,0.5687934335536645,1.3397801345774945,99.21996125200252,0.0992290064530422,554.9347655317335,112.41668772227179,0.5662067693645202,-48.05675811026647,-21.078530280232865,0.0524762464248669,86.84207552323588,61.788629160106346,0.10658039582713394,-67.43678051010326,15.796520327542627,0.06926217885705237,1352.0854160238696,-1015.8816227468399,1.6911979315441446,39.747269797800016,-28.130717670891666,0.04869479164200749,0.949423474842445,-116.53463503366496,-18.68592294124617,-6.590499289710949,19.006291396317227,165.75004700781247,4.777211766106561
7,0.2356666666666666,1068.8201654360464,580.6738741056871,1066.1112722817832,584.4731512231306,1091.109128757339,827.6294756364014,1094.6600481722623,1049.712093983035,1185.5071586050271,1067.4437967097742,1165.0763792723424,1081.1763290263073,1075.537667215393,1075.3833923632635,1075.213342451846,584.341369256037,1090.9467316789546,801.5484724264397,1064.3133258269636,1003.6911384721033,1151.2577272535855,1017.6020268658561,1138.356549032589,1007.5624177738573,1037.483654493234,1029.568773498429,1112.7993618685016,264.1068814512882,1157.0992512973105,122.1468719988051,1169.549023458412,210.07228035913352,1090.438659843891,312.0180153673071,1211.5929034615883,443.7833551174395,1372.1170453070388,520.6386471194147,1105.4012565238784,305.6236981849162,1165.360718724112,437.60882242497,1169.5664375230936,554.3063802047143,9,1,baseline,person0,4.989978663775532,11.600708874230358,13.476846217099212,3.240029649535957,12.019097441578262,50.7806390302789,30.723263855538654,21.7646646590487,-24.986093334536985,4.28915519652566,5.542859313486483,-89.10172520274212,-97.48543066452228,-84.11174653896657,-85.88472179029189,-7.013756997863152,82.09618076812986,31.611258382462477,72.66185000758728,-47.123180201591275,-67.18055537633153,-25.358515542542577,-92.1666487108685,641.6429574499925,-483.34996385095485,0.8033261307836889,34.86411718215581,-12.426333375187651,0.037012436126826274,39.89774167076817,-34.59903244019005,0.05281025313539668,497.47185297227213,-24.348785865045397,0.4980673728249701,50.61250379010741,10.597723072782584,0.05171012738556177,-122.7188026034491,-205.47117375227413,0.2393288694569912,-86.80949609935085,-50.78393357092711,0.1005728418707533,45.4168424525598,-33.80893608212692,0.05661919937058437,60.90523368669368,-3.30005556009827,0.060994572357960686,479.5897531937425,-22.29535045759747,0.4801077108529522,71.88017867222871,-3.148575991500489,0.0719491043497122,35.105313106359354,-23.32172669102385,0.04214600745202729,-208.77211274244283,-139.83179823032935,0.2512742065061012,-104.81949890592382,-34.413336629343085,0.11032409115353478,436.8006701133665,89.77004858559751,0.44592991269317933,3.0223456817576317,60.203321952819266,0.060279138576914394,414.87055387730226,65.70802126997292,0.42004180807828495,-62.64217974587487,-47.23036465727119,0.07845221493988112,47.92476029282431,51.77514344183844,0.0705510320799605,-75.9985725365435,-14.118079107763487,0.07729879161594529,1103.548362753199,-1155.7457184467657,1.5979884713737131,57.36783189496937,-30.63101530642814,0.0650332779047166,6.3198088416527405,-113.39932306485863,-57.69074682253105,-3.2594876027318573,-9.941173586053603,166.20792730709644,4.989978663775545
8,0.2693333333333333,1071.0915163996335,579.5042615931262,1067.2997363364,583.2555294435333,1091.6024891326904,827.9602401706097,1092.6949415181004,1047.8137526867406,1183.7249601475164,1066.5693031529747,1162.3395434535757,1079.4474337668962,1073.082162533346,1073.151841343648,1078.0425028092068,583.6510427654476,1092.0495462602228,802.5761942600583,1073.4197591351847,1005.1849389847685,1160.6117794289494,1018.5118244710061,1148.005896384503,1008.146405944784,1045.4061975086042,1030.10068657097,1112.963345248244,263.7085178728919,1158.156365614097,122.33673423101651,1170.599989433589,210.82516944412,1090.107428111503,310.7318534181296,1228.374728191255,426.42064407945713,1400.6368345276126,480.23611900761694,1105.0851645645077,304.19932591487196,1150.4761655573795,432.057436640982,1161.3988029535487,553.5618363731213,9,1,baseline,person0,5.400730524910921,8.946238733781179,11.159920983272515,3.146700616674029,11.199385785725212,57.887697981913895,24.73356830692203,22.536467632328048,-16.462959117143082,3.7220925520497423,5.475501565689521,-89.72379386165494,-95.29272841925224,-84.323063336744,-86.34648968547106,-8.638377208469265,82.45412452880376,28.79567780351067,72.26504464958846,-39.65817748928237,-72.81230716427424,-17.121709856954336,-89.2752662814173,498.4700414752484,-515.7240902370995,0.7172473210122292,4.870793457689588,-11.832581536523392,0.01279588272554676,-9.838566308555231,-38.202830173589724,0.03944938048030635,277.8431339216994,27.023691242078453,0.2791542350668866,31.216811143869887,22.363042128311758,0.038400455091374706,-442.1154405960155,-164.8926470491485,0.4718640141653991,-72.93578263505682,-66.283693651948,0.0985553470529811,-9.388870080319826,-42.308087229036076,0.043337341016320446,31.399435152076215,5.639472243903019,0.03190185221988203,286.614277779621,17.346183294850718,0.2871387022016229,84.03446606022513,-20.504747245227012,0.08649991991682868,35.30091251337389,-36.16698355239434,0.050539144467986796,-242.60300701618624,-22.11516331464528,0.24360890677832192,-81.29215303267458,-51.35332453696036,0.0961539291224553,270.48811806596757,44.37031225738311,0.2741031678486888,14.654268574787888,9.824689134904107,0.017642905204628818,235.3230598624746,15.799398194292761,0.235852842862535,-58.36950457906749,-56.386375137454166,0.08115677646350605,32.756868750545735,30.526391097580497,0.044775808242653994,-52.936587846855964,-25.975056142558532,0.058965972174441134,847.1224520962488,-1200.0750924296376,1.4689440684776138,67.46587020556078,-34.740965719629735,0.07588529726980096,12.200550330754117,-78.84564773611415,-68.81956140079288,-2.772149490948355,-24.34787096593215,166.77718786554777,5.400730524910941
9,0.303,1073.3516520732846,578.3612035875004,1068.4531931206755,581.8829198285547,1092.7636438590575,827.1535689240424,1091.6652022950793,1046.3274004179318,1183.7128388742276,1066.0099409289764,1161.3537458176756,1078.115337339836,1071.777267687983,1071.1712330308,1080.4832386299079,582.5318435043316,1093.0042065812559,803.0404261192111,1075.8770162467956,1005.1100903966592,1161.9327746183887,1020.4479195688255,1150.1679600351101,1009.6862448368391,1046.4604516062248,1029.2295215142688,1112.4286900046854,263.4026379638073,1158.3270949823661,122.716376957523,1170.967730135757,211.8993573447181,1088.8751877884395,309.4368157910196,1240.8520991257199,409.42310558640673,1420.8890182069024,441.4234785024201,1102.505390184058,302.6318685906786,1128.5346167338944,429.205310575576,1154.8730806032324,555.9604154170505,9,1,baseline,person0,5.941417117824641,8.166258727659974,9.377923045542332,2.9521177058549455,10.314496857085317,63.959632977849566,16.688210736169783,23.2918318933819,-1.8432158294950935,3.131193756373087,3.9439170318105257,-90.28388917004418,-94.91760598875766,-84.3424720522195,-86.75134726109769,-11.11663887786797,82.93415588181703,24.744335397423384,71.92652725757078,-33.10621114033342,-80.37763338201323,-9.81437924695154,-82.22084921150825,370.6149782514353,-504.87738098169524,0.6263039453262671,-15.880848818571002,-9.085541853997848,0.018296131557765282,-36.60119771475294,-38.46646417158337,0.053097236651431706,39.23748087443431,57.507775182752496,0.06961841790676948,10.922991153499872,31.906571304894054,0.03372448707058011,-651.729172974811,-84.71661580413931,0.6572121574497366,-38.759252832561124,-58.82994988656659,0.07045028519313697,-76.62696179554075,-46.558138342377866,0.08966243092802725,5.071169354528256,11.276516628905739,0.012364327151296756,64.21971239426743,45.7377888729241,0.07884235404265023,72.49710358517922,-33.2435424093871,0.07975564644691262,34.26109260224182,-40.770582623128156,0.05325469813761701,-193.83333713810913,71.24492209690872,0.20651198878198446,-29.281117898020085,-39.567220605749256,0.049223457942547885,72.98783499834782,-2.223225389383491,0.07302168711333672,34.48974434754182,-23.960532076259817,0.04199582791821432,31.314478147146836,-25.87618980300777,0.04062233056275107,-30.58631355508474,-44.149077291353095,0.05370906443578989,28.356247159398556,13.789065123350076,0.03153117615854011,-0.3600378204614133,-16.614719524702796,0.01661862004249158,601.5500102759385,-1152.850708075153,1.3003565549388227,67.13274278171676,-33.95221798888372,0.07523003562248806,16.059997809318407,-23.16772295409519,-52.93063181376782,-5.779690420368809,-26.28382956356125,167.27662793403653,5.94141711782467
