Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,Likert_Score,RHip_vel_X,RHip_vel_Y,RHip_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,Head_vel_X,Head_vel_Y,Head_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,right_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,966.879335224063,567.9691911466082,968.2125008168532,567.9652857961809,969.516885408359,672.250972645789,964.1891270866793,767.1418708104943,996.2723256322432,788.5296704371248,989.5925224452579,791.2094968659352,956.1754099416784,780.519268502918,960.1735481038223,565.283860261523,968.1601009328564,664.2173430754034,961.5157980645413,752.4260329984128,989.8662233396503,772.1780378488065,984.5478763027417,769.5423826685186,952.1351592227876,768.4696529817516,1008.2303118297973,443.6318660172206,1037.6139009011908,388.7926996532138,1042.9703523280625,418.2167628009461,1005.5600753679694,451.6208983010961,957.5758402126299,488.9069972753219,914.9251454394656,530.170800598292,992.2119200588152,452.97841514394946,952.2466249856194,486.2613740742724,912.261598665309,519.578603244668,8,3,pure,person0,3.927673439132099,8.925926123782988,-7.301906386100201,-8.071857954608365,23.0084880581244,19.1062497929662,-33.518432408779084,-31.58889969256925,6.222861665408221,-2.590962308171934,-11.287366725811877,-12.40059826342352,-93.21662643852008,-94.31264700251364,-89.28920892152487,-85.38682128853921,-18.24269473628887,71.60330971151289,5.7475288239665145,61.815345469482395,-141.93508322817814,-140.00555665646914,-135.7123160053592,-139.95072003341662,5,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.89251863303775,3.927417516995206
1,0.0335443037974683,960.498108219108,562.6724854722611,961.5496146224144,562.4475668529521,970.8469528972746,664.9457026472777,963.5726875536942,762.5101785393578,998.0350625421183,782.7384645863452,990.8468813120968,785.9704144943177,955.2678882021056,775.7213180515387,955.9137699312375,560.0255631655725,969.9387333118792,658.8129804941783,962.6405157449203,750.0385596396976,990.7099207032368,768.9864456726249,985.2785547213084,766.6266515215924,951.7399479795732,764.8791384126602,1009.3390171907963,443.59859731525967,1041.9954316248957,388.6245553975063,1045.7806166742089,418.88486736637446,1007.7873311824701,451.6663785516774,956.5348504617376,482.1254610432888,911.3502612632288,516.0318787873953,995.2473954365903,451.853643371564,951.2948246403994,478.2498375588919,911.2830768643659,505.68920515861583,8,3,pure,person0,9.4099783733935,12.19423171637104,-5.0559419155357235,-5.262836453641347,30.42258926506239,27.626727162269603,-36.61336529004637,-36.13499801302515,5.653570988958888,1.1682404288377093,-9.454039640686153,-10.324805652063926,-94.19335933057152,-96.05985908164178,-84.78405533566377,-81.98790135708573,-16.212792862332048,67.58785929293687,-1.1985020700941296,59.39865574159542,-149.04183175985636,-148.56347648964436,-143.38861960640085,-145.8129802064444,5,-198.6294374945903,-164.49048925096974,0.2578968291651542,37.39409452085421,-156.18396504067354,0.1605980984970274,-106.57201883875605,-421.4999332305064,0.4347640612018081,25.1517327257854,-95.14557808239805,0.09841387446769408,66.39743748888809,1.3558263380846394,0.06641127893776662,-29.171027273399766,-414.06130143325385,0.4150875933785366,-27.054421670282284,-143.03323987130824,0.14556939733335655,21.782488704443576,-86.92179645553671,0.08960957266507281,-11.781769137334948,-107.03798149366591,0.10768444440235471,-28.374425385804475,-238.83448479813612,0.24051407265431624,90.49153012989767,-33.53093208243611,0.09650409541344408,-126.98961344686866,-156.75678135097723,0.20174005656513336,33.051971139217066,-0.9917839452497426,0.033066847923285535,130.61921780100914,-5.012602339959202,0.13071536344732407,-190.23280505337655,-157.90179180128925,0.24722761976068464,52.54951542646719,-172.6434951741823,0.18046392436582562,39.651068537484605,-217.77974712543255,0.2213599455506385,83.77769182851866,19.917079497676074,0.08611266866048799,-18.376876643705867,-138.07686393199634,0.13929440027679868,-31.033279366226196,-202.16655182287366,0.2045345425696425,53.023380355772936,-161.11118638368922,0.16961218482854587,33.52931952828383,-71.17373409000201,0.07867601726284872,163.4347508704345,97.43250634507793,66.95516723569587,83.74064097222447,221.02414918796308,254.00668383961133,152.37191462860062,9.40930399490776
2,0.0670886075949367,954.2284055632524,558.2877674556888,955.023884439472,557.8735337172172,972.5818292793726,658.2415237047536,963.0036441584944,758.0551171036816,999.5054221400612,777.1384611746874,991.826528500482,780.8443713545176,954.4088031618312,770.969222141658,951.5299030667682,555.7587769009009,971.9203015653078,653.7184850848106,963.3713929266228,746.8536343920442,991.4444729668555,765.7950227168612,985.9702841678633,763.5728569918052,951.3613828576289,761.2372155291481,1010.3635169271628,444.7772242282138,1046.1685344058758,389.9366433817163,1048.4463065792586,420.5946537969645,1009.6388300722028,452.9441602493451,954.9828586692872,477.17916836981726,907.2904260516515,504.1505688617771,998.177668247262,452.028339394643,950.0963592518284,472.2149491452077,909.6370324485656,494.44446657437106,8,3,pure,person0,15.33110252676506,16.506386192260365,-3.0442546380999245,-2.5169133746885977,38.171443443149045,36.41890614187963,-39.33283184206549,-40.09509706258455,4.883887667711234,4.365883579337334,-7.891935714590218,-8.737631432958073,-95.37828483380028,-96.82843999100224,-80.04842958738983,-78.29544596879728,-8.81414363900497,63.53188706308617,-7.825983950562733,56.97126007208673,-155.79779434930757,-156.56007792985244,-150.91467145430104,-151.46356594013866,5,-194.54063564243486,-136.35796895209683,0.2375701046278837,29.20457655941018,-152.81411624309496,0.15557975901502288,-121.02904970362731,-354.19754117880615,0.3743045939462608,21.89797314184157,-95.14053339823484,0.09762808163137005,55.1956272788233,38.09236004367792,0.06706403778777395,-49.07075805592997,-335.2205087378615,0.33879304711675284,-25.61045969120001,-141.66625542663144,0.14396257698512543,20.621368406728653,-91.03764824648492,0.0933439565971828,-11.285526276831275,-108.57053124432164,0.10915550081429369,-35.72783611211461,-179.90799421926496,0.1834212764573761,87.35530265776022,5.207919178581886,0.08751040695025668,-130.68886124267078,-127.19853392794516,0.1823706267092502,30.541690253942413,35.13642495221702,0.0465549482009221,124.40570554620061,39.115075755694534,0.1304100023917709,-186.90811691041134,-130.71423521102167,0.2280808090431948,43.83336159905059,-166.94349793243933,0.1726021294509181,51.71895629650682,-199.86042885260386,0.206443797343361,79.46773679204674,50.97099170438102,0.09440955029115486,-16.963935177654644,-132.8112654409129,0.13389028091959587,-46.26692513342569,-147.4555174355658,0.15454370897416844,59.07316680032588,-151.87363673209626,0.1629577876937824,21.7884140960336,-94.9468281375902,0.0974147584414668,176.51653136466132,128.55102022462498,59.971054685821834,81.85959367444032,231.00357738446976,262.1064676940344,143.580316650476,15.329855246410446
3,0.100632911392405,948.2192634349274,555.7274703631784,948.7997454260319,555.1670679295198,974.9807253439524,652.79117914577,962.5077552683808,754.1464573600738,1000.5262345950563,772.1183231919134,992.3577037631136,776.174742470124,953.623534162829,766.5723764519767,947.0596061044105,553.3626166779134,974.2664393283578,649.3905574486199,963.2626277043008,742.1574846758301,991.9939277013843,762.9020128618366,986.5990878726468,760.6763514330527,950.843776515648,757.7340144487334,1011.2300328499401,448.2006934564193,1049.8665011331798,393.8370224275563,1050.8249878044248,424.29997460534855,1010.8114712301588,456.5738571526018,952.6793093959486,475.82241054426,902.5783067565599,496.8540860942245,1000.779326727958,454.5933294859957,948.49382374826,469.90457066102647,907.0129746528962,488.1456588547349,8,3,pure,person0,21.950176217425028,22.814602749732583,-1.3117796810587037,0.1589962868424781,46.383111551509984,45.57393690892727,-41.25898133609577,-42.91659132246282,3.8417943789939426,6.644558942933002,-6.751945706291137,-7.883357621311228,-96.91475211256224,-95.51032541758482,-74.96639574914039,-74.15669238715817,5.553542420534067,59.46080560289835,-13.888280213343045,54.65196207325539,-161.74990401494782,-163.4075357510909,-157.90935789853168,-156.5832987206702,5,-185.5498045516075,-80.68331970871503,0.20233271620862128,15.835036131281031,-139.20780447815224,0.14010553592526756,-140.47449974046776,-217.51778816477676,0.2589344960514751,16.379971331236888,-86.24444473469603,0.08778614758837626,34.95798169000946,108.20605862538882,0.11371284715053141,-78.22662862561718,-187.77577730236257,0.20341865196593129,-23.40990600799075,-131.07577716408574,0.13314985189053732,18.745468935057577,-86.34865627979278,0.08835996291828672,-15.430528685466466,-104.43505107651346,0.10556884535158552,-47.77369991770196,-68.8754340567226,0.08382214397358599,77.5588754622629,76.46574234598604,0.10891459459362428,-133.26545661368527,-71.4327009871779,0.15120288587450173,25.831984112987346,102.05813925593674,0.10527656525361095,110.24127224793216,116.27545080051364,0.1602283325935378,-179.14046344818075,-76.32583785219629,0.1947227238107272,30.43176752626845,-149.65694363741412,0.15271965575414642,71.5142600384159,-162.48196987158784,0.1775237446715051,70.9116289766549,110.46050711786563,0.13126302890326283,-14.78310276187532,-116.52230933774119,0.11745632678007777,-68.67184626179369,-40.44674272416036,0.07969793890683652,69.94146538903567,-129.02123896568256,0.14675928824100176,-3.242434929597739,-139.9984255022327,0.14003596869153606,197.323328891373,188.05626718502114,51.64736664387044,79.77240123054918,244.80067190962842,272.92355871576035,134.42720135203874,21.94835636342185
4,0.1341772151898734,942.6869435849384,555.7479609063093,943.0936751145467,555.079194408653,978.0796016210192,649.2405744913348,962.0830542838914,751.2795010359105,1001.0951389771736,768.1662482261128,992.4201942740827,772.4456846040171,952.8996939199385,763.0466219383698,942.7101206972765,553.4708864044607,977.0302786933012,646.402013190721,961.85202879803,735.345287315442,992.3393523870832,760.8943636319235,987.1275373329488,758.6433836781588,949.9575419170568,754.7991828593954,1011.9040899914205,454.4946721706556,1052.828869580025,400.7918867407634,1052.7951569871695,430.6258706837582,1011.1277233043288,463.31577744424663,949.6325929289924,479.4348243993581,897.3394369568665,496.23763276094866,1002.7696885380597,460.169790023275,946.4067909333213,472.5439416942599,903.471886627538,488.4793558683692,8,3,pure,person0,29.249023665696452,31.84028920939719,0.3250544199932892,2.8354049166495647,54.90445446088491,54.91658236982444,-42.054834914607824,-44.2103048010439,2.656403366362478,7.97954486259495,-6.007013868102889,-7.685859963889598,-98.84506508826884,-90.92082131369088,-69.59805880160465,-69.60980396337813,23.591806016718497,55.49039325126915,-19.174207269610203,52.67823608271252,-166.438416949889,-168.59390258128386,-163.78361717974997,-160.72247309597546,5,-170.10549230465222,-2.619625716406791,0.17012566223560205,1.8629246666284418,-111.16814015941272,0.11118374824953674,-156.17762799085799,-18.377288048599667,0.15725513092065402,10.297566101962975,-59.850675155901186,0.060730084671779476,9.427892022425352,200.9855483169588,0.20120655004312132,-105.56451094464174,9.947948708344386,0.10603220102631669,-21.578633655981406,-105.10739870752379,0.10729959316568458,15.753776363718472,-60.60545382513946,0.06261950577151791,-26.41982388252895,-87.49120587083229,0.09139320652387793,-62.217204671757855,78.68313646243006,0.10030960333254636,59.33531433887758,166.24165375285546,0.17651336201596096,-129.66390459003162,3.227663546127543,0.1297040707360406,20.09453365167617,187.63181827345966,0.18870476812015888,88.31211596255383,207.33369084655024,0.22535813538862187,-164.92576156570718,0.6108501537107071,0.16492689279174208,16.959791014063445,-117.81657445216965,0.11903100321716331,92.38159467481938,-105.84821422655985,0.1404927168561215,58.733345447861666,188.58331705447483,0.19751777980416454,-12.660897273458593,-85.46775456939751,0.08640043628885123,-90.82664184510924,107.69082813311253,0.14087864754055288,82.39370182284082,-89.09245146189012,0.12135150187599844,-42.05181645109234,-203.08060055496816,0.2073887306210318,217.58828242016662,269.06763408056713,48.79618640871971,79.78727613387152,254.0324867323086,278.5166005324057,125.0884520528738,29.24700628666419
5,0.1677215189873417,937.8686111552004,558.9703542753338,938.13552530972,558.2504756624154,981.722858400602,648.3036782813273,961.6982518383378,750.0622155776243,1001.2232986706415,765.8701676169055,992.0813036309144,770.2620080098624,952.199450536806,761.0808754190394,938.7721736833904,556.6253007895189,980.1565329156035,645.5093876102401,958.8409565575836,726.3853798664506,992.5316388628213,760.5595230978837,987.4680965889172,758.373254904087,948.6911756670652,753.1241477494048,1012.3236492291343,463.7918576291592,1054.7366704029496,410.6751629792971,1054.1782680278318,439.7113388509529,1010.500355154134,473.4602000153607,946.2497378746032,488.93099150654876,892.4141031787182,503.9257764760309,1003.8927314673509,468.87841780137,944.1335345958964,480.8648129843623,899.8569961255686,496.582934146083,8,3,pure,person0,36.99298196587981,43.836165345170706,2.161497859548762,5.607247914976707,63.30569969848887,64.0033184588295,-41.34363498192443,-43.585705663300786,1.559816887929783,8.548815318261004,-5.5277617705491835,-7.859501164619917,-101.13310696492309,-82.30252635872763,-64.14130224956543,-64.83914205277928,39.43816536136389,51.86656138499061,-23.434636541130025,51.3446115648124,-169.2450685065872,-171.48713009498724,-167.6866678356542,-163.16348153019055,5,-147.80899418162898,94.54008265932958,0.17545747630185982,-10.102777664265174,-65.09828337291529,0.06587755774642799,-146.8307050844213,229.19371829867725,0.27219297651328506,5.732313805022661,-9.98203856194334,0.011510886821239154,-18.70267315674791,302.4186351388734,0.30299640404213907,-107.76466024738966,241.5783712978835,0.26452472753444695,-20.87518010092997,-58.601500010225564,0.0622085922336676,10.152521215662686,-8.052895528930888,0.012958503518321706,-37.752050471449486,-49.93500893934474,0.06259969993994627,-67.76877383266435,248.0561629879587,0.25714678046417677,33.479392986417515,259.61569602622893,0.2617655045607084,-117.39540154603739,94.03725902626522,0.15041504708415399,12.507615011092527,277.16137781954217,0.2774434533163338,56.87406226831604,294.63351805440277,0.3000726060806191,-143.6408535657764,96.06380232186335,0.1728032086786552,3.820609729798103,-68.44919551976415,0.06855573955556404,108.61029644794274,-27.930113430411616,0.11214404902064873,41.23236687256933,270.8498057390137,0.27397030011805223,-11.471469131598251,-36.288887247020966,0.03805887467679795,-100.84737709311155,283.09328357285546,0.3005195512285705,93.19776738184514,-26.610347493583895,0.09692231135651794,-89.76404037557177,-267.10667489445586,0.2817863707096563,230.85762479791936,357.61291121739987,54.746804424484026,82.63230070484705,250.45221651725083,270.88760416279285,116.00786363455603,36.99180471535766
6,0.2012658227848101,933.9587020047517,565.8419188060789,934.1065486246688,565.1799131913632,985.6438212362107,650.6720864587529,961.3146467506092,751.1526780154038,1000.8468444854983,765.9178684992266,991.4054044304468,770.3323041885894,951.5052144337506,761.449243284729,935.5389710533079,563.2959438638519,983.5192503427344,647.5424614028001,954.4604088837618,716.666700556901,992.675913420854,762.7122510493487,987.5140659906572,760.7163470593853,947.3403388442804,753.5481920715,1012.2974007437329,475.7323124548211,1055.12534290173,422.924987015272,1054.6723649974285,451.19581289378505,1008.8976896435779,486.7928903961722,943.4929542915075,504.60257218616056,889.6231178338686,520.6639266023127,1003.9370127830938,480.4129539294993,942.575869099017,495.0535502869717,897.9901927555065,512.8579852525573,8,3,pure,person0,44.83070831217393,58.059454423707294,4.404293629346476,8.482818877816245,70.93455564840994,72.19387026705188,-38.593268445025615,-40.52262394062466,0.737481276143744,8.50719595354229,-5.215428531076127,-8.096076196084075,-103.68656849076451,-70.44299990251933,-58.854232751172894,-60.11508659559138,49.035734766796566,48.97066263591691,-26.57290848467679,50.925404468481375,-169.28551268265704,-171.2148048595733,-168.54806801536188,-162.96748843050256,5,-120.10911627133751,206.57568482523644,0.2389554631568341,-20.149447862997018,2.0956219318649025,0.020258131218474924,-83.20295933702457,498.9863622551951,0.5058755994897475,4.30101512626042,64.17566345876901,0.06431962773127267,-47.777575597710104,397.4651094657001,0.40032637931140114,-55.65187405090676,485.1807688345167,0.48836206807268595,-20.696095147689626,10.981532599803504,0.0234290932945082,1.3704085801722021,69.85067179945764,0.06986411361000837,-40.270229811320604,12.641321300199708,0.04220775299955516,-46.43606575602771,422.98499883250577,0.42552628290181216,1.3200845070511669,343.85975627253254,0.34386229017865744,-96.3860406703815,198.86068032917433,0.22098832325961137,-0.7825020176280642,355.96072876501523,0.3559615888439767,11.586840529682688,365.1834335252877,0.36536720569145026,-116.55955580583063,204.85041431277523,0.23569009799685733,-11.22259646275967,1.422026303156989,0.011312330890352183,116.88908075965276,70.60537585533132,0.13655832563600517,14.729683244583569,342.3673393900884,0.3426840507662032,-11.435774313418964,32.5081255036134,0.03446092218595046,-82.18335964700117,467.1905183733316,0.4743638741101715,100.24704782767249,60.608614948015436,0.11714467467230619,-130.58991178563053,-289.72666620921797,0.3177975238621068,233.6529740970699,424.01503290731665,66.86070408076196,85.7245683261597,227.42627171462777,244.17116711304428,107.82489538708981,44.83233573959162
7,0.2348101265822784,931.0757258140826,576.5193873889148,931.1163001152112,576.0617485216078,989.5067999742831,656.8829327911467,960.9283301358632,755.2264390060624,999.8609475125849,769.0800977867166,990.3881715213402,773.4241546210967,950.8544983070052,764.912753801607,933.2420407403388,573.7438183753338,986.9535963190108,653.278284979993,949.9991955998127,710.3676668858634,992.8990714213256,768.0017988557728,987.1864371944315,766.2868643175347,946.335520324191,756.9537579482129,1011.4214409926301,489.5264958960632,1053.399288753483,436.6619746570868,1053.825237504019,464.31769240245666,1006.3182519481171,502.571316528822,942.9117125661628,525.771805848448,891.7277952175189,545.7882129485505,1002.655763793137,494.1342644581137,943.0983493972298,514.4953773439123,900.4542995874133,536.4759197037903,8,3,pure,person0,52.287768909237634,71.88133473659386,7.024990161496002,11.26902223618944,76.97246301489626,78.69762690582343,-33.08796396396684,-34.390283111519715,0.3859949432880135,7.951815810809547,-5.095571043570367,-8.184596403478208,-106.3368655404273,-59.44392860429073,-54.0417386937594,-55.7706289805762,51.84366573122838,47.28550514574173,-29.535555126100977,51.58769085973835,-165.4311284226191,-166.73329427850874,-165.0418040983331,-159.04968507820698,5,-89.14325745175546,324.4018834299326,0.33642696432063457,-30.32505653563083,92.17214496908444,0.0970325376463541,62.74321256919703,748.9881590010511,0.7516115838964214,6.652634731039215,157.68840630471865,0.15782867620235133,-76.89644450619217,470.3757224450338,0.4766197472234877,73.45827913986281,704.0818194895869,0.7079034731585636,-19.39870717467384,103.25182295598212,0.10505831135032687,-9.767047132763471,166.0644767523782,0.16635145219905592,-29.95496720266454,101.52441670200804,0.1058513450400876,15.575827758041376,579.5865424521918,0.5797957973304347,-38.19572460625759,409.0503893436001,0.4108298119664004,-68.47452631115681,311.4649382668187,0.318903070733241,-26.113517108346844,411.2228271162732,0.41205112464021776,-51.45595385339797,409.51774479372483,0.41273780840613733,-85.9453279482463,318.30944077133523,0.3297082035380554,-29.39089089062931,94.27023158932444,0.09874563803657223,115.16049822933154,185.15353217324852,0.21804534122209088,-25.25398942617449,391.18055893775954,0.3919948898554614,-11.516608515068675,121.44419557057707,0.12198903602157828,-17.3275835102788,631.0828148380059,0.6313206509644418,102.38238948144914,170.99247645216693,0.19930022749403978,-132.99466016301457,-187.7825132120636,0.2301083481756248,222.30482534642763,412.04850744076975,78.12642492068409,83.06040200433308,179.9979931895925,193.88557526903887,101.32724383950114,52.2951268466679
8,0.2683544303797468,929.2484694155872,590.7125829881642,929.1957342370725,590.5958149768813,992.9297880144657,667.2109579748197,960.593476317992,762.8628519665616,998.2068981000618,776.0458048117563,988.9720503536925,780.1761906753067,950.3319312535964,772.0532460700005,931.9905312961228,587.8378821874052,990.2684112302478,663.3050915889918,947.6425289917232,713.9346907280299,993.2847009191912,776.6537737857727,986.4604948472266,775.2082700874377,946.0371786507668,764.1239415210357,1009.1452709138715,504.0462898154221,1049.0136292525174,450.7496643679314,1051.102310229043,478.0010767372206,1002.7479537218933,519.4898537158814,946.3245802895688,550.3507993596892,901.9361379882728,576.4908649135785,999.7807176705652,509.12093591251505,947.1369103009256,537.433623974514,910.0771128162124,564.7971889429351,8,3,pure,person0,58.73486649637105,81.0703625626951,9.775185863697034,13.58817905172868,80.55950825177288,82.66024297205595,-23.972177416557702,-24.517009040460497,0.7783886839820892,7.061517754403095,-5.289076240696546,-8.017347458306604,-108.8287735341156,-56.22255727800817,-50.07747650153713,-52.18480027593868,48.75071380793476,47.28568431867049,-34.67819556939296,53.33019664622721,-156.47493801639237,-157.01949858829343,-155.6872421339098,-150.2205750663436,5,-57.254605423754455,433.27971696853143,0.437046225219439,-42.216442356292134,201.28711255946547,0.20566654975408388,304.32418071303977,915.2866057498919,0.9645531492000952,11.496124653351247,257.926799799997,0.2581828711148614,-106.43530561195426,504.3639387840333,0.5154720720140463,286.86877172646314,844.2944414688433,0.8916988258863167,-15.578414045017224,212.86750535965567,0.21343678647834124,-21.64130016195768,265.9588889895597,0.2668379217901025,-8.89395932094904,213.75264235962058,0.21393759517233654,120.39483448753519,683.819427855673,0.6943370406971969,-85.70892214459413,446.7724697727188,0.4549193984454862,-37.30914946908178,420.16265703910716,0.4218158733431788,-67.85563631016122,432.8542338223973,0.43814058830132535,-130.7423021042602,419.9726366629142,0.43985289029983854,-54.472926596653636,423.1179065436628,0.4266099653898115,-49.30939758087444,207.65692640684452,0.2134310562559404,102.04379440543988,307.89207151327116,0.3243616248531767,-81.17405838607102,407.91975941371555,0.4159179701275347,-9.982434570501068,227.65155618091958,0.22787031406383043,101.74209439587642,732.732259391716,0.7397621359094748,98.81901056140394,298.9123479663753,0.31482342450190437,-70.25534416568443,106.3376918985468,0.12745006120888697,192.19649410699571,273.93705594792317,81.98696621655891,69.13712770852818,106.93455611820843,118.13081857825247,97.36316082020761,58.75129703257847
9,0.3018987341772152,928.4207269222774,607.5195002194217,928.290286987889,607.8021304306752,995.5776301313092,681.4429965128452,960.4242561008291,774.1896656716425,995.9814327440326,786.9956232531675,987.1931605142092,790.7068321403174,950.0683019649626,782.97311525149,931.6983564231784,604.775164931944,993.2055960113516,677.5960744256045,948.7252140929043,730.7374496173163,993.788035980119,788.2705983348003,985.3811770147936,786.9399363306211,946.5900978825472,775.3430105596117,1005.0158868786297,517.9846022062951,1041.69031582678,463.867297099206,1046.0607985689744,490.97482113447137,998.1245064096707,535.7648403975617,955.0610236778372,574.6545159863329,922.7165319503357,607.225456072309,995.2205333101996,524.1710489186798,955.7383264420316,560.7969174713097,929.0655546685505,593.099850553561,8,3,pure,person0,63.49382378104038,82.96633864962948,12.323029417193707,15.12923951738898,81.05372018413134,83.40178287653222,-10.387086359219058,-10.235226255001544,2.125490642793223,6.182173238331813,-5.816393839783147,-7.5513082104381395,-110.87856490280582,-64.37428177067159,-47.35707203047855,-49.71435165545799,40.976952105740125,49.2456977229375,-42.919552674080066,56.03885255189336,-141.45516421961628,-141.30292496112554,-139.31196878727033,-135.3301675009013,5,-26.992578371889095,512.9429889998939,0.5136527126875784,-53.03105559213933,313.9323304663567,0.3183799632031739,619.4909898124437,916.2387552980018,1.1060119995591517,15.005082948414012,346.31288278233126,0.3466378013074995,-137.83107081719987,485.178848246317,0.5043767628154956,566.0705306923418,843.7397234865861,1.0160376797676012,-7.859137283799209,325.535722768931,0.3256305772459581,-32.175890098948734,349.7364653628272,0.3512134438032571,16.48325257005925,334.4552656783017,0.33486119864091707,256.4195755273105,696.4906363195687,0.7421928355854991,-135.9451186675042,448.66374622151557,0.468807244465192,-8.710118853811393,504.92276861078136,0.5049978895322476,-123.10239199400314,415.5195014637629,0.43337126694249034,-218.31764552198078,391.0539568946008,0.44786805149417114,-24.676096970369333,501.03640047899665,0.5016436826739081,-66.34406155709654,326.4285497628239,0.33310228549824183,78.93567065307172,424.27586585057014,0.43155631202046063,-150.29412118695092,386.7644556161557,0.41493983538751633,-5.044678172026796,337.66727649109174,0.3377049576046682,260.44491610309564,724.5258918886219,0.7699151397010917,87.56135762535942,426.03307324241547,0.4349381230078291,32.27627282766105,500.91243481269186,0.5019512178863847,141.87080207127448,56.52155127087402,75.9545814061272,45.94104784421268,14.733110436346344,22.10628394476425,96.60276975341606,63.52149287232727
