Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,Likert_Score,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,Head_vel_X,Head_vel_Y,Head_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,right_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,921.1523488895565,597.4916886921874,921.1572295698264,596.3221583175037,924.6544287342332,696.7149668477249,907.14301176858,808.7745904593618,953.8307258418812,828.6207991368542,945.6585754680455,830.9551629327387,893.1367511120648,825.1175346032768,930.4882926952753,595.1570771288399,926.986416416928,695.5517340312177,910.6470760261631,804.108679484185,955.0005817291249,825.1204226815919,950.334129832598,822.7886401042501,895.475453733888,819.2823035645581,935.1560039692308,438.7449022260752,962.0034054180204,373.372563734854,962.0055808113295,415.39921044333613,909.4825893398728,458.5842720094268,903.6480584686352,529.7752646785956,963.1818588814652,585.7958254423122,938.6626743796323,462.089573548084,942.1716963939792,535.6058224243176,978.3602864939176,582.2958636544407,1,3,trajectory,person0,10.876853071806265,6.561516854473271,2.9574726457181155,5.578338461224955,3.043347466639121,7.0364610753230545,0.3659639508879446,7.786455525642441,51.418994604188214,35.03190144198024,-3.303422148981594,-5.602017743008505,-98.88171299800304,-98.55949038935395,-88.00485992620439,-91.99797353488832,7.141012793379984,84.95867899844457,-7.051486245741994,67.67274867168527,-94.67542185959633,-87.25493028484178,-43.256396705411056,-52.22299829293478,5,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.96353892464896,10.87685307179865
1,0.0334722222222222,920.002571016766,597.8756408502171,919.1498607793447,596.7581825176773,923.7588640551196,697.1130141316659,907.3070951614916,809.0203444490986,953.8380860667526,828.3211477754768,946.6674366298388,831.0175226066547,893.4513152142073,825.2368549710167,929.4205860099048,595.6760937813475,925.8993355144069,695.8477057316396,910.184580423195,804.5077754071948,954.9604430255484,825.2895645182451,949.6857221574661,822.7001458488163,894.4974938077561,819.0567596612274,935.1761583819613,438.45741477523495,964.0937449716151,373.51630673954827,965.3473048951572,416.1356752082852,910.864816558596,457.5659888169351,911.4081153333417,529.4082246389497,975.2656539503283,577.5394192519997,937.5084647860637,461.3873412760155,941.6025936840826,533.0950464920764,985.812032813646,574.7635923120754,1,3,trajectory,person0,10.987061343570552,6.215305417217728,2.351089414067895,5.421032975746324,3.420916635033828,8.063116300013547,5.763273637977993,8.719001626877581,52.75739569163921,42.69573657962086,-2.936294498912545,-5.876597967760203,-98.35724364406109,-98.22768738268796,-87.37018230050889,-92.0123819654886,6.5347870619512785,84.56670139945699,-8.733610316940918,66.01302657932769,-89.67012121319482,-86.71439322429502,-36.91269406766381,-44.018625191078115,5,222.6247863155388,-225.0305131329065,0.3165446687639811,-26.75545929301919,11.89186906379403,0.029279193155051737,30.14025047681315,1.863027602466107,0.03019777426653471,-34.35021030743313,11.470769866449766,0.03621485205677275,-59.9711837820223,13.026449133811507,0.061369628166161094,231.83572375886618,-10.965511557883644,0.232094905705669,361.0096452108494,-246.66441730394317,0.4372314017761729,0.6021235338542701,-8.588836705600215,0.008609916881450522,41.29475508218585,-30.42173853087232,0.051290729888923164,-1.199164588175868,5.053200099181994,0.005193537036732087,-29.217060033816765,-6.73824109535816,0.02998400390339533,-13.817296022279328,11.923197699874404,0.018250488014230917,-31.898291015214486,15.505891693174386,0.03546736030340808,9.397765707161184,3.564757874386232,0.010051144163213132,-19.37151560560237,-2.6438117805942514,0.019551096071302627,-34.48261026429347,-20.979553356403443,0.040363251475486174,-17.002238635915912,-75.01073324537845,0.07691349829933596,62.44997836465564,4.294396820741813,0.06259745715122904,0.21989053557576818,-8.952239841978296,0.00895493997947163,99.83574026372924,22.002266836653515,0.10223147646374922,4.902076468725857,7.342027909152764,0.008828121404014214,-32.47710580146287,8.842308062395155,0.03365930500039642,3.292529280924777,-10.343246258256897,-18.11601355967465,-4.6995829686561885,11.280074740422785,30.67185733515167,171.93688369996588,10.987061343552199
2,0.0669444444444444,918.9100364957392,598.1650897360196,917.2863701800911,597.1746490731574,922.8360208155224,697.443204560147,907.4354560682921,809.0596765560811,953.754799507533,828.0896144590159,947.404834689072,831.0748567555343,893.8716897823286,825.2137917013632,928.4965720875033,596.1259905508298,924.9774027554807,696.157656010619,909.8929823225278,804.6983346259742,954.7625942296409,825.3663685054573,949.0808800604141,822.4925967833778,893.8429233281951,818.8356474806945,935.247655211306,438.21256497125387,966.0500321002252,373.7267154497142,968.489287292048,416.8009431824677,912.3407734817878,456.6660458917079,919.5264407843428,528.6965464663419,987.1002039062892,569.0709567061724,936.2539526796922,460.5786725371353,941.643635665529,530.4528701978682,993.22537183482,566.8189010564064,1,3,trajectory,person0,11.015145857692392,5.895469457535594,1.7985842511071983,5.0724090205524215,3.814659606639081,8.996397288687366,11.39386630747126,10.270085549167836,53.6639434295499,49.470175861359145,-2.774242396666503,-6.1100116730416545,-97.84653464311842,-97.90859592500988,-86.8313887854585,-92.01312646750678,5.97906611193597,84.17221392586497,-10.17859526542698,64.4829364351172,-84.43402927124073,-85.55781002954373,-30.7700727574683,-36.08762108461058,5,221.47734835042417,-237.3517719535965,0.3246353022729463,-27.570420436100058,9.864610311473287,0.029282052858714477,22.030149487465795,1.7128874354086563,0.022096639332859425,-32.64003548295703,8.647435592436894,0.03376610813602952,-55.67274819346901,12.44215435459584,0.05704614006571343,242.53918359837348,-21.261754534342895,0.2434693364398157,353.5633181863804,-252.9997109126841,0.43475955847901193,2.1360048600941868,-7.315014890721525,0.007620496021508287,44.094978618178324,-26.88626166653922,0.051645311556221825,-5.910835396408512,2.2945589540578784,0.006340581667093561,-19.555632584397376,-6.605841078157708,0.020641218523280554,-8.711644501262436,5.693055498804195,0.010406903037351733,-27.605395192081037,13.440899337229379,0.030703674351850854,12.558908259228089,-0.6890271431721332,0.012577795318247768,-18.06997136420996,-6.200635979905907,0.019104233867357035,-37.47919985839861,-24.159398008038938,0.04459110824073138,1.2261504830456185,-78.93638721286108,0.07894590978148146,58.44509263897302,6.28606934935533,0.0587821700981092,-2.488229155109303,-6.917177919162731,0.0073510975162684655,93.86835376603182,19.875225784704863,0.09594942646382988,3.834848667897625,1.1750670965687442,0.0040108411819859795,-27.54321935380724,9.259925347102365,0.029058133969782893,0.8390394260466724,-9.555265185524343,-16.506378312518752,-10.415321482971368,11.763275500239937,27.882253603533176,171.00360271132348,11.015145857659917
3,0.1004166666666666,917.9113660389436,598.2824524150404,915.7033279858924,597.4880848217234,921.93008056171,697.625336669828,907.522941924092,808.826934731168,953.6112695494941,827.905364248379,947.767394301638,831.0905078561764,894.4346613032535,824.9951267545529,927.7085262667244,596.4241640872939,924.2917390592856,696.4399798734736,909.8174817019548,804.5952820238246,954.3327672738404,825.2946388163152,948.5424284189723,822.1162560479421,893.6445026217829,818.5922043061249,935.3508858382143,438.0382632415112,967.7051074940172,373.99776640619194,971.2023225958332,417.28246937403117,913.9688009621357,455.9726929785627,928.2324696744438,527.3623237769316,998.4610651294566,560.2246445705568,934.763760231331,459.6244614781876,942.8172383282204,527.5740565786512,1000.6364791088498,558.1908685584325,1,3,trajectory,person0,10.931717187679428,5.663650827045514,1.321862154159845,4.525959044485338,4.254144766921185,9.76742854579129,17.419485209966666,13.000343369494074,53.82784278565313,54.6077334434663,-2.8471461661880455,-6.296340223164444,-97.3729849593892,-97.6182023776254,-86.44126777175521,-91.9545515506253,5.551953629719169,83.79130368253335,-11.103655516628784,63.20264402024208,-78.78928114348514,-83.20842298395709,-24.961478325895747,-28.60072950963365,5,221.41067374694936,-257.7669459975621,0.3398035975353824,-27.065434968669518,5.441291243581389,0.027606981371398692,10.831656475001974,0.4675847494722027,0.010841744208861928,-29.835797879370066,3.5062709085067034,0.030041118001540218,-47.29420663166551,9.364055558818729,0.048212317071753746,260.09712866692047,-39.860594870349324,0.26313377465501214,339.4116216050039,-264.2881633876828,0.43017261905817866,3.0840685217388093,-5.207354581524608,0.006052108755178275,48.63816538798557,-20.714277903093326,0.05286541819900433,-12.841303243829547,-2.142961667314107,0.013018884503196304,-5.927921519368142,-7.272991107476576,0.009382784937811441,-2.255620199692588,-3.0787499397390996,0.003816611543857292,-23.54327763322704,8.908089056189127,0.025172206346448955,16.819066185307694,-6.532728701387514,0.01804321289659059,-16.086522067965348,-11.243374668618056,0.01962624941709593,-44.52027231618641,-28.50755030881152,0.052865253917075,35.06198826297954,-86.0060500346969,0.09287832720028985,49.44623583112882,8.097787911367732,0.05010493395789581,-4.2880319414111705,-5.504570608240812,0.0069776439800029256,81.05333687657019,14.385844727208227,0.08232008228459273,2.6136853185057687,-6.953282735991931,0.007428289961412118,-20.48455855852762,8.434571836321496,0.02215308424124765,-2.492474788769046,-6.9257018237700105,-14.24231990880061,-16.325476463414944,13.129847112162466,23.034958718457517,170.23257145428857,10.931717187633993
4,0.1338888888888889,917.037068486124,598.1888382438709,914.5063290231203,597.5782313924509,921.1124653067906,697.599335014138,907.578624922698,808.4056593316344,953.5372679657996,827.6946911689224,947.8460168777244,831.0082851616103,895.0771125793583,824.6316961152485,926.9263183393672,596.4865881198717,923.7871189975616,696.6196242373599,909.8691779365696,804.2636247263227,953.7257838929054,825.0907703415671,948.068646447437,821.6279744002885,893.7972351480441,818.2809676074376,935.3942043249668,437.94239718346216,968.8705331547543,374.2419094225577,973.2910885713296,417.4854108426499,915.7598993508252,455.522078633407,937.528854310591,525.2534732164537,1009.1355524274051,550.9574837681915,932.9207660100564,458.55740493352323,945.4264723434792,524.4184794797811,1008.0516230355801,548.9113818435551,1,3,trajectory,person0,10.736634394309194,5.569524857784341,0.884317976963295,3.930091621235671,4.740873118867184,10.313473697864044,23.839739899755852,17.244630022711174,53.14540883286022,57.62055968084543,-3.0279500449751033,-6.479164658619193,-96.95799159185832,-97.36348263433032,-86.22135719759625,-91.79395777659307,5.341958952648106,83.46516910473454,-11.313285127071104,62.27436099007928,-72.69501964207593,-79.29012951911986,-19.549753170438105,-21.669712200913683,5,221.53127084007374,-277.22947861874115,0.35486939537699946,-24.426679815019746,-0.7768129500780044,0.024439028727527245,2.3488902399248452,-2.456445646786147,0.003398736614512635,-26.120092864321357,-2.796771918756456,0.026269396346439256,-35.76096486289885,2.6931755570035003,0.03586223365193985,277.73431278115834,-63.00300429643617,0.2847906723303961,318.90584458600955,-276.8612355893373,0.42231869658253424,1.2941622598269655,-2.8640482072733233,0.003142869403641515,53.50999335504269,-13.462337282659819,0.05517747650961219,-18.13394333083847,-6.090676424012038,0.0191294600035672,4.562963440169983,-9.298357803108377,0.010357610399650797,1.5444518225190256,-9.908433784287366,0.010028080149743997,-23.368867539301302,1.8649503508730656,0.023443165526025527,19.19356509524526,-10.857678850589076,0.022051805619675374,-14.154482137155913,-14.587667481769893,0.02032607702262669,-55.06040827044592,-31.878867724412938,0.0636231936191418,77.95221954300163,-94.27450253885588,0.12232837103725804,34.81769608841375,7.293899244122636,0.03557348629370693,-2.2108356954348403,-6.293967519033756,0.0066709685655728275,62.40296690279849,6.062981635081822,0.0626968103222094,1.6635584645785622,-12.585821064901701,0.012695287261137275,-15.075786076402403,5.366968547640152,0.016002614699254843,-5.828199635957204,-2.81206215220103,-13.071859235747526,-17.80184832945061,14.541261966851387,16.31338213661336,169.68652630233078,10.736634394262069
5,0.1673611111111111,916.3235482509417,597.9107429764133,913.7365830011977,597.3775030265309,920.411385350294,697.3680019645675,907.5889695453521,807.9399469452795,953.637392012188,827.4207173374674,947.803720293855,830.7936676524037,895.6600033531787,824.2089959923201,926.03098140666,596.2778243222131,923.3393297491128,696.6644035073667,909.91597221307,803.8464717986726,953.070739153583,824.8518896809212,947.6400246650292,821.1712961770651,894.0564534709677,817.8695146178723,935.304854392196,437.9087002552315,969.3778011799457,374.32879391642587,974.6939668419328,417.39615226567275,917.6556927453928,455.2846138890332,947.1802560855532,522.346898756053,1018.9173342681055,541.3311008093917,930.8167948383003,457.4749860871704,949.5667687107426,520.9917369301896,1015.3433838340995,539.2621911423113,1,3,trajectory,person0,10.43212098003254,5.6011988683497025,0.3904263214547037,3.423559142490745,5.231437511568213,10.584905260798006,30.50999746276981,22.995300434701967,51.72809273744465,58.36725699923576,-3.1898008366292587,-6.745631956946718,-96.613512636658,-97.13605827420496,-86.1813916566459,-91.53485940587566,5.403869917601396,83.23370308290217,-10.589999024141749,61.80417329382318,-66.25593222811248,-73.77062925617986,-14.52813684425935,-15.403669611844489,5,217.84513588937796,-288.2745769666203,0.36132912276198476,-20.94512733101869,-6.91119484193903,0.02205590562765063,-1.2636323811619925,-6.411809403682474,0.006535140903138365,-21.316787109178666,-8.308240355579452,0.02287864223384169,-22.996561650802708,-5.996864044082987,0.023765610156745085,288.34063394078146,-86.83541956383709,0.3011323816400345,292.235806029225,-287.5931838313636,0.4100141530628075,-2.6693755848527574,-1.0067132085516297,0.002852899840036505,56.6378109580356,-7.094382404528628,0.05708039849037376,-19.56980134075311,-7.136683637554571,0.02083049154146587,7.744281846677981,-12.29237147248856,0.014528465085425806,1.3980032813379382,-12.462660079173105,0.012540825707410441,-26.74865525100556,-6.236926735030569,0.027466157591393932,17.414164197125626,-12.62838541528628,0.02151114206362524,-12.805298063637872,-13.643498785096607,0.01871151296922674,-62.85723002756459,-32.33782445535323,0.07068780840600031,123.69350142861703,-102.37571102514094,0.16056421925066133,15.154895358412247,2.595719318883323,0.01537558493543739,2.9912578174119555,-8.185110317331088,0.008714565636743346,41.91171596822683,-2.666646283135347,0.04199646339634659,0.3090509672607914,-13.9133990944219,0.013916831063896153,-13.377936053241964,1.3378039172152882,0.013444660366314492,-9.0974961941573,0.9462774940688969,-14.755269376190284,-15.132920526819369,14.655865674055645,8.109158726657798,169.41509473954807,10.432120980012101
6,0.2008333333333333,915.7908769747256,597.5366166250991,913.3493888127492,596.9205420608241,919.8152336707448,697.0133391667677,907.5282384976305,807.5475672799143,953.9027049156989,827.1170124832195,947.7310811783796,830.4769962074953,896.043182690822,823.8028273694941,925.0005172931541,595.8474846788494,922.8649203436155,696.6016319039676,909.8728255460888,803.4687400674353,952.4592239573644,824.6897504036513,947.2291084487316,820.8854067685786,894.2086580401563,817.3738433227538,935.1090941039776,437.9006463415705,969.1483006693602,374.1420819420453,975.4900121603661,417.0588702554846,919.5120642175318,455.17438784449024,956.7510712915396,518.7507224588433,1027.6069450910256,531.492525969256,928.820497000758,456.5070676284188,955.1030353750197,517.290991230869,1022.2288493263527,529.5621197116949,1,3,trajectory,person0,10.040865778311554,5.7169883629470855,-0.2261523383693327,3.056031445992229,5.68713710701284,10.596691302621156,37.205814925637554,29.873070464142103,49.85552750539802,57.14503211029469,-3.2882568781430015,-7.156661438913427,-96.3448323117142,-96.93050909195806,-86.3039665333451,-91.2135207289534,5.732306368870294,83.09934216452,-8.512082342703,61.89235603773221,-59.69399897180466,-67.02674343330061,-9.838949924183872,-9.882189780974905,5,205.70685288059414,-289.79466514704797,0.35538184713027776,-17.81034063383455,-10.595735038003278,0.020723847000226295,-2.170131250717121,-9.460723665314216,0.00970642889618914,-15.913830658739625,-11.177218794451692,0.019446856460983236,-11.567627206758935,-13.65194586343963,0.01789373144575597,285.93306839461303,-107.43763211581039,0.30545141085974814,259.60663039429625,-293.932526344304,0.39216314537170077,-5.848440145945049,-0.240614847963129,0.0058533877067696504,55.46006057842711,-3.293060251906203,0.0555577408214687,-18.269333662962445,-4.843995005574818,0.018900604225862372,4.547190448788942,-14.80843703258306,0.015490860154476082,-1.2890290550379362,-11.284931389663296,0.011358312919361747,-30.785649864077755,-12.85662005069968,0.03336238775450048,11.447681456563727,-12.134498275297858,0.016682189877955462,-12.276335092705962,-8.54109436142259,0.014955223040768354,-59.640433320768956,-28.91706598759981,0.06628105303946437,165.39883810288075,-110.56169724111194,0.19894889932497303,-6.856446789275049,-5.578117076930261,0.008838905627853548,7.926360602816774,-9.073340043920977,0.012047933099021833,23.78226677476922,-10.076474993172127,0.02582889005037412,-1.8143715501934075,-11.72254601920615,0.011862125833701024,-14.173227052203497,-1.875334209432796,0.014296756396832883,-11.688952084610369,3.459271207888621,-18.420607264452546,-10.980080559291773,13.614261772619567,0.3521141125588422,169.4033086978651,10.040865778369096
7,0.2343055555555555,915.4077945186681,597.1732915825735,913.2169853310223,596.3046846547632,919.3087370476148,696.6619584100309,907.4076562605576,807.2872059652575,954.2495069096458,826.8436337826636,947.6420702501271,830.1426229732249,896.1808004265462,823.4800837685535,923.8873515189848,595.2891594738616,922.3752877080335,696.46176114878,909.7147658203132,803.1903383536875,951.9167657285624,824.6540206820118,946.825719169392,820.8083639783251,894.1668833850496,816.8672538058655,934.9024624314119,437.870070704937,968.2538409385256,373.6444621701811,975.8051580204991,416.52087789819245,921.1713465854991,455.0951239674958,965.7023965684867,514.6802208153854,1035.0701001416326,521.66701475539,927.3295565492612,455.7251283741063,961.54653042326,513.2747309969845,1028.3949426987385,520.0138839313074,1,3,trajectory,person0,9.617378111849336,5.909600766803048,-0.9100960989431226,2.8217150301635905,6.121341370437805,10.4509434991469,43.660099325290304,37.23401711746407,47.89592022081936,54.64483063506367,-3.3202950717557185,-7.675067402789567,-96.1431465065761,-96.7649712902389,-86.5257683945179,-90.85537052322698,6.27784131129158,83.02328810684322,-4.369359463235188,62.55013904340012,-53.31516543561271,-59.74124764344147,-5.4198496560559315,-5.097021447000584,5,184.21523768123328,-285.25849634352545,0.33956982128882185,-15.131849321724948,-10.497682358938336,0.018416682622137814,-2.6592476490382704,-9.989573803926714,0.010337465010485616,-11.444787068939554,-10.854524092050061,0.015773517182868926,-3.9556226905940446,-18.39905943418638,0.01881946702043034,267.42548545236474,-121.60834785434412,0.2937770932821279,222.96562806792113,-293.54224373375604,0.3686200213715614,-6.173228392005458,-0.913463003158532,0.006240445772378901,49.57192136665821,-2.3680494371776244,0.0496284499669198,-16.206220943460625,-1.0674439659886938,0.01624133719521849,-1.248039488664466,-15.134624570937131,0.01518599563639078,-4.722116288733117,-8.317395597445325,0.00956438454730473,-33.25640487144503,-16.680255086775045,0.03720509877333156,4.111401233250276,-9.642132476235044,0.010482096106697288,-12.051463947078018,-2.3016933187751354,0.012269294005826716,-44.542619297829184,-23.360840792739356,0.05029685692421605,192.5027566279285,-119.98785760982969,0.22683561731603843,-26.72244839007858,-14.866648785984069,0.030579511017774872,10.36088944571584,-8.167330473038804,0.013192926785295754,9.415146028870828,-16.072800715781423,0.018627396425539074,-3.6024568752035706,-7.778429317550501,0.008572144316670749,-14.62802894684464,-4.17871135829906,0.01521318045267663,-12.651913686838078,5.754395467895981,-20.433174589756405,-7.000324456291279,12.972077579501038,-4.3542912241271585,169.54905650136112,9.617378112058205
8,0.2677777777777778,915.1048589822042,596.8855964268347,913.1793315623167,595.6194185618988,918.8885654592424,696.4108498504858,907.2765400705775,807.1647105599545,954.6089237786668,826.6208564725711,947.560004662524,829.8572057600867,896.1568186422285,823.2663488754024,922.7549412923515,594.6673470119291,921.9247361779908,696.2667884199421,909.4488133747988,803.0150708147273,951.4587435764242,824.7258648276116,946.4554322235133,820.8735066642581,893.9358491396827,816.421336148861,934.7630327900556,437.76812973150084,966.9012631066676,372.910583549335,975.7459900253128,415.8350407155358,922.571888101272,454.9984796722373,973.5368408230593,510.37697073489477,1041.2934138618189,512.1282538013539,926.4972342566624,455.1055540147693,968.1427624873725,508.9177539545314,1033.6928811063956,510.74851743387296,1,3,trajectory,person0,9.230212473340089,6.198868927054579,-1.5410943117433726,2.6970743718207735,6.574549950605628,10.284617660451318,49.6050291094724,44.41865873499664,46.17003769421572,51.64680240348,-3.288788031171212,-8.207509620619538,-95.9876911284383,-96.66641529199848,-86.75747865465934,-90.46754636450504,6.989307207590802,82.95790368511803,2.408598920402675,63.64097188100929,-47.435104747132776,-52.62147512161435,-1.2655816022836428,-0.9751872597272292,5,158.27865782212479,-276.80762979887186,0.318864544025896,-12.552844133949781,-7.501998459442939,0.01462374359515106,-2.4517519947796678,-8.526987280478501,0.008872463013467469,-9.050356276099226,-8.595041997175375,0.012481333889354018,-1.1249258700419236,-20.47267995279367,0.0205035626821928,234.05808561378285,-128.56182813083907,0.2670418152528407,185.9247252503806,-284.9754309919478,0.3402631330727382,-4.165532853797273,-3.045539455354975,0.005160133189190791,41.841904205661706,-2.8872984475574057,0.0419414048391448,-13.683649358485415,2.1463811133549435,0.013850964285916888,-6.90226791137496,-13.322021288105258,0.01500391793902933,-7.945467251882977,-5.236208632833845,0.009515688661221978,-33.8313428703706,-18.576969817066935,0.038596160016208754,-0.7164682451736216,-6.385440791237054,0.0064255101622156235,-11.062514565670865,1.9461715299467388,0.011232400105928176,-24.866060193822275,-18.510105341187167,0.030999112072842314,197.065854197549,-130.16694898614986,0.23617448104944058,-40.40896427127771,-21.925004440215925,0.04597379920325148,10.737765381539258,-6.655587687409551,0.01263314896824147,-1.7676745449830353,-20.48974155654837,0.020565849905878588,-3.917164181977304,-3.6596137683871226,0.005360685419079776,-13.460460648581808,-5.824911400967786,0.014666751300173596,-11.566774262516892,8.642036322867298,-18.851398888638137,-3.7237043156360192,13.539841399204647,-4.969070699619062,169.71538233977736,9.230212473778963
9,0.30125,914.8319573851804,596.6610945645594,913.1345335785547,594.9149247853654,918.5626556222588,696.2876826165399,907.1742090822564,807.1455017255162,954.9204807841361,826.4252509402188,947.5029457058364,829.6262830171754,896.1134567279809,823.1295036750079,921.6502524206996,593.9933209272942,921.5301443257118,696.0673431746557,909.109400904454,802.9136557878451,951.105384068751,824.8498612418973,946.1538075993172,820.9859767652534,893.5661644226525,816.053781813381,934.6988974981748,437.5684607413401,965.3425802093408,372.06814074630563,975.3921495831472,415.09100980697264,923.7721498757368,454.89301234444054,979.9515722439124,506.0175105205299,1046.3549936261415,503.12095338057594,926.204777675732,454.5810895848843,974.1976607228272,504.26964048547075,1038.1573396204396,501.91411018313005,1,3,trajectory,person0,8.93133031934344,6.563080812644376,-2.0522145249030315,2.652290228101193,7.048950715845295,10.181559851662652,54.84964776862294,50.98452788694201,44.817701013592334,48.67153545451082,-3.212063125927298,-8.683238057622718,-95.86666388983372,-96.631023518952,-86.93533356978104,-90.0679427055984,7.8701604273316,82.88310657795883,11.189122579617909,64.93521690813604,-42.265317561818435,-46.13043744350937,2.5524229898208715,2.541137564177745,5,133.37801369757608,-263.93249877738157,0.29571956047712383,-9.736725420255466,-3.679684997553791,0.01040883776368291,-1.7046659259370966,-6.898936717680638,0.007106420600669024,-8.153076757556187,-6.707109578349053,0.010557366125629276,-1.3383630003585538,-21.047116975270672,0.021089626561213822,191.64342834084053,-130.24113503496613,0.2317109338840685,151.21732075984985,-269.09777190706103,0.3086750539695943,-1.9160751101306632,-5.965214643805662,0.006265391414296136,35.858443054548545,-3.1508911208990504,0.035996611689880775,-10.556798569490812,3.70445719027581,0.011187895204701795,-11.04452266646389,-10.980876412679576,0.01557437407155027,-10.140123595361718,-3.029826529261112,0.010583097624354878,-33.003153012008084,-20.13687887705772,0.03866137607022429,-1.295459678769373,-4.088321339585983,0.004288657966664091,-9.011192092163503,3.3601026023508345,0.009617269488799558,-8.737292044395687,-15.668646867934163,0.01794008826458452,180.89322529159554,-138.86480073542302,0.22804778411483126,-46.56646000312269,-25.168415692163563,0.05293282861963803,9.307927134351154,-5.8438167341770875,0.01099034583446029,-10.571166736896876,-22.228309301472464,0.02461396555984432,-3.057191352332542,-0.5738738919356028,0.0031105867949025616,-11.788636250658,-5.958530149637518,0.013208937360532344,-8.929259372513993,10.881018988574846,-15.269981471989801,-1.3379495219127813,14.172968920023225,-3.0789054907817213,169.81844014773986,8.93133032005268
