Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,Head_vel_X,Head_vel_Y,Head_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,931.7173898151988,654.2148215215931,930.0932648214558,650.9510129555962,934.9876495085359,769.9779619444992,917.0434442888849,893.9041702906711,957.8069795859624,911.8273313024202,944.7677810289988,916.7183077326811,905.6293933663128,908.571275529193,939.8729616844288,649.3234005162219,939.8732192293926,769.976602869825,926.8266083316043,882.4830759623412,969.226542565851,897.1507947296602,964.3274479801526,893.8870410461628,917.0443658867896,900.4203252076368,944.7690360914278,474.8454843015025,965.9595383394508,390.04567114783674,980.6415690880036,443.85461479925794,933.3544479445965,497.6763047295943,1008.3561425398633,541.6938285509245,1084.989932056821,528.6434289568401,939.8651369454823,496.0460174773216,1001.8305797609777,533.5428892765277,1073.5770161941718,525.3858815998391,2,2,trajectory,person0,10.593599046213551,6.614999274280232,10.200871231558486,4.667792812292109,4.162037470305859,63.75418796797928,62.98188187576306,40.07223933513392,37.665735364301,-3.5718549564338486,3.586219321730628,-98.23886088309408,-96.61464412238102,-87.64526183688068,-89.9996448481009,9.451224950412788,85.8383176815932,13.618598193873437,75.97012678199692,-30.407494350427392,-31.179800442643632,9.664744984706497,6.48593501585049,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.48357951847387,10.593599046213399
1,0.0336538461538461,931.8250675930392,646.3477949762797,930.878296471746,643.7153606104209,936.5010041523528,762.2269833285303,917.5342692086697,887.3017029438064,960.3158846357009,905.0472862536639,947.682108983117,909.5090753941522,906.5015177416584,902.9146208897427,940.0350609679704,642.1624687738147,939.9727540439976,761.6276619691685,927.3689852458438,875.2331869524849,970.4204586320996,891.6393188147105,965.3937850757023,887.3930425601096,918.3765496501144,892.760284001635,944.8582856590282,468.0966749006662,968.197287706592,384.8268661437886,982.0214304614108,438.3022855298715,934.7611520834794,490.1666777911387,1011.005569253457,531.9827548521208,1085.729257739147,519.1175675554055,938.7204956936906,488.5818603305732,1002.8775187371155,526.0771173346435,1076.0353725569757,517.5864330285528,2,2,trajectory,person0,11.336241618156691,6.30614690689939,7.551689000975883,6.2171543925192205,4.152985566855754,65.43872947359552,63.84822900213133,38.518728092537614,36.91808660253965,-2.401606823165105,1.304149554767581,-98.61841665757356,-96.3344713552486,-87.28217503941701,-90.02832444834934,9.73073634960596,85.81868998479499,4.704641835920287,74.32093247077782,-28.742580541609456,-30.333081013073656,9.776147550928128,6.5850053017141965,39.58488896736493,-227.61265297834058,0.2310291826380319,14.584511902177079,-196.18760116398175,0.19672895780210478,78.7258223467842,-288.55761847873725,0.2991040860407927,3.199568255828318,-233.76307448931135,0.23378497007232743,31.10904386238142,-221.84008055884658,0.22401070053099498,2.9576059196916358,-248.08281533379747,0.2481004447733201,21.968534560545283,-283.05416735691523,0.2839054035569849,16.11634259454272,-215.42527343573184,0.21602727821616532,2.6519871515538282,-200.5360507677068,0.20055358559088463,73.04830335189052,-231.75504326107685,0.2429947626998027,66.49312405219464,-155.07306297743082,0.16872756267848704,-34.012197196093,-221.79209807480888,0.22438485761417046,41.00159509552759,-164.98349829033975,0.17000201618950328,41.7992086982377,-223.14320045696627,0.2270243637981982,35.47636311138806,-163.7695700442204,0.1675680292062894,74.55032147794239,-201.46419573447625,0.21481520568945744,23.32665475148033,-215.00224111378114,0.21626395100858403,44.96825227341521,-230.3147931602177,0.234663690546619,31.685445124908952,-192.9645264427223,0.1955486535316152,86.59717349379713,-214.2171894877157,0.23105859587803845,25.914552867414333,-168.08345214366992,0.17006942974812195,4.816664425236294,-212.78197177438824,0.21283648129111205,22.067093566310483,-9.177327487887895,-78.71855770874032,46.038172669605686,-0.26897084537455834,173.100865024212,11.33624161815655
2,0.0673076923076923,931.8391062491552,638.3321186730362,931.4197125598605,635.9099537942664,937.8818289316052,754.407607890063,918.0875342887001,880.0938816055977,962.6409281393101,898.1041869885764,950.3375887765992,902.3085930625516,907.3326043753888,896.6204544549569,940.0252491086576,634.4027948270717,940.0464884756874,753.340883694349,927.7786592020442,867.8113399345372,971.2633274782916,885.9631303700443,966.2637089111831,881.0207608193738,919.4070485334248,885.0992274317973,945.0095092693208,461.01463087236937,970.3525679048112,378.585796411107,983.3619832004478,431.8954496077791,936.1266179689702,482.24911131744557,1013.6218511831063,521.8532280944021,1086.66741971362,509.0250335637058,937.6873914533118,480.68138397185277,1003.726754082931,518.171442811479,1078.3323917640084,509.07549950465267,2,2,trajectory,person0,12.066342660303796,6.13071515800217,5.137548361063896,7.2557565255976755,4.258053374609707,67.17768783735396,64.64008134220367,37.041040799569494,36.49538915940973,-1.69143388781159,-0.8579837062725626,-98.9481425958404,-96.1199784146263,-86.8817999355367,-89.98926325662423,10.128687832292172,85.75268336876637,-5.727120473670302,72.90430975318053,-27.069628793879872,-29.607235289030175,9.97141200568958,6.8881528454614385,30.620538246938015,-227.64282378946038,0.22969299637858248,16.439876663763616,-214.17526262105613,0.2148052901199552,77.74094876672358,-300.9916522293591,0.31086915226009443,0.4171486388767466,-238.18009586780687,0.23818046116460642,25.234421704234993,-234.9114715454586,0.2362629372169913,2.19096597021081,-246.23569730891845,0.24624544454891328,27.876812955764006,-299.89243861050596,0.30118531079109206,12.173168984240316,-220.53488281901642,0.22087059691845853,4.493501562980936,-210.4378796979623,0.2104858493297603,68.2542850089693,-252.89631042446265,0.2619450156967904,64.04261160422757,-185.44892919968063,0.19619572228363724,-30.697954571256755,-234.75701180197817,0.2367556102926667,39.83356710281345,-190.3745531136025,0.19449725844170196,40.573843454583766,-235.26483236116684,0.23873788580492414,25.045245715419448,-168.66388521293882,0.1705132561065829,69.08700696438697,-206.30923530545397,0.2175695638264195,16.087792332542783,-231.9320882514474,0.23248937744080309,41.03022201207088,-232.34715588588617,0.23594211147359878,25.849165397143445,-189.34780029615206,0.19110407852455782,78.90568529204359,-213.95718928184408,0.22804338625970688,24.695145687986816,-187.02665977649065,0.18864999784707676,-0.2915523910093241,-230.5731687032181,0.23057335303247722,21.694430966656792,-5.212829110088825,-71.73446472881322,30.861320525759755,3.122014858974614,172.63448330430307,12.06634266030369
3,0.1009615384615384,931.7161693934947,630.0557408068867,931.5921763368108,627.2684625671097,939.0901471166868,746.4416444247407,918.7312074884928,872.0627090820865,964.6112997649135,890.9265498116141,952.4771164700028,895.114082389155,908.0985497252811,889.3942265079793,939.7624291934478,625.7617490915353,940.1454058206212,745.1075526723326,928.0484872083272,860.0828805861215,971.5771768581309,879.9792495212644,966.8345874145809,874.7141134047757,919.9942920379261,877.3710261715453,945.2466175912676,453.4284741294294,972.38422390341,370.9170712401463,984.6173235020113,424.2941812856951,937.3940876025996,473.7152803144548,1016.1044744962371,511.1493336972177,1087.8572986619997,498.20301575335293,936.9088407733366,472.1275749723628,1004.3694791144048,509.5591334033853,1080.360952881486,499.5719233419466,2,2,trajectory,person0,12.795505389790078,6.184861223564622,3.0749168295688727,7.541003145267444,4.558564451874677,68.94519623528683,65.34959795313567,35.67108192747668,36.44796944883281,-1.662799857188339,-2.8204678712407643,-99.20727412289476,-96.0066120510259,-86.41176873310468,-89.82175082746123,10.694163258466546,85.61968472066472,-16.880816345052857,71.81205910292852,-25.43511904404907,-29.03071732620025,10.235962883427527,7.417249981871354,17.449521276611417,-229.63798030463388,0.2302999952044601,19.126289365267,-238.6405549843352,0.2394057840322899,73.76937844731417,-318.0585763734779,0.326501422969681,-3.652980853910501,-245.9266565941583,0.24595378568483167,19.098115220935174,-255.90862241192625,0.2566202662101377,2.9392582494625437,-244.64755036848777,0.2446652062316152,35.35640303756952,-321.5685292219141,0.3235064052251517,8.017746472410856,-229.64564921006715,0.22978557060792365,7.045504423561726,-225.41722893307465,0.22552730706601498,60.27724463361762,-282.3919774061242,0.28875348504210635,60.369206815506736,-227.8706907942622,0.23573182401743656,-23.134077347835504,-254.17032455627435,0.2552209619521435,37.301540389318504,-225.86625871335252,0.22892569043378042,37.661954827843225,-253.57669266029754,0.2563582686436884,9.325810143794826,-177.8067452208881,0.17805114259920918,58.54818544650199,-213.27836182973712,0.22116860004045386,5.124637943667522,-256.775739321226,0.2568268720714713,35.904311785281976,-236.70291439814883,0.2394105037155891,16.963246958105046,-187.3975231766256,0.18816371446188979,63.57453717541933,-213.7797457237852,0.2230325121115642,22.75951896823085,-214.72220185304855,0.21592503252815914,-7.809506051949014,-256.7625018559416,0.25688123859888606,21.66654967616384,1.6089116624271398,-61.28962265013795,8.475899555901716,8.929472010159117,172.03145345376942,12.79550538979008
4,0.1346153846153846,931.4854613564302,621.5202305172317,931.4193407961702,617.9571360515453,940.1814331679395,738.3265544666189,919.4321663077104,863.4806357079506,966.1973268856482,883.5844399820759,954.009387050035,887.946686561327,908.7886990130352,881.4321389331166,939.302830255928,616.4001622473631,940.381037569643,736.9241506889408,928.2666492515798,852.1171270882267,971.4619858346166,873.7049610709861,967.1627606198664,868.3703634718072,920.1946013780234,869.5561217382082,945.5452967894188,445.39381910228434,974.2702647711237,362.1660161405006,985.7559619512796,415.7936748343367,938.509758776172,464.663081863532,1018.3432288718699,500.13665388062077,1089.2130238744937,487.04781308361027,936.5743602017412,463.0304804821666,1005.032134386124,500.2483284314104,1082.060501728482,489.3457609449469,2,2,trajectory,person0,13.55974400114983,6.499879880998176,1.3345955191559342,7.210959693470387,5.062419973167253,70.60615786761053,66.04069155488048,34.42351064268721,36.527622436682805,-2.1977203906088145,-4.59143298840918,-99.41598441760532,-96.00179200532548,-85.85624041645518,-89.50191212432695,11.394368082497186,85.43566790250682,-26.52893050948156,70.98518963168469,-23.958174229883912,-28.523640542613983,10.465336412803191,8.003978449483789,5.95204896289099,-232.21430316201628,0.23229057122465702,20.828490628180433,-255.01018026003973,0.25585937164408534,66.52298716166058,-327.2339145503081,0.33392715171550336,-6.855324529919456,-253.62659146403522,0.2537192215266221,19.690328073937394,-276.66391916725354,0.27736372002957393,7.001629113789054,-243.16394464935732,0.24326472573655797,40.28440631410891,-331.46887932949454,0.3339078485990277,6.4825292852181535,-236.69667536601816,0.23678542884911624,8.875039030778083,-238.7440350923101,0.23890893790303458,50.50088002502297,-303.8631112251332,0.30803105240660306,56.04235721206778,-260.03135153232853,0.26600197289045513,-9.938851270261884,-270.3136648515434,0.2704963182190192,33.83382820682655,-252.5864774117924,0.25484241503805244,33.15137201472489,-268.97961111313447,0.27101484214159144,-3.4228189844220873,-186.43599966541294,0.18646741715656914,47.12766301611806,-218.1655492205633,0.22319772285592615,-5.135684636178582,-276.67941646248886,0.27672707628764054,32.426785522938765,-241.13410161276232,0.24330464726335307,9.75143238562456,-188.49999800820953,0.1887520587508025,45.530325806672394,-212.97404745546,0.21778649053057048,20.507293121833584,-236.58774508163467,0.2374748622359793,-13.65665414344515,-278.1728662268276,0.27850789523322705,22.708804451832613,9.360554392311304,-51.71240465227008,-9.807005424826832,14.971706918407943,171.291908318962,13.559744001150136
5,0.1682692307692307,931.2151551865093,612.9607662343715,931.0066413157936,608.5251586064693,941.2412024151278,730.3046576455738,920.1093918425324,854.9583027836844,967.4630089867642,876.4156016966782,954.979859557508,881.0325227598652,909.3827690411598,873.3415771555041,938.7824220963892,606.8621514072424,940.8396008758536,728.9799000494459,928.5194444591668,844.2738989284421,971.1577870962244,867.4497350520154,967.3703934964828,862.1003304824306,920.187330031741,861.8476592231901,945.887207589142,437.2150059541042,975.9410812127493,353.1418137799605,986.7641587769759,407.1055157565321,939.480161028677,455.50456178764284,1020.3060859642834,489.4646744880853,1090.6409295204874,476.3655486196417,936.8199998919712,453.82665763452917,1005.985634292448,490.6053482938737,1083.415309619546,479.0952520114653,2,2,trajectory,person0,14.403436102358793,7.040337449087197,-0.218089649787247,6.575133146772574,5.717106519070299,71.98124009873429,66.78505244251278,33.3370925420012,36.41534270272118,-3.0359360122930292,-6.273536420768768,-99.6228849814556,-96.09615293042776,-85.219448879096,-89.0558154813397,12.18940913625027,85.22707799959134,-32.57568725980962,70.34920880620203,-22.79168190167641,-27.987869557897938,10.545410640324684,8.427468793259827,-0.21606286096341307,-229.05145758910672,0.22905155949448203,20.123273034709943,-253.23503546390668,0.2540333232157458,58.32489646028714,-317.1102448067698,0.32242937352002016,-8.031954763365807,-254.3383672621304,0.25446515942047365,28.3325686450589,-286.53426694394904,0.2879316248332809,13.625881098830334,-236.05773328784855,0.2364506673298185,42.42919633809559,-317.4158583579242,0.3202390729423792,7.511629025443221,-233.05592246217006,0.23317694475506986,10.159635191776083,-243.02759068878183,0.24323985697912268,40.257148763048356,-304.5865511663115,0.3072354230519624,49.647117122585726,-268.14772728462,0.27270504191615286,7.29900793826134,-273.48502175836995,0.273582405580218,29.957848534979302,-258.16244116905216,0.25989482241708683,28.83480978872,-272.1388822549935,0.2736622324884252,-9.039048226513168,-185.86957313512855,0.18608923292408977,37.6088395760182,-213.01690905181826,0.21631141522408215,-12.263070274047216,-280.2644726536861,0.2805326318352198,31.49028620216379,-238.364934111053,0.24043602046877424,6.169662619458865,-186.30955168433246,0.18641167824375945,28.836897364910644,-205.4494386720086,0.2074633425458045,17.65236654998862,-240.40526424905673,0.24105247794510212,-15.46355674058148,-283.4151792493024,0.2838367231631302,25.069708150209205,16.05931059464523,-46.136930734311754,-18.89313167330648,19.45354307826198,170.44652687868734,14.403436102359592
6,0.2019230769230769,930.9544304050528,604.8728788645963,930.4698409054312,599.7255795104999,942.319963871044,722.9014017603026,920.6895839246536,847.2116975266412,968.423171817369,870.0018599534253,955.4198527868067,874.8527435451203,909.828456904402,865.9011950211869,938.3174233257537,597.8903847684054,941.5263619252297,721.715305846652,928.8557225941252,837.0871671654959,970.840087923548,861.7169255479548,967.5331909459072,856.2803107896927,920.1687332472625,854.6718302861452,946.2963924208357,429.4371040547435,977.28340655977,344.7608071460687,987.6188188229831,399.0616868015689,940.3749952025788,446.8822481168434,1022.0111345456664,479.93442935742956,1092.0896056449033,467.0648940737871,937.602105731106,445.1862876121796,1007.3194977230029,481.32589649779015,1084.4705783159043,469.7169625347568,2,2,trajectory,person0,15.343144861525952,7.725513470456736,-1.696402905670311,5.867553194517172,6.461430292515402,72.95751888186531,67.61147017554109,32.442111245730295,35.92781459376843,-3.987634827492936,-7.944128593249851,-99.870209575017,-96.263034576435,-84.52706471348958,-88.53752110597678,13.12467047949436,85.00104860150905,-33.23155541743165,69.90692383347525,-22.0414325166282,-27.387481222952427,10.400678729102069,8.54032966645266,-0.552590167363372,-213.2246312721921,0.21322534731371726,17.23999329731663,-230.1848419235718,0.23082954494663646,50.664300703951454,-283.1844267394833,0.28768088381675655,-7.7472506489915,-240.32579613046187,0.24045063563725222,39.63479907934436,-275.7322819407673,0.278566345064013,20.406614038605575,-215.86222774016147,0.21682465556634917,43.04637626835824,-276.3623065053935,0.27969468169205175,9.992264581621043,-213.54860095611394,0.21378224978183458,12.158634998895817,-231.11479929528824,0.2314344029273473,31.356555548932374,-278.66917302219474,0.28042778316131084,39.88623888290143,-249.03562569278446,0.252209545648892,23.239716362864087,-256.7424235212442,0.2577920798864625,25.39561279564263,-239.01663180462032,0.24036199247903495,26.589358310224664,-256.2058919323249,0.2575819346075879,-9.440203988096421,-170.34633954922998,0.17060771626499907,28.530552680829768,-190.57975465665828,0.19270349068261752,-15.950640765054585,-261.4732074230904,0.2619592738212073,32.05462611865373,-219.98246059091662,0.22230560501984845,4.837409925752967,-172.93772801278072,0.17300537074036834,13.074084527734982,-183.62772523813348,0.1840925668308468,13.243296507767388,-221.08564056256765,0.2214819301102316,-13.817106327456314,-266.5896372683,0.2669474613591746,27.922774558109825,20.359516063551997,-43.92702246052527,-21.025232867017618,22.117049268083033,169.52811331499862,15.34314486152742
7,0.235576923076923,930.7078968079704,597.9103210099348,929.9099352593564,592.319532190264,943.4115861313476,716.7583822070508,921.1426083374699,840.8747752351047,969.0786917842954,864.8995694554711,955.4268393815852,869.9115461401684,910.0745234503268,859.8116617120193,937.9531635724992,590.2421663814818,942.3682537963815,715.6967759100338,929.2739428159415,831.1310438675195,970.6102533832468,856.9828326208213,967.7047210061008,851.4045463393256,920.2423483194539,848.6060927909352,946.792803311866,422.7380871494151,978.2162009170684,337.8337116524382,988.2851673625582,392.3924288445005,941.2341120948146,439.5098792025599,1023.4454631322425,472.23481602094955,1093.509351644082,459.87405184553035,938.7123053324023,437.8517046557312,1008.9259694050608,473.2518090143052,1085.3298105173149,462.05885764393213,2,2,trajectory,person0,16.34544366700862,8.46442239374036,-3.0158971471617253,5.242055637484539,7.245300709684115,73.5449694161992,68.50016446573758,31.707422329621643,35.06253803667333,-4.914674326202004,-9.48179216144332,-100.16969871148068,-96.4666892995475,-83.82425504447004,-88.00226690580503,14.298109113996524,84.75243238451098,-26.98308228253806,69.68803811960564,-21.702598199291938,-26.747403149753545,10.004824130329911,8.315135171677278,2.187419287972761,-180.23905700052606,0.1802523300031938,13.461296837971888,-188.2971195199416,0.18877767805560902,42.620049429690084,-228.788510569692,0.23272441037004968,-7.325569741876352,-206.88743339565605,0.20701708641821118,47.73515855257629,-239.91574236641134,0.2446184964332539,25.016215599939272,-178.8363181166561,0.18057751720650184,42.186738261310374,-213.67074049677157,0.21779556062869374,12.427115162540224,-176.9819494255865,0.17741770941409396,14.750495047759394,-199.0565023297593,0.19960227509703252,25.53147112762595,-227.5551167559341,0.22898294080509055,27.717318045439047,-205.8336946678787,0.2076915009822538,32.98878815280183,-217.94189356303855,0.2204244294846496,19.800070890229637,-198.17223643860453,0.19915892674529126,25.528044797861526,-219.0646763101387,0.2205470776910623,-6.829369197522351,-140.67018983482274,0.14083587111173465,19.478307588669185,-151.61091765349613,0.15285704046020906,-16.637196340507675,-220.06540608700897,0.22069340556145478,32.43677573473474,-182.53543815376827,0.1853950662829344,5.09689321718301,-144.8798579537683,0.14496948493104142,0.20760167341801392,-146.82415146142858,0.14682429823031107,7.3116916503384175,-180.94613261526666,0.18109379819091348,-10.823718382415919,-227.26134635430302,0.2275189495984726,29.782593077199355,21.956150863284872,-39.207828890030676,-18.586213123255433,23.29214953872752,168.57668742898102,16.34544366701064
8,0.2692307692307692,930.455868720787,592.7526535346698,929.3985456444188,586.9606072865503,944.461589212892,712.4406252309036,921.4618133262288,836.4218298819391,969.4814970174224,861.4536071031381,955.2516641700148,866.540153687271,910.130198473773,855.5775487975279,937.660240042814,584.6012247425223,943.2413786963451,711.4586163781579,929.705617110244,826.9386551413252,970.5464615840051,853.6169131007209,967.9326182286552,847.9337175002299,920.3667005130102,844.2569428367057,947.341474666113,417.7621180726875,978.7291013393524,332.9705616490577,988.7506317652476,387.6163889161354,942.007973975738,434.0251920344541,1024.5712224220244,466.8106962166909,1094.8497405498367,455.1741520215406,939.885582395112,432.4875573541885,1010.5889517478186,467.1786420070301,1086.1195014571072,456.7426105760451,2,2,trajectory,person0,17.344480117548283,9.189198242086428,-3.9167545538619457,4.840669350512352,8.021244361397455,73.85808323526096,69.37969418601516,31.06379043458721,33.97919983914653,-5.666734056993686,-10.602092520868649,-100.50692248122878,-96.6800633185964,-83.16244236367844,-87.49086507650772,15.67698460137167,84.48789056209218,-13.692346220864634,69.68229687169303,-21.654026202646453,-26.1324152518923,9.409764231941413,7.846794349415113,3.6950366085309962,-129.23188435424845,0.12928469835710732,9.484948237404751,-132.3160904940647,0.1326556144560032,33.45113318209305,-161.1738456122571,0.1646085867159117,-7.488834590592051,-153.25640497930328,0.15343926586993784,49.41433247051907,-180.4598196447459,0.1871029736795255,25.944282741775677,-125.93388323288349,0.12857857034941217,39.82869891385772,-139.65416619855296,0.14522262700345212,12.826893316419351,-124.57383643548805,0.12523246350849498,16.303377383338372,-147.8573668513339,0.14875349087101614,23.465102210974717,-157.9684843029284,0.15970176284166693,15.240469690725247,-144.50502867187743,0.1453064872187544,34.863089863375485,-159.3918055315548,0.16315999112966015,13.83094225134074,-141.9166150142758,0.1425889917934414,22.994753033153362,-162.97356156657185,0.16458778945216107,-1.895527748894815,-100.01589431155293,0.10003385497113743,11.969069784344173,-102.39430989789359,0.10309148039953821,-15.195577129573595,-159.23662571034967,0.15996002166766174,31.20009156589244,-128.29906443408868,0.13203823555463967,6.771803184471825,-103.1331997902709,0.10335528151647189,-5.205206286663294,-100.1785186003801,0.10031365690399997,1.65434355382895,-125.81364088774369,0.12582451703076084,-8.704013453504272,-167.6165515576519,0.1678423909692595,29.68565453032134,21.536196636568835,-26.768334370520776,-11.926906812887813,23.05661136519634,167.6503329257706,17.344480117550347
9,0.3028846153846153,930.1835187684032,589.9952872960772,928.960396019744,584.1375573226345,945.3875596561671,710.3567466324142,921.6454745878838,834.1913800167948,969.7005343549516,859.8397166083104,955.1722007098584,864.920460077772,910.0623593388743,853.5161088957982,937.3612424664524,581.5388033963035,944.0034213873016,709.4204436893433,930.0595614185863,824.9182581255757,970.678483849346,851.916178016845,968.2159713016708,846.2272006395348,920.424433778084,842.1073634878812,947.8715513036981,415.0025727604652,978.8568818051639,330.5292915621999,989.044873166584,385.0446803083474,942.6153798966305,430.9289430413153,1025.3818803714162,463.876497751826,1096.0717106099512,453.0000931185575,940.8649944300112,429.6079564832977,1012.0382026237758,463.70115701039686,1086.9430291544452,454.0809059168553,2,2,trajectory,person0,18.268582499606385,9.85175857038508,-4.193958489770377,4.7696074598960525,8.743258949359712,74.06683228279448,70.17332168266213,30.46513626436681,32.90600084729417,-6.1142223793779555,-11.079324105071017,-100.85108181403729,-96.8791458656453,-82.58249931443012,-87.02738729525903,16.91928424129087,84.22935375537361,3.99605390137572,69.85352269069429,-21.703813961825684,-25.59732456195813,8.76132230254246,7.30870262535534,1.7155027336231534,-63.873214936500666,0.06389624821500461,5.457363203463837,-66.27622456428497,0.06650053199509048,24.088121924779415,-87.18761152741503,0.09045395083531992,-8.092684299404002,-81.9331682324652,0.08233186257931534,43.06345459986978,-103.33098275710087,0.11194531307573052,22.643554245563934,-60.562845610490065,0.06465747301984398,36.30996750054149,-64.60060740292687,0.07410568275589577,10.517202305029748,-60.03465418227157,0.06094892326456522,15.750848659671167,-81.9979178488907,0.08349699255094936,24.470537292331173,-79.09065273021137,0.08278972487372006,3.7969052698247983,-72.54059686663173,0.07263989732505964,29.102529037003425,-85.56528302075495,0.09037906203746264,8.743173068281065,-76.41648434570214,0.076915032048741,18.048633077951273,-92.00282722469645,0.09375645776862446,3.922947312984203,-50.53612820659871,0.05068816202758029,6.508538029440875,-47.95560327488154,0.04839525754388035,-13.0193031331944,-83.8849132134983,0.0848892273431096,27.514550314461264,-61.920964069398025,0.06775880954009376,8.419634169607464,-50.70792957494403,0.05140218245685201,-2.361199958933473,-48.128038682255635,0.048185925047120985,-2.0157914369871617,-61.25421422282517,0.061287373701058426,-8.88449941188899,-90.99766285907349,0.0914303504073645,27.459042209726512,19.68750689801711,-8.236916952707702,-2.111553321170037,21.4541477565928,166.81185306980373,18.268582499607163
