Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,Hip_vel_X,Hip_vel_Y,Hip_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,Head_vel_X,Head_vel_Y,Head_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,right_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,981.8021261620917,587.2358622259766,980.4648359112952,585.9020280049197,987.1634335950296,684.9247051647329,973.7787049182483,782.6309858649225,997.8642858534847,801.3752111561851,988.4948776756124,806.7261802093894,967.0913455991455,798.6895144789964,979.1298738126928,584.5657128769699,984.4879628599804,682.2534347181713,972.4400087928964,777.2833048164389,1003.2271324739468,800.0451207305338,995.1961387317824,796.0297324000223,963.0732282753008,792.0024386424739,1012.583408007028,458.7328353710513,1040.6598545135892,393.1425583494952,1048.7080233246759,426.60727917232873,1008.5641482873926,470.795913652502,984.50989855999,525.7414094256437,952.4326578263738,575.3216317462121,1003.2143125738289,469.45602677781574,981.84368046839,521.7400400303593,957.8114744544708,569.9714762589781,6,1,baseline,person0,11.679241068545718,10.372987658327286,-4.098133028348563,2.817098365546021,16.616957297952215,17.348346091024194,-10.174732528556069,-8.760137212121043,-9.26765766660855,-4.271906630726314,-4.983809962190381,-11.32440631261604,-97.8011969362081,-97.22633153465588,-86.12191263245141,-86.85330142552338,-45.10751819578711,76.52981349159946,-14.110118608772948,66.8260684526228,-113.64503448724264,-112.23043810196263,-122.9126489186402,-116.50233880249992,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.65172612405087,11.679284303756688
1,0.0335497835497835,981.9570318927492,585.2973917695823,980.544824703349,585.2236118157588,987.5136955263364,684.9995383547381,973.5966857931993,782.2796279562457,1001.6305864262007,800.350690498583,993.1420340842795,805.0833924909516,965.8308885352403,797.1018076907187,980.1664604222282,583.7430662538595,985.4513684965222,682.9168727490344,973.2101458065632,776.4111543046104,1005.7061251304713,798.7362031725391,998.971078204682,794.9344235385965,963.9426931144636,790.9160037924989,1012.549105378521,456.1640968013098,1042.9202650659824,392.5962274038546,1049.5618216284022,426.6982759986422,1008.7159996393666,467.975523556091,977.3675598900686,514.317870221168,941.5062375745432,557.2417301549525,1002.2038818396179,466.2709394551355,974.5496672904433,510.6538021162486,944.0646057873976,553.32722272171,6,1,baseline,person0,12.138848647708445,10.507228146541683,-3.221924123486536,3.02268754695682,16.354121228444427,17.310109356983343,-21.645968538688507,-20.00798153525501,-5.7613895025520785,-2.319718526048639,-5.1268429421711685,-10.696116581189225,-98.14990707932498,-97.4742695207176,-86.01098800167964,-86.96697613021855,-14.112446413766705,76.67890690813627,-16.488510648076407,64.46881645894182,-124.9671363272884,-123.32915126772711,-130.55419359758451,-125.64886432916558,4.617190165406375,-57.778925861558655,0.05796311515730514,-37.56975248542937,-47.32390556028025,0.06042382261405472,30.89696861970119,-24.520176766257784,0.03944441327406618,73.88997466544048,-39.01418785764767,0.08355737675544427,25.915661657624508,-32.38276778635013,0.04147607947548978,-30.117354787448136,-94.9361511663404,0.09959883462004593,-409.74537575405327,-496.10613769147784,0.6434380877807794,112.51755074062172,-32.647270579270064,0.11715819860745749,67.37481775520153,-16.28418689586838,0.06931479503256278,4.526149974968216,-84.06582093818595,0.08418757796496493,-5.425344243399448,-10.472732503785837,0.011794595637631664,-212.88777196798077,-340.4951685463083,0.4015696244200623,2.38418205992743,-20.22117931563366,0.020361247923688038,10.440065307339012,2.2305118569300886,0.010675680154697841,138.5152426325321,-48.96567263988934,0.14691531417325443,-325.6778165384336,-538.8977119459323,0.6296640247987831,-217.40865085234879,-330.4414139560768,0.3955477841206164,-1.0224396367895978,-76.5649818851981,0.07657180834936309,28.71570348917954,19.774733565077685,0.03486591049217399,22.95505163316512,-25.995712029986194,0.034680130325984146,112.2600557803089,-30.53732540723224,0.11633936722719983,25.44869782719469,2.712292500440264,0.02559282617664193,13.699271069237422,4.001232616454937,26.116678325564976,6.127883987857374,-7.834210587909564,-1.1397013630240678,162.6898949098159,12.13891907764534
2,0.0670995670995671,981.8700257626032,583.2002452192175,980.3868006313368,584.0060734294314,987.9287381778724,684.5283074369326,973.4436987989033,781.364379638724,1004.7547106615915,798.9794674921478,996.9382715155742,803.223401842655,964.7859309308469,795.1534463583724,980.7550632620367,582.3060550942021,986.2729384064652,682.8829037372151,973.8474166552968,775.2092473013047,1007.3668814121847,797.1483482126273,1001.7837344566829,793.502740002802,964.5437869599859,789.3647239834843,1012.2861433605443,453.6915431369829,1045.1353790203275,391.52003157070993,1050.3609598678565,426.15017215350184,1008.7512362528053,464.8592042489259,970.8042438939065,502.9950813939925,931.3748220792049,539.1051414170996,1001.0937365220731,462.97504635450895,968.1732598514856,499.8243577319192,932.036261159686,537.344334016053,6,1,baseline,person0,12.77773726438453,10.766992158024731,-2.7286139492087775,3.144784419739009,16.28663428695204,17.460923723303747,-32.38555078865353,-30.23763702077442,-3.001711665233676,-0.450899183050345,-5.375104209487619,-10.412305755724743,-98.52023220052467,-97.68376407158291,-85.7424046631522,-86.9166940995039,15.81212285103402,76.79650848867489,-17.233631923327724,62.21977227821463,-135.58896944809743,-133.44106365173062,-138.31310324950823,-133.89196206987634,-2.5933440082228745,-62.50849717861369,0.0625622702007667,-31.146478272886554,-58.07373777702905,0.06589887804961876,17.544162063970937,-42.83220359753143,0.046286016112290995,49.50125175171759,-47.32832203092153,0.0684860861142578,17.916474621378114,-46.2381465654705,0.04958796487726046,-33.08949269069103,-98.23887822512691,0.10366191065892336,-358.5222721292106,-476.393198839579,0.5962287308686981,83.83530247899412,-42.673406034648345,0.09407113013216328,66.02468689725531,-32.077579026634524,0.07340456631634425,1.0502784134610177,-92.88642063937267,0.09289235826450021,-4.559999442887233,-27.280304690000264,0.027658789179904136,-195.62916065980272,-337.492157300328,0.39009194395640656,-4.710136856107471,-36.29049899892084,0.0365948863476024,12.370948710299533,-14.045721550074871,0.018716908554969738,113.15236730697575,-55.43972125890718,0.1260040512064516,-301.98154573201697,-540.5873546379355,0.6192152630201708,-190.0580797934462,-322.7873100361394,0.37458473168982576,-7.837964664850842,-73.69805115606665,0.07411367238431563,24.488083767335855,-1.0124957071298142,0.0245090063885302,18.99478271709364,-35.82458293724054,0.04054876709712424,93.11905785487308,-40.87129219181427,0.10169376313819771,23.81947526631589,-16.337030739022573,0.028883662775527674,19.0430026389904,7.742643439043095,14.703825839762846,3.6392745306691037,-2.0115462560956576,4.49524111225977,162.5389131518271,12.777827537372474
3,0.1006493506493506,981.2959705451821,580.8103100949234,979.7840331848796,581.9723700983823,988.5552177777296,683.1868724723455,973.3680693580532,779.5666199242243,1007.0823421594719,797.0836505789644,999.6135056667714,801.0169914731828,964.0713230601087,792.6132051291434,980.5747878905823,579.9608251486625,986.9834688659336,681.7162563538034,974.2954800511696,773.485570165017,1007.9947363309234,795.0298023183257,1003.3876689402712,791.4927571341789,964.6802658258964,787.0716077731976,1011.7447204493193,451.35316429444947,1047.2406108146315,389.78164870596487,1051.10895907583,424.7536234570265,1008.6534183774751,461.4186474939989,965.1757862165944,492.0654592923422,922.5064664046112,521.2098936573434,999.9504760862596,459.5579203477373,963.2695622327603,489.82320357211165,922.8079143416028,522.8583772175531,6,1,baseline,person0,13.84727867244478,11.384342468908589,-2.6215749856353394,3.1449834300812816,16.718855879764682,18.098579747879015,-41.80229624485225,-38.50691879084141,-1.446831758315777,1.074678177575925,-5.822258908616363,-10.505608661889951,-98.96728135283418,-97.88404708353706,-85.11992334366107,-86.49964721177541,42.06733998064168,76.78103490602325,-15.985205939563526,60.1598704484773,-145.02087867312065,-141.7255185819566,-146.1872770864454,-140.65085152434517,-17.110549061198306,-71.23548564025292,0.07326162231058192,-21.29992492135746,-75.71557728412012,0.07865453226053176,-5.373369136252986,-69.90298289285938,0.0701092013447153,18.714127255306114,-63.146335688215665,0.06586105275332767,4.067950712942084,-68.34965736467183,0.06847060599170249,-34.07653686102107,-101.85240097603202,0.10740168503809862,-275.06427290028546,-431.7749703810961,0.5119472426664287,47.80759557534195,-59.910457116381764,0.07664743352904436,62.74948961086761,-51.81502474272309,0.08137748604812875,-2.9156037679048747,-102.55078843717894,0.10259222657891023,-2.2542452692077855,-53.58483794186517,0.053632233581957955,-167.76435141407453,-325.77325232015863,0.36643292637621805,-17.9663587266584,-60.617479931912804,0.06322395842709333,18.673133879613953,-39.983416363820574,0.044128896575924274,79.73923728084547,-65.76526391588183,0.10336061096983011,-264.33421430079517,-533.3938364520907,0.5952995562026722,-146.16182579684235,-298.0989175374889,0.33200337943654895,-16.13789580554678,-69.69877582260874,0.07154265183931158,21.178391759636984,-34.77361878297975,0.04071521632987674,13.355179928595069,-51.37669915902814,0.05308414120434117,69.37843561424171,-56.50757508972503,0.0894788990254149,22.29520219895289,-41.62616114655474,0.04722089932319309,31.879234227344266,18.40102216957049,3.1904516884469993,0.005931792137417184,12.88299199222199,19.00626344217898,161.90095824968432,13.847358009173107
4,0.1341991341991342,980.0426768001662,578.0820928510361,978.5611189556064,579.1695408455826,989.5918993419882,680.8867001995949,973.4209846220906,776.8691776376867,1008.864584082098,794.6551474837421,1001.3943586710615,798.4012537151415,963.6939584077571,789.4557105158152,979.503027886914,576.8311570029406,987.771514728036,679.3258827731901,974.5779343630799,771.2106428813718,1007.9944556348127,792.2250069060156,1004.201981612826,788.7821742760738,964.3497525484088,784.032560365388,1011.0304044642197,449.1569292777222,1049.138302345152,387.6596055292692,1051.8563454184325,422.75102565924686,1008.4946931332559,457.91999706439043,960.5321290965784,482.05056390154647,914.9271881236928,504.2639164213134,998.9786069723442,456.17425351807077,959.8776969397824,481.4623254459628,916.5596558227672,510.7800086375214,6,1,baseline,person0,15.643603696973624,12.641275657620003,-2.537233411972415,3.105465466622126,17.978057330111533,19.577552533019126,-49.505948162893866,-44.15525433529507,-1.2252298737164753,1.8992129198964909,-6.462598410767448,-10.701847572663016,-99.56733960960072,-98.16447622322916,-83.92373492584399,-85.52323012875159,61.30448282502526,76.49782849681694,-13.61747248237408,58.33425053875695,-153.00723660854004,-147.6565715450815,-154.01974363252322,-145.75739126751805,-37.356239367568115,-81.31847526941418,0.08948845199146854,-11.247901250738241,-94.11371041016788,0.09478346780802706,-31.94536268998638,-93.28430214990118,0.09860257210128359,-0.008366555044468947,-83.60099874111552,0.08360099915976626,-9.851428012855154,-90.5832195101951,0.091117343523199,-28.967969717995846,-100.8551016326403,0.10493281085967787,-186.23841520658314,-360.01330864352644,0.40533236941936757,24.271771272279373,-80.79285680287457,0.0843599703121311,56.56345078067367,-63.25057726667101,0.08485316428268784,-4.731036311566618,-104.28235474058889,0.10438961737080649,1.577216257114454,-80.40118299228085,0.08041665149507245,-138.41094125467083,-298.50849487403894,0.3290363356393456,-36.45073380156334,-83.54239450280478,0.09114816330532775,30.899798883063436,-68.55997354908527,0.07520151291074563,53.08090890206266,-77.96586091710029,0.0943199785751338,-225.9113913409229,-505.09945051908613,0.5533185444680798,-101.0994687326335,-249.20810930843732,0.2689345353856711,-21.291224846192193,-65.46197275664518,0.0688373890603273,23.48885085750554,-71.24855446731351,0.07502054804043942,8.418960780807458,-67.80751000284393,0.0683281590079416,53.122307629242506,-72.38505999952744,0.08978628224284078,22.276934856923333,-59.69033435962455,0.06371183439976737,53.5420749246661,37.464718269978874,2.513923034340068,-1.1778902656857968,37.5323271006609,44.08293075707938,160.42156342266094,15.643604683756735
5,0.1677489177489177,977.9846488887788,575.1561745770077,976.5382695719729,575.931638945484,991.2305503425513,677.6640910300466,973.609979486837,773.3846582037472,1010.3620027243944,791.6595938561944,1002.596083837064,795.2508601668748,963.568040721848,785.7791945318461,977.5234320334788,573.3823816950296,988.9112277627756,675.871556794663,974.7396016158843,768.4130447655516,1007.9193088297537,788.7122398030448,1004.7604634031752,785.3461542986532,963.7536269056088,780.4299920150354,1010.2855354425582,447.2460761283998,1050.7267682950858,385.689027291961,1052.6304392413379,420.6466782806917,1008.3422193714149,454.8546088632416,956.7298070828656,473.70138070074455,908.394188345201,489.4617627674116,998.3824417220688,453.2323536344433,957.5545803067268,475.4159231933058,912.5679504009436,501.79524612335393,6,1,baseline,person0,18.503214466231693,14.882708088337845,-2.0092390808514264,3.325156061977017,20.384224394261004,22.25721957162712,-55.22773443022882,-47.170805566680656,-2.1332073033845154,1.9319395024940615,-7.093878931084529,-10.679045934585533,-100.41693510269816,-98.6693924485762,-81.91391009516735,-83.78690527253347,71.42450187599516,75.82754174584795,-11.3035029515549,56.76061189982835,-159.39867463832238,-151.3417833570044,-161.40466504123523,-149.40990729802854,-61.34250935877375,-87.21124145813481,0.10662412527707009,-3.7531594122611347,-109.58389578024104,0.10964814827414357,-59.00472801852061,-102.7957543390245,0.11852647399913938,-2.239859608850092,-104.70312268209338,0.10472707801924416,-17.768390127328548,-107.37977921696344,0.10883994061189468,-17.769570685627883,-87.68759653134809,0.0894699515356749,-118.97857450854843,-267.80388913195975,0.2930440653319722,16.646360460731916,-102.41556319795284,0.10375957257883482,47.346533475449,-58.735944879767956,0.07544272962360887,-4.544701804551731,-91.36834509230697,0.09148130300448934,5.633266291151933,-103.86115990193758,0.10401381747288616,-113.33372711840686,-248.85952508196874,0.27345126974759604,-60.29396227346003,-96.51036631261465,0.11379636502291489,48.8423717587178,-96.05454427943671,0.10775923512974218,35.81916301246427,-93.9020528580152,0.10050178092881225,-194.72554178472228,-441.19967665178353,0.48226050149373834,-69.24386351430316,-180.22179617597058,0.19306633173932874,-22.20190245210703,-56.95575193464295,0.06113004294889265,33.97080142256064,-102.96120013416362,0.10842058883052767,4.818727148109271,-83.38647287154248,0.08352558882931874,44.63273630586894,-89.28682425335634,0.09982093034729225,23.072990076280018,-62.72312831564522,0.06683228034985049,85.23485002562774,66.80914728978351,15.737637482444972,6.548197100255474,71.71930217013275,79.87136592496101,157.7414518410153,18.50302500753081
6,0.2012987012987013,975.0782455778933,572.3888303232213,973.5819494313404,572.8025146207132,993.613008716996,673.6741303827487,973.8979899745224,769.2479743311724,1011.6730292782192,787.971068914567,1003.4609723733341,791.4181544365979,963.5560603568094,781.6939442551085,974.6604604590348,570.2405000732257,990.7108703753604,671.6707590968881,974.8283614506248,765.0987207563597,1008.1076506657325,784.5753744358336,1005.3647699237675,781.2511303490788,963.1420205913768,776.4631137504584,1009.6242918914018,445.984626021735,1051.9546474558601,384.4921466230744,1053.3984554723156,419.05503355370513,1008.2290823729007,452.8067314983908,953.6313095156121,467.8716622114092,902.704109928814,478.37915821579617,998.2572720758194,451.317694082389,955.5909811534557,471.9008496815615,909.5466476314516,496.1249214342609,6,1,baseline,person0,22.73820000242532,18.5069542779848,-0.703870903248161,4.220134263852956,24.22869542321428,26.421259013543928,-58.76451479123783,-48.30689960871879,-3.651114479984208,1.5854621412114551,-7.403643310204702,-10.28570679350964,-101.61971783697888,-99.58102261929604,-78.88204480534355,-81.07460839567321,72.607418614859,74.69515911069271,-9.785620374778285,55.445893624735774,-164.06729163933534,-153.60971083559815,-167.6611220306515,-152.02434528405954,-86.62956965348818,-82.48471259673121,0.11961776686811164,-0.3570921708272761,-121.76681470017745,0.12176733830155695,-85.33502370278349,-93.64834253376932,0.1266967968406337,5.6138018207848095,-123.30527739687707,0.12343300289956431,-18.229814011304295,-118.23856504739102,0.11963563174636922,-3.7308630043376456,-57.069207293490315,0.05719102866590619,-90.05431480679286,-169.01225847490102,0.19150697932479563,18.01223306539598,-122.05813320667215,0.12338001629883126,36.59872079211044,-35.67476574358669,0.05110924842412226,-3.3722124718401685,-61.03995758458479,0.0611330372129763,8.584570665201786,-123.29986768577831,0.12359835041308714,-92.3552178110413,-173.76322206922063,0.1967819697045493,-88.11741322401755,-93.26809277704096,0.12831062170981397,71.01263025764277,-118.92656897107425,0.13851470125347837,25.779258306889147,-114.23935789599308,0.11711191677767942,-169.60104699166453,-330.33311631266537,0.3713279990433063,-58.52792314911436,-104.77186854360392,0.12001109209680103,-19.709323911886795,-37.59935156639548,0.04245195740218675,53.640960452527686,-125.21087331432012,0.13621716277475596,2.645615719360125,-98.7882382094601,0.09882365754748991,39.07704953980881,-109.941840195604,0.11668000696919932,22.891838626563317,-47.44128153985814,0.05267553008607223,126.22989146590014,108.02591868496067,38.90839342275533,26.67612446881827,114.59003970170389,124.11524013971362,153.57720391603627,22.737673031635325
7,0.2348484848484848,971.3948935210194,570.3215094482922,969.6851638546198,570.4501067525359,996.7825845487924,669.2734585045005,974.2460625228284,764.684175012431,1012.796818719405,783.5671790324401,1004.1653605961558,786.9521827117161,963.5560904822296,777.3365095512994,971.0067169301494,568.0364429296156,993.4096248795764,667.1677699082347,974.9284382118232,761.2788386129942,1008.6338848131455,779.9718485335765,1006.0842006286539,776.67338556775,962.6650923361126,772.2712965373938,1009.1450633672252,445.9123494586047,1052.8380236650273,384.6616946144559,1054.0931405282067,418.6263489901845,1008.1819526989214,452.3560724967716,951.1457314698828,465.40287470494627,897.7923857303579,472.6878138627762,998.5857286248284,451.01320478005493,953.3857386180035,470.8904975637671,906.3368449820483,493.80179919417276,6,1,baseline,person0,28.506719271728215,23.80155903037599,1.4696670197209312,6.04596201310682,29.680012376391463,32.18416714178938,-60.014291366605015,-48.542389785076494,-5.119175391885397,1.4641929255633672,-7.197974680591207,-9.568398269821625,-103.23778286586692,-101.03681735905676,-74.73206373231496,-77.23621849771288,67.08933090109552,73.08273169250086,-9.457005753884909,54.41909300085592,-166.92952210253313,-155.4576246683897,-172.0362142674771,-153.99354549382645,-109.78765485650199,-61.61949962691946,0.12589794237064533,0.0008979318782713859,-129.8796666554719,0.12987966665857587,-108.90512969968015,-65.69512260308676,0.12718559827566467,15.6851726519242,-137.21477205437313,0.13810835713690264,-14.215538963356694,-124.9431969313453,0.12574929028604354,9.790124234979066,-9.075745656667001,0.013349745007333826,-95.67282735640798,-69.2440306400462,0.11810175982452041,21.443676494031493,-136.44632832089658,0.13812107650114297,26.330310234529662,5.053624001176698,0.02681089988403684,-1.4047683470007537,-13.432545725681065,0.013505800930757416,10.374807568864046,-136.03066356506983,0.136425723608285,-74.08626175012333,-73.58579535392654,0.10442051263031485,-116.14935073838116,-70.11693129663824,0.1356726049407358,94.47380866386838,-131.1684134032697,0.1616491670197786,20.9953134802341,-133.11477012228457,0.13476032506951727,-146.4010696572076,-169.6387800706606,0.22407719406632284,-65.73045492766819,-30.11501151103246,0.07230080651906891,-14.284101817392553,-2.154307881690307,0.014445643190206182,80.44029554501813,-134.2181293650253,0.15647730633423027,2.9829331402357857,-113.85713227321982,0.11389620037385176,33.49617560179439,-131.2643306801704,0.13547072853151473,20.706096504625012,-12.777565699774609,0.024331227212594533,171.9390904785769,157.81338036159573,64.78545292978853,54.421446461631376,162.48441499147503,171.77184227415506,147.81479542481583,28.505719133551963
8,0.2683982683982684,967.1417806078936,569.606349114262,965.0160519454523,569.5876500982849,1000.5959264694966,665.0538417876168,974.628427195512,760.1100247712827,1013.6889973847544,778.7747561238161,1004.779815653466,782.2495054064934,963.546781895994,773.0045085425276,966.7610394518188,567.3600289366452,996.9950716362664,662.9366609854868,975.1425129688525,757.1309102791333,1009.3782671209028,775.2358072579999,1006.8645071861162,771.9875138349544,962.3592032477088,768.0714162887385,1008.9339313609198,447.6079059789485,1053.3820572914456,386.69826243650215,1054.6111699069334,419.9344922652669,1008.1732594992408,454.04493073221516,949.1811624969608,467.0638731050943,893.7230069304751,473.849884991883,999.2874304140438,452.79683982297655,950.787374340734,472.6213921684294,902.5534727378628,495.2097652163075,6,1,baseline,person0,35.66171856921732,30.696484870711327,4.315223675322678,8.704435883013675,36.62943648601123,39.38557105180466,-59.03095790491053,-48.35313098964587,-5.970888030103247,1.8269933647758247,-6.531153910815975,-8.705690187191893,-105.2283854415164,-103.01942867144167,-69.56815952070001,-72.32429408649345,58.28455237835465,71.04712045200314,-10.778334881180498,53.76353626685205,-167.98319582901428,-157.30529711557418,-173.9640297818123,-155.4783847231168,-126.77020424929783,-21.316391891738377,0.12854988622589622,-0.2774559252159857,-129.12157845500576,0.1291218765527463,-126.54858032185382,-20.16150095176165,0.12814456407551814,22.187395237669385,-141.16458511718574,0.1428975877988839,-9.117468312422567,-125.18352741153052,0.12551511368604756,20.915240426935174,53.16383160192163,0.057130029517881264,-112.76890172991801,41.966471111370325,0.1203246022013511,23.258169648231302,-139.66920906784478,0.14159248008642,16.215711961632774,60.70286024421726,0.06283141376932093,-0.2591134356397361,50.33887127580177,0.05033953814939376,11.396934114827266,-136.33918783293188,0.13681470771141968,-58.556830031609444,49.5084684431208,0.07668109800292564,-139.16965819582842,-25.706772533158738,0.14152396234000544,113.6621914429235,-125.77180149679305,0.16952179746379667,18.314724934019242,-140.17012354921738,0.14136156721404744,-121.29374229328018,34.637216880474284,0.12614241440821433,-77.44801910313127,51.591826280902104,0.09305864925947382,-6.2930959298771745,50.53852338057026,0.050928826825984166,106.86944526392219,-126.11434337480867,0.1653054927577351,6.380808886940581,-123.63502517701188,0.12379957258638667,26.592680218804972,-142.84512153447076,0.14529934407084344,15.440617611076132,38.9911092314878,0.04193708706280501,213.26514035096523,205.51327343451095,84.81594676696807,79.23967276754612,207.13767346092428,214.64829718884218,140.61527997270315,35.66022592081639
9,0.3019480519480519,962.6422177064719,570.9056553857624,959.9279604893298,570.9037176862898,1004.679965381152,661.7989117400513,975.0217841190088,756.1796706562902,1014.2748355806033,774.3605356053733,1005.2746505905641,778.0530882422938,963.5695535564815,769.270540672836,962.2487392869944,568.7830096770005,1001.1200699738856,659.7061202855122,975.52358466823,753.1922784610822,1010.1451789572271,771.0558819953544,1007.6416693208444,767.8826899734065,962.2133036305815,764.3633300063784,1009.003414391779,451.5211364391996,1053.435847159176,390.96056470522126,1054.765612140626,423.3533799129881,1008.0525549292727,458.3415330618949,947.7425952207122,473.4951813268362,890.8631955905936,482.8919157416443,1000.2134283361728,457.0315838297072,948.1578337351691,477.7455267619652,898.8173145158598,501.257724222275,6,1,baseline,person0,43.67885617322008,38.65827147684389,7.368063178110835,11.752585710824471,44.58364553296204,47.51652195820591,-55.987350170892775,-47.55998304590695,-5.893140812128543,2.5605579695794707,-5.668928988450653,-7.9620895726357155,-107.41647449011418,-105.3290635738753,-63.739328411637985,-66.67220483688186,49.29439462776352,68.74901913120378,-14.297341227975531,53.62962443600024,-167.24149044599275,-158.81391447661258,-173.15156923523398,-156.2533051476901,-134.11600390043807,38.72770951181943,0.13959562309132112,0.678742396468695,-111.29633263209823,0.11129840227332743,-134.49565652573398,42.41400658349007,0.14102492538112738,22.858920540762114,-124.58874008659313,0.12666840333979715,-4.34874987824594,-110.52489435163608,0.11061041495692826,27.600712259586892,126.22269232965027,0.12920513680261347,-111.36161926228364,180.26819746819277,0.2118915601508214,23.16444556415419,-122.3502338087173,0.1245237778552452,1.6032850897710471,127.0441063321453,0.12705422258552654,-3.5977749242088084,128.06646943948576,0.12811699566841245,11.724574106805923,-117.14990975010042,0.11773515614480944,-42.878585911409395,191.69447731901775,0.19643152945587308,-151.6579517889432,39.22730488118,0.15664902102808836,121.73070820547171,-97.01791496614591,0.15566258749161282,14.749273608989176,-125.08030515227233,0.1259469086916324,-85.24082832421172,269.5108520251433,0.2826695918784269,-78.37727482393343,152.73226982022797,0.17166870260261569,2.071042597222174,116.63951436361377,0.11665789955429152,122.9515633535515,-96.29095505730871,0.1561698913265007,11.358395168539294,-117.39663870578458,0.11794483422440008,17.461757837557418,-131.57225029164886,0.1327259207298476,4.603374965545458,101.9049092417544,0.10200883093459905,238.96242406769562,237.3126072279517,90.99431292181488,90.85453035152194,237.08674707685674,242.35479475854075,132.48834754284178,43.6771460784762
