Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,Head_vel_X,Head_vel_Y,Head_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,921.9360043482784,579.8300158473621,918.4895408211706,574.6670492089202,937.3884071091304,703.6836568599628,918.5029948842613,832.727652666732,968.3677160544568,856.7717136427891,952.8873104129257,861.9362113325549,906.4536861451612,851.64470780617,928.8318016536584,572.9481067786761,945.9940719383444,701.9826304846405,930.5213739152935,817.2547216561861,970.0993112363258,846.4993307189485,971.8173553626393,839.6189349423704,920.1979609590428,836.1772560275549,946.0324741287226,412.96616453332206,975.259581092134,328.6655390808491,989.0360732467673,380.2761626923246,940.8590545928924,423.2759846836066,1035.4482754393207,419.7896512463628,1100.7771143309515,383.61752213053677,937.4568911376152,419.8362487507489,1021.7424662407435,423.23566949379585,1095.6089323863093,390.5408121653009,4,3,trajectory,person0,16.6568276488666,15.215990725712578,-4.0435265282564,3.5926484308740805,15.788896740084324,100.270392959397,95.86443465045792,26.84330864890754,26.10650246262944,-4.7371093314135875,-11.68939543622236,-98.3239666808132,-97.64408982849471,-81.66713904625817,-82.4280991170937,9.344950233803704,81.78300416367553,-44.985452271084355,70.87889204821194,2.053397116328314,-2.3525611923466405,28.896705755947895,23.753941253928875,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.45014320993369,16.65682763455503
1,0.0336538461538461,920.5264772708468,580.7604164592918,917.2924649217268,575.6748830751351,940.9764589051016,704.4443033806093,919.1600802577013,832.8749445685161,968.6063472183193,856.4361684657804,953.7915953456092,861.1812282263712,907.2074158336641,851.7656449731803,927.2502125630314,573.9952385754947,946.6887836419053,702.9060233759445,930.2000894581181,818.095650937639,970.1949400153061,846.3255318068502,971.0570826244208,839.8437992061743,919.926633671761,837.0674770953224,947.2922141266607,413.3449255830371,976.7459311135184,329.6703939656112,990.2058052345436,381.9035125110117,942.5088825978291,424.4642711547965,1034.9644350671533,431.80379224861247,1104.6153974622648,401.5975441099808,938.6084298900132,421.2501348279363,1022.252490888818,432.88051507536966,1097.22688610982,406.2444739150729,4,3,trajectory,person0,20.031231464945066,16.70592708264224,-2.3360305624127653,5.315265010756955,17.631823949914924,94.59988949027915,91.43466219548236,28.523433196985263,27.5073639347717,-4.33509222022554,-10.486327183107768,-99.64476247540762,-98.1469982479174,-79.61353102571077,-81.44107118052338,9.274413923702909,80.92710493468572,-40.92282188851399,70.61025658883614,-4.473005623370571,-7.638232917952053,24.050427559268737,19.8691310006759,22.396539315513195,3.5935615340214673,0.022683003721071134,37.43227422444821,11.254614048674755,0.03908761301229478,7.090754583345226,-9.970485259688102,0.01223476100603886,26.8701808568834,-22.433783726598566,0.03500401793470889,-22.590961364208326,6.681680981600391,0.023558361490117127,-9.546738156068626,24.98761293460235,0.026749224467076484,34.217151499827544,42.012614864997055,0.05418369925131286,49.02346071812028,35.30908371535719,0.06041548719988265,-41.88309030082424,27.64618961162622,0.05018470935642636,114.05184161616657,534.2635102463364,0.5463014927279408,2.841540861128427,-5.164310530918934,0.005894442952919528,48.07633921288618,466.623091993226,0.46909321501534335,-35.57025529776001,29.947063453240883,0.046498060942584046,19.524822525077703,4.37667365301284,0.020009346988364173,-46.995790121488085,31.114773391181014,0.056362517796204804,34.757750493926416,48.35553746955852,0.05955131588275712,-8.062296536375069,26.45228315651953,0.027653641887337956,15.155018114213169,286.5896972810506,0.2869901203206939,-14.376971058682512,356.9916183525625,0.35728099987377415,106.61639622314483,22.60206804206917,0.10898582212099396,20.642862048664856,27.437960198749064,0.03433612403036117,44.16582920685139,29.858545147216628,0.05331184847514801,100.26799910633174,44.27239460591006,50.7370229850681,51.18632123080549,54.761265663537934,160.5406359603965,20.031231449696847
2,0.0673076923076923,919.0795560700876,582.8170016649221,916.2036774308255,577.8932244801734,945.0655664005276,706.2095405579979,919.8166427118027,833.8610082089929,968.8167487067157,856.8457075472664,954.7658725248492,861.2557229510338,907.850588964134,852.6089009287857,925.6576828435138,576.2370686834074,947.8375036558956,704.7421338129279,929.8931229990613,819.7539197845069,970.5336087587598,846.8714011672412,970.42532074691,840.7921645179592,919.5745330763654,838.8152379052616,948.5228686922909,415.0547009483937,978.2760440940452,332.105124509451,991.3924249622148,384.79705804020733,944.0731641360098,427.3653324308662,1033.3550869455196,445.8721389904546,1107.0309606503313,423.1742705934512,939.4275914297008,424.2180290605196,1021.7626437862717,444.7420220246826,1097.954954879094,425.5625323928615,4,3,trajectory,person0,23.819558716333862,18.647221436606554,-0.209618813610502,7.259826819175676,19.722446448797896,88.44948269867444,86.50843410154428,29.697478787725803,28.35703703567889,-3.935378011153755,-9.081376199574658,-101.1937425901955,-98.86693449692294,-77.37418388141214,-80.21971306786689,9.451868180113095,80.05784061313592,-36.891832239106535,70.27136452673443,-11.492676805684884,-13.43372540285874,18.20480196481908,14.923311627737675,19.111430162534425,25.056748395132303,0.03151328930775706,36.5680213787228,50.80475371345326,0.0625966707376628,6.251929940916808,12.169161278441091,0.013681195642444488,28.94995046884671,2.2135575328311896,0.029034453139327964,-18.7723529317493,28.1799978358969,0.03386020544275108,-9.121289069113391,49.27427430693262,0.05011139613657922,24.34080003642941,88.18885719676115,0.09148633275022107,46.48150856308261,86.20296363178538,0.09793610966953321,-42.99422996541548,61.10996039586973,0.07471901411223114,71.77673473111757,641.1370155088343,0.6451422884172424,10.06329980548388,16.220118137330047,0.01908827481371732,21.634043429852785,574.0223090542893,0.5744298417797797,-32.35254258678307,65.91643032114105,0.07342794289717952,19.509284350441412,29.30017674559688,0.03520103028591059,-47.320883094237814,66.61438034940521,0.08171133119802752,35.25955762222992,85.97963858181285,0.09292865357022295,-10.462417691754599,51.933464066765126,0.052976852246341744,-14.555456761375524,352.4562064938693,0.3527566283113349,-47.82062989997313,418.0308746147359,0.420757204068084,121.50490843551566,52.452761842405046,0.13234324689540872,34.133394701427676,54.55871012750653,0.06435636320225635,45.46621427851217,72.34627901695401,0.08544682983246683,112.5674383269812,57.68417508922521,63.184806250124296,57.78126516444192,62.1213542525225,157.43202449454805,23.81955870878336
3,0.1009615384615384,917.697943826584,586.8349557462557,915.3435763769871,582.2281763725558,949.907632957246,709.7500125104309,920.5085212514088,836.4078857643349,969.002517705266,858.789313047438,955.8097811561884,862.9275630582412,908.3378456847768,854.8665921328935,924.1096055078004,580.5626345186014,949.8416988934136,708.1574279580217,929.7029864380803,822.8634162889499,971.2895703386451,848.8579235573246,970.0381163947952,843.1498201549333,919.1654031704984,842.0605181009261,949.7149093742988,419.0824526997359,979.9080077944247,337.0422912324686,992.5886546450967,389.8901532399889,945.438794065622,433.1964606784723,1029.6397144506736,463.3278525942454,1106.3467675891382,450.84494421373125,939.7482004546944,429.8598227363072,1019.3518283979639,460.3215145800222,1096.4552201632491,450.9903656871162,4,3,trajectory,person0,28.18958616742045,21.363308351598683,2.409217364838178,9.434622756407068,22.21119581926614,81.36510456914746,80.6059958912682,29.997818213391184,28.302073749747443,-3.623272262193335,-7.544830078490801,-103.06739944791914,-99.94868386098663,-74.8778132644665,-78.58537549335576,10.031894433020428,79.20342888901405,-33.58545844461617,69.7979386626984,-19.43146675007242,-20.190575428594354,10.566351450386922,8.111498346188345,14.47848541338817,67.0856814934888,0.06863027904148082,35.42063740823646,119.6817663255964,0.1248132474748591,5.519993099782852,57.7528491479558,0.058016048715232145,31.01899933122157,49.67753461416088,0.058566507193544295,-11.505500748554425,70.05605321294478,0.0709945571100344,-5.6497720977241945,92.39646756058984,0.09256903986987956,9.526668171239772,167.64186922340323,0.1679123394011338,40.57871790847687,173.26781078600914,0.1779560805414415,-41.05362094982247,119.39063555962545,0.12625182633301985,-20.330308104025402,822.2143018597526,0.8224656099864146,22.46285837373567,59.028093876765666,0.06315770636306203,-44.563545842244,755.5699036007122,0.7568829426306444,-25.55728845690862,128.80999908793507,0.13132094599988026,20.558676605437284,75.67864735873378,0.07842140555877929,-46.000012261197746,128.53109910290607,0.13651463132071742,35.54511057705926,151.33768593636702,0.15545594253842415,-12.157002917189248,96.43118295688824,0.09719447394987743,-71.63565725257433,462.9334930729484,0.4684432584622495,-110.39963984685254,518.6840613697857,0.5303029662347463,143.87854911391761,105.20259515800967,0.1782375463338353,59.55322991482208,101.48302602564405,0.11766644281446265,48.492635668420895,146.70438262680847,0.15451120216988548,129.8522442608589,80.70658261690913,77.81684644533235,64.62250784916148,73.95140986534227,154.08124215348056,28.189586183452647
4,0.1346153846153846,916.6040901372992,593.2483198555426,914.8825327815861,589.1417356438733,955.412098963298,715.4389798693059,921.2801476192204,840.974763031674,969.2165630952112,862.9132213342674,956.879006896567,866.7486903202052,908.6651456809982,859.040980621669,922.7262634396934,587.4126358578787,952.9029589442988,713.472374231452,929.7531210890052,827.7854117163621,972.5686813714029,852.853638833735,969.9788025481209,847.4209397219769,918.7655198749778,847.0962528160677,950.8782525017729,425.8566067176502,981.7133519862889,344.9290924641114,993.7586938590335,397.51780904756515,946.5061141030668,442.3903852877708,1023.1364596371819,484.4309525301076,1100.9705699864749,485.22570440537197,939.61073137894,438.6023910767195,1014.3861688322448,479.9580382365661,1091.2227696334828,483.11504965372995,4,3,trajectory,person0,32.98468244695991,24.94423900625956,5.253496685284691,11.63536364086251,25.085419935716484,73.02177100085044,73.43661356518648,29.358559942535816,27.264554179799863,-3.535141200634199,-6.17492556225813,-105.20036329550916,-101.42525467017424,-72.21568078586783,-76.48101560123325,11.315784393424469,78.43356470690892,-31.90198052270882,69.14451014855825,-28.544664584177664,-28.12982202151524,0.8138953642713829,-0.8652677600846814,9.72548560200689,124.03897223790015,0.12441965963636699,34.56791007351352,201.2891479608821,0.20423579875640901,6.360205872656863,122.5389890943592,0.12270393664023196,31.771279142678306,113.54206721264889,0.11790341473122679,-1.762468586891581,126.91326713500703,0.12692550441263345,1.4897153417702391,146.25357841453453,0.14626116521775667,-4.084795393845138,259.77917354367975,0.2598112864377659,31.714652541217088,273.19090267629844,0.2750256142451115,-32.50308105303487,190.56853353309748,0.19332050137245002,-159.749871621991,1021.5997314087508,1.0340145224790966,38.00787068766015,118.72982535619468,0.12466502983323906,-155.4785300273408,954.5620378650933,0.9671412810094616,-13.69958112049015,205.43147549057457,0.20588775982343252,22.92832635782989,135.7014959437891,0.13762486748750521,-41.105021452321445,203.54289693852746,0.20765195323599492,34.766879499841956,226.65034399655235,0.22930136140876278,-11.882246495470818,149.6332601070652,0.15010429811317116,-147.55102709565116,583.4852743658746,0.6018524495246336,-193.2395716008985,627.0635409513322,0.6561632543985696,163.56127560840298,169.04360152085442,0.23521911081752983,90.9631557977297,157.9298321247864,0.18225292202772841,53.64451312967833,234.35066516881463,0.24041207967568123,142.48286087774363,106.40479659563735,84.51572837898196,65.39344342381872,85.40551660309573,150.64924549277674,32.98468250964133
5,0.1682692307692307,916.0835329096276,602.2664368161334,915.108470648011,598.7990708760182,961.13283355489,723.3565660908413,922.1233132049924,847.7510915921868,969.4988009425758,869.596351091685,957.8622587758729,873.0514003017238,908.8619761818594,865.3819154622731,921.6757499431418,596.9344743720186,956.8192118740538,720.8173885533887,930.0825230966948,834.7166780363284,974.3425706588688,859.1964501853765,970.235366873322,853.8990499764475,918.3925830527339,853.9615765225336,952.002648778417,435.30952089467564,983.7424374606599,355.5906529983094,994.85528652223,407.4658713530427,947.2165408539323,454.66839892435803,1013.4848698573849,508.4434489741494,1089.63771665469,524.9323932269623,939.1793679685417,450.2411241550242,1006.5529777443951,502.88317560819615,1080.9307090413918,520.5075515193528,4,3,trajectory,person0,37.72358279987736,29.118655875738217,7.877753827109436,13.527506772920423,28.082099529620077,63.25038779403521,64.90597429073905,28.026960555944264,25.43538381470535,-3.8101184429920263,-5.293723479566456,-107.39727421331712,-103.17569992397632,-69.67369127872266,-74.057043913521,13.945431843271088,77.86085674360666,-32.13960582805027,68.29622831374597,-38.88875576624356,-37.233169272616855,-10.861795162599504,-11.797785292536584,5.848677739874689,188.41634954938115,0.18850710280734648,33.41063222028425,280.88659268875614,0.2828666616935589,8.386496035976283,198.58442707755472,0.1987614348747817,29.216627270801357,187.28052516512136,0.18954578975858205,7.623625663116853,192.49241898998534,0.19264332595983544,9.787945371348291,205.9576277932854,0.20619007813381807,-12.817655623266763,345.83664004105486,0.3460740872856025,21.109823454289856,364.83240520144903,0.36544262002583333,-15.467986193668212,267.9669039718396,0.2684129658215873,-336.7476418587522,1179.8558964129709,1.2269714383790216,52.709853113269645,188.47210873449058,0.19570402240640863,-305.8212290221358,1111.0914840070802,1.1524109119379535,6.713582316628486,286.9608183265903,0.2870393412795335,25.054063120082958,201.3537629409522,0.20290649060418514,-31.21525818324785,282.93463013444335,0.2846513609185122,32.5844677064072,295.5995656484752,0.2973900649774251,-11.08155128953064,203.99819013498606,0.2042989533926506,-232.75767803896426,681.2040818998671,0.7198716120831068,-286.79009631397076,713.5141800515291,0.7689935269417958,169.98754215016103,235.26541915419782,0.2902508948066365,116.36865848415057,218.25185413754755,0.2473368887001658,60.292825524162865,316.80065587331194,0.32248702357063574,140.8130390581189,124.03981555022314,77.97792649993542,56.223681638292405,89.04419364742122,147.53454802232932,37.72358293459446
6,0.2019230769230769,916.4361477701768,613.8795224456467,916.3402120883532,611.1012851493543,966.3492879075691,733.3925303183246,922.9473621719789,856.674981652013,969.7918216234582,878.8930376708315,958.556930190256,881.9284852213905,909.0218504582264,873.8603327017795,921.1797576419676,609.0374703845306,960.9613836169708,730.2035362752433,930.6464486404473,843.697111911491,976.389659865138,867.925123805453,970.6930782658476,862.6082964668094,918.0863035310243,862.5348901068016,953.0235984136197,446.9559188151817,985.9256090571132,368.3613288637445,995.8333124440992,419.17212075444536,947.5019455380642,469.1991081533518,1000.7243309863594,533.8450743449657,1071.6438804005818,567.0284387474061,938.664010972174,464.0689228179075,995.9398979527584,527.510155878777,1064.820941616685,560.2089000634926,4,3,trajectory,person0,41.709763583138745,33.2275446228142,9.81007780002462,14.720138002230785,30.67477756000091,52.08485895312808,55.06817714647238,26.351744079509896,23.13133198442216,-4.576081072498839,-5.091575325182876,-109.38904620329176,-104.92101823098596,-67.67928239898723,-71.69347338700598,18.73331736493243,77.63174897932666,-33.98782741538073,67.29837989840465,-50.28339220174559,-47.30007401286709,-23.93164800448734,-24.168741768296663,4.750549926333385,251.93011225961766,0.25197489793181016,30.336789160305962,346.0643953521805,0.3473915463954573,8.70690023193531,276.2444012089211,0.2763815827998028,20.641664884528584,263.7762376129517,0.264582656004602,13.600567092189086,258.78903857075227,0.2591461786513616,16.756644728642634,266.8471780048301,0.26737277638477597,-15.3134650349236,410.8831602685319,0.4111684248621627,8.480596328489286,431.7696456615294,0.43185292337643083,10.477698713460763,345.07454441982486,0.3452335779973897,-534.6739915506403,1250.8539240360417,1.3603351853558217,60.82779355771571,259.3663018537033,0.2664036392513556,-478.69023204842404,1179.6972138830083,1.27311816211297,36.600317084451056,365.5515098362758,0.36737921764065967,24.486026447595897,265.16701892055255,0.26629516220615995,-14.738056949177778,359.6318815146409,0.35993374463142225,29.061341678400268,347.84283935596517,0.34905472704343726,-9.100877216513364,254.74988936110742,0.25491240082743427,-315.3600852372051,731.7731280401158,0.796833667889625,-379.17029788189893,754.791153875685,0.8446773352972341,155.00321505103392,298.21150847378965,0.336089423312264,123.08167464667574,278.90267516368044,0.30485373681043765,64.87138458033027,379.47151143007164,0.38497652464064885,118.44651470262376,122.09269419882905,57.41762662376539,35.438185099507834,77.03957575988746,145.31103137831388,41.70976380430453
7,0.235576923076923,917.9323184930465,627.647969043295,918.6942730295484,625.556820373936,970.2308776494796,745.2233659293188,923.6026401522269,867.424988217168,969.8566648822879,890.5028818179626,958.7117626390276,893.1479043768443,909.3225496982972,884.1531309903334,921.5866992198476,623.2852191984864,964.5109577412776,741.4184679957298,931.3590819968715,854.5159219912719,978.2891188138279,878.6731631136856,971.138125382301,873.2001458103168,918.0073853913073,872.5984526309879,953.8705201229689,459.9122249458328,988.0116630691375,382.23659065856157,996.6710576821072,431.85353781620273,947.2555952220299,484.744420989897,985.3243160820746,558.5890227262845,1047.0746758644304,607.803936500036,938.3375376646824,479.0183931668278,983.0816963832996,551.7705805603958,1042.9849270529842,598.5477775430303,4,3,trajectory,person0,44.23103041165223,36.37938497942779,10.791866167081746,14.831531731612287,32.181856518116,39.78506926797899,44.082484309453065,24.525240207277346,20.606788180364408,-5.947052036804809,-5.480427351761579,-110.89110901265754,-106.31568317895264,-66.6600783149815,-69.93629791350108,26.10587005310615,77.88184491202146,-36.7262474687585,66.29346309158745,-62.33308545542472,-58.03567041886143,-37.8078450376727,-37.428881918804755,8.935063133532715,305.8431491455987,0.30597363813325024,25.165673649233153,384.9873821679183,0.3858090143564903,1.9267711195082815,344.9782260861809,0.34498360674170464,4.6007356206409185,333.3770263334874,0.33340877081326126,13.224257174616357,314.72923763564995,0.3150069427814851,21.17539116232366,321.473213799205,0.3221698688289561,-9.700921136892728,444.2128332250612,0.44431874715427017,-7.320123676446614,461.9178671430583,0.46197586538328006,44.4576443367022,409.1195560444077,0.41152799817016333,-730.056363359929,1211.6147903638655,1.4145644891311242,56.44106590392931,319.370310873196,0.3243192707620279,-648.8415756071196,1139.2123593919823,1.3110302017984852,69.949239395517,429.5359038161413,0.4351941966055622,19.471117127369286,319.4287665074605,0.3200216575087778,12.09197831414906,423.3616790432604,0.42353432826853415,24.89300135795049,376.8192498350763,0.3776405811917947,-2.344996151595784,299.0315721472499,0.2990407666988013,-382.0722752067773,720.881190539532,0.8158730994188842,-457.60044287017706,735.2487519020449,0.8660189908359383,115.3386666167709,351.54482958382783,0.3699821282495374,105.47305969368759,333.24368540873866,0.34953672222807514,61.98560492872306,412.29349333170813,0.41692701982726305,74.91764290440076,93.65468488223257,29.173140049697512,3.309985101621791,44.78177475541994,144.54192322700297,44.23103069767603
8,0.2692307692307692,920.67615247477,642.5546357580112,921.9315553145885,641.147528332401,972.0676415301845,758.1670602019142,923.9479891596944,879.3179609537515,969.25327191064,903.6275165483573,958.0531048533144,905.9797074579574,909.9594810310008,895.5796388722799,923.2908876823556,638.7428377356928,966.7686222962924,753.8256152593393,932.0608018513276,866.588961648721,979.448340921142,890.5890148428815,971.2185622509094,884.9152556105976,918.2772623314291,883.7611332050399,954.5394630185332,472.98602142807573,989.6969815153366,395.9842553768117,997.3853953713816,444.509479837091,946.4249014359044,499.82873591084257,968.16637243226,580.3888338542773,1017.0497134178871,643.5104230642241,938.4967560617986,493.8120296790111,968.802733035972,573.4770410353527,1016.3959263624132,631.9336753011872,4,3,trajectory,person0,44.77673486983117,37.77153815115828,10.939559095719224,13.64219255416598,32.020196469966805,26.835725411374657,32.19973402321927,22.53464195094167,18.020947863445457,-7.9367743193624,-6.086075617201779,-111.66565992852932,-107.09886221465,-66.8889248025125,-69.32732380730613,35.33779568975784,78.65247808382378,-38.93845310058341,65.48029642867543,-74.51179517025672,-69.14778656119098,-51.97715292178689,-51.126838442771344,18.925959600335325,339.53051992069993,0.34005759204054586,19.87716032534231,388.4785240437893,0.388986715898937,-17.929391157534532,389.9891462745882,0.3904010723336477,-19.57154563261981,381.2878629816453,0.3817898372869027,2.3901240957915295,348.1061197797712,0.3481143250734185,20.85110424669239,358.741749821344,0.35934720203890025,4.731060942881058,439.58234207630267,0.43960780066205923,-24.683472502016198,448.2196433652392,0.44889878871881583,81.53106688549508,442.9409538087086,0.4503820638396423,-892.1703126972876,1060.992743621586,1.3862443755976204,34.44545690304468,354.07102281039346,0.3557425736333194,-790.0731633769623,992.0381048138036,1.2682094483526936,96.19353075547902,463.2667507658148,0.4731482618844973,10.261799079038198,353.3911898870523,0.35354014992660343,50.638742885951046,459.3120936769858,0.4620951002542719,21.226034195582855,376.0622771921077,0.37666082999773903,8.019200506480098,331.6910799146875,0.33178800471345365,-424.28919660630453,644.9919683987159,0.7720336531885599,-509.8360398802041,647.7658163746414,0.8243381226318692,54.578126740944334,384.6126298142607,0.38846576030738167,67.08488963472382,368.6695186901126,0.3747233598649841,50.07803382991343,408.50203734228836,0.4115601098078752,16.215218185888435,41.3668371028488,4.388589879513601,-35.34036412983304,-4.803612859290335,145.5414028863363,44.77673512601682
9,0.3028846153846153,924.403732867781,657.066555620009,925.5245638380876,656.304700273606,971.4919612068445,771.034308012315,923.9200897201414,891.2511310617222,967.5339489014975,916.8265520553914,956.352808425843,919.0614891845687,910.98101229246,907.0566657142683,926.4017547942892,653.9016049623599,967.2984185740092,766.2599649275588,932.4634666611828,878.8757327169707,979.2884116456894,902.4497936013091,970.5259414560136,896.6766510937014,918.6990909592456,895.2405430810908,955.1027652548578,484.851606749433,990.8035811543662,408.2384295320059,998.0022121835832,455.924453256583,945.1169122173828,512.9288843937445,950.4747646299384,597.0659527913882,983.774170126652,670.8828449861982,939.3387983354006,507.05629839336586,954.0751491342746,590.6471108448173,986.6761587564024,657.4591699032219,4,3,trajectory,person0,43.17635004533116,36.992693673281806,10.563483369105963,11.29404430850376,29.991415369050348,13.907978351847875,19.83464174453578,20.338875902707095,15.385953325999772,-10.307335844013751,-6.523144698909189,-111.56882995714348,-107.1842729095142,-68.39247989536035,-70.19157921978045,43.49142897027246,79.81700246332925,-38.511037840677474,65.0281860063847,-86.27501637285727,-80.34835297596737,-65.9361401562119,-64.96239971843086,30.354071769073656,341.03165473336935,0.3423798463740851,16.738123593645714,352.57739240604576,0.35297447842199997,-51.088455128804604,392.19991220901255,0.3955133390724073,-50.52309384486401,388.7157998764487,0.3919854028981746,-20.580732191190968,349.4814657836544,0.3500869341518148,11.964897207128669,365.0926260279922,0.36528863155755686,25.02068470131548,393.5439846551132,0.39433856331982875,-38.86596535035616,389.26155492051487,0.39119703654520716,110.76238882089912,431.2113330422225,0.44520952429318333,-988.7590006538435,813.3519656815173,1.2803069090854644,-4.752184184877512,352.43456882184984,0.3524666062979161,-883.1016660071799,758.4718396033144,1.1641082784586203,106.76368184111261,450.384537681525,0.46286576406434654,-0.829011918148026,354.5856260654152,0.3545865951681802,92.43719418317139,450.4319404495406,0.4598190598981254,18.328270991133405,339.1877816077627,0.3396826117267702,12.534336369403956,341.1024648883701,0.3413326839626453,-437.6196359361513,510.19636005266557,0.6721690795981907,-525.6934889832713,495.5486769884385,0.7224417870142871,-17.105929607813543,382.3410777947682,0.38272354591403496,15.742517966444357,369.4778187128101,0.36981304113389507,32.88181784545082,364.1240320400568,0.36560569559831774,-47.55429192800022,-23.14280734261532,-11.174821590794044,-69.77354787110609,-60.28378128437486,148.2094823586896,43.176350061783126
