Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,Likert_Score,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,Head_vel_X,Head_vel_Y,Head_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,right_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,944.5133369504404,460.46228724272197,944.5144890949701,458.9123352740566,963.10155252023,570.7401111538815,955.3547795657485,677.8829261966267,992.630878325206,708.937317514531,983.3130477517003,712.0502644858915,947.5869617575243,690.3157323840833,944.5081077712192,455.80323799797003,961.5361052604784,566.0961342952803,952.248105830477,667.0053514643707,989.5153042912606,688.7423414859438,984.8616991294837,687.1967139191983,939.834323397609,679.4387763430552,961.5127450820812,320.7166655902596,987.8874291352976,249.28211975608139,998.7647923671152,291.2116464196033,952.2196992015988,326.921123843881,890.2202746459186,343.9307979465432,826.6107953034355,348.46008881507964,961.5268784053608,330.0297213214124,913.607312201122,340.9413566403265,857.7332450000981,351.8836175797178,7,5,trajectory,person0,13.563184827035572,14.025913029217447,-5.347975764895857,-18.331218631873757,15.702078382090368,16.3671927062325,-67.5617549609635,-70.02370603121908,-11.183737481042147,-1.338733302866089,-22.465235143446023,-10.61013214545698,-94.133878681684,-95.26172120800796,-80.57112900415751,-81.23624332829964,90.02893545157602,83.06012040471437,-18.44269040569561,69.7347323469311,-164.4996415220296,-166.96161435561766,-175.68337767128273,-169.3690401107534,4,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.6312494088719,13.562749677526483
1,0.0335443037974683,944.4243425002819,464.3430871523376,943.8006260080396,462.6204495569063,965.5869843208053,573.344528678281,954.1925213709416,682.7218494894641,991.7145860312916,713.6032732788136,981.1151402849968,716.1612343951205,945.7769116794747,695.4023409427047,945.5291225015076,459.78102576233397,964.7659086531593,569.9264654616321,954.4766183651344,672.5138681283795,993.4118816894177,694.3845862357532,988.2901231399716,691.8175192144552,942.5564711122007,683.8740372613058,961.6357894382164,322.90061127044726,987.0155192873716,253.554326414408,999.366993445733,294.377469879407,951.9343592360265,331.433138942274,890.1384585811135,349.8511964183089,826.6328761317814,356.3028862767854,958.9567182758022,333.2602423278153,907.9255711634844,344.4108597977234,851.6839681080206,357.364404755374,7,5,trajectory,person0,16.944177861242494,15.526526143546874,-5.935129689597718,-15.864978127261464,16.777483214603055,18.042024285358774,-66.2952985498645,-70.4877084092976,-10.858515874021126,1.464652800968813,-21.71319387549112,-11.63071324038317,-95.84774911998954,-95.69463847304957,-78.90451631980363,-80.16905739055935,66.27824676941181,83.05373594642904,-6.087351597769274,69.90297724207804,-163.2408940943821,-167.43333400283177,-174.0995844238573,-168.3182550520997,4,0.658258656351941,233.8041507451921,0.2338050773831466,102.20584785982902,137.7523088019978,0.1715276476753164,-65.52252447908748,122.55344257701537,0.1389695920033963,-2.65304209906232,115.69177089042738,0.11572218665468838,-76.61986801325574,96.30609792672871,0.12306692761356071,30.43779761991756,118.58310693764312,0.12242717335189751,-25.992784145717213,127.36012302181254,0.1299854828962722,-2.4390449507924346,176.49489783754473,0.17651175004219222,116.16211866204131,168.2027680131845,0.20441577478108516,-169.38020451825426,103.43047148466289,0.1984628834673761,81.15081866141554,132.22098586482727,0.15513814641307536,-34.648451845185825,144.25469439024775,0.14835744696135728,66.4349019765789,164.21615715347215,0.17714554036410712,-8.506361237816938,134.50912934831973,0.13477783222604245,-21.281201459439227,110.54378428117911,0.11257361049003049,-27.315883478958632,139.09830391635052,0.14175505508672862,96.2847049138825,114.1872309969058,0.14936354348733882,-53.95998345883646,151.638519294752,0.16095316197199352,17.95240951351025,94.37737861301633,0.09606965494476082,-180.33693376381893,163.38950448182658,0.2433465427207727,3.6681147678038872,65.10630518295432,0.0652095548253917,74.09400462092283,77.64112619908103,0.10732225304300577,100.79186781220652,44.73525888000942,-17.503833981678167,73.52188674127224,32.05923840320846,49.928941415462575,161.95825226623268,16.94323280018591
2,0.0670886075949367,944.2827013140286,469.67535796318026,943.049090973646,467.8552047973941,968.2703893112689,577.3016388541718,952.8540715176648,688.5922984126,990.7888576752796,718.9127759186457,979.0230151845742,721.0701853741909,943.698574288043,701.5114879992869,946.3723630602716,465.2256904551964,968.0018422745015,574.8757528500653,956.103260503724,678.8148532221113,996.5059674093499,700.6366367438152,991.0033000309753,697.2211184868268,944.6605932045522,689.4797349096826,961.9914497559917,326.7277599933395,986.2075965885306,259.31277947159396,1000.0781258264155,298.9614283244768,951.7334879349066,337.5068628399644,890.244697263771,357.9193357432404,827.0155662339536,366.9121691215936,956.7612849895563,338.1345301090714,902.9763912602335,350.4222031877265,845.9903238983906,365.9236578903879,7,5,trajectory,person0,20.670765011700432,17.533667190017923,-5.6369642933589414,-12.74880381794631,18.126513069529164,19.99115644734467,-64.51857747186783,-70.02215437533779,-10.521022755118768,3.567190539790254,-20.498440503599134,-12.114750979946669,-97.74867855687148,-96.4762241130044,-77.07947612839571,-78.94411950621121,46.21779551810615,82.9339070820062,6.620146374145374,70.26583147894704,-161.5876474650751,-167.09125484833888,-172.10915648519995,-167.2714422542419,4,11.408497385510207,316.276733864092,0.31648242636255947,80.88338656200025,161.08843113862665,0.18025427836376595,-62.369012427691295,146.3423122062528,0.15907849022755366,-4.222510835477868,158.96203549304624,0.15901810691191184,-65.4487658918567,145.30895649782292,0.15936823333165634,25.138114770702064,162.31264556080401,0.16424773886776092,-24.085242720165667,171.66709113875143,0.1733484614784039,3.1671154452603267,240.52188930927832,0.24054274018799307,92.23878183948788,186.38188307052698,0.20795720524220418,-147.5415895686095,179.2060859661295,0.23212785679390532,62.72665860217508,167.1132506497237,0.17849782139317893,-39.900957890138564,175.0058358217878,0.17949687744424178,48.4923505466315,187.84068769992825,0.1939990515881956,-5.988238788099305,181.06573128963797,0.18116472628863126,-22.404251968715563,156.05496754661812,0.15765501388238096,-27.597184952810885,158.28328624405097,0.1606711029449161,96.46745512680909,147.54479384385573,0.17628226254807605,-61.957982612488955,182.12174244150904,0.19237234905084682,21.199795499592796,136.6538555322697,0.13828849395759213,-169.73505379651772,255.1626406287152,0.30646037535042864,10.602703812921947,114.09235815414443,0.11458395837689549,79.99584688551853,117.96668071523295,0.142532358704615,111.09448486270816,59.835525536306626,8.888704265231448,92.89727186260255,40.21636171289147,58.106204074296464,160.0133832104019,20.66920242847577
3,0.100632911392405,943.8941982969989,477.8328647627534,942.1127343851,476.0024500946693,971.2684821295145,583.8283047952077,951.2226150161636,696.4107811955193,989.8115804888104,725.5070849168466,977.0781110821056,727.4856736166053,941.1701920727625,709.5105716111019,946.7925484434828,473.49817923791795,971.2796942653208,581.9922677823585,956.7122934772977,686.6763579694027,998.2337791795348,708.2067162187197,992.4425425471558,704.215530934816,945.6414380379392,697.2168844614326,962.6980078587309,333.6683193887514,985.4570839696488,267.9316962944746,1000.9216924271562,306.22664546317367,951.7485091250793,346.572375324845,890.8528609950229,370.0798668216364,828.4008964917336,382.70340229693926,955.1943538928364,346.1012653652295,899.3028955282585,360.90775911013617,841.4269990927215,380.0078042749708,7,5,trajectory,person0,25.049492275736036,20.52244018146984,-3.942588635078273,-8.579950628159716,20.081844695832935,22.512453377571155,-61.71660777977223,-68.11271374360135,-10.143135088268473,4.694555048526197,-18.54901872341687,-11.815727897035666,-99.96754558594814,-97.87110217342014,-74.92009046584974,-77.35069914758796,32.09688386637501,82.57935579244233,18.67720600757507,70.96515531159082,-159.14711446847272,-165.54323203301635,-169.2911733321547,-165.46942330178425,4,41.29852466589718,470.7575173027593,0.4725655597233441,42.90572029368108,208.51267297779347,0.21288127119656122,-57.980160035856905,191.25417779272627,0.199849592146082,-11.5817880548492,243.1860517608592,0.2434616881268647,-46.71228552486089,237.4989000892418,0.24204909659520685,12.526281235352847,246.61381654150992,0.24693173597323748,-22.373772411948504,256.9412939651211,0.25791357900741174,18.130164063733883,362.52149252576777,0.3629745657647216,51.50835088476032,225.6740673650816,0.2314776336754093,-109.51175955698932,312.5882708944779,0.3312163229402611,29.240279938707044,230.6546470144337,0.232500667010327,-48.63587306362091,233.07929805683992,0.23809957440392426,18.156077325408905,234.36183963623503,0.23506406578106864,0.4478015183530963,270.25490049266676,0.2702552714869796,-27.914026601936254,242.88014282443012,0.24447894931782813,-29.13392367210155,196.5850607010839,0.19873216045567632,97.71709708479905,212.15270930232444,0.23357526223253314,-75.37441321025265,238.46324729561425,0.2500920280168066,25.14783451264724,216.5857184743601,0.21804079211865443,-136.03873948975567,419.86700542718864,0.4413556852339805,21.06343023260349,206.90724235379022,0.20797662135830033,89.37710665713284,194.5685318271117,0.21411487751148514,130.53564296558991,89.09927031120824,50.51157622798983,124.27901962005339,58.29101829358421,75.16319150486511,157.49944625829207,25.047455120098405
4,0.1341772151898734,942.9575502341818,489.7788478194879,940.7473169989192,488.01123154527806,974.595580431456,593.6424880890296,949.299419998428,706.6512027494151,988.7084670656895,733.7916807744157,975.2631824798632,735.7850802870906,938.2321468775574,719.7886263820114,946.6078693198536,485.553657127962,974.7220205124369,591.9148730081052,956.2208216400816,696.5553686561841,998.4227499127912,717.684598116774,992.4019012810068,713.4083100625735,945.2833690219136,707.4483269776313,963.7592690416532,344.6920681904806,984.7402081698355,280.3783286857463,1001.838942814082,317.071851605198,952.141988142923,359.5806133259054,892.3095067383729,387.5715482517491,831.4477490467916,405.1726409084117,954.4173245959688,358.114557319226,897.157298254035,376.73872618185,839.0329019682904,400.88584641692586,7,5,trajectory,person0,30.305652572434777,24.860521486249677,-0.9420238590253514,-3.366921804401311,22.992809922990055,25.908832843928913,-57.56126710384737,-64.85094160819536,-9.653848095829968,5.085978500856941,-15.910106657794255,-10.956061083233177,-102.54129031209904,-100.01218214685292,-72.23749297945336,-75.15351590039222,23.909667635070555,81.87562514307281,27.911921155600464,72.04081919449273,-155.7057376883049,-162.99537047672112,-165.36096560505356,-161.65763113885896,4,90.83069881116253,669.8376793608751,0.6759679966818597,-1.2115698210456483,274.0488872048461,0.2740515653661656,-54.10541870835873,247.4162743276792,0.2532631223368223,-27.92271583492225,356.125532634726,0.35721852283156474,-23.16426960472966,358.132099760649,0.35888045957573683,-5.505528591209609,359.38971823150206,0.35943188564119777,-21.371014409531153,371.05055053224993,0.37166548307204716,43.424533481000736,521.4501256524156,0.52325512290943,5.633467142360909,282.5481773382226,0.2826043320071293,-63.963088552325715,471.9420372322229,0.47625682483724424,-10.674510289066282,305.0128146338468,0.30519954498782065,-57.332983547587226,305.280491606705,0.3106175293799424,-14.651424581162354,294.5063563229143,0.2948705786558857,11.730129211189555,387.79275550331045,0.387970124045862,-40.70489566350272,357.9976356973937,0.3603043098491891,-32.885268085486445,246.97474443319263,0.24915450075183293,102.62029189515741,295.80596710716947,0.31310077368932693,-87.58700770611175,306.4023875101346,0.3186752374923743,27.344445497030087,323.3099189509135,0.3244642081826381,-71.37119729436311,622.4020110243208,0.6264807348437378,31.637597528629374,328.63251144777513,0.3301518819541327,99.18519466165377,292.57376611770866,0.30892897478282905,156.6930805430943,129.3239332368327,89.45079898421902,155.40727436864654,86.77971809260836,101.25055767632543,154.11311812252617,30.303797332645672
5,0.1677215189873417,941.2077901919292,505.98629573617484,938.7161018412696,504.37175288000145,978.0783347759068,607.00206126155,947.20345108493,719.396084441816,987.3318036619941,743.9596509218521,973.4862475453127,746.100208914419,935.1882934425436,732.3063259815599,945.8344732923628,501.88624336682454,978.4576686077684,604.903638919542,954.913716917962,708.6321024604548,997.281196035845,729.4508031081912,991.1017834663304,725.1253594532883,943.7996772407292,720.0137038132581,965.1125049429804,360.2402941826675,984.0552854088276,297.1381327240653,1002.7180175993673,332.064648762479,953.0194911244472,376.9763724716429,894.9882299042208,410.81543376151353,836.8846991383226,434.7531367787357,954.5146790897164,374.6179330930916,896.6343175601246,397.8788591196746,840.0871620367216,428.4306801172207,7,5,trajectory,person0,36.433610530847254,30.618283594770375,2.75463502459579,2.442457694863232,27.064533010360265,30.34858354650979,-51.92764301728315,-60.688428898059165,-8.870439127643223,5.044757701353267,-12.928467594514466,-10.08365804224271,-105.36936784760874,-102.83809144768176,-68.93595922312335,-72.22000975927287,19.89973289975267,80.74740936153033,32.94308975995696,73.44734099560381,-151.2119838807257,-159.9726261544725,-160.08400568875723,-154.3136102338198,4,162.08266310601886,881.8336504738122,0.896605474435389,-38.758229192240734,349.3007176854583,0.3514444361569756,-52.97277729414545,307.5076081354483,0.31203692761504936,-52.16265786337889,483.1654284597247,0.4859730179074156,2.9022660400225693,491.9874287303348,0.49199598898451735,-23.055957045952937,486.89596712080834,0.48744154516599436,-20.418452120611256,499.63189397252984,0.5000489402664293,79.85627551018405,692.9309265175068,0.6975172353876059,-34.031228784435605,350.76611106488843,0.3524130945412844,-15.590745214688482,630.2152838068471,0.6304081021688206,-44.230811590024075,374.59047925076055,0.3771927780846641,-62.48360157220641,379.9417561130826,0.38504537200663425,-38.96651813111237,360.02338510845004,0.3621259827190113,26.159522845439223,518.5905556653828,0.5192499254317053,-60.5532065865351,487.72874922383005,0.49147331936469685,-41.04015429884937,303.1206194896148,0.30588626027437255,111.36460359667683,387.21226679377463,0.4029086924972186,-90.7412910815433,373.16915787333056,0.38404322972165006,26.20638039152624,446.9550850661128,0.4477227070851796,31.428885058890152,821.1478725748283,0.821749112229646,40.341749511263416,463.5131522199128,0.46526540708983466,103.82550687230643,398.2665209921168,0.411577401736849,182.68252026965536,171.64649304646645,110.20228370040405,173.18527563845277,121.38344298198008,132.35483226561888,149.6833685846537,36.433408624485395
6,0.2012658227848101,938.5954448742204,526.4124456610004,935.9453324554592,525.0972737600318,981.2733111391924,623.8868588632073,945.1420969694592,734.5769366734418,985.5709400025862,756.1606476963863,971.652476171886,758.5185938295612,932.5075713395023,746.8663181383954,944.6518203137152,522.5071627538554,982.4070247228278,621.0225706178226,953.319082354258,723.0062132952523,995.2977220024179,743.6678735234399,989.073211043474,739.399187629488,941.7454859910089,734.591950537127,966.6340124771972,380.2102368741493,983.3268873921752,318.1365560606313,1003.3902037350284,351.33193464153265,954.3416929200455,398.7077052362518,899.2889916818946,439.4246296871902,845.6659875086643,470.7574950016158,955.49126665299,395.5303638854251,897.8662667014852,423.63042133384437,846.0483609658064,461.1810755242865,7,5,trajectory,person0,42.999781296289115,37.37303837169225,6.33600626725522,8.08606230863166,32.15557115636008,35.64427290728406,-44.82163323831858,-56.07319075494028,-7.504019375159476,4.641447828711001,-10.087390533719104,-9.69574694932769,-108.1737300111376,-106.03568883746549,-65.17001349569804,-68.65871524662202,17.850691055321935,79.2210082677424,34.772061020465024,75.14193337292359,-145.63985485883148,-156.89111580658516,-153.14491384214386,-141.8929634481713,4,261.78180424792043,1073.337471550008,1.1048000003931304,-60.474423171944466,425.5216701584059,0.42979744954150045,-54.66714660404337,370.2084559608405,0.37422292525009415,-77.87746418830056,608.9305071929136,0.6138902687114522,29.113365093815755,623.4271821110739,0.6241065929967731,-35.256447287985424,614.7368421039366,0.6157470276950517,-21.714506911523312,625.9907334297022,0.6263672390461263,128.21138884386033,852.8779162748887,0.8624609558111413,-59.12998061914517,423.8296463413749,0.4279344853197454,36.72603100659897,767.6880811016648,0.7685660617143161,-61.23815423694752,434.59678912665964,0.4388900553140279,-61.45168872535629,452.5612552069572,0.45671435248051345,-47.5381624651384,428.51122866000225,0.431140058424483,39.41658183104292,647.8397314732464,0.649037737422541,-82.60029489774526,617.8551507631674,0.6233520642797061,-52.493671355932456,363.7278283729036,0.36749628387956945,117.73552192063921,480.5266430808174,0.494739838533794,-79.91586646802257,434.0525963735881,0.4413481643011419,20.038756497067105,574.3832394132978,0.5747326834980437,177.71121335762408,976.3325423238476,0.992374177693871,45.35814913325428,595.3303670290787,0.597055782653323,95.2464651696456,503.35811718148085,0.5122902334222251,195.7462228188326,201.36816127427463,106.76540685663949,168.24330735385107,151.77057114490006,157.87149415138379,144.39102176344045,43.00371651543955
7,0.2348101265822784,935.4120764199754,550.4690955555243,932.6886474374519,549.6505669637947,983.5420812170757,644.1085345128265,943.378858213464,752.1582367516011,983.6187834050824,770.6629839059377,969.8755132383995,773.2193172450332,930.631831253203,763.4215750600986,943.2238843512448,546.9131334183883,986.0181686167961,640.2807675411465,951.8974121839564,739.9384784277237,993.053588532126,760.3799934601026,986.87222385437,756.1428864866045,939.6134620225835,751.1489502704101,968.0334848621009,403.9259649539827,982.285524689558,342.6382612202009,1003.5860650592751,374.3380200626547,955.8510487350679,424.1480457553757,905.6598524513386,472.16918198711846,859.1088245136773,511.28256138458414,957.2019432527984,420.2006491876739,901.2044632030722,452.8077461556675,858.4415848081563,496.5897070741443,7,5,trajectory,person0,49.0780508836866,44.11005606564387,9.18505726901402,12.768348614950112,37.59280738789983,41.074698117687625,-36.262540877478976,-51.08892074517347,-5.206532805080936,3.720722978973689,-7.753748748507467,-9.844090788497535,-110.52663765665623,-109.04053356840244,-61.43720167866351,-64.91909240845132,16.399563644739043,77.50842228902088,36.50847541446689,77.09793669252889,-138.78582576323683,-153.61173236385702,-143.9914030765244,-123.2430036277608,4,400.748725809823,1208.10575254887,1.272838972761232,-65.61433507140228,499.151777249891,0.5034458637217978,-52.973611979405725,438.2479810650154,0.4414379871213019,-94.9004180699469,717.1605062895793,0.7234122483973964,50.997528824476646,735.4537882557197,0.7372197926031913,-42.56865699439984,727.5742198106069,0.7288184519421281,-31.044397549721303,730.4281915494349,0.73108761282722,189.9237738815396,976.1583515827691,0.9944627530733342,-66.90058269926965,498.2103679231517,0.5026820651978983,99.51604665108623,869.8145890279355,0.8754889278722476,-63.55845037947362,493.58602978466547,0.49766137625219486,-52.56447612211981,524.1217759149376,0.5267510418957148,-42.381865454273935,504.77318696801177,0.5065492994775805,44.995890334634254,758.4101513248255,0.7597437645545707,-97.08608166889861,731.9660992819918,0.7383766503295691,-58.196366491622996,432.33379643568486,0.4362331126970069,107.65296891452432,574.1122856387121,0.584118205706189,-55.918289365149484,493.5340742696409,0.4966917933192736,5.838884760563795,685.841791799488,0.6858666458969844,369.4583711493016,1055.5780726184034,1.1183669144806987,41.72012015373232,706.997176719563,0.7082270655058834,67.63503251048627,602.8348589886482,0.6066171484837516,181.20124430354792,200.83939540459556,84.93397325997944,139.58513894307853,162.0911933176003,161.88814778184226,138.9456239676844,49.08943597799272
8,0.2683544303797468,932.2350360659816,576.9495966735769,929.5398521818042,576.791466329594,984.3026921054782,667.2017242736528,942.1157036563752,772.0161816667357,981.9412097360746,787.6768593156603,968.4983746971196,790.3300485470297,929.7201255690288,782.0401557409166,941.6109093824998,573.9578059601241,988.2857344284216,662.5166051296846,950.7620493443296,759.7414262830381,990.9616397266308,779.4531070032938,984.8097700465582,775.2086808419192,937.5017986123548,769.993828798556,968.773032944894,430.1083429046097,980.4999875416814,369.1901081462107,1002.9149892150555,399.7472040023532,957.0594975626656,451.9683593339965,914.5762811849296,506.89722183115106,878.6846052129089,553.0869790575921,959.1423555214303,447.3008052599518,907.2376205608552,483.8421994360667,878.4498467061056,531.417179845272,7,5,trajectory,person0,53.49560088178659,49.39329910615929,11.158521359014944,15.996149236171194,42.18716801231978,45.46312365616911,-26.138323980606128,-45.02351667048338,-1.69800330980395,2.2222872483260487,-6.0047975208722235,-10.005988466503652,-112.012846657232,-111.18650052545544,-58.49525525577962,-61.77121089962896,15.501609661459812,76.01238931320113,40.87089774716764,79.21009628753316,-130.11869340257857,-149.00329412243556,-131.81153269011884,-98.56255876119528,4,583.5798774487901,1246.2449042141957,1.3761147607096562,-61.48447200646431,568.3765109697559,0.5716923985152039,-41.05431877778001,510.0934991915953,0.5117429384054397,-94.71176904358852,789.4187125759081,0.7950800104142792,57.84625253657507,807.8914451735657,0.809959737343257,-48.084914162587225,806.2374078479717,0.8076700544055351,-53.22922063481019,791.545625341423,0.7933333643094395,265.8105169636556,1035.288734973044,1.0688676230902363,-62.36375684306541,568.594705627208,0.5720045257118794,179.8563891565489,925.1780411892579,0.9424981318916362,-62.95147524832462,561.7907183862375,0.5653067304577801,-37.65630566415684,591.9915653945773,0.5931880063307033,-33.846665785100335,590.3520304037124,0.5913215001896633,36.025455615174565,829.3602915890713,0.8301423532846582,-93.86974535704135,809.1060565653336,0.8145330808899665,-50.01068673645829,507.20609712003284,0.5096656685942151,67.59913174279993,662.8796866017035,0.6663175830799852,-27.179150584815783,555.0444806734414,0.5557095300177624,-20.005657242774717,757.4813325419534,0.7577454687896515,596.472713184146,1038.252961856259,1.1973925464844648,22.046905109683895,780.5312672073694,0.7808425738349936,22.674815163694205,688.4384872095375,0.6888118015206071,131.69299994335782,157.50045290593116,58.83157098493309,96.2249996514962,136.9639582374246,130.82476133586286,134.50764456898074,53.517591401452385
9,0.3018987341772152,929.709040921876,603.9523309622123,927.2169531849925,604.4785503379535,983.2816359054813,692.1406412573878,941.3408541661923,793.5399786667916,980.8982951189657,806.8439391120779,967.8008703189852,809.5247051750255,929.5271718504156,802.4104128973657,939.9000070276963,601.7041883680354,988.2312960467669,687.0248861703179,949.7027058727724,782.1217258364394,989.143035580074,800.2261383537043,982.9360794976463,796.0362421616401,935.2551089276479,791.1207078963918,968.16463204586,456.8519178006694,977.462919950644,395.7084388015014,1000.874945238309,425.509046440193,957.3668516326023,480.1011849966092,926.3538447813487,540.5323275336096,905.228448826989,591.5712912064961,960.4229090321436,474.7649038790902,916.7006917727066,514.8126464618668,906.2402174851136,562.5715266639431,7,5,trajectory,person0,55.28545433776643,51.86139376905503,12.498883632227212,17.728443532929017,44.561504286133655,47.548978851536354,-14.177961770611534,-36.08117655881042,3.0289345231757396,1.2292388076356846,-4.681432779650823,-9.463049236335785,-112.43182647154444,-111.99524046823689,-57.11306402408077,-60.100538589483484,15.678534026953706,75.20778942559443,47.85776213644867,81.29309973348515,-118.87331274109728,-140.77603493644304,-115.83239453134786,-70.91375828823709,4,791.3070360423885,1147.2681734956288,1.3936969136818043,-55.85718994869268,620.8971110407348,0.6234045621967286,-20.79352674438483,572.2180655138368,0.572595743308372,-75.30325146578848,804.9871731329015,0.8085016565164351,38.174991451450445,818.7410531743142,0.819630552215633,-51.00425887904542,827.1563057452792,0.8287273306449948,-90.53899611017121,790.5464610445147,0.7957141552634613,351.10472608192856,1002.7069247148046,1.062400915637824,-54.21499153886212,619.2715006348798,0.6216401344879003,282.1066512212307,923.2699302030985,0.9654074407629618,-66.97678682711046,629.8201693317063,0.6333714042098076,-23.09928668846852,641.6528162280816,0.6420684648999236,-31.58042802000792,667.186288573094,0.6679332804209315,9.16263076415248,838.6766895646807,0.8387267394221386,-69.24868707476736,825.3885421360001,0.8282883713725375,-31.0906621704137,571.3959637422612,0.5722411874857858,-1.6228800568742423,730.6242272490678,0.7306260296368973,-5.752205196395764,607.2642699469739,0.6072915127176178,-60.81640534451853,767.994548146922,0.7703987676148137,828.4676571855222,928.7522259151013,1.244563922080631,-18.137234348561428,797.2612893542328,0.797467568476981,-30.439033886700862,743.4620534773816,0.744084914337578,53.35789548015385,73.57716164858988,39.957969654252494,51.64198092221433,70.7821002382249,62.18209827698576,132.3208534496752,55.31876244746367
