Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,Head_vel_X,Head_vel_Y,Head_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,797.6456432543272,573.8301157136001,756.1760150525672,571.7686300564635,743.7718093869227,762.6520585583893,722.9748430179018,941.0129415276815,776.9071303388731,974.2561894537058,754.2028584342996,980.4625900592006,706.4595673511134,961.7352966229206,835.0040813075881,580.0598744001619,870.2626717133144,756.4151788228261,880.5586174225326,928.5827844832141,959.3433955545252,951.4119594219028,957.2530070726706,941.0488486234165,861.8829519897087,949.3192530040758,832.9369608253987,289.6016930841934,878.585463952256,171.3391758371537,895.1738290477653,250.17761030063178,758.257833577407,324.8821418394029,733.2946003358359,463.9007188033275,811.9931727385068,553.1687422736413,878.5439997999795,343.52816080940664,876.4057101655541,470.1140107946501,919.8931264135556,551.0463273370627,12,2,trajectory,person0,2.933968908575258,7.88170663858248,-4.674203385295028,-3.430498707819872,18.38407209834496,-3.1011624271640144,6.113219182310638,51.58828913730169,29.227011037673773,-10.081963590874134,-1.249739403440144,-96.6514647846904,-86.57564298269972,-93.71749618561964,-78.69393634604215,-6.000990236249082,82.92199155561286,-8.794721225088097,68.89376353419959,-100.17917087155118,-90.9647892620765,-48.59088173424946,-61.73777797141378,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.6394877412325,2.9339685990707665
1,0.0336538461538461,799.0636118470956,574.2428197837793,757.3168550567672,573.9096422662954,744.8442280263536,764.2448336693061,722.8022635401204,940.6805356710646,777.3403429387027,974.9131775967884,754.1058171335311,980.7050713133885,706.5376900224493,961.5081065093324,836.7355357802451,580.5479046499445,876.8033002389562,755.6378837529064,880.500040417815,928.5797064280367,959.5391759727815,953.0375520608404,957.1766125333098,942.986495836026,861.9589540965426,949.5085944600934,834.1274598488274,290.2229109266347,878.6213151257394,171.23779479399388,897.0742837250464,249.1616053531611,759.8079175464446,325.87852573944247,740.5980627085903,464.11808171930704,828.3622099127282,549.3366524267075,879.5879685132923,342.7647019499796,879.8013345027243,467.5840650274019,923.8524169158045,548.6614584534071,12,2,trajectory,person0,3.384065935644143,11.62236208094839,-3.41258554604176,-3.5765927360887013,19.939365860108644,-0.775381411309858,7.173401345088816,53.38241608803099,28.39524771941829,-10.709912260218836,-2.13229138120469,-97.13331936370024,-88.7192973732649,-93.7492539478155,-77.09693529409147,-4.779946369506243,82.96369884579987,-7.96764509454711,69.49682814546003,-97.81168256551004,-89.8628998091113,-44.42926647747901,-61.46765183686797,100.89855173306151,-75.17553136966056,0.1258247919073984,-2.883512937124019,7.205157267301195,0.007760730513624656,46.05963793711592,29.606835886890664,0.05475449733247019,1.0652920120805798,-3.0124652824624194,0.003195276850140544,-2.2700091695784597,57.57580288897057,0.05762053470716462,194.35010476192977,-23.09676779189782,0.19571771484310233,486.3942474625809,-113.86781259460571,0.4995450357172721,31.02078462415194,-22.68563468011733,0.03843080924906166,-1.740573854468054,-0.09146221098583461,0.0017429752376027022,31.866153857374208,47.32817472438565,0.05705618182461759,35.374828124739025,18.459044461112665,0.03990131310210431,2.2583483173500123,5.626146121664845,0.006062479468402512,33.89924583908264,63.61864852071858,0.07208669300267068,12.872602966366662,19.521933394453566,0.023383964389880364,42.13392389940176,12.2632066567545,0.04388227182663686,217.01716764756196,6.458783789105546,0.2171132583280082,-5.1280759112180405,-9.87720259661884,0.011129074251071772,5.817475285333283,48.30332412843099,0.048652380625738414,117.64748920968054,-70.86467540005322,0.13734166861115676,2.3213593768378655,-6.750791946620296,0.007138760485055268,56.470653267783476,-30.18986129627228,0.06403407222392142,51.4489329018078,14.501470279251471,0.05345358114284519,13.374311661475472,111.15090457315867,37.48807293781147,-4.341079697130933,46.21444320669245,176.7129527936154,3.3840654158847343
2,0.0673076923076923,800.921872961576,574.4510687784983,758.997390464962,575.489903354035,746.1108696400988,765.4086711133576,722.6228158374356,940.3615335045833,777.5060874617297,975.6525779818044,753.5441097876305,980.9901269376385,706.5684633935434,961.1384476184184,838.8601534218581,580.671275332252,883.9055951993874,754.2873779956228,881.5132753852957,928.5419446111692,960.2262099012559,954.5050240776399,957.685698171017,944.752791354695,863.1070747198133,949.6160318826871,835.6994875667109,290.7819718384819,879.4557073818098,171.1429809968921,899.4577466520162,248.35582158131868,762.0327684876015,326.9331331176249,749.0552008960486,463.9718680976004,845.3856018345004,545.2368282319682,881.0378750712163,342.1066099991275,883.4578395486747,465.1201238963656,927.9542187172678,545.8601529606598,12,2,trajectory,person0,3.7776857881407087,15.262983747028612,-2.286026460080022,-3.886735501469137,21.555944594149043,1.7443732395723837,8.168738274766532,54.73647097623076,27.69481299359645,-11.546145913979275,-2.980650796569817,-97.65941020658946,-90.69394036848333,-93.88172510781229,-75.43095662170623,-3.706729252734484,83.01309878414473,-7.176402463541211,69.91221425115252,-95.24252797628291,-88.81816294108872,-40.50605700005213,-61.12334986031928,108.65043565109374,-73.21425075079333,0.13101619625135094,-16.690732563902117,8.470224263424177,0.018716977656459445,66.10985653723276,31.336904951705996,0.07316088260351807,24.793369894660103,-2.8173242567392065,0.024952925814442063,15.127116091872267,52.48420969759381,0.054620709523384825,211.03962168138517,-40.12931393071176,0.21482105054200765,505.8379313898005,-121.82334750082502,0.5203008176324724,43.082937721169785,-19.554732253890673,0.04731307510834131,30.10755331943084,-1.1220654154927072,0.03012845495008026,37.63735080843305,34.58259833753243,0.05111287786509538,46.71168075996532,16.61209566631704,0.049577644577448246,34.11558423433059,3.192426271358068,0.034264627141525464,49.93590927207381,46.956329464264584,0.06854554625637868,4.924980112801633,21.970754297617205,0.022515982623855357,55.21690168742073,6.18797012879136,0.05556255219365918,251.297820427332,-4.344633330711486,0.2513353743314019,-5.3321603083499385,-9.478921518297751,0.010875747638851806,20.414722446091833,43.60488278489699,0.04814713589857212,121.88211067205381,-83.23879178448998,0.1475938527162173,0.9144087410829965,-10.984149901444678,0.01102214554445622,70.82289840139099,-23.943289220459846,0.07476071185233818,63.13149563649989,3.665871702851417,0.06323783959500175,11.696132759897928,108.17847236352641,33.47489855429158,-9.215670742732936,48.03548238291463,176.894823891957,3.7776850987771695
3,0.1009615384615384,803.5471228498099,574.3710281004604,761.6002472252392,576.2404958155195,747.6476428869414,765.9235394178108,722.43861299011,940.1365150398592,777.2202631871859,976.4695563967476,752.2415684220258,981.3208484312358,706.4827839849152,960.6043305526624,841.6628159532592,580.2934750200022,891.8777777371183,752.1728288827713,884.7014706170247,928.6293116972915,962.36867088072,955.8158874232786,959.837034873308,946.3068859934366,866.5311251975677,949.844501617256,838.1317306366343,291.26379201378427,881.7013999851615,171.1221279160767,902.8275048579555,247.8982639893033,765.6096149171174,328.0437325928655,759.5784078140626,463.4200495481577,863.4449810052723,540.8940446692641,883.1861450072116,341.6662038677989,887.6130508684981,462.86529902000825,932.472246590069,542.528096780006,12,2,trajectory,person0,4.032391145476078,18.556312171267884,-1.42569450922169,-4.389037605921864,23.276334934859264,4.596015953837812,9.109476535975356,55.346263428202384,27.23987468960504,-12.627160552722495,-3.6685406194314134,-98.2381227652765,-92.24225182161922,-94.20573226943378,-73.68593964674788,-2.8823747781227067,83.03772541839287,-6.507348365595407,70.07042910222458,-92.36625862776933,-87.85279804563174,-37.01999519956693,-60.61292372712028,123.4691363604714,-67.00051061176181,0.1404766744190561,-38.704086292254125,9.82715295260739,0.039932182896408173,106.28343676275642,33.00067012143547,0.1112888725729875,66.72915164245133,-0.6196344013718059,0.0667320284849234,63.925433439502676,46.17881212260661,0.07886027979587243,236.88770969257274,-62.83231649615813,0.24507894034303723,536.6215525029386,-129.04271157749417,0.5519191172825385,63.83430666957692,-13.086353616621846,0.06516188578429007,94.73494402851827,2.5960505590637135,0.09477050753579251,45.66411933474978,15.298943903753507,0.04815879441170081,72.27236550629549,14.31694235184128,0.0736767918287809,101.74321419613104,6.788814970044463,0.10196945446386041,77.34202944823909,22.303318855538166,0.08049364913546961,-8.493064157876889,24.275930044026996,0.02571872699595191,78.00742525037805,-2.3783515759835283,0.07804367335288813,312.68957699241673,-16.39689404058298,0.313119194068129,-5.473456034820105,-6.68626295180555,0.008640881507450272,63.661697675505806,38.95136798469557,0.07463257210365103,134.24997107752162,-99.00966936799874,0.16681117877011667,-2.545902427810788,-15.870907096750111,0.016073808237179077,100.12995811934003,-13.595997019885559,0.10104879834983455,83.27911521877739,-11.226066421132606,0.08403234852670774,7.568387760822415,97.85890174882427,25.56414939693335,-14.925548246595337,51.12017012396095,177.24345768782666,4.032390495842719
4,0.1346153846153846,807.0729821930349,574.0692085984812,765.2642687650556,576.2241120726443,749.4194438292958,765.828504338513,722.2536509459707,940.1444782157424,776.4019918331427,977.2434677972656,750.1538585920971,981.6203181021664,706.1548843470825,960.0609704098392,845.23493365282,579.5284969095734,900.6189217246375,749.6356233408009,891.0455122421627,929.2156139566108,967.3307117763196,957.116678304106,964.9755110292164,947.7559040023567,873.3786400769682,950.7008055077725,841.8661837478633,291.7475892024803,885.6676677868895,171.2878403487264,907.5398792779984,247.8553544381499,771.1007644354069,329.12218084460034,772.6283717788399,462.764856629559,882.5581872986437,536.7401200303733,886.1451569712026,341.5220004831176,892.4125482292857,460.9838083008029,937.8576427810268,538.9636842888575,12,2,trajectory,person0,4.075358196343186,21.080044603042634,-0.9279973483165612,-4.890433004705074,25.08024387032371,7.802694676332729,10.067786868447977,55.10011200238273,27.137332826779204,-13.739553042241043,-3.95236979216209,-98.8491200337621,-93.0244467100194,-94.7737619661847,-71.94440209639009,-2.3483701894905504,82.97535403328622,-6.089225370291574,70.02280265625167,-89.22195129038104,-86.95685909826578,-34.1218392879983,-59.81952751015839,142.6136358634013,-55.907152799244514,0.15318047809135765,-62.03480637502666,8.898527364796173,0.06266977733524409,163.16558568631777,32.045319480119986,0.16628262342452402,117.8548146799187,4.924026570162687,0.11795763383902565,152.68614863270813,43.05653512219915,0.1586408686342161,259.736849914857,-75.3912503899791,0.27045715342556104,567.9352727173183,-123.43090355561061,0.5811933085893618,87.92492693001675,-4.28490057338708,0.08802927438399455,188.50866543266895,17.42155284834238,0.18931198442479416,52.64779942995942,-2.8238994991366186,0.05272347857642228,110.96660673366142,14.375687892681453,0.1118939149925985,203.46901355932863,25.444458461064865,0.20505379768534676,108.87378289740069,-0.4868312168651649,0.10887487132954074,-24.314348805852358,22.996224472533868,0.03346660869947565,104.76839191297195,-8.968350915952207,0.10515154426912496,387.7703578105251,-19.468589581217532,0.38825877501581924,-5.496015025850594,0.23662008338806279,0.005501106273127078,147.44350089781628,38.65207188744124,0.15242561667317037,160.02320110274553,-105.9139711655544,0.19189891656605992,-9.74330352416987,-16.145558529603345,0.01885765159814308,140.02483990984288,-1.275026662844131,0.1400306448059427,106.14292592980595,-22.730778138457513,0.10854956932074881,1.2767352257654876,74.99090654416386,14.788715638323799,-14.898606135272514,53.60186551094342,177.74911599947092,4.075358067577412
5,0.1682692307692307,811.5359244298627,573.7563406742485,770.022452095032,575.7277334930458,751.5133918583175,765.3543388787839,721.9823183405503,940.435216146759,774.9416280144936,977.8006688098636,747.2953456026129,981.7384876415596,705.3335699270585,959.6708556229656,849.573919981219,578.6900261149254,909.779985689074,747.4028429751023,901.0460600356453,930.7602145965936,976.3450676085553,958.7043737564502,974.1356118742009,949.392510778443,884.2653725834828,952.7998047746692,847.2390715272521,292.4074062793687,891.4777625440435,171.7931250441737,913.7571128973748,248.3143140268187,778.92618763232,330.0661452706003,788.1750081907543,462.5241768203779,902.486071794358,533.7043292727915,889.9988915540324,341.7489246194553,898.020675031831,459.70798874043163,944.7875119157803,535.9827678229237,12,2,trajectory,person0,3.982924541039632,22.431785404114144,-0.8106309981013562,-5.054910623752438,26.879320540118755,11.223205029087154,11.12475849029867,54.05495449904819,27.45660371860708,-14.608702532666085,-3.594824184669961,-99.5537923382014,-92.78578233746728,-95.57086657997516,-70.3539969127696,-2.129956707259264,82.76668254711167,-6.063220281367322,69.86291862044251,-86.01011242380116,-86.10855896258965,-31.955157924752957,-58.6519577746999,166.6414821327749,-37.910066936746105,0.17089925904624778,-84.93867168752892,3.5113234562533857,0.08501121890936669,232.5268607082769,28.04922865828508,0.23421251072299953,172.6428156411443,15.014173807577109,0.17329445232789845,272.18585367953756,48.63060134656252,0.276496065669273,272.21447208611363,-66.34547372361651,0.2801828700986779,592.1428535869424,-90.20635393957569,0.5989744112607475,114.51097046123132,6.7428886226053795,0.11470932352232688,297.1591344349116,45.896704730919105,0.30068265444362274,62.22017000521758,-14.089487946236572,0.06379547966796177,159.65152258755393,19.605993141826527,0.16085087389132083,323.49148019357784,62.37026393064213,0.3294492185157068,141.3860189478723,-14.749534936641165,0.14215328042213904,-43.393667754145156,16.556830088627535,0.04644501075186461,132.6131407514534,-9.296646891488809,0.13293860516565462,461.9571962397412,-7.151628615667948,0.462012550640715,-8.062454561064786,8.639069950205391,0.011816797499905638,267.85514472928816,47.17723629822992,0.27197806930465357,205.91611143267804,-88.57580355917568,0.2241586891550465,-24.40477133785538,-11.59198223852876,0.027017899923409548,184.7406561186142,13.637656349015476,0.18524334183400468,128.92987947242827,-24.91456075525308,0.13131507589915972,-2.7466000433056053,40.1660123746964,3.4874572635375274,-4.887334965978806,53.45827818819574,178.33754912708685,3.9829257582262443
6,0.2019230769230769,816.9372039752969,573.74137773081,775.92363849554,575.1587774141502,754.3022907132097,764.8325674577877,721.4196890728666,940.8536897993572,772.6734680209477,978.0301943325115,743.6863712280958,981.5573507391672,703.726006711161,959.3875723906716,854.6933481224843,578.2031750346698,919.0322815926107,746.2351379448127,914.3499074790697,933.5809954061384,989.7475479200501,961.0154080678424,987.4209021410655,951.684235014691,898.7870921115558,956.5225496829668,854.4432256482371,293.439784818073,899.149988220465,172.796105021053,921.4979395449604,249.4056870918266,789.2618214282455,330.8627411828171,805.6558983221345,463.19290982119736,922.7267466713356,533.0296502193773,894.9073578437788,342.4461969578801,904.6843099452876,459.386566171803,953.9046277146264,534.7756059403806,12,2,trajectory,person0,4.059252532119084,22.49757275034864,-1.039157454873439,-4.61118775421929,28.570173590225895,14.562486070501572,12.333887053074848,52.37530809803778,28.136746953778015,-15.172420662598064,-2.5865594202272657,-100.56123410614886,-91.5515320565022,-96.50197789190652,-69.05395927480701,-2.2472803882234293,82.37586713496711,-6.5243964999802175,69.67051807253638,-83.06164679453131,-85.29024581195804,-30.686338696493525,-57.15350286467798,198.00515171413758,-9.550842039249941,0.1982353618530189,-107.23809569993732,-5.382353671088723,0.10737308275536099,307.11597565035737,23.670278534442414,0.3080267919931138,227.97470581366898,29.80283359869877,0.22991449580515935,394.76291078683795,68.09694873422667,0.4005932477711137,274.9253639908047,-34.69752090003447,0.277106249879148,601.4371963444752,-20.047606158590902,0.6017712253501266,145.85156975246076,20.718949484623035,0.14731583508572083,395.31432403318126,83.8174869121862,0.40410244480587537,82.87013740250758,-15.504065081029523,0.08430798127785581,214.06629388069572,30.676390864356414,0.21625313669928387,431.50252311988334,110.6187058465572,0.44545586261939873,175.34953875795065,-16.906123487180864,0.17616264573963983,-67.39675409393533,6.820186958683082,0.06774095816084816,160.4951636357599,-0.444613176455023,0.16049577948141197,519.4321639038684,19.870923452921904,0.5198121069162656,-16.718126811172468,12.43464567720612,0.02083545481126113,398.24512925584895,68.67073382422302,0.40412232388221897,270.9085837371378,-35.869953081280826,0.2732729666039345,-47.767592700957536,-8.417558902449825,0.048503589664279326,230.0131346711139,32.42937107452025,0.23228798124208,152.120150483312,-14.466432099026536,0.15280647185489635,2.268031734932281,1.9548240023963839,-6.790500429799023,13.184908123270661,50.24249063175496,178.87784502687362,4.059256214242339
7,0.235576923076923,823.2645834645189,574.3329770870389,783.0866412671281,574.9467076727317,758.4080795819676,764.6381216924615,720.3726648653849,941.072275677758,769.5283038340742,977.9586813792896,739.5467438036429,981.096734967648,701.2868345761588,958.8637268805163,860.6910394454854,578.4506755176288,928.2993773265288,746.587480889004,929.6615613551165,937.6965022452964,1006.467798805255,964.5254199060415,1003.6712287823028,955.1440863706976,915.3562703041553,961.7890486294019,863.5122600789146,295.0368221734815,908.6323622362455,174.4349806673025,930.747197039674,251.29466427895147,801.9435733835143,331.6685711784566,824.0899981421103,465.08155183944723,942.5375078660742,535.9372645537106,901.0689606750497,343.72514419232317,912.689838258816,460.4071861925976,965.370800308835,536.5655746948861,12,2,trajectory,person0,4.754470005201404,21.604725450693888,-1.5539628731882345,-3.5630385283816013,30.098066662668913,17.47532568449213,13.722579452662073,50.23551593611692,28.85957397385816,-15.734918716488709,-1.2566741313656329,-102.1718824646005,-89.71021732160698,-97.41740521279812,-68.10549183398265,-2.6721409855112026,81.79644150334843,-7.4499182747239665,69.48995212337523,-80.72823281215942,-84.48097904398949,-30.492716876042504,-55.621410032882736,237.87855560198747,30.326994903609855,0.23980394874807925,-123.00607204088465,-13.686868639425422,0.12376519758025756,376.8292009565585,23.944662727573625,0.377589186241735,281.7619707546229,48.69801920284268,0.28593933838807384,482.866848768194,102.80701172133831,0.4936898573987492,275.36513037927944,10.469618913115822,0.27556409045625563,588.6626183579472,86.39768307733209,0.5949691066712333,183.08762698633487,38.00300353773809,0.186990126566556,454.9748580311099,122.28934607783995,0.47112291984637544,122.00058352880964,-5.777817026836689,0.12213732251431444,269.47988022584695,47.45482427499563,0.27362632584147956,492.3412948658116,156.49025440835936,0.5166131534861816,212.84351092718967,-6.301500887864579,0.21293677244020692,-93.45630726709831,-2.1249563243091263,0.09348046216928173,188.0135619654546,17.578952299372407,0.18883357499894304,547.7561089364245,56.119648542281126,0.5506234374140656,-31.111576450885035,6.495123243907549,0.03178233495533034,496.83031201751805,104.29749462077679,0.5076596559936541,340.70912851362993,53.18764299101869,0.34483566465703236,-72.47825772578042,-15.565695158899604,0.0741308890324704,274.8350798429193,56.129607845996695,0.2805082066343322,178.21711359774724,7.354300065069618,0.17836879017518573,20.657890628731845,-26.53031976116978,-15.297075287068235,31.14500556774852,45.40025129544975,179.21384671614655,4.754477251802385
8,0.2692307692307692,830.5660596586407,575.7372269755414,791.7239936458787,575.4372834082767,764.532809109984,765.126932473126,718.9078783570461,940.6991484470736,765.7270399177639,977.7440678996007,735.5682021999769,980.490280085224,698.5713942313736,957.5248602371526,867.7909712870164,579.6564266433971,937.8234900777672,748.4532004013499,945.0178506298178,942.7976969102122,1024.1689606468851,969.5188191418066,1020.6087483817214,960.0565744616262,931.5833226999431,968.080272399593,874.3622007439269,297.3653254465528,919.8323226812277,176.8298057680169,941.5350236735645,254.1341328918325,816.546316121469,332.80716813395327,842.3668811615955,468.3757779648455,960.9294378269973,543.2711732821267,908.6286576158822,345.68154381258694,922.2013089560176,463.0631150622971,978.5280269510628,542.2120241125137,12,2,trajectory,person0,6.465911458205726,20.458989988431213,-2.2246162764063,-2.302417262857438,31.4667257618769,19.66460069707856,15.26913875259776,47.76494338648849,29.07453995288971,-16.937097036408392,-0.1500911801431977,-104.6346831752274,-87.93619891288638,-98.1687605721996,-67.47720889813696,-3.3140828729762632,81.05606533998613,-8.660217303119467,69.33188560506261,-79.27933396293528,-83.6747959074161,-31.514390576446814,-54.60025998995198,282.6265578597039,78.91902927107094,0.29343821221632455,-118.21952193750563,-18.02037364917193,0.1195850711150357,433.9100699277958,33.83259524904394,0.4352270594598069,332.7988246508948,71.16051727837055,0.3403217255896871,503.2862966684367,145.9710747018778,0.5240273380882441,283.00220746536996,55.438522652561396,0.28838113534725335,546.5030616959992,217.9218593586495,0.5883498391513609,224.63099481331054,58.133017287836324,0.2320313158386286,456.3011670196926,151.57835575749667,0.4808188359015063,181.99196311819966,14.524663196889131,0.18257064517769336,322.39823690322265,69.18981154269065,0.3297390683246672,482.17527118912574,186.9392205999634,0.5171453029321921,256.65275639716094,14.577107570480173,0.25706639109650603,-112.9518420846488,-6.377086253612252,0.1131317190685329,216.95814976819025,41.72628240121758,0.2209342015032137,543.0845240075611,97.88557629754803,0.5518354702840532,-43.525084819206995,-11.08720914033611,0.04491502215340337,525.9773804370064,148.37529157701763,0.5465047409510191,390.9575916547662,167.78021126665152,0.4254386415985002,-80.68737024504287,-39.78346597423856,0.08996208024486776,320.55256283560425,84.37278163989343,0.331470529341791,210.96940329120685,35.8280334513997,0.21399003973559727,50.854260317842595,-34.04471087866225,-19.927986838479626,37.458460461289334,40.668727519323,179.22482591218574,6.465922603027792
9,0.3028846153846153,839.0059315908582,578.0074445225631,802.1238068173234,576.8370168127816,773.3575661953511,766.5388102824265,717.6043811023237,939.3770666263026,761.946961756508,977.6199275859469,733.1973815983466,979.867081249974,696.9993056436685,954.7581744182648,876.3306844408594,581.8744118470607,948.0008261627996,751.4620836424634,958.4005947585648,948.3040695808204,1040.0317764454858,975.786607321607,1035.5172988495572,966.2015383742848,945.1698866975385,974.5728715289408,886.8753838444486,300.48144068615113,932.6582792362826,180.02998898250618,953.9087021917139,257.92398455232393,832.6342782693969,334.69824339299896,859.55030661651,473.2416063991516,976.5193738525838,555.1853303180434,917.6009639418984,348.3358829112622,932.9756350777539,467.437804796133,991.8309674750584,551.8444197666726,12,2,trajectory,person0,9.383702271722054,19.852412781103663,-2.8474274823036123,-1.563503367573692,32.68705567621292,20.90475061531072,16.824521521975605,45.031460073133,28.278127516086176,-19.582115122035407,0.2113189617845014,-108.01861565841088,-86.95335739762638,-98.63490008317112,-67.10094463311479,-4.043915168550439,80.21199969067227,-9.803647880504414,69.18635166345943,-78.88324969401698,-82.9634787873521,-33.85178962088401,-54.685350422580655,320.15140476016296,129.9907806625534,0.3455351284994997,-70.44724073415752,-18.51790824742777,0.07284041908800701,478.0423038241427,56.19195055450072,0.4813335429331862,381.1141376359216,95.09115837339601,0.39279805792132744,442.99692818711816,182.5932134047136,0.4791519174173072,302.4122722409619,89.40681630737546,0.3153518054556885,463.2438133317158,354.02066621009675,0.5830312707685157,266.605673687339,78.8717903606375,0.27802759675430105,397.65868268276756,163.6179307837857,0.4300037850844591,262.22135339376626,41.95294061921557,0.26555618501977674,371.8202978440753,92.59313854806442,0.38317596896861617,403.7150444999748,192.92294555776184,0.4474428455996361,309.0230199514994,41.592078305286535,0.31180944154675283,-112.32232250589033,-3.6887407485706567,0.11238287654899835,250.784765985889,67.45789282578852,0.2596989914402686,510.5932135174628,144.58461633366747,0.5306695214259466,-38.73248985461008,-39.2847169600521,0.05516787794513106,471.3522408727079,186.2428487712137,0.5068129178445834,395.28737557015603,286.21975658071744,0.488030591604939,-46.713489463236705,-82.21009290409259,0.0945550076576141,367.6750188250118,112.61273505460164,0.38453419557231927,253.75147657133363,65.90584605172076,0.26217054069045437,86.7000698873425,-18.02400844630439,-18.506390118091595,21.95629860271707,36.26123174027037,178.8468997738434,9.383715575239762
