Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,Nose_vel_X,Nose_vel_Y,Nose_velocity,Head_vel_X,Head_vel_Y,Head_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,right_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,974.0905212042184,564.9750548643307,975.535348876686,563.5180972599492,994.4942183265986,672.8938724925652,969.7070687552815,777.9027915999137,1004.7139597926871,796.8629985590228,995.9562186807784,799.7897180643854,959.4973034913345,792.4961834466762,975.5442445036804,563.5206556153805,990.1110967412728,671.4382182804884,971.1489987134579,770.6129172037248,1006.1649747677463,791.0471092224594,1003.2517992982786,788.1316834001277,958.0155786427605,785.206917169216,998.8740210563212,423.50449502419156,1014.9242786425367,354.9652876167335,1026.5869539295652,391.4259659827492,1000.3226363390705,433.7100413388381,1070.295797682427,442.43313073410576,1135.8789400879236,426.38836307270986,985.7424343814993,433.7150856937574,1054.2174862393204,448.2800654130378,1124.179150903888,432.2289520049758,5,4,baseline,person0,23.11648151730856,18.51266709747596,3.909790038205292,7.763640193390744,17.6253990388682,19.771404457584843,92.78593286424515,87.87500387191763,20.843107830372947,24.927186602537105,-5.5180643984439355,-6.914105554282016,-103.28170458182028,-100.8238955807043,-80.1652230797599,-82.31122849847657,-26.66978537786864,80.06337252799626,-7.249888362844251,76.81874229655568,-7.150694656128555,-12.061624392948753,13.692413169379254,12.865562162814134,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.22859560775618,23.11648150206038
1,0.0335456475583864,971.359787878446,567.9177116315725,971.750950233665,566.2487341614348,1000.6375421776801,671.8193733396147,969.9812433652484,775.3160348266632,1005.9812142249316,793.963042729187,997.3496277436856,796.939314902788,959.0600062968516,789.6415985658534,971.7419649288847,565.7940663125662,994.9804497384413,670.7447492057393,971.29803890141,768.1355011960791,1007.5096569251551,788.3019388162381,1003.172890259374,785.3257821251232,957.3142148010636,782.7361482888894,999.2602651359233,427.23486925205526,1017.0683393626945,359.0366961932241,1028.9625446422835,395.93345061514754,1000.8714534240639,437.8854430834645,1068.5433512651339,455.7588888389279,1136.1905765318484,450.0839119248856,986.1251927418608,437.4701708206834,1040.6331747426132,461.6730660799805,1103.1247378998398,454.7652940080362,5,4,baseline,person0,31.84670589564056,26.270183247037284,7.372929067835388,11.177856042993929,23.791022231234063,26.586484753911776,86.51265009487017,71.25163203707996,19.987363423569253,31.35075712660995,-5.29796103291739,-6.321827881867159,-106.47581706589853,-103.69475693997296,-74.62911117780844,-77.42457370048619,-15.174546543059224,78.78440419844121,-7.425006144196522,75.34575772641561,-14.702945826157862,-29.963969022798228,5.284417589742843,0.571181317755883,70.81665985382469,134.36868745946856,0.15188793066742545,63.91472146799265,121.36920503335837,0.13716987843823608,-13.035884721608177,-85.09553663718594,0.08608823755917944,-20.90774490121575,-73.6539330780905,0.07656393181339466,-52.24064952816798,397.24253590957085,0.4006628480393354,183.13326163667062,-32.030955762003536,0.1859133498291951,16.36030677417142,124.46925453917895,0.12553985408341017,9.289921841044155,706.3673107199223,0.7064283971511253,-112.81340258626038,81.40063168352532,0.1391147966305763,4.442906868696652,-73.85208478488215,0.07398560568460148,40.085145325287485,-81.83387729938342,0.09112410410862737,-404.95004524994073,399.2470451981025,0.5686675146756185,-627.6347167662473,671.811207812751,0.9193778530251177,41.53770054615744,-84.97087905774377,0.09458028787494763,-2.3522884382325904,-83.64427218526298,0.08367734179752008,37.77701503716241,-86.44805037041898,0.09434176316968267,8.173179828757597,-77.11154684816327,0.07754348151733768,145.15602921938708,-20.672400899169464,0.14662067036293192,11.513984904593736,111.20292793188655,0.11179741959905679,11.410075172805035,111.93956296089586,0.11251957861334813,-81.40350610371975,87.72097071967688,0.11967246763554577,-113.34643542586946,67.77066065661094,0.13206164041683077,260.2490938097705,231.2525383824928,103.23661284530228,101.77820665589245,183.7980078230584,203.15840630189788,153.41351537624965,31.846705888090085
2,0.0670912951167728,968.9405700909064,571.5305315348467,968.3822999893148,569.658306152051,1006.5203985152702,671.4804699061738,970.2743392789561,773.5906931402574,1007.4488022936372,791.9113831452296,998.8703233552983,794.9707225409078,958.6863111899941,787.6151993776082,968.765658629081,568.867117232104,1000.0298542176762,670.7685168021808,971.5089279447566,766.3713164110359,1008.9198006552391,786.5904559489985,1003.4457111141024,783.475072313513,956.6460981494654,780.9051624878797,999.668510312342,431.32317837385233,1019.0279142968226,363.7722853114274,1031.17145261892,400.68205211482586,1001.0691028299317,442.5459157943609,1065.901778210362,469.5190717893542,1135.0166785056606,474.046556470018,986.6862388816592,441.7693893530424,1028.545584355038,474.9641398122575,1083.2749914984581,477.2496009939223,5,4,baseline,person0,40.08818009494269,33.796027240575924,10.502439844633113,14.415566198823196,29.51883018121859,32.94191209949579,79.9933162099921,56.16317456839475,19.4039343609895,36.12517974895183,-5.084419003575512,-6.1284744166075065,-109.4999851989345,-106.63091426284494,-69.41180508795958,-72.83488700623683,-3.6475953780787425,77.64628301465378,-7.163789127086153,73.965346107935,-22.360400988970127,-46.19055505569592,-2.956466637427911,-11.364115174199751,65.84782639213306,141.5564117942098,0.15612224044197032,58.41517683381953,141.16851105530156,0.1527772280089451,-11.139898438602714,-60.40721630781938,0.06142580173902546,-19.91664195586923,-54.581918498454044,0.05810213811702776,-78.74562713908858,410.1927955475184,0.41768289803703557,175.3686920889206,-10.102754250045207,0.17565945408208306,5.891953807829773,138.92928144507698,0.1390541634131068,-34.99404875534296,714.329467136541,0.7151861093924196,-100.41989019550223,101.63977263166018,0.1428803615879114,6.286629076979297,-52.59057175666919,0.05296498789620265,42.03656309300945,-51.019520915815065,0.06610646073684368,-360.3325995283504,396.20859037357417,0.5355565603824429,-591.723452851319,670.2600373640716,0.8940834202363748,45.33212867528732,-58.68398749655486,0.07415397682342205,8.132824213740854,-55.16989375116407,0.055766118801709175,43.748986098756056,-61.160231901517214,0.07519672699603697,8.73722628837304,-51.43265406943912,0.05216950285215328,150.5233866911183,0.7085150584780787,0.1505250541755492,12.169840385648977,121.87301242825326,0.12247912545960371,16.7248564458875,128.16024865449887,0.12924693481208183,-72.11718847665574,107.69861863557972,0.12961435618707337,-88.72406754478186,91.60803690520586,0.12753035947301558,245.67938910577885,224.34636208586716,93.29111239694487,96.5165495819991,170.74668002801982,189.4560936563336,147.05808810261334,40.08818011097492
3,0.1006369426751592,967.0801872226095,576.3394181309114,965.8439391359234,574.3097557666208,1011.9039114861346,672.5253831505563,970.6071995767568,773.4495861768157,1009.085348459273,791.4477091643574,1000.4941989627976,794.6321297079393,958.4202323331408,787.1187948829224,967.1380296758888,573.3342915680632,1005.2801102004054,672.1528437279031,971.803488271338,765.9897467021567,1010.4617569573171,786.7174658508674,1004.2181808844737,783.3275961032313,956.0852455822592,780.2933930003326,1000.1278073638902,436.1426377221445,1020.6682757393199,369.60469536760223,1033.097408420592,405.9496729670468,1000.7275535655458,448.09315067325423,1061.7075628157725,484.03209634981556,1131.084981590086,498.36565646133965,987.665251639379,447.0605629483891,1020.5513471378698,488.04835541998693,1068.3953081906225,499.49289197610943,5,4,baseline,person0,47.37276008075161,40.83273173837393,13.064593419378998,17.28257992011197,34.46027701739455,38.41882530270697,73.02702174784591,45.06577693839115,19.29887784573697,37.375517777285566,-4.923449731726146,-6.559956162045998,-112.20602966650196,-109.62454960943673,-64.83326952306892,-68.79181780838138,6.670248829294269,76.74790541851911,-6.3930543866798475,72.79136741869488,-30.225073135692124,-58.186339899590465,-10.926195297536289,-22.122977727220015,57.412986239715536,157.0284443921557,0.16719504579138134,48.89938224153497,173.86488205432468,0.1806104836253089,-7.931844403663577,-14.797880822592324,0.01678962276180066,-16.719086022415134,-18.23692586295298,0.024740923635866153,-125.03009182605496,432.6350992390705,0.450339486338509,160.48320311880494,31.148996082544777,0.16347818949395662,-10.18162680542774,165.36377392143967,0.1656769243133938,-117.20438273642942,724.9554491083876,0.7343686203294443,-75.66885835109899,138.66030180141829,0.1579634622937187,8.780880621507999,-11.374641321650557,0.01436963220424848,45.96591254928677,3.7861812519137428,0.04612158155311917,-238.3092233725454,390.0421234962382,0.45708220709832986,-443.5652429107929,663.075319785452,0.7977587382329888,48.407937413429266,-10.09349521064487,0.049449034876221765,23.027421635750997,-4.396284496374335,0.023443324520291794,48.78564835534568,-13.822180062706382,0.05070593798695889,9.922607611655998,-4.206416441838534,0.010777387489417976,156.51079543452275,41.2669608870422,0.16185978854675334,13.691703245516871,143.66869323073584,0.1443196319022141,29.18449423329375,157.73055464609467,0.1604078008471465,-55.45824879543044,143.35351814851134,0.15370702171667835,-48.519825123642086,133.1670324200536,0.14173084333902913,217.15425147569627,209.76505180144693,76.37812238641216,85.46604194474766,147.305155686005,163.2674758678777,141.58117494158802,47.37276014343304
4,0.1341825902335456,965.9213208454372,582.5666905026814,964.450084748364,580.4647642427483,1016.586772771688,675.385049626532,970.9917124254243,775.3398713465102,1010.641769210444,793.0996652183787,1002.0548000059147,796.4140159948355,958.2708487568694,788.5978870756508,966.9421427484132,579.3965603479719,1010.5380620717406,675.2950828302733,972.1723588912854,767.4953151890115,1012.1695626172234,789.0709994900287,1005.464474534248,785.2783923418801,955.7354806150258,781.343955829542,1000.6468283877421,441.96711877541986,1021.89435571812,376.5895225673354,1034.678257908357,412.00421432052445,999.8962329287258,454.7726356391477,1055.7207121100428,499.4267338059334,1123.7311021249668,522.8415451666652,989.3041110919517,453.5940411626221,1019.0003749602936,500.88816550818325,1062.687351143327,521.1146500271955,5,4,baseline,person0,53.3095718085356,47.08363862151728,14.98772842536695,19.560217933038757,38.39544247182334,42.68791070402616,65.51454503059087,40.0481777853713,19.826786820189657,34.22095883757078,-4.924989003087029,-7.564013531263628,-114.48520698511952,-112.55174203030404,-61.17563504186683,-65.46810327406968,14.361513629553729,76.13645444091657,-4.843444078902424,71.95616544435363,-38.34900084736107,-63.81539878134875,-18.52221402527657,-30.590053050219876,47.12532333780283,180.48664414480885,0.18653746222769124,36.54959936802464,208.2185829793886,0.21140210857961575,-4.453143317962902,44.09192549209193,0.04431623155245157,-10.426537947273523,31.317410921367202,0.033007467645726846,-178.4687773670053,458.9160912551575,0.4923972819865943,139.59668768959818,85.24701963193348,0.16356738541052268,-24.78177341406487,199.11629233771112,0.200652520960647,-219.22007772602603,729.6293405195161,0.7618506527037625,-41.55097573040837,183.48158178835752,0.18812754832747572,10.99607987311531,44.88118717143084,0.0462086002221766,50.909902899736906,70.15913569905052,0.08668403852670009,-46.23467693913745,382.75636402154953,0.3855386874888996,-170.15492210608875,644.547344434275,0.6666288148094149,46.52171463975544,53.11825576760312,0.07061033230919775,37.15217145846339,58.153482810356806,0.06900805320434367,46.3970996076897,49.24501907873452,0.06765916609056608,11.46237669129318,56.34964018519601,0.05750363491479611,156.74021084802905,93.67054539343796,0.18259700099122309,15.472082419889787,173.62851747422178,0.17431651503717024,48.854607731752346,194.76381258884467,0.20079769767297134,-34.545953395453644,185.63577766478963,0.18882283983991996,-5.839414103862147,180.71699970487265,0.18081131806224776,176.97710910039626,186.34032544053926,57.32889796331176,67.89667747395677,117.30778031873155,127.26197620388221,137.3120894827834,53.309571943252685
5,0.167728237791932,965.5041256562657,590.0652551017989,964.286867802172,587.9670257600598,1020.4225664183019,680.2000805755782,971.3968362009317,779.3567682060574,1011.8294531644163,797.0801346934506,1003.3384539666623,800.4312054286304,958.1845738567358,792.1516680566168,967.8871343191488,586.8195259252182,1015.423324735091,680.2768032914996,972.6305537405076,771.143831037293,1013.991690076959,793.5784822958278,1007.0763238054301,789.3581175703733,955.7337311844226,784.3539863965368,1001.1920166252763,448.8338697243282,1022.677597050736,384.4609383913779,1035.9005026049133,418.98146408327244,998.8287796340968,462.6176158213388,1048.0887056599495,515.5809172032342,1112.9904140952108,547.0910943660622,991.6433333296656,461.3457067892399,1023.1991427716878,513.6277130055117,1065.6839720567564,541.8186401632262,5,4,baseline,person0,57.66804941410172,52.1825008107738,16.367075566601027,21.063419004780695,41.19614332123596,45.55058933348469,57.44043777853263,40.37909234663013,21.00133033868481,27.968539538738167,-5.231599650605835,-8.796840461707031,-116.2950187555195,-115.16391616444032,-58.626969120251985,-62.98141513250072,19.942044111586632,75.82244147171097,-2.231788983354172,71.52896745814286,-46.73712090092673,-63.79849812102983,-25.73579053863032,-36.42626476562436,36.43526911886506,207.9926986236886,0.21115987193718572,23.348523269758175,234.64790209645668,0.23580668246923528,-2.5718656938553384,105.93866088829138,0.10596987479445102,-0.05215074772709871,89.72939221864523,0.0897294073736585,-227.51107835404446,481.5582519068781,0.5325970716718488,114.34549414906343,143.5366820886566,0.1835147708965509,-31.820917833560223,233.85985226658275,0.2360148328260707,-320.18126974779057,722.8821311972122,0.7906166081619656,-4.865517826357506,223.64336548441193,0.22369628559480567,13.658846454660592,108.76271927472126,0.10961702965554129,54.317850223765134,134.36863300831666,0.1449322544827585,125.16579994725649,379.76752349630925,0.39986228801795803,89.32964874843154,617.1885667133217,0.6236196862088004,38.26588705773206,119.75292552641824,0.12571810245327034,48.04943080549099,121.6171254822974,0.13076495329907223,35.40500900765814,118.65829890878932,0.12382772937738924,12.076791029365802,119.74420385105907,0.12035166487211948,145.6302983821553,148.50571754668448,0.20799550944895714,16.252130372065132,204.69871499593788,0.20534287341570637,69.73251101033476,231.07813355297466,0.24137051787269473,-12.43664139871983,223.53315988508723,0.22387885924645123,28.170318342813697,221.2795434736051,0.22306546840652533,129.92676912795216,151.99772728733052,41.118512881091824,44.810614227243846,83.48924684008512,85.33681230854224,134.44941059196296,57.66804963526751
6,0.2012738853503184,965.780785464854,598.3699505062841,965.1923350441596,596.2795688660792,1023.3365721204195,686.7806580131735,971.7199291052696,785.238188001669,1012.4640175013803,803.170305791694,1004.1175447176589,806.3500546044617,958.0393881631288,797.5169262548696,969.474377331849,595.0403668480994,1019.4873153861602,686.8850701556673,973.214493980574,776.8756432381391,1015.7562392226802,799.7903250816189,1008.788420844328,795.2618221720463,956.210447118664,789.3818537169839,1001.7012835793968,456.4548537119221,1023.0897788661184,392.7857802898762,1036.8021576904416,426.7131927693661,997.871033185893,471.3734772926236,1039.235242331695,532.0149298894909,1099.4082037367284,570.6065957190582,994.3697615668076,469.9385227583934,1029.4168335804345,526.402790586285,1071.896128718698,561.5172073859461,5,4,baseline,person0,60.42627356419136,55.77422461957671,17.36986380738227,21.770975707557803,42.80895335079975,46.962060362916915,48.889321301163754,42.72290367399729,22.549994196002913,21.15400179255152,-5.900017055576777,-9.802186983364573,-117.67099292170052,-117.17205098920304,-57.24471907148536,-61.39782608360253,25.836178383958774,75.79321990663358,1.061764529672936,71.43795719214523,-55.31745843831896,-61.48388973918584,-32.767464181529576,-40.600463316927765,26.878452233153993,230.4838108322862,0.2320457675766206,12.287192091462215,248.16459077168997,0.24846858795906748,-4.328003904360489,159.93902603652467,0.15999757394194536,14.210962343524308,149.88136126142706,0.15055355825853958,-263.92286250682514,489.8999984320816,0.5564685847534883,86.8668788416048,196.16784639919916,0.21454062226203652,-28.550542854682575,261.013338795894,0.26257017448041814,-404.8874100534942,701.0000719785506,0.8095275880004088,26.992093099756637,247.797962211087,0.24926372212151776,17.407332472867612,170.86604725306944,0.17175046237989902,52.601433394600846,185.17581975364348,0.19250193509832697,185.3501500582113,380.82667978128137,0.4235370564187224,185.1851764414281,587.2167823988021,0.6157248566563193,23.224793906290476,176.4416431529424,0.17796360439848347,51.037829450692485,175.9901814802521,0.18324138182323893,18.916443209498603,181.54877134636948,0.18253160877249328,9.631440376147353,175.3258685907012,0.17559021852256776,121.14807573756637,196.993271710316,0.23126436248166188,15.18131236650225,227.18249735169226,0.22768917266335037,81.27517086670069,256.15293173868855,0.26873774918633336,8.247263914245098,247.56402123497014,0.24770135641958033,47.31591512543304,245.06430852386768,0.2495902865426429,82.22301105646963,107.06974138899798,29.893244392909203,21.092354873925185,48.07807113446487,42.07613005459364,133.03793897811894,60.42627385021515
7,0.2348195329087049,966.6546630936688,606.8607386117683,966.8852101707632,604.6901698528827,1025.3188944618234,694.5884110505957,971.8120937824244,792.3953820395554,1012.4744861113269,810.6848499287362,1004.1457297015886,813.4440893805642,957.7236105043786,804.1157229067252,971.2017132481716,603.3697260017603,1022.41416014507,694.5993956236337,973.9366340825296,784.2172774143507,1017.214721992561,806.9738348200442,1010.2294898516353,802.3147550950557,957.2286696937476,796.0252459022784,1002.1172840044969,464.2569330773893,1023.321708845796,401.0974704775006,1037.4771433197873,434.70107603618357,997.320232350522,480.48994708683927,1029.7521612710657,547.8455512321332,1083.65033348548,592.6358724272028,996.8597395331832,478.67022990144295,1033.7901888101549,539.0451545574136,1075.6169886185949,580.0993070901496,5,4,baseline,person0,61.74095579049724,57.720100311791704,18.0930231297074,21.87536231221977,43.296334925262336,47.015452977342335,40.07397705807951,43.88268344116669,23.885070473472613,15.711108333260748,-6.822634482437609,-10.303236215082087,-118.69799699113148,-118.39625956450595,-56.957040944448586,-60.67615899652859,34.376478620686214,76.02750443424543,3.2298902533562495,71.4531577655064,-63.89851716162284,-60.089771632786984,-40.013446577040824,-44.44176934268164,20.121407052015932,238.11981130829287,0.23896844050888796,6.913862052413946,247.77253660576474,0.2478689802789668,-9.413371979200114,196.71096348252672,0.19693606761140214,30.353343852177403,198.0403619793491,0.20035296467963765,-282.69184680737095,471.9128261002867,0.5501058040861971,59.09327992413002,232.75010636872472,0.24013460339327244,-16.41944262403292,271.7631185490879,0.27225868342370557,-469.7441068568347,656.6955271858309,0.8074085343570514,50.464821812045535,250.72108004964693,0.25574940512498356,21.52708784943566,218.855044113652,0.21991122264510715,43.47755598821564,214.14133460749113,0.21851043238753134,130.3702729872304,376.8704702785799,0.3987828474831421,110.91930461084706,553.9347443468259,0.5649307861410434,0.840197938662249,211.47407465470025,0.2114757437240448,42.95844952162675,210.24882321122755,0.21459262812829374,0.3120705876447076,224.00951193334345,0.2240097293080513,2.7474406923988863,213.35686024332176,0.2133745491928374,87.24961274978283,229.96501869696786,0.24596016903003592,12.40102533051708,232.5809734895589,0.2329113450620193,74.22655836474149,260.29329521369334,0.2706698754938888,26.05040273238887,253.11146820778475,0.2544484993487289,51.49210231569168,248.29925071988913,0.2535822440727032,39.19084358164978,58.0068006983077,21.557470937666828,3.111777898467531,14.528906428599921,1.5916405945805407,132.984545378694,61.74095604668289
8,0.2683651804670913,968.0274712076891,614.8923489510665,969.0697504417868,612.5194028821744,1026.4243652966545,702.7580950646624,971.5766962237752,799.9273132300699,1011.8738541270008,818.5626035840755,1003.2861418751675,820.7260382645908,957.2439591805816,811.099070925837,972.762021685902,611.1493307922158,1024.1432223522997,702.5790443532619,974.7795165974625,792.2294982212054,1018.178343829498,814.1774312667798,1011.2295875560835,809.4982201360756,958.764985903758,803.3489433286395,1002.4298997480814,471.541868328222,1023.676957301267,408.9238452661125,1038.0578518024677,442.2773684580088,997.2870051143739,489.1944431632224,1020.2133996521641,561.8679332413678,1066.2166569010951,612.0927083431245,998.4775980270219,486.69958707544083,1034.265618733743,551.0179209344866,1073.999662896484,597.1584718647301,5,4,baseline,person0,61.90664396460445,58.18590370167876,18.5351848948932,21.67464906457803,42.84729155012012,45.94772980470683,31.30059401599564,42.401264669977046,24.292620155716403,12.365648193107658,-7.789101355320756,-10.308263548945307,-119.4637505797822,-118.84344857144322,-57.55710659872576,-60.65754485331248,45.85699591498589,76.4951606410211,1.051382229627856,71.2578866344617,-72.20424247325667,-61.10343030691634,-47.911622157149864,-48.698217336660946,17.31099337610338,225.85023611896725,0.22651269202113322,10.590001425748508,233.3052231288728,0.23354544583316217,-14.29846667774645,208.1744884178305,0.20866495579603223,45.79778069081577,218.32034733013083,0.22307220977646008,-284.35169129763483,418.00898268035,0.5055565190414288,32.95422551933023,243.53931459654544,0.2457587816004425,-0.990508115556539,259.4821298719275,0.25948402037350743,-519.7001057750144,580.0107415442459,0.7787815227965205,65.12142200329697,233.39042764534204,0.2423053679145535,25.12643446413624,238.84531645750104,0.24016332547365418,28.725688936542692,214.74012192483727,0.21665291405649958,14.172626203163254,356.9096812405942,0.35719096278707435,-48.21268450089846,508.5358613181901,0.5108161951166159,-25.624421914196763,217.07581799851653,0.2185829859759488,29.81303916424697,214.1400021721775,0.21620536032788157,-17.904915482127304,234.836833649674,0.23551841634366255,-7.017231020492231,224.52782219824996,0.2246374511791921,51.543563266150635,237.8743387123376,0.24339461771371113,9.319114887865041,217.16484197102488,0.2173647038748321,48.22856649354831,239.35615373120123,0.24416667044258325,40.92358365212734,239.42332087402002,0.2428955871918562,46.51299203613929,231.9110035635778,0.23652943157674852,4.939185443322522,13.88565801498759,13.180898190032332,-5.98328731894049,-13.386039853923066,-31.82896293109634,134.05226723974687,61.90664398105644
9,0.3019108280254777,969.8196284587272,621.8105845875936,971.4169106571792,619.1959095745665,1026.8008172774137,710.2242503507767,971.0555494512424,806.7368002797473,1010.7961938220411,825.6090402588635,1001.6641246106128,827.1573981085461,956.7361916726865,817.4637641335054,974.1380886588452,617.8058479119687,1024.81985467409,709.7896477067487,975.6925895813172,799.6951188833596,1018.6435969542591,820.4249282283258,1011.9318265622486,815.7389049549816,960.6392932338964,810.1904740456108,1002.7090848051544,477.6493252827693,1024.469139330407,415.7445190452404,1038.678901553381,448.7789244856938,997.6235430492741,496.6140386197148,1010.9624739699846,572.773091188511,1047.4596211484322,627.7051909206465,998.9821910334574,493.269596583095,1030.5024843790331,561.5052865820402,1066.584828304327,611.9031839681248,5,4,baseline,person0,61.33786843478428,57.51364779354735,18.694820842166067,21.424452567338644,41.709039207542624,44.16653800717532,22.870815014574863,38.18182115259312,23.25566804828364,10.988499188277284,-8.607571387367518,-9.970481416614255,-120.03202392144443,-118.66530207984022,-58.69415606170968,-61.15165486134237,57.52477105999373,77.13930173014253,-8.167814106735037,70.6137553214374,-79.98987857024912,-64.67857543696968,-56.73421034702989,-53.61880517978422,18.513571688613517,193.8122081670651,0.1946944384702943,23.615046564872884,203.32514873223133,0.20469193079172687,-15.136613684722892,189.73231017796024,0.19033514283837932,55.87333876551756,203.94689668946262,0.2114619744873026,-275.7712655890235,325.08413880407556,0.42629741756965783,11.222081198581096,222.56703416201745,0.22284976958054992,10.032238439113051,221.1790797473368,0.22140648392939624,-559.1496100952063,465.41008189954874,0.7274990246064704,69.96914312973506,199.02750962763673,0.21096831652854506,27.218821227570018,222.5510969540896,0.2242093998575595,13.869254541928672,186.23867524608733,0.1867543851666311,-112.1795114600189,312.6296974682083,0.33214691106567884,-221.03715777886322,439.5417342214489,0.49199020441606045,-48.35253997501632,191.71965104448927,0.1977230202041641,20.933833664793937,186.03560441169307,0.18720969926990752,-32.125190103542316,210.05516922943957,0.212497534007332,-15.5354512571483,202.99167091126702,0.2035852860722291,20.17049516223229,214.9489987020426,0.21589330910915314,8.322541891224303,182.06406491087333,0.1822541863316228,15.041981394373552,195.8528150699444,0.19642959648456879,53.42443450879057,206.23348005089798,0.21304088456558798,41.02073064913062,198.43161793693784,0.2026272620849904,-16.955270540841635,-20.04003371708196,4.7587677952861265,-7.458389253148799,-33.93144641481014,-53.09755295173054,135.8334577918522,61.33786785973476
