Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,Head_vel_X,Head_vel_Y,Head_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,882.4261694316257,589.1096919222686,887.0148732897861,591.4043946382361,923.7043702572541,804.549174534029,889.2938727379075,1035.985855622345,990.1200528942065,1068.0776490311503,971.7937253619938,1074.9487185084893,864.0991849967578,1065.775155920938,877.8329286455786,586.8230251399746,923.66922548927,797.6779753579781,893.8887579105676,1022.2297811782446,1001.5764597686434,1056.6133181565265,985.5177472856976,1047.445814171138,875.539061793753,1052.014520053351,960.2390031923658,268.2308608737954,1017.486579108812,133.0048676995903,1040.421547354969,220.090887529537,948.799428690332,302.639443280158,921.6911420442392,474.4950135864571,915.1183664651834,639.3154822232372,935.0592209333106,304.9037793575205,903.4088024670746,467.5855257784213,924.2959333735677,614.1138694272221,10,2,trajectory,person0,18.221511121615308,19.81956017931349,5.468072221970054,7.411946168288057,25.890919704253484,4.70249467229076,2.655421304917564,6.722856997410885,19.16805983812587,-1.0461112729792037,-2.0859909273102546,-98.45805744131206,-97.55722808346448,-80.23654631969673,-77.737667904151,-26.55578743158019,76.37141239159553,9.54351808762512,67.05575908239076,-98.92609293611376,-100.97316630348692,-92.2032359387028,-81.80599670912854,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.60795871129227,18.221511121615336
1,0.0336538461538461,884.2881020487349,584.7613123103566,885.5242652881149,584.1168489383388,921.9127572857974,800.6015894592314,890.4480239324495,1034.9992715215171,990.6383334008304,1065.4458027437663,972.47283077982,1073.7640537534571,865.3095299270684,1064.0097250123056,884.3487098938946,581.5419446729335,930.4887571158699,793.8934320969894,897.4397351994347,1017.1240851349041,1002.4729591100838,1051.1628895794433,987.5495821486012,1041.1810612248835,877.5051278538215,1048.871833887142,975.1060341970018,273.2840072723206,1039.1439876664456,141.6486832257546,1056.4883733591532,228.26795234815108,958.4228319122208,303.78537829240645,900.1456192927008,455.7492498896002,860.7941147749924,598.6353922186744,945.282985133942,306.6356941071149,886.5976832499997,453.29095011779907,867.1651013351224,582.8353556295746,10,2,trajectory,person0,17.198308337732776,20.67354613950862,7.398905580434613,7.004664909234463,28.568068488087658,-5.3324953301598,-5.751751989686806,4.9665438678640035,12.148187000932676,-0.6355629428552169,-0.9806020285163964,-97.65590270748756,-98.43135651907656,-80.45759436975476,-77.75781037956796,-8.826885431204948,73.6741211323444,8.387759652579913,64.04317555303336,-111.65837419781543,-112.0776308573424,-106.7934620862349,-99.92717464946678,-499.53039959308353,-424.7531053442032,0.6557025397367083,34.29477835210478,-29.315641853177304,0.045116944483018305,441.7632069949004,150.15063584189252,0.46658326641462805,58.420248642033705,-93.38267465306583,0.11015102984882794,-1614.2063359371052,-1208.7798172784412,2.0166335169383642,193.6117856642465,-156.92353387779028,0.24921982070612306,477.41425841004195,242.97564032453298,0.5356879090705027,-44.29235204965928,-216.54421508266668,0.22102762165815198,202.63751119039986,-112.45499975509476,0.2317500548249294,15.40033505396544,-78.20343253941039,0.07970537736389251,105.51475372633709,-151.71211100211605,0.1847969909891607,-640.2098189028573,-557.0169784208925,0.8486085826037646,-1697.6018662852337,-929.4186957015293,1.9353736611658847,55.325997765530836,-129.20899418252594,0.14055579036955945,-53.23649972328791,-117.29967079399063,0.12881512982241727,20.17913241540805,-35.20146700666471,0.040575123714658906,285.95255287898243,34.05064036395285,0.2879727567100792,35.96453507208919,-52.458518427939325,0.06360301831364595,303.7918505330486,51.46260970223332,0.3081199257556358,60.37452164056398,-186.15265897441984,0.19569848059342101,26.638837574229864,-161.95559200475557,0.1641317807401024,643.5344257125472,256.8448042060255,0.6928966809884497,-30.40373986393814,25.375582817226718,57.373334080089855,-12.102071697592525,79.54956386250129,154.13171550209915,17.198308337732797
2,0.0673076923076923,884.4050881946029,580.7594741044782,882.477911607019,577.7969475372347,919.582283758677,797.2313942651913,891.4761739697593,1034.1683221742205,991.3663422688608,1063.479231708414,973.2281215997748,1072.974304180756,866.4082124143814,1062.5293110668822,888.5271386147471,577.0904053932408,937.5478753616894,790.33609890234,901.0349740081492,1012.6041050744481,1003.6986230531521,1046.3057880621595,989.43591003474,1035.663815123082,879.1619123181848,1045.6834060789938,989.647532596854,279.224780506868,1060.7071158126662,151.391699401144,1072.7665596003028,236.9594762787627,968.0111662675483,305.57312618417393,880.5655234631337,436.97350999234357,810.5789062366061,558.2571159825758,956.8663231132393,309.0762447931677,871.9816373215239,438.9352839343206,816.3505818743711,551.7899939196501,10,2,trajectory,person0,16.351657875064383,22.23905065053196,9.061654457409832,6.3334187387647995,32.23649940268803,-14.7128384866364,-13.787130443522653,3.3677960352057483,6.4658490889916775,-0.4114848058837838,-0.1733182690366181,-96.76455354014163,-99.3338053379714,-80.41289566507726,-77.09475468743945,3.1766511643713975,70.66874590987251,5.614666844344832,60.91576935815481,-124.0440925767639,-123.11838453365012,-120.859227539511,-116.64409578968716,-434.30536473185055,-426.56836659478904,0.6087542371221839,30.550743965777677,-24.69106631966558,0.039280996841534264,432.0902381670359,176.52583325512222,0.4667583354645753,49.23016694108225,-94.74185487068287,0.10676904233617703,-1492.1090537120492,-1199.8116367297844,1.9146637803545745,124.15902484818838,-132.2743100251565,0.1814165277583172,483.6946768798739,258.26242536674494,0.5483247402755407,-90.52022366684791,-187.7913559185202,0.2084694324125542,209.75665644720456,-105.7036149267233,0.23488531059325019,21.632263507188163,-58.43525362189531,0.06231078309810954,106.82995317323024,-134.3079789392657,0.17161372935096073,-581.8085617928501,-557.9076998041958,0.8060782865679197,-1509.9171496908943,-922.4907479520392,1.7694176948894198,3.476159762933959,-118.91176383181858,0.11896256244840911,-69.24835623443305,-100.14294290861778,0.12175361947625878,22.442927221512086,-23.4668444459776,0.03247118369449746,284.9105065583047,53.121651641091326,0.28982047308702547,32.646565337298426,-43.989442949717805,0.054780190939325624,344.19061424197747,72.51922038556914,0.3517473756229042,56.05088575955101,-163.94102702496153,0.1732580795704183,36.419728594030424,-144.3253022278613,0.14884955322078178,640.7329506305517,289.5067663544271,0.7031023266841959,-25.157613747860776,46.51784832755065,49.407395201549264,-19.945600493955677,109.00480431955383,151.08164157494977,16.351657875064376
3,0.1009615384615384,882.1620179335957,577.7994384714283,877.455603935599,573.479052155841,917.0362015878878,795.0554280008662,892.3129910082401,1033.723798646339,992.5572383583275,1062.5891812578102,974.1580583982811,1072.8587978950636,867.3406402527388,1061.5732476708538,889.1821920797397,574.4127419416101,944.6808743600197,787.4952010090053,904.4489458536276,1009.4173187698548,1005.4532529640434,1042.6451117978863,991.1271130324157,1031.6598975223756,880.2987778400441,1042.8866649469646,1003.4921419312983,286.90459945084,1081.6746853995435,163.0732602950406,1089.0162260806655,246.9244556534429,977.565651791064,308.88837140591966,864.5066941902401,419.2459425004546,767.9422086481894,520.0530358683446,970.1749657131884,313.1796100500852,860.6978314444237,425.1724743907398,776.4254424798285,522.6026770885252,10,2,trajectory,person0,15.986299722287267,24.79664411572794,10.3779411632095,5.42364550732694,37.25236769047234,-22.95191219769278,-21.244107885015804,2.1081527134042637,3.329663255602325,-0.4648273305508732,0.2492993365752611,-95.88736815794356,-100.26428347348688,-79.9010684356563,-75.46763935775891,6.792896287630069,67.27999295176872,-0.1550700702827883,57.72358811010584,-135.67191924592407,-133.9641149332471,-133.7819964580526,-130.6165807338998,-335.2902317766925,-408.9520550092582,0.5288301455298889,24.865420572001536,-13.208699114196191,0.02815597401106707,411.3826773663461,228.20033433516892,0.47043713695645467,33.78114693524515,-83.10316506601434,0.08970675522082966,-1266.919014055813,-1135.206951965728,1.7011109934297268,19.464445816923497,-79.56485684845447,0.08191111704936639,482.84723255934773,296.1022442762119,0.566407970508564,-149.23428509362253,-128.30317704712434,0.19680593763347268,211.95197023610433,-84.41525168766125,0.22814375381425117,35.38662665843776,-26.447213389375282,0.044177691681739205,101.4437348370701,-94.69307876505965,0.13877179289646577,-477.17664125169625,-526.7620054732733,0.7107571718712903,-1186.346999152124,-867.2802715534292,1.4695558076585726,-66.65123061278308,-87.95534452490871,0.1103563735028194,-75.65501307487986,-64.65728328280447,0.0995200747832972,27.632407727047134,-3.432186774858291,0.02784474569557579,283.90471269875206,98.51014373187405,0.3005097907067845,27.70642719690721,-28.40874091056434,0.039682523459844285,395.4568086842001,121.92856763412061,0.41382685164208516,50.252889073791344,-118.97355156384415,0.12915130209168416,52.13757449505465,-108.77438042411946,0.12062417879877332,623.0363534386373,347.10923799007116,0.7132034217557865,-10.856356539662894,75.9970629658235,39.112519258047385,-27.03326173415359,149.04294340844828,147.18106138742502,15.986299722287256
4,0.1346153846153846,878.0868983816079,576.7488841266952,871.1659408224052,572.0595587160352,915.5382094273624,794.5502550541004,892.9398515650943,1033.9612284509462,994.3425364960522,1062.8165900159581,975.2673975691,1073.5336969289142,868.0978724702162,1061.3501981903516,886.363818078503,574.2847027747814,951.2734242097335,786.0299274388974,907.1345468416259,1008.2339257132,1007.5320092153283,1040.6163073128264,992.573063890024,1029.7448782707359,880.7311317633294,1041.25709844321,1016.3062354955266,296.96536000316297,1101.241816285289,176.9991857437767,1104.6209702250321,258.9407342300395,986.9726366182908,314.77797369990265,852.5996769323563,404.9931007992408,734.5949186095912,487.60690263437823,984.364643319938,319.9806356990031,852.6738475948092,413.78869779498973,748.7421521871503,498.466619941834,10,2,trajectory,person0,16.568378905545188,28.161905334787228,11.48307979966144,4.664936476018685,43.30307219431847,-29.724322377352394,-27.92040123970883,1.2387696393536656,3.1674534458612875,-0.7297218101909585,0.4402895391299933,-95.3353637593362,-101.2038121679574,-78.76698485379103,-73.04190683317016,3.38545544591079,63.655020972511345,-8.458548232900597,54.696277068033595,-146.06930140484104,-144.26538026719751,-145.027370248997,-141.06888990542683,-238.4269486742574,-338.2607902737158,0.4138451063993819,18.626713689379688,7.055057051187763,0.01991803938297238,380.7616373370672,298.94831355473906,0.48409660053012854,12.847088006192743,-48.42140468299599,0.050096707493739824,-990.8909040040577,-964.1136732378567,1.3825266574508324,-83.74597032246314,-3.8045923857666692,0.08383234738734632,463.68382600403294,357.0551348474411,0.5852273573737498,-186.89284679204695,-42.179233639945245,0.19159338175544743,195.8929098200669,-43.53955751177571,0.20067318003683027,53.04885894953583,6.757288813539767,0.05347749421913238,79.80071507195277,-35.16367939774,0.08720457829025971,-353.8085128056891,-423.5130105503529,0.5518548122823581,-822.5891972681519,-717.185698073107,1.091333273103534,-121.08926668764072,-31.216471957783853,0.125048305180205,-44.511767055611045,-15.01085327532586,0.04697470726323201,32.96322107575829,20.054142720130297,0.03858422713919083,279.5218348661671,175.00532530692143,0.3297867796815545,22.50061446218455,-6.627755992059483,0.023456444757595916,421.636134600559,202.08761928213093,0.46756436548139574,42.9653969117908,-56.90342919158035,0.07130235329600926,61.76875718103847,-60.28447612749171,0.08631105042609671,581.4233177478642,413.79892761958655,0.7136404044895817,17.29606715966391,99.99633336633296,32.83840519742897,-22.544496930302397,179.7923623999989,142.42200582630238,16.568378905545174
5,0.1682692307692307,873.2047162894219,578.3523297242904,864.7535083722648,574.0924643199369,916.8475505040708,795.8836608567017,893.3610241104955,1035.042621232301,996.5813545004236,1063.9286513194636,976.3920223931119,1074.9954806145697,868.6257464653199,1061.9343164457684,881.0356432788224,577.0792377456977,956.9029791541208,786.5341366667227,908.5295926844727,1009.2227089285016,1009.3909708764146,1040.3078472689397,993.6767425784938,1030.0834272294962,880.3237492845117,1041.322342912607,1027.6984208119304,309.68739442938846,1118.3653577019138,192.8680224851322,1118.7572951288762,273.2815031635702,995.7939195011256,324.15715043009993,844.7673016807244,397.5385005609331,710.9054520467417,465.8299730573095,997.7828706700673,330.1610994180778,847.3978559133274,407.7286126177429,731.8250987793293,483.3861151802294,10,2,trajectory,person0,18.693708365560433,32.03070855189229,12.63697223374349,4.624897023827765,49.75858717826353,-34.700050751130554,-33.31799529876838,0.6915612096727405,5.1177126443361045,-1.0680596923432162,0.613313503120674,-95.53124211230524,-102.21009388884708,-76.83753374674484,-70.17938533695477,-3.404869174200773,60.06202748478168,-15.712960482482975,52.17091938072472,-154.63802326634885,-153.25596781398676,-154.0858155308152,-148.1011485182617,-156.7723242497467,-180.07110240962018,0.23875335301034756,12.51484134906407,32.13281407453859,0.03448389470957578,338.51064940171494,378.02616580784394,0.5074379191524322,-12.105079370585335,1.9386928049373542,0.012259342411405536,-703.9155778675305,-647.0859074329005,0.956147118576864,-158.32290833336722,83.03761056437042,0.17877748200311985,420.05079714279987,426.1257054534845,0.5983525624817959,-190.5408499470275,60.406337944507186,0.1998868208822224,167.27820406179188,14.98221705537848,0.16794780255196246,66.52487784417957,33.04410730416667,0.07427969035821498,41.45279075887571,29.380986968958673,0.05080921429198892,-232.73343604849236,-221.50812136685735,0.32129534712848257,-502.6781584038221,-448.1064272019663,0.6734127271116647,-145.07055359638244,47.64524061425677,0.15269425160742395,38.90613485076505,39.621200991582405,0.055529513747567476,33.41742334207058,43.435858088046714,0.05480326587593204,262.11811994709143,278.6955371258626,0.3825926178305991,15.68539871165548,17.356656732382277,0.02339412887177795,398.71304126098295,302.50520765250644,0.5004812583188988,32.79502388596083,10.059740488880431,0.03430323556728085,55.23771792941962,-9.165669875491659,0.05599299051056856,508.8138020940036,471.53114888599293,0.6937096723926374,63.15264681188167,114.95872416540774,34.28708946986673,-1.1897437222444684,191.82101666579658,136.89956123152652,18.693708365560397
6,0.2019230769230769,868.5301064208553,582.9917420352325,859.2535104675316,579.6338930481978,922.4639313645916,798.900356743841,893.6137276598243,1036.8109286312124,998.9045513966556,1065.5975860554183,977.3039039441178,1077.1441582060052,868.8089298479096,1063.1004775068748,874.8681771400528,582.7696169737517,961.8109327430365,789.3134646302038,908.4645797783336,1011.9563424396011,1010.6368526648746,1041.5012637897514,994.4697632018432,1032.4251565302266,879.2048975109176,1042.9945680409062,1037.0916143232137,324.7923508238314,1131.8103343525468,209.8712511995095,1130.4968303750975,289.3727476687755,1003.3396041721261,337.3352639283862,840.9575989387621,399.8557437966744,697.3914665986528,459.7158883901006,1008.5748653303821,343.6038867618288,844.6299993569748,410.0442686840003,723.1793915342581,480.582139306755,10,2,trajectory,person0,22.85952287750368,36.18552687830586,14.053430703917966,5.719543878677464,55.9298513890496,-37.49283509282567,-36.6720437278839,0.5061416689437362,7.391060177746163,-1.415786596427696,0.8472276917807091,-96.83613782496384,-103.4294757975765,-73.97661494746019,-67.24394891927065,-10.12741631819788,56.82619969167974,-16.862142477916176,50.4695668080963,-160.6666354011459,-159.8458440362042,-160.23851679554474,-152.42238266814198,-82.24488053161964,68.80806596879086,0.10723231936326781,7.5089054657741015,52.54399128193951,0.0530778172227388,279.11203576384344,448.8329900063034,0.528540047135726,-33.24588127250899,49.68897524089799,0.05978530657340762,-401.55842474321264,-181.67565868277904,0.44074393182444604,-183.26185098057934,169.08555420503419,0.24934881324291805,348.83190445914636,478.13983672610044,0.5918626538590326,-163.4285091692185,164.6595964968954,0.23199495754820565,145.83633521349202,82.58574520058193,0.167596664581481,69.03213634517782,49.59120358265213,0.0849983724618023,-1.931812068134417,81.22796718696168,0.08125093569425963,-113.20259576116354,68.85522757631234,0.1324985662248885,-256.90101528211494,-83.31814024038259,0.2700741456454089,-138.90269323740745,137.85682295370836,0.19569992801096123,166.88674556975897,89.6389635035699,0.18943687503983958,27.09590894417395,63.84641985979596,0.06935815460653717,224.21463022401377,391.5782296633636,0.4512268945362024,5.443163368376746,34.65164295859167,0.03507655038889307,320.67641276364185,399.4428239286001,0.5122381587611491,23.56404137952515,69.5828135074109,0.07346449470147533,37.02048742852472,35.46151947554519,0.05126437216001019,399.5078776188033,505.23879608435305,0.6441061910494629,123.78420264059915,123.457458842003,42.089051685184366,32.52664940124814,183.37470797764297,130.80281463913994,22.85952287750365
7,0.235576923076923,864.8748611167798,590.748424826018,855.3808830027004,588.4817721338603,932.8163027743492,803.3765577954052,893.7863186355657,1038.868185637435,1000.9193981937623,1067.5298529070053,977.8290655542756,1079.7688442536562,868.6102903830109,1064.3916984385328,869.9626394018983,591.2379290238506,966.8463958218002,794.2897283155258,907.379853719984,1015.680592581341,1011.3864526453007,1043.8696440421895,995.3150496330024,1036.2284931637744,877.7923455868261,1045.690209252115,1043.777730639205,341.2907359716274,1140.307258981368,226.7815677703307,1138.87092657114,305.84160059525726,1008.9012724620468,353.6942338394203,841.7365944267668,413.44598430864835,695.9612445991471,472.60793962057465,1015.31327536663,359.4026425025927,844.9524112588283,422.5119651176884,722.0534723065338,491.5551315482805,10,2,trajectory,person0,29.126938679120983,40.49747366861703,15.780063986366985,7.992675113230649,61.175455486751126,-37.68987356109202,-37.21234250947092,0.9515072065128184,8.474468452098412,-1.7961288730675635,1.0420010713974144,-99.35826212669645,-105.0113493210845,-70.23132344757548,-64.51387565246748,-14.390428696139107,54.310668860781405,-9.232597828211992,49.81623337414825,-163.3792047003106,-162.90167364868952,-162.45935099712193,-154.42738136499483,9.580239369362905,370.4686940295904,0.37059254477439846,5.12841756488746,61.12992247061818,0.06134466633688406,198.6731705323119,490.2377301059393,0.5289650845838361,-41.97297145871923,80.09905313305832,0.09043002071152564,-42.49802512816974,383.07809370551684,0.3854282138308602,-145.76454993373392,251.62984377436786,0.2908004166009684,248.83028696812252,489.36020124403035,0.548989907260813,-115.07235895498087,262.9084071168301,0.2869886379774866,149.62518862612436,147.86612093528262,0.21036179974475147,59.869733399742906,57.415929304302345,0.08295163600094296,-32.231860019532185,110.66343278312648,0.11526182436376874,23.147294500712682,403.82428949865664,0.404487149402546,-33.45588562381157,326.05462660533084,0.32776655688708584,-108.61300332109961,230.48428864048242,0.2547936259024908,307.61332188994203,133.00711696076206,0.3351370599715569,15.604802130403508,77.99067113020403,0.07953649874660493,165.2610006147857,486.0951059278708,0.513419565590588,-5.902429814130436,38.36770768355238,0.038819063237039354,200.22704107708313,469.44874201127084,0.510365544834728,25.117082525874018,113.0134313968529,0.11577090960471348,22.273827989804715,70.37472750101884,0.07381548404069478,252.480046113549,502.47797810440244,0.5623435712848402,186.23178381948594,128.12641891210373,51.30567467848522,67.54447096958049,155.8693789031313,124.54199230835688,29.12693867912097
8,0.2692307692307692,862.7828495133896,601.522542544048,853.5079422871353,600.4359761259183,946.8793574347504,809.239164236788,894.0006686755725,1040.8127771753716,1002.4414405716526,1069.5250061381596,977.8956709840476,1082.5741967740423,868.1599831594461,1065.4080328114374,868.1683569031047,602.377691472897,973.1296545389953,801.0424799090162,906.1878951574624,1019.6179539002426,1012.136165617963,1047.1057252777575,996.7595143816748,1040.7913856042371,876.4689299521064,1048.7139556958978,1047.0428019853812,357.5539211019731,1142.749111947422,242.0589541075827,1142.898551686287,320.8399042319171,1011.8770228130047,371.70643465743007,848.414445486901,437.6634258846788,709.9911730247072,504.24092483351234,1017.4645124487447,376.1678454718125,850.1237113661399,444.6285064062722,731.5883645018747,515.7781063789923,10,2,trajectory,person0,36.94006218139625,44.936231293745614,17.743817226669083,11.12746690747428,65.00329133908919,-34.87457816427285,-34.357327847927166,2.3688604877283046,8.26686360573132,-2.222155289308023,1.0256829102557916,-102.86215784668728,-107.04328735887243,-65.92209566529105,-62.10705606512683,-14.726445561244253,52.889652595784,5.194197445556235,50.310917224210485,-161.98492556848882,-161.46767525214315,-159.62003637266096,-153.2797903798204,153.66148890296944,657.1772268607747,0.6749027786846752,6.369258331627478,57.782148555829664,0.05813212660330752,97.01926285781202,483.2489295874138,0.49289173792310054,-39.32435028881432,89.84846575811675,0.09807727221290798,416.8893017880726,939.951560613003,1.0282536779628686,-53.31582282129702,331.01008420023373,0.33527638271336346,119.67800342151007,445.6638794893196,0.461453267389483,-55.6530955482232,355.2106329068635,0.35954396222742246,186.7025447395093,200.6531902065689,0.274079446424357,45.22640208588403,59.28455315429546,0.07456598211207668,-35.41819728635373,116.99587919021707,0.12223945535917174,198.42757435826928,719.603978259189,0.7464605735014797,283.3225109472743,719.7683949697217,0.7735232301662036,-62.16263050073817,320.14521219288895,0.3261244387052298,417.87362419477586,174.2031628296603,0.45273072320920954,1.9791327703677914,83.35904632004576,0.08338253755979293,88.42229614275134,535.219681449433,0.5424745246239577,-13.380557500213309,30.199649937730133,0.03303116975491419,63.922473297120014,498.1660310853871,0.5022504127621877,42.92123824626327,135.58308965946628,0.14221465077199102,22.277185473395583,96.15784242830806,0.09870462832655512,72.5579167056022,453.9566225926301,0.45971868188313236,232.16138406760743,131.89451228953467,58.3515248546908,93.14809902895342,113.7414081837593,118.81174826107505,36.94006218139623
9,0.3028846153846153,862.4273640649362,614.7680206692305,853.69648991267,614.9492042497725,962.6744504031452,816.4069038325902,894.3382377481271,1042.390177634502,1003.5380331500563,1071.4609824691697,977.5508319612984,1085.239224104635,867.6678451344674,1066.0278642451626,870.2503613516666,615.680869097185,981.3908025212232,808.9411201147109,905.7764925920948,1023.1435501734501,1013.320910428858,1050.906027148969,999.0845261608756,1045.4408215406652,875.2591360213663,1051.563447180454,1046.2354295039324,371.6623376678604,1138.3993902881919,254.1297593044335,1141.6013211182772,332.5440035028043,1011.7849723258121,389.2601312903775,862.8126296398765,469.3430681503169,743.316621004589,549.2565236246351,1015.3596627286481,392.192864396821,862.9650184226117,473.2515811323879,757.9290304366484,549.7625125128048,10,2,trajectory,person0,45.32681175399398,49.494127076811765,19.83967280995774,14.666169914589808,67.13430291042516,-28.604316410271647,-27.627864035614785,4.961123893808854,7.902156238889174,-2.6531124017927787,0.6883998620026818,-106.88652777264016,-109.50415088867244,-61.55971601864618,-60.01002381186069,-10.918425442981022,52.85567327771416,20.81196974337338,51.90625979647892,-155.74864313255748,-154.7721907579006,-150.77899173120315,-147.08828702678537,381.57026682088025,850.5142204331536,0.9321857688684014,10.030623870192525,46.87132792844152,0.047932606824590475,-23.99049659162148,419.22152081493755,0.41990740341306404,-35.94816251341885,84.6706041125292,0.09198576840398638,990.2418828307752,1337.6063640790774,1.6642625308938155,61.865275042981715,395.2944208359873,0.4001062251455261,-38.54627973515137,347.7789497635051,0.349908578888868,5.602558015890438,431.2502071088128,0.4312865982009125,245.4741114719179,234.70245182635875,0.33962152507788995,32.58446518685184,57.52615383572757,0.06611358216467289,-12.224533370924384,104.76057497530806,0.10547140505982647,427.8317576884174,941.3379416075331,1.034000547967296,782.6940734904197,1009.8223536904301,1.2776350021386806,-10.562996182612919,393.57992143399855,0.3937216420827618,469.3399053465915,212.98426227526554,0.5154049308336957,-10.246645247404139,79.18938353760869,0.07984955982278576,-2.735214476581004,521.5955570932958,0.5216027286908098,-14.623529885081894,18.417848316410392,0.023517328991749558,-62.5441059685852,476.17199091453966,0.48026193907379966,69.08606429625421,138.15466782528853,0.15446551887674473,35.20384580945248,112.92325560171659,0.1182834410028146,-129.24887215998,358.6753544207095,0.38125225353228853,249.206273014333,135.4346175539659,62.276851617720205,105.15003221143303,63.32148669112623,114.41538929636033,45.32681175399399
