Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,Neck_vel_X,Neck_vel_Y,Neck_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,Head_vel_X,Head_vel_Y,Head_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,right_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,1004.9538948634312,454.2948531264225,1039.040474436922,462.1740636248575,1117.5950720144194,870.945358877397,1120.2107932501003,1064.806375754091,1222.2988874038342,1072.651593600234,1189.0648073720542,1090.0472713932918,1132.487916174435,1027.1856756910304,947.3649691212856,462.17327220220886,999.6046201607404,852.580166699153,981.2669511089736,1062.19546003077,1107.0553248719095,1056.9412014016757,1004.8649217353527,1054.3279889964956,965.3187164428412,1085.7536626728518,1038.991565540473,74.2673751533675,1227.6477984894873,100.4924085332287,1180.4697472932698,11.442115493897001,1086.109834931125,11.461866458062099,1143.7357047570747,262.994734901977,1308.7905983042108,446.4077569833782,968.241853218786,66.4599355983469,965.544777689588,307.53811944090194,1091.351736215035,469.988343821079,2000,2,trajectory,person0,10.10470234978254,12.617761722746932,16.505940394653024,3.657134810500789,12.737550304111195,15.99545181857488,18.021303466760443,4.478952579119518,29.080108245666352,38.3708976930573,-9.15658127304856,11.507577263562684,-89.22800576437501,-94.9989666518031,-79.12330341459248,-82.3812049290562,-2.925614747402956,84.88124476683267,24.770848728045056,-7.929153884207199,-77.09745176640689,-90.63980265404784,-48.017343520740546,-52.26049786468637,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.00454818142515,10.104702349782528
1,0.0334586466165413,1004.3099907057025,457.9597769611035,1034.5085803926156,465.3880897925786,1119.409699365938,873.6773648118552,1113.8788466065146,1068.2855316704995,1223.1541989050895,1078.1657230739097,1193.1794659888997,1095.8811099908098,1113.2396947194122,1035.6762300068015,950.6218417536464,467.0246392922286,996.7428809484525,851.9256152829107,976.7493047502848,1063.8620314933692,1117.988480018891,1058.5615596448663,1053.4711025341217,1055.6537729728716,962.2101998182746,1086.7251389614933,1039.217230379472,70.1309786138585,1223.362225929628,103.95369950478039,1177.4775557935307,11.3871080793692,1076.1848190359492,11.2690229998767,1128.3655382430977,260.5364398096707,1296.0318070683036,455.9912456295096,975.2629458143404,61.9520726846113,977.3215002778496,311.8063200287221,1087.2087636703905,472.9293187549934,2000,2,trajectory,person0,13.35132542945684,12.206917754729927,15.78896237944144,4.141976384302577,11.94959947325156,16.893612745270797,16.920941916040398,5.554468561594891,29.00121072806908,38.005770582441464,-7.71928551833233,10.391474392824724,-91.59846662844568,-95.398072225738,-78.24714119898881,-83.19115447100809,-0.0585414418061071,84.85924605574041,26.896972655684664,-10.603924849493705,-78.21981202821921,-89.58628538266471,-49.21860130015013,-53.69479032202022,6.744589570085672,-123.62713252914541,0.12381097441603386,-135.44761975118774,96.05965849593402,0.1660527497111018,-135.02179004620444,49.80988865745893,0.14391632567346127,-296.6353065299806,-5.76363594127149,0.29669129508531095,-575.2839221388815,253.7626346061883,0.6287663045947743,1452.724055333997,39.624554799554225,1.4532643552668305,-128.08565178905633,103.44982004862376,0.16464446380707742,-123.82367380623461,87.89880139564326,0.15185026006452387,-19.24477595009186,109.53592584552318,0.11121367025777537,54.23492983190115,81.65321107481869,0.09802384655123535,97.34023822561332,144.99591527474658,0.17463944979351212,-459.3780104177383,-73.47263983747017,0.46521649289341227,209.8438910581428,-134.72938596108656,0.24937214370469116,326.7662100109103,48.42868457176476,0.3303354257330658,-89.4295437000731,-1.6440418274601,0.0894446541719164,-92.9062272061471,29.035134020077606,0.09733758812115746,25.563242621787204,164.80431910086585,0.1667751269453583,122.97743731245993,174.3596704426752,0.2133652848164816,-189.24694462852057,103.98376109715191,0.21593292621353488,-85.53063263692057,-19.562997384319445,0.08773938674239039,-381.3301650282342,286.42786290684904,0.47692097396722344,351.97845039073957,127.56644453485055,0.37438219416891266,97.03390328015341,-12.279156796912757,-21.428781128795695,14.490770632727624,-23.549991124568926,26.84391084282184,163.1063872547292,13.351325429456864
2,0.0669172932330827,1003.7408890942789,460.8365980848756,1030.6504067028666,467.8009608517045,1120.3240989773842,876.2304787897549,1106.217701701166,1071.4663259592671,1223.6744845078508,1083.3181709504015,1196.261379788065,1100.9613568729796,1093.910867322669,1044.2116614155243,953.3063281560435,471.1155501283605,994.4281244302556,851.2900327081292,973.0521901244502,1065.3455438045557,1125.72065679137,1060.1855717389378,1092.7596277088028,1057.1103795889157,959.2494604471468,1087.5889610616694,1039.6626536859505,65.12738246215561,1217.9604049286702,106.0105111047841,1174.3841348263788,11.376763628339601,1067.1821966499592,11.2832003356386,1113.5847679371793,258.0341184966276,1281.493424937065,466.0005696059839,980.9036658470224,57.7384463402574,986.3336829457868,315.2459235433622,1083.087975353596,475.8754607022931,2000,2,trajectory,person0,16.47491028854789,11.877874503281234,15.180923925515575,4.62055525011968,11.332818053598556,17.578119573094483,15.767823247228147,6.345786817664469,28.566078230536636,37.61421535443192,-6.285121445440733,9.45459565220259,-94.07821819064122,-95.7264839248705,-77.6033079020933,-83.84860942158926,2.51359317526225,84.81857252481223,28.56297432621077,-13.16417466168614,-79.41360422795965,-88.83564065752333,-50.847525997423006,-55.136254654390605,13.312651631831255,-149.5456827362887,0.15013706377351735,-115.31170803069865,72.11502266600858,0.1360050238155783,-110.4980326373022,44.33868255906334,0.11906189141697561,-269.0671409745266,0.4237271137826233,0.269067474617191,-577.6930435431152,255.10390502475232,0.6315118802659103,1174.2413142095672,43.534534816601486,1.175048049961494,-161.4476838488531,61.47324557314437,0.17275507095728143,-123.16063958059682,88.05323123390092,0.15139985030584574,-17.00910434142261,85.9813953846485,0.08764764676127167,27.3292468140111,76.30655259790109,0.08105293147565597,80.2329643862487,122.26767218102034,0.14624196468445885,-441.7623484690213,-74.78847969319715,0.44804831125636974,168.58781221274305,-125.93534916833002,0.21043184786725683,231.0965192673481,48.53788955315089,0.23613878957036613,-92.45505362498675,-0.30917123301949795,0.09245557056040757,-88.48951378876455,25.817604342338626,0.09217886278615882,15.550109026348784,153.99450956706227,0.15477763038479225,92.11113152561556,151.83659220867,0.177591698241982,-228.97354436210173,95.06643604631265,0.24792440638285498,-69.18261054385908,-18.996063470996663,0.07174318106313252,-434.5179378550022,299.1550761508047,0.5275410864610995,269.3528752439666,102.80163313418778,0.28830391460618077,93.35658118182222,-9.834326391612622,-18.17283469036851,14.30359306824149,-18.434141306483003,20.458293955179798,162.42188042690555,16.474910288547918
3,0.100375939849624,1003.2666333783388,462.5040256515111,1027.7857804556204,469.1499483977586,1119.1617770259024,878.0342370696067,1096.427113658525,1074.0702163468304,1223.1589632921298,1087.4841525486036,1197.4647110629226,1104.8659981436933,1074.496418669459,1052.7748018710588,955.1936294777325,473.9980048130235,993.350149914856,850.4893328180789,971.3350268789048,1066.2396624121334,1129.6993649995175,1061.7519657310736,1119.0813361074838,1058.7389641860532,956.757169396226,1087.9664652368926,1040.3670959761055,59.122687480954,1210.6304799424097,105.5130270865448,1171.0964817803779,11.3175640803586,1059.685574031043,11.6333852943337,1099.9145885507312,255.79850597764047,1263.9262409285036,476.5449655736828,984.7088450921218,53.8996461218019,990.7925698848437,317.1225259915598,1079.1391811369845,478.8391508081426,2000,2,trajectory,person0,19.15337165244949,11.642830050649447,14.530897663830135,5.096511089799335,11.026724455209942,17.856773078193825,14.540391477605992,6.567683282236865,27.54342285893867,37.139354936589314,-4.853466502455055,8.667236860454034,-96.54316945357594,-95.8626764747598,-77.38979780112645,-84.21984642411033,4.4499268402198116,84.75342912067974,29.555941933502925,-15.285585886879954,-80.70617940171431,-88.67888759708342,-53.16275654277561,-56.59961315519752,21.054117885530985,-179.46616460669992,0.18069692891296452,-85.61691929971983,40.3180547472354,0.09463510135766648,-51.32195767585087,26.723095462428326,0.05786248500346218,-224.05636141929864,10.466202136280502,0.22430067873194867,-580.2520608712199,255.9320630530514,0.634187413186267,786.6937566347394,48.674550880733705,0.7881981214336403,-219.07416251070427,-14.86862346647814,0.2195781515623865,-118.0201417549102,88.57770428718788,0.1475627444737919,-14.174384319107554,49.83547558708403,0.0518120429805331,-34.73906057237757,53.91007892590773,0.06413344633846617,56.40698332239425,86.14976922700747,0.10297344563235468,-408.56940638148654,-66.81718315175026,0.4139969755870867,113.72782912319505,-114.732680686423,0.16154753831169125,118.9142003783411,46.81582043911385,0.12779791897760936,-98.26019216137452,-1.7693348048254027,0.09827612074782874,-74.4886988252719,11.282709057232672,0.07533834200692383,-15.40771273952866,124.51136012603837,0.1254610553610157,35.964732484508424,116.70051438312424,0.12211663293740146,-292.6175752070234,77.82413967323572,0.30278976540814134,-32.21811472992049,-23.931030421727257,0.04013354125660922,-525.0416793569975,315.1471154390914,0.6123613879332989,133.26560963923006,56.0872192382653,0.1445873399520058,80.05289020200303,-7.024924089893856,-19.42775119194689,14.225197006155993,-9.148415412513645,8.328295770384846,162.1432269218062,19.153371652449493
4,0.1338345864661654,1002.7648716587076,462.9659918354222,1025.7688288202564,469.8568159533617,1114.6917848241776,878.3860164040326,1084.6174044230654,1075.8665295133758,1221.028371955098,1090.0224765363355,1196.2243516477488,1107.63537140396,1055.175079441809,1061.2330150122523,956.4635843486866,475.653708185565,994.2419060485515,849.1701199333605,973.2724670553783,1066.0256620135428,1132.1225296921257,1063.2290715460272,1134.363314715026,1060.4591232874714,955.3378479830568,1087.358739836135,1041.2254959885413,52.4659988522452,1201.0793784443722,101.6725647371078,1167.608169384792,11.094326110174901,1053.818496932429,12.3523036009258,1087.723519860611,254.39398054955947,1243.036068968186,487.2367966527392,987.1901667533411,50.2176280874415,990.5113607691017,316.8650413053356,1075.6838855704589,481.8249689088651,2000,2,trajectory,person0,20.86964150899838,11.342789308581958,13.36902525307324,5.579706846163076,11.129267979902906,17.614662589233948,13.277204577246152,6.075080624595467,25.896572709126705,36.48090795994841,-3.431533103914808,7.810191236518616,-98.59718910033396,-95.55573150924864,-77.72754759133561,-84.21294220066663,5.367083746381751,84.65778981943045,29.932256159879945,-16.543852005377083,-82.06500560332343,-89.26712955597411,-56.1684328941967,-58.10425192816666,25.655550933469808,-198.95271631871222,0.20060007633172489,-60.28192528166141,21.12660334723926,0.06387678674334982,57.905515386738095,-6.395966969107238,0.05825767851256754,-175.3530908125016,21.486771859943676,0.17666461961145105,-577.4692398376319,252.79603320870243,0.6303781066667115,456.74228197822737,51.41149673901598,0.45962664646822254,-285.4598874694319,-114.78235785957749,0.30767245087895806,-103.27063153885076,89.23905784181888,0.13648601680365857,-14.996473867630089,13.80707920453365,0.020384544748970425,-133.5975197369444,10.51385426486314,0.13401059066867077,37.95595457008725,49.4850670894427,0.062365265590496544,-364.36227770471265,-41.97795099657829,0.36677243323897346,74.16084964992785,-110.04683113931065,0.13270319010710765,72.42267508244305,44.14720750310206,0.08481756773463306,-104.2574266545861,-6.672056187512827,0.10447070089937047,-42.42016807899102,-18.16347826983046,0.046145233802728225,-63.6783478258927,75.86451468951527,0.0990472441358721,-37.07141622878853,82.7700322731466,0.0906927127376054,-352.96434344182734,53.68756205630344,0.3570240637000113,26.652486692472824,-39.428160374728705,0.0475913319568571,-624.3579484769077,319.55360303696654,0.7013824584634265,-8.4046769424056,-7.695609723105849,0.011395657221791361,51.29525638674207,-8.967509819095737,-34.725624860824034,14.441581032893835,3.0647839964413794,-7.236111243070481,162.38533741076606,20.869641508998356
5,0.1672932330827067,1002.0619534871942,462.59842076270655,1024.0363505857151,470.7330351668129,1106.1472963562546,876.9017534957405,1071.6581741288808,1076.727494556788,1217.3826759533408,1090.6375826333517,1192.1186791529358,1109.62913019612,1036.4039042579093,1069.2843962965292,957.6180704663856,476.4284874683421,997.6861144684163,847.1163260054402,980.6931937818064,1064.3406707925938,1136.0328147553262,1064.6069496905104,1142.678221879028,1062.0612850732389,955.8971966882808,1085.499975939949,1042.0649917389271,45.7513151428101,1189.6522579087646,94.21431970779851,1164.0522426950026,10.6918566038521,1049.2998841525678,13.4123674353417,1077.0719058865004,254.22642672196162,1219.320354435638,497.3073090585884,989.341646798532,46.5307507515695,986.9733009605748,314.3149670958993,1073.2469736399378,484.8221118197108,2000,2,trajectory,person0,21.157499111769685,10.66727590794991,11.168626601280648,6.089556399891021,11.667993516991372,16.852416726482904,12.044467787554757,4.976207065242309,23.744032961769367,35.49579702505583,-2.037011332249288,6.692303399041087,-99.7759173660786,-94.4701173717504,-78.61841825430896,-83.80284146380046,4.932712162481079,84.52916501920815,30.05219250998311,-16.568714750854166,-83.42636719323713,-90.49462791554956,-59.68233423146773,-59.67195885964227,25.090547146364784,-200.6860524392966,0.20224842941237406,-51.77968656044996,26.18812480651943,0.05802545838836847,221.7880122730175,-50.36041177218717,0.22743371223695139,-135.0506740947318,31.682806736475243,0.13871728376861442,-561.0261347098123,240.63678894580949,0.6104558854017073,248.51295568814558,47.88483539485053,0.2530842677956299,-341.529669940638,-222.9093458198062,0.4078370899067115,-72.83354758636412,89.57752969493859,0.11545067986054812,-21.008565575571065,-10.985832060938842,0.023707558575572926,-255.37459915365062,-44.36111613547083,0.25919894775572,34.504865989654725,23.156324631315098,0.04155479692400002,-318.35160866443056,-5.007788555172185,0.31839099341131505,64.30266202480482,-110.19206419572518,0.12758183003543686,116.86919402375086,41.181526565456394,0.12391257660956984,-106.27825836899109,-12.028863896838773,0.106956821982493,16.717612987593895,-55.554067009604125,0.05801493726024837,-108.96125128847491,18.38406986587429,0.11050125930134698,-122.7088633281249,59.58874592298154,0.13641218339999578,-387.32081553405584,25.732213657044092,0.38817465265735457,102.93926288584741,-61.383054474923746,0.11985145481033202,-708.8067489503172,300.98385392762714,0.7700638205257051,-105.7442594458585,-76.21570109101808,0.13034830838391592,8.603384532265947,-20.18950163686796,-65.76472375020565,15.238200145127351,16.101235153430572,-22.78173027997506,163.1475832735171,21.15749911176964
6,0.2007518796992481,1001.1091975472988,461.94224170555407,1021.7928010963615,472.3729900694633,1093.6998730320531,873.801738306443,1058.5334790394816,1076.6831337590056,1212.9943047823328,1089.4026698170564,1184.8143056830768,1111.2590354664906,1018.971885252987,1076.4374049790354,959.2659805568844,476.7015105134367,1003.8939796302968,844.5897888253003,994.6367151965064,1061.1505235730353,1143.1997844304738,1065.71257453902,1147.6656171946343,1063.2682896537049,959.2034186885991,1082.5294596425892,1042.6025281979576,40.0061534462437,1177.266032827703,83.6966909616261,1160.6528247538283,10.176139073320101,1045.6433084608143,14.7141977860408,1067.693159307542,255.24301686489008,1193.7572897945945,506.05318499266883,992.017588439014,43.1281561309804,982.6641002144698,309.9532698197519,1072.4834265172271,487.7942655436157,2000,2,trajectory,person0,19.942179294345337,9.33577254145223,7.737118614111673,6.656233162534743,12.561113632223115,15.677738219516549,10.869090233115028,3.594703091927749,21.281616771642316,34.03490890842119,-0.6980731640426217,5.346011087044008,-99.87122249185325,-92.3814403262536,-79.92904319750794,-83.04566778480134,3.0127407781764313,84.39321858297554,30.50440234361468,-15.145277917463943,-84.73769118390946,-92.01207832509677,-63.45607441226713,-61.31716943446923,16.065696415968947,-171.70932711086067,0.17245926944700488,-67.05440046832004,49.01438248370844,0.0830584271005965,416.7389546415951,-95.34597307893473,0.42750697175383984,-109.2864195512837,38.908637447860684,0.11600604969736823,-521.0019163268872,213.786551634449,0.5631586690054924,149.06147797205392,36.07451892179169,0.1533645823867161,-370.1950417485813,-314.3471063462758,0.48565262503512796,-22.820621869775636,88.83066186052872,0.09171514198376883,-28.475626967660553,-19.611643730624767,0.03457568366667983,-372.02411283568665,-92.65213936551997,0.3833880011948567,49.25214427782938,8.160014606197489,0.049923537077589744,-280.308605618311,30.38348067628954,0.28195047487402514,79.97758161440619,-101.69552461535933,0.12937694264312385,214.20381276283553,33.04451794421683,0.21673766070598247,-101.60058116318574,-15.413580126012533,0.10276310887180332,98.81517439153467,-88.78172304468879,0.1328406302183682,-131.15805971776658,-36.90863023983326,0.1362522793024394,-218.31048797555457,48.714022687479165,0.22367951440961464,-392.26616784047235,-1.3258395741727642,0.3922684084690304,185.53844191687554,-75.5122348221603,0.20031627751328368,-764.0196847772511,261.39359533319015,0.8074977959154699,-128.79184252403593,-130.36083993878665,0.18325197758900727,-36.323041734255725,-39.79549387509918,-102.55967691988155,16.936631332947186,26.69325288220713,-35.108368859893254,164.32226178048347,19.94217929434531
7,0.2342105263157894,1000.056287844997,461.4449932130782,1018.4695832645781,474.6699936287705,1078.6627883694666,869.7525431551701,1045.7638767341114,1075.8956621791572,1208.7996621021912,1086.626311269459,1174.424300952687,1112.7798837964463,1003.9272654714066,1082.0789691853115,961.7929280977844,476.5805639896389,1012.4862179971079,842.2469019034961,1014.0199281411877,1056.8359030098152,1152.844938850582,1066.2286830467838,1151.3699566163448,1063.8460803730093,965.2166223859087,1078.915593635491,1042.5166020027614,36.5986762349014,1165.1558483274548,71.663273134143,1157.5779916352626,9.5888264805645,1042.4412796021184,16.0537905792073,1059.1249439259682,256.9120665813791,1167.5362646072517,513.1708254520673,995.5989963501386,40.6770724934207,980.1876709832426,304.7211474335909,1073.913958739764,490.6697297858842,2000,2,trajectory,person0,17.705950713713147,7.402013544805695,3.494993106916151,7.316229095853779,13.63001094266716,14.268809355156185,9.698549807348552,2.353784222315351,18.738738255251704,32.03799884827316,0.5523820487842216,4.0132679298016685,-99.13513047228228,-89.46999171586386,-81.42917975856916,-82.06797817105816,-0.1622291576839298,84.30201088627469,31.708895070732368,-12.306547716881571,-85.99943930637677,-93.34420489141,-67.26070105112507,-63.02673793675894,-2.5681312272124677,-101.84145373225309,0.10187382880945837,-99.32313969150597,68.65201649165279,0.12074015672736463,579.3184992455308,-128.95382806928095,0.5934972732387367,-95.70108723743196,40.037267750819005,0.1037385218102578,-449.6481867303794,168.61304256960207,0.4802227087034687,110.71396473876844,17.26880127358938,0.11205263712025694,-361.9448401197733,-359.6504654056753,0.5102475130324959,42.7552327185142,85.94084139813666,0.09598873967832887,-31.46898660812016,-14.861584157144874,0.034801778716064866,-449.4229798031467,-121.02088879085613,0.465432132860279,75.52449953701115,-3.6148062168778816,0.07561095723704057,-256.083740617818,49.88395781866046,0.2608970897815225,107.03983195046578,-73.25710647088552,0.1297078612593339,288.27090738750275,15.425265512941943,0.28868331240679457,-91.89950668971693,-17.55338760370676,0.09356089325235888,179.72047005442602,-108.00992785259571,0.2096797364346559,-125.36797223793958,-82.97880602931873,0.15034164663560157,-310.53272564985826,45.454568063841066,0.3138418255385992,-381.6532823852246,-23.53566744266599,0.3823782886061757,256.80173096311904,-70.02336193257108,0.2661773849183924,-783.6845730149631,212.72947889887854,0.812043928106253,-74.01462646139919,-156.3757926650368,0.17300737979010905,-66.83559578069253,-57.795493607638086,-126.78712190045066,19.725721153130763,31.946818491923207,-42.10955931683792,165.73119064484385,17.705950713713122
8,0.2676691729323308,999.2807277566629,461.4902393216226,1014.3009507125445,477.03471077383307,1063.273098314209,865.3533995366154,1033.6695956028757,1074.597967038471,1205.1957174543818,1082.7844297781492,1162.1226193979105,1114.2088438539658,992.2458117609998,1085.7117486194093,965.2630469961282,476.1404857681728,1022.3421468713474,840.6440714438535,1034.905429836552,1052.1795172285854,1162.1691714151523,1065.9623949653055,1154.0768840575274,1063.7039267601779,972.6784363782476,1075.2781891685552,1041.7094141080918,36.595386617136,1154.6328021802963,60.2033459013837,1154.8277800940348,8.8280473376002,1039.5110280954943,17.2214095121065,1050.915744811019,258.50759604786987,1141.7888011049488,518.59841230718,1000.2557298462556,39.803893421555294,981.4658553444195,299.6187642888525,1077.514521551401,493.336195813444,2000,2,trajectory,person0,15.240230423969196,5.414044173393633,-0.5463601104222707,8.097334262887133,14.62634223426554,12.81122915063137,8.42875480577397,1.5750849157792988,16.34771940942702,29.656916103727937,1.6927019254332782,2.9674232886587935,-98.11844640477813,-86.47714707056836,-82.87821598080893,-81.06310289717474,-3.896771853575891,84.31055486855972,33.360596000659235,-8.358726274389197,-87.2606903256663,-94.114360215661,-70.91297091623929,-64.73944671967405,-24.124941571024074,-0.09831891298829772,0.024125141914898177,-124.59059088100385,70.6758157962526,0.1432406585943513,624.2183652771828,-139.16838402326724,0.6395439051863179,-87.57830345640474,34.897374848448,0.09427505506556443,-349.1310884233955,108.57520555842818,0.3656242499695005,80.90367408478373,-4.248636068894435,0.08101515530357772,-314.50901967912193,-342.51018470943495,0.46500446244010774,107.61232672982844,79.69437790234966,0.1339089494150778,-23.17966106706156,1.3522994239111148,0.02321907407533211,-459.96152299983646,-131.48002275680167,0.4783843632733601,103.71366595050031,-13.152899652806369,0.10454436031737323,-245.35359152544498,47.68661102096019,0.24994478939377646,139.1787764007986,-26.097262147887342,0.14160437455120883,278.6793103568223,-7.958722435194949,0.2787929326287784,-82.19733370411464,-22.737893486348714,0.08528430962528875,223.01601370360908,-108.71343687695854,0.24810230495875848,-107.71340183340905,-114.82477266161585,0.15743857643956646,-367.66823523263935,42.708244415757,0.37014041300587464,-361.4695259447962,-38.78504577780644,0.3635443548767361,294.5704584885053,-47.904820479209114,0.29844032374877477,-769.5309316418627,162.21776443370157,0.7864429145535365,38.201914614952784,-152.4981928652159,0.15721032124960732,-73.69456146875173,-59.41571379725932,-120.78651188899093,23.34539038549122,29.77799141181669,-43.56363307905623,167.18877084936867,15.240230423969194
9,0.3011278195488722,999.4277651411968,462.5376295514193,1010.460835296088,479.19158099056483,1049.9294237555953,860.8784480318798,1022.986112570923,1073.097295848857,1201.5406105467516,1078.4221071398324,1150.2179863538058,1115.4186727446402,984.3049414707876,1087.2925914870214,969.8326073659136,475.9262750846447,1031.8244497094554,839.797896060395,1052.2617558259215,1048.109857447861,1168.493363930961,1064.9729746599048,1155.1806319257107,1062.9188801087312,979.084534623049,1072.1666042881293,1040.3910971426192,40.0320591240987,1146.8671477731273,51.0434054765924,1152.261801143497,7.675134406581201,1036.7595252467195,18.186545870762497,1042.7983013604332,259.48295635725174,1117.4294921358978,522.1871710178222,1006.3082287212726,40.6665615082391,987.1168548810234,295.30413664516396,1082.5154791375724,495.6446606488389,2000,2,trajectory,person0,13.153489740598474,4.0128686152332325,-3.3339083265307212,8.994271255595276,15.217411285999138,11.392343172028903,6.966597359975161,1.2627799287254549,14.289107449963824,27.26365297486532,2.72558987801414,2.354833984203271,-97.28025884623707,-84.31456960690161,-84.12676910563864,-80.3017009916684,-7.23186739527383,84.48088772233247,33.93464879135576,-3.849629121854184,-88.55251491769236,-94.2563323489421,-74.26340746772854,-66.36230320014252,-39.40138346244206,102.71403223057028,0.11001200587125495,-114.77198885139505,64.46376153377942,0.13163656777654426,518.7396306935123,-121.6325282778295,0.5328088553949704,-82.2359278397857,28.845648472190486,0.08714826024340146,-237.33387608948712,47.24766323424814,0.24199113707067238,32.98841943109441,-23.463192054468966,0.04048156614987496,-232.09708677605948,-273.76900595443624,0.3589129787444498,149.4668222383798,68.99456699045344,0.1646225416649846,4.394600481572298,31.304022598418726,0.03161098455023104,-398.8109474821561,-133.74574160221127,0.42064010178338984,136.5733773441476,-6.402251889716698,0.13672335655785484,-242.61123121975973,29.15121823545702,0.2443563034557917,180.8949101971376,25.783113602010246,0.18272311698918842,189.0151920455225,-29.571438341186788,0.19131443434715628,-76.69105627449662,-34.45784715180375,0.08407652075838459,191.46316102440193,-92.99793013407894,0.21285383961460289,-109.24252105950455,-130.37953053846078,0.17009629740492804,-355.80139210470554,36.15893088981717,0.35763402929075555,-319.3040996066744,-44.85152094801884,0.3224387801691658,283.40365785805625,-25.290185617971197,0.2845298345972135,-728.0422680637712,107.25953000346443,0.7359009110362644,168.89504232995787,-128.95403968776864,0.2124963050865423,-62.36775525579902,-41.87783128883888,-83.31323881852208,26.80733034386132,17.665659299004133,-42.4071539672197,168.6076568279711,13.153489740598431
