Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,Head_vel_X,Head_vel_Y,Head_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,1213.7253006527426,480.9813002460431,1220.1079912051664,479.38184277749167,1352.853147238012,481.0976895170828,1467.989076572818,588.2358215788349,1538.4388628294157,607.3790355391975,1525.6433723568298,600.9867850565136,1466.421629241642,605.8772648471163,1212.1115002762483,480.987854135961,1352.846439640082,479.542521421619,1467.987484413746,578.729497958052,1533.660288107656,586.6459757938404,1540.0470142120023,593.0903865945055,1469.6148685671044,593.1735139410728,1065.202557038769,547.8744421016764,1015.6824807316005,630.8300324801423,1033.2928407900285,586.1627990396099,1073.1692244363708,541.499085516412,1065.3411754338567,532.030266553054,1047.9954515884137,552.8449478574083,1069.992476921321,541.4985053579135,1078.1790318375163,516.07552234807,1167.8136702256793,496.93378424981285,3,2,trajectory,person0,42.26042688357764,41.390010283992645,-43.55063477188094,-48.29680269968772,-23.638394227954777,105.5646297251934,48.39724609147953,99.9800259833897,-60.53236276701061,-1.1737930700720396,5.7942960300305835,-43.25011691081864,-41.02865040953154,-0.9896900272410084,0.3613598744611243,11.295407178910336,-155.62702200669187,-108.43924437310706,-120.7363049459627,129.56438382760788,72.397000193894,-130.45559019670011,12.918758656623606,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.63733197945086,42.26042688357763
1,0.0336538461538461,1184.2262569899492,465.8583251793972,1186.931634906382,465.22729798382227,1307.4957386251035,434.4878647263053,1432.7301149575003,492.2381251216293,1496.0242091645518,502.94316656479066,1485.8049461681971,500.09759049154223,1438.6522624046772,498.89600161254674,1183.3597372966556,466.38449128035006,1308.2722764010919,435.77413138661757,1432.1447203330545,485.7135996080947,1495.1025656403385,489.3236632389036,1496.5885451755016,492.4043159583674,1444.3080135507944,490.9224900435992,1059.3735181658308,566.1618679437547,1032.5882608096645,649.575825805952,1049.603395375393,609.6214488046069,1064.3223127221606,555.0628822832697,1071.0303362717777,525.0152208038635,1079.2610469471085,542.849092945388,1063.7027169648343,555.5561087574318,1075.4611999046192,514.0290052443764,1137.370128771984,496.23697692040594,3,2,trajectory,person0,38.4849075446459,36.18348994455976,-59.779109206157464,-60.263744558719914,-24.048047840268264,62.948932093556465,30.768496615713712,26.974021301016577,-59.954543863152985,-1.3884049829460896,-0.03066178494702,-23.85019785526622,-21.303166461497657,14.634709689379672,14.880323483062126,14.66038903960073,-141.7525260152519,-63.22139485039407,-106.42763312979817,101.8773034168856,69.69686793904286,-85.65297599056541,11.850844894895769,-1260.321137470239,-3103.2372495252366,3.3494015579496037,-262.8796623651053,403.0385325009154,0.4811920360580412,-751.9751204846419,-3038.3161386677903,3.129989063929304,-1291.337365656018,-2991.8146703309662,3.258605102424504,502.3431794624701,557.0178588240612,0.7500783725727634,-876.5430116944383,-449.3684019803359,0.9850175694111841,-186.89572442131697,417.711643871406,0.45761668373511166,-1145.715181886007,-2891.8630016324123,3.1105521854189346,929.0348335155002,-297.0196888143202,0.9753596349185919,-1047.6948594265887,-2852.5029804426863,3.0388217736325553,-1324.4894219585688,-1300.5464467543306,1.8562578724534635,169.0493506125111,-208.44707369023354,0.26838007651935225,-985.8117300210223,-420.59218815474856,1.0717847525430841,-1183.7703781765083,-2997.8503527877256,3.223107048479408,-825.1469002983888,-3178.8718218272143,3.2842188518244506,-80.75843457750727,-60.81079393832195,0.10109340935401563,-904.6080889098087,-20.705132073805423,0.9048450127039713,-173.2057265101665,543.3977964503248,0.5703344535296664,-854.338099965045,-433.92849628101106,0.9582210230090877,-1347.762998783569,-1384.977650925963,1.9325186142582114,484.6564791079699,697.0570215884837,0.8489878645111142,-1065.0421326834073,-2763.9009795415923,2.962003269596743,-112.18686035682894,-154.70803294314885,-482.2175260470748,-355.58912952552873,-12.172564480172221,156.38723570463156,38.48490754464589
2,0.0673076923076923,1154.5041513266335,453.1938679634493,1154.1841875965797,453.26950489119577,1259.9573167088936,392.61409776600783,1389.5454272370796,402.2290359050278,1444.883849987081,404.76757547946266,1437.01472614456,404.917580214677,1401.53108882053,399.033798882951,1154.6316593857475,454.15028774081514,1261.804663461321,396.55385997054333,1388.932769682244,398.89509059356385,1447.3832159385731,397.2710697249995,1446.0527820002417,399.547151257608,1408.8307699310963,396.1067040559927,1056.5665014386068,583.3572093231846,1050.4780444790338,666.8724880843859,1064.8284986409572,630.5660805800545,1058.360925448527,568.2006032143298,1074.4985446665598,519.1183203838759,1102.446592573885,527.8501130893898,1060.118593028528,568.9299618276779,1072.719495088933,511.74840318252654,1110.8253047188139,487.4061873738487,3,2,trajectory,person0,34.50384136348953,31.2244829016142,-69.13852308157236,-64.57058324065746,-24.13755225651019,28.635204288621285,17.072238640802546,-26.866457111711124,-54.07194985556391,-1.9437690580791815,-2.5167533252808503,-3.255934491349707,-0.4693470392266034,31.247906872139826,30.755135862387625,15.20430506362714,-127.89673003847766,-23.444154782370585,-93.32694225802804,83.52789240751909,71.96492675970036,-41.54229981492271,21.177549836596512,-1519.5992441305598,-2917.217563678312,3.289276543040338,-177.13836470225198,390.377993380072,0.42868750619167756,-1054.1809532710297,-2817.3833550603044,3.008146680534424,-1501.6341057791547,-2759.184322536848,3.14133779039636,531.5821433184053,513.9579648448874,0.7394135275490219,-883.1711397099502,-376.31530013102235,0.9600023266270108,-106.4996826788174,397.3944912301652,0.41141774885239296,-1417.9463911381692,-2735.277064413146,3.080959686079381,688.9419271956482,-445.68397286394537,0.8205334744639269,-1283.202149406785,-2674.555793864726,2.966455199516347,-1380.751927353186,-1165.4023506490619,1.8068310722886898,103.05533515924009,-175.2221839082022,0.20328112514039057,-973.0670057769838,-355.3172804666158,1.035910115565041,-1449.7665378452173,-2828.20601965542,3.1781397552453323,-1103.0291579289446,-2967.3340239651257,3.1657139057442483,-81.46780023753752,-67.76646126639629,0.10596837145164263,-788.7604861513372,-262.40060366912763,0.8312624022049935,-83.40849703751462,510.9472867030592,0.517710447226319,-853.6343150669802,-363.5306194604655,0.9278178997762342,-1412.5702512245248,-1244.2490753916948,1.88242143959784,452.4030684624767,622.3547727561559,0.7694114630850197,-1284.012247909793,-2579.749982146054,2.8816310352237893,-118.29453795436058,-147.3533521332393,-278.10829801232785,-127.97463512042961,-2.6595597969029416,159.1446369106175,34.503841363489535
3,0.1009615384615384,1125.3080459202945,444.4865112323974,1123.0016856499142,444.83458325906497,1209.1548365259446,359.3254469065094,1332.8383101136137,324.3302361887635,1378.1341916434847,320.1382536751355,1372.4874636888867,322.2075620537771,1348.3331854959742,313.4433397521197,1126.7213282940775,445.7241620646511,1212.385214125149,365.731856025864,1332.9533021876,324.7174497974437,1383.2537427020543,316.8420541852885,1382.6680680953139,322.8756594060504,1356.2101298247242,316.42356219721916,1058.5235380647985,598.2277235257844,1069.884213706894,681.2332883289159,1078.4893632612648,647.5160341868012,1056.7876588531676,579.8176756543486,1074.0172060271104,514.752083000075,1111.327405501343,506.7851056080156,1060.9844288612176,580.6556243573752,1069.9875735458152,509.85630457502464,1089.12916303878,470.4243062583809,3,2,trajectory,person0,30.309406381478652,26.754664010131886,-67.38836646912422,-56.77304720478668,-23.395219334743032,6.357053766325857,8.369508882414124,-53.59992244885294,-42.00380402580243,-4.50491792778156,0.8475597509844486,18.805372248718744,21.676029272472533,49.1147786301974,48.430693282604445,12.0042927776699,-114.24807847254264,5.916931642458521,-82.17191613552163,78.18296638367634,80.19542149976462,0.8858076000378982,42.17823479704435,-1983.4184193525848,-2514.6998479000126,3.20275880316571,-46.74849311925715,345.19300964627206,0.34834413374933204,-1563.584734589343,-2367.72764380356,2.8374163278363618,-1883.4314988892847,-2278.2386150177153,2.955957610989403,576.640457056412,426.7209215517531,0.7173597156268292,-867.5414177883603,-258.7328857226851,0.9053015065339426,25.72769331420593,348.4196865967241,0.3493682759087168,-1905.5614904565605,-2389.8907474657026,3.0565899919245307,263.8870127016101,-625.9316508751199,0.6792840253088782,-1685.0114802401322,-2314.7071915690003,2.8630635814180394,-1468.463637417683,-915.8538314990444,1.7306570125502778,-14.302633857922816,-129.73962511865648,0.13052561304664811,-926.5657721294941,-250.63767135474353,0.9598663304773504,-1917.3815129685852,-2457.669111066745,3.1171283781335193,-1580.7376987867963,-2543.2593570304207,2.9944782232450056,-81.1770972812164,-56.22235862291509,0.09874550487048889,-644.6853527781503,-504.6044674310451,0.8186848432932277,58.15194546397973,441.8667077343973,0.44567682928920704,-829.3355524381947,-250.3763058060187,0.8663058080418453,-1509.5594111504865,-989.1484826822399,1.8047671142243205,405.9228344320039,503.65576431476245,0.6468712982045189,-1663.3898912694217,-2204.1356122275747,2.761354690630511,-124.63463946546625,-132.81747563261752,52.00465362703046,231.69821363730355,22.05789253250988,163.36285710274004,30.309406381478656
4,0.1346153846153846,1098.0450783534982,440.1651786301178,1094.7701392825566,440.1863725276184,1155.5037709972019,336.6235240387918,1260.9796121013087,263.5940834848866,1292.8423020484302,255.3484568482094,1289.5632157956488,257.89044549909727,1277.2102101987082,247.9259544740826,1100.8197014057132,441.4761898773642,1160.2484988669364,345.5800842167216,1262.4520529307356,268.6974978267983,1299.6049745498233,254.0894713532329,1303.9475712588703,269.3596636526673,1285.0442417922231,258.3269416822211,1065.0889013993221,609.5673865545508,1090.5043859861844,691.3726653139538,1090.2389507036908,660.0596249614005,1059.2777394547477,588.3447638225852,1068.6354803321906,511.209091951471,1102.594367192179,482.6860503034049,1066.554794963792,589.555809343369,1067.4253273349589,508.96917871526193,1070.4785396677948,452.4847589459315,3,2,trajectory,person0,26.084606586557587,22.98105911954579,-55.79619909610927,-38.3303406578673,-21.153195131777306,-4.568175188099892,3.6355999055560977,-57.19273238156348,-27.31985563456198,-11.68792822114452,11.032832776078637,41.93180298424259,44.68354354453996,68.01640957080018,67.66460266408578,5.608340668218654,-101.24281061777558,21.530757666470787,-73.09151596495647,84.24962260777154,92.45339770142756,40.51006998503531,68.21505372955603,-2534.3875765387584,-1925.1825342858003,3.182679402395582,73.99096644695379,253.37633414188565,0.2639587653762131,-2114.6435301085976,-1726.299581017083,2.7298035648833614,-2339.123334568601,-1590.189588100524,2.828462639036734,612.7136905846367,301.2843446982674,0.6827813141776145,-810.0996076990838,-128.40531161059437,0.8202129592026837,165.51944990506553,264.4626395838142,0.311989063963008,-2485.563396523434,-1864.648175581077,3.1072396458649516,-259.49599547229957,-716.086214765574,0.761654540223747,-2135.229883794203,-1804.7313946294814,2.7957578692385145,-1549.205253386893,-598.7955051859448,1.660901253582656,-159.91413493476585,-105.27744830137595,0.1914572319678298,-838.8802349157635,-138.11826173441335,0.8501745131188434,-2464.034794541916,-1911.1371776247681,3.118318902936771,-2113.3684088330488,-1946.8023054045268,2.8733891570377152,-76.13531597973059,-26.360311261520003,0.08056954976377638,-554.1899515949851,-533.0608344270669,0.7689475636536817,195.08508194013342,336.9499871404844,0.38935007773154634,-769.6483418256801,-126.22545927938187,0.7799304050011833,-1594.203089996925,-674.5714223550362,1.7310488427580086,349.1305982892238,372.7238401595188,0.5107007300612071,-2094.8942636325387,-1664.5928585563177,2.675715111994774,-125.53690819193999,-112.12997389170094,344.4529733695865,548.011851679889,66.62014774526719,169.25922018857574,26.08460658655759
5,0.1682692307692307,1073.7686885857042,439.8857954750714,1070.1374533012888,438.9864295119461,1100.3531673256095,325.1224201689709,1176.1977220788735,223.823772377137,1191.0230426111118,214.6842627941071,1190.2329401610255,216.35273159034702,1191.1028632593084,206.3381616035989,1077.6264435864023,440.9786028248205,1106.5692603094503,336.7798704430096,1179.5131096642253,234.5705351070002,1198.51762269604,214.0253352601477,1211.3846994162286,242.7398896639993,1199.036046900908,225.4329740972525,1074.5229304960976,616.5062188880069,1111.1889799009905,696.4174582547578,1099.6237712905133,668.2430570441229,1064.2282239828976,592.7037689907752,1058.355571597325,508.26466353813373,1076.71048334269,461.400942732816,1075.5046036892822,594.6145895079103,1064.82960410607,509.56348377194684,1051.778040358078,441.82358251079637,3,2,trajectory,person0,21.981753557173963,19.91880440550209,-41.92229031335553,-17.36216019331453,-16.770066389443326,-6.756718960928286,1.798602163719237,-46.53034632718746,-13.65624643660571,-26.386140795611723,25.708879528525493,64.66151155844265,67.06023265436,86.64326511561663,86.97903705986212,-2.598228320465008,-89.3930166287366,23.888330606857856,-65.74746059257858,96.992384488393,105.54770561304052,75.6210174178941,90.76619809115824,-3025.48656613746,-1208.3074804647563,3.257848358844427,147.10011169359535,129.52472499764565,0.1959976970425519,-2555.672076770513,-977.4207510962116,2.7362037732336364,-2750.439620467079,-790.9875699489934,2.861918839109331,614.6279334685202,149.90241881246067,0.6326438427469361,-721.3555816715947,-8.301670892806932,0.7214033496930667,265.93717355743104,150.31803917494207,0.305480102758125,-3003.738455083854,-1190.4771867659626,3.2310494639914973,-769.1211200991107,-632.4717678117851,0.9957749918839472,-2519.23330352379,-1181.7463872017051,2.7826356141700748,-1595.0402314224448,-261.4920664188709,1.6163327134770789,-305.4601452645756,-87.49158713916589,0.31774310089313645,-731.9426691576725,-35.655449608547755,0.7328106044677886,-2951.528190285961,-1234.2634990028675,3.1992069396998253,-2558.6183090564564,-1235.7515595800894,2.8414097853782976,-77.13006165840663,17.659350255779806,0.07912584320489684,-555.6719794887301,-316.7892426440147,0.6396301845941076,280.32543601847544,206.18244647983718,0.34798498719824006,-689.1710894881005,-14.78544384701322,0.6893296743474552,-1638.7607948130317,-341.7470864175358,1.674015535677944,278.8632402941563,243.16483902946698,0.3699916833221835,-2464.471457062028,-1014.0583208168597,2.6649453729281856,-121.91334715882792,-90.99271150301297,412.2532895446833,623.0545052324264,130.24153977220993,176.03628174435323,21.981753557173974
6,0.2019230769230769,1052.5919279031657,442.771692248208,1048.72764057712,440.8199901125995,1045.3304554958545,325.1727998388771,1083.4193886187807,208.1103665692326,1079.3517770761937,201.49513907969092,1080.5771778887517,201.4222265264108,1095.8219458290507,190.8931603613088,1057.0105661295484,443.25983746457945,1052.9189352502399,338.896678083289,1089.1682147125869,223.96048987977142,1086.97687435333,200.7755750155789,1109.733055989664,242.79667847261211,1104.6377956460144,217.6993803392445,1084.4131560435653,618.8273486755354,1130.3532241729274,696.0236855374685,1106.793744059158,672.1426258697367,1069.6758717262344,593.1293927747237,1044.2154229587045,507.637220186316,1038.567496141725,450.05996461610545,1085.3689378089848,595.4103377756875,1061.2051193294449,512.3895418266383,1030.0329089860209,443.2538421949396,3,2,trajectory,person0,17.987062195396096,17.320537134913,-33.19682957232199,-3.02131812461987,-9.971065130508324,-3.130678532273356,2.396648858241822,-29.970991826313178,-2.041625822568734,-50.554702132410064,36.92551151557627,83.95703665909765,85.7191472374789,101.94409885449376,103.03968437239192,-9.4440902138326,-79.00610949299367,18.36049504301619,-59.56306183163165,109.8800709706505,115.4073983611657,103.1118078292028,102.78523417931773,-3318.23189018042,-391.9053903712234,3.341295065092627,161.87296151629766,12.647106723041224,0.1623662679823638,-2804.9766087168327,-229.79821452366596,2.814373996974611,-3020.505976103624,1.687438884495151,3.0205064474567336,569.451829794701,-11.700675028023188,0.5695720255179713,-629.2523174240032,85.75236125891627,0.6350684580775195,293.1116424140151,23.645091385378862,0.2940638115533164,-3314.353665040521,-393.70716155290035,3.3376556961474586,-1133.3916196858117,-336.9890640393998,1.1824289377616646,-2756.841908528471,-466.9126297205871,2.796101699225458,-1594.1810874736786,62.899427025444446,1.5954214733351466,-420.164416690439,-18.644031025441596,0.4205778607412598,-636.1772923753025,54.48294356227156,0.6385060207023743,-3258.3426503761248,-443.6492933283893,3.2884071406580557,-2831.2044036419356,-458.93717977090574,2.8681599868517726,-107.69897621971819,83.97429648226141,0.13656775588866563,-646.1410464839826,42.49914490025431,0.6475372029996955,293.8809876961781,68.97071368656493,0.3018658547694908,-612.5860730036576,67.78525786712416,0.616325026282525,-1634.9605800841475,1.4969959057834947,1.634961265420632,213.05061941115733,115.87290224680717,0.24252236166295252,-2684.534021420107,-315.26991532336973,2.702983172657576,-118.69940046425647,-77.20565604036145,259.27083344785353,426.1278786126407,202.02746597978265,180.95020834748743,17.987062195396106
7,0.235576923076923,1033.4993000991665,447.8014865127734,1029.3297206585046,445.4015960135488,991.9686644293422,337.4415495280536,988.9852835644504,219.14708208157091,967.6351139304584,218.990427162346,969.6812266457035,216.65146130255891,998.0875678344504,202.988012751324,1038.0121770926337,447.2478979608592,1000.7314670940892,351.1668452152833,997.8423082013752,236.9619575991901,975.3162772274092,217.4076133742816,1005.7286266278087,266.6092968423282,1008.6725574142783,232.8360993031375,1092.5067950322389,616.9941693941004,1146.5387527129205,690.2681188942285,1112.5358858452687,671.744515192412,1073.895620571838,590.9417483480426,1027.9894527389001,512.0877917355793,996.1953027742891,454.71598432867637,1093.4103388588837,592.32951888124,1055.0319676571828,518.3868975576781,1004.3968288650868,457.9129878714201,3,2,trajectory,person0,14.054835713371908,14.890049969675838,-29.84889286677694,1.859102603741437,-0.955214066467716,3.93956038472889,5.481521945095793,-13.603046669437076,7.513705558378825,-80.74803216322478,33.44713800821375,94.82314566401824,95.6006877822063,108.87798137739016,110.49073775188216,-10.450473912929652,-69.99036882277747,12.4309725495422,-53.844282194905624,115.38551220310578,116.9274737634727,117.9170651191105,97.87130164613724,-3319.580847759,519.8599887417527,3.3600403885523367,125.38682284078992,-65.00429153566614,0.1412353116616433,-2851.5385074573096,449.77679206996476,2.8867925145733295,-3090.417329609423,707.574945842994,3.1703850830987323,480.9414194740786,-171.02255168484788,0.510444279182888,-567.3237976045464,149.45674386137222,0.5866801595538135,238.94448833985743,-91.54433286358473,0.25588050607155494,-3317.914886027364,494.2091398014524,3.3545196175883762,-1259.0594600609586,138.35030003068016,1.2666378841198347,-2806.0419787572473,327.9481180809105,2.8251409796151234,-1550.7133394970529,364.5992519221171,1.5929985799730864,-482.14311510275456,132.24555460668495,0.4999508677402387,-576.3953347245728,136.13914677106527,0.5922545476193541,-3295.1939797934415,452.52583334840153,3.32612131383006,-2904.10723183956,359.3898995890239,2.9262603974953154,-183.43079254721607,178.20714172232812,0.2557433107929546,-761.7578093077576,435.5860429582792,0.877502228408228,240.496701377732,-54.471612934072105,0.24658836142285664,-564.5235599540395,118.50236903231131,0.5768272368824586,-1585.6075059763682,364.5571336212458,1.6269766644554977,170.6236416444345,-11.829574411932418,0.1710332304517922,-2713.6840791902973,386.32932651987005,2.7410457183673875,-116.84330118014752,-72.22019005276152,99.48154782191021,145.01821592845056,267.89957447435,178.86835020016764,14.054835713371915
8,0.2692307692307692,1014.6609823298958,454.3603170994296,1010.2555874467931,452.5859313204988,941.7987138059576,362.5277852128671,899.9193131509361,258.1623105561856,866.5503348330188,268.4007555016159,868.0266515854332,263.5118839056223,904.8448449850938,243.05930665877833,1019.0732238781044,452.3890063859966,951.205563818008,373.2858123379543,912.0232904331605,272.9469218813569,874.6910101629167,264.6440014141258,907.2267248244405,310.99767056763176,917.5280010038034,268.99305734273685,1097.1284084255185,611.9309322292704,1158.6951187652676,679.536993597628,1117.1940030457338,667.1855035801112,1075.5380484949508,587.6127989768102,1011.706601850344,523.5629823525727,957.7588567166702,477.7796317881526,1097.475111192809,586.542834969256,1045.2069585684872,528.618791987803,977.5110597586888,485.0752298156716,3,2,trajectory,person0,10.350394371095838,12.54145724176416,-27.75523723803328,0.1635993916637761,9.789071781745772,12.958765242925123,11.32901844168405,-0.6478370254447257,14.434505241782372,-107.0358233392834,9.776606056016012,90.7288094168349,90.23302755728842,101.07920378793077,102.7744847990526,-3.0591473837690653,-61.88102995302246,10.962499957138112,-47.89017346457125,105.9441782602496,104.31443145900852,114.15975023647962,70.81231564555603,-3003.662007466771,1468.1926135097308,3.3432880530196383,48.80357257249648,-98.9173527451912,0.11030154745041212,-2708.2953904826772,1074.378181748093,2.9136150053715153,-2926.9136535857933,1318.9688192661604,3.210374165380619,361.2177341268861,-318.8677230989848,0.4818245285185185,-559.767156572617,194.8909660034976,0.5927240152104258,120.78180649377425,-171.94717909895286,0.21012871574343878,-2990.0079356306305,1403.595530326796,3.3030634065799442,-1142.1115399978153,685.3198102244341,1.3319467001656768,-2646.5316922872753,1159.309646102834,2.889312868802551,-1471.626840203552,657.2493087879377,1.611726468948659,-483.8332835456685,340.97709261922915,0.5919121758822382,-566.7742440051397,213.4773919779426,0.6056448138581737,-3020.593087505168,1392.4239859195948,3.326082854778007,-2770.6409075237343,1190.6898761072114,3.0156580408773386,-291.94312720695933,304.03343449513426,0.4215057755408411,-798.8914248758263,807.1066177720425,1.1356269639241372,137.32794082887594,-150.450475754946,0.20370151935414926,-562.7574669460095,152.76436463265475,0.5831234155006191,-1490.764247094853,745.4195746344565,1.6667418464370833,138.4126253852436,-135.4677736226511,0.1936738819673774,-2550.0508136840904,1069.2675100986683,2.765156805774945,-110.07482845620298,-69.78675534366113,62.211481539811416,-50.38066687316467,319.25877948977154,162.96023374095324,10.35039437109586
9,0.3028846153846153,994.0642229730064,462.7518535966611,989.7019302476098,462.6217230868239,896.5183723363556,400.3004121161904,823.1356325480541,323.15772165247654,785.2135247395462,346.4773715965991,784.9502519006405,339.2329088780171,823.0171585534421,309.22658947964385,998.3698047415533,459.1465141278097,905.6405127371924,405.601541800654,837.4156088891405,330.5195111749386,794.1808561590218,339.2535155088216,822.6145497764551,373.7395147982457,837.2656244457204,325.54722571466385,1097.1848780739992,604.8605439215721,1166.0627845544489,664.5488819257396,1120.1789142053706,659.0224294821501,1073.520672867971,584.2547616496684,997.238366161034,542.3464609623381,929.5029375241361,517.227009782616,1096.2778686752117,579.7766597492498,1031.976596644966,544.1160991115594,954.3533715003152,523.0907853737273,3,2,trajectory,person0,7.281708561007407,10.38174094740386,-24.63052234110736,-4.360701084835935,21.5705887153656,23.131034093711293,20.00694929577373,8.297149094716678,18.19941883498881,-120.6044328554868,-26.481916941163153,65.86043215702264,64.12451357502248,73.14214071803005,74.50625452242635,11.584760828687214,-53.994156110714144,14.425773970186135,-41.11546651520899,76.06669990075538,72.94261510281783,87.83416361219611,22.77808942253604,-2416.8652142060478,2319.9908782509333,3.350163449565824,-59.944875773117154,-99.78168057792779,0.11640348753542593,-2384.9391891544706,1680.4667173372627,2.9175166364638025,-2514.190344282998,1864.329085709674,3.1299961704623422,218.92492630710024,-445.36103253611344,0.49626058946908364,-612.017992318998,249.34851306059394,0.6608636046021193,-35.5752062371749,-201.05206368018193,0.20417523750170455,-2392.30171897288,2216.968418813822,3.261603361020229,-839.6044560067297,1172.1506604069166,1.4418296755299245,-2281.572223628498,1931.2922154326482,2.989224219262221,-1353.932946401382,960.2388183202206,1.659877408593822,-429.9132890537835,558.1376501187467,0.704516197532121,-610.7372424900203,298.2063839136616,0.6796521365898706,-2468.555876348132,2249.996170608307,3.340097436064544,-2431.4512539690845,1966.1135466771502,3.1269086457482627,-393.13075429891063,460.4914116773342,0.6054784308331839,-688.1141653916743,1129.6050794393698,1.3226899637133054,1.6779552691446076,-210.09153828589422,0.21009823891032167,-615.1873114860928,200.79451575673272,0.6471273953183156,-1345.473003668177,1122.3866279844653,1.752155628441208,88.69450302921237,-242.55991605370266,0.25826735710030846,-2216.913965879455,1710.7283675807173,2.8002319689191393,-91.18380692834214,-64.17442703242044,92.84867122294189,-134.43635701599166,350.0793603132755,127.1362968287442,7.281708561007406
